region,technology,fuel,year,production_PJ
Indonesia,Biogas_IDJW,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2050,0.45
Indonesia,Biogas_IDJW,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2060,0.6
Indonesia,Biogas_IDKA,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2030,8.62
Indonesia,Biogas_IDKA,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2040,34.09
Indonesia,Biogas_IDKA,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2050,52.58
Indonesia,Biogas_IDKA,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2060,62.84
Indonesia,Biogas_IDSA,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2040,20.09
Indonesia,Biogas_IDSA,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2050,85.78
Indonesia,Biogas_IDSA,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2060,85.78
Indonesia,Biomass Gasification,"Hydrogen input to ""Centralized Electricity Generation"" [LEAP ID:35]",2030,3.28
Indonesia,Biomass Gasification,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2030,6.7
Indonesia,Biomass Gasification,"Hydrogen input to ""Centralized Electricity Generation"" [LEAP ID:35]",2040,92.54
Indonesia,Biomass Gasification,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2040,82.38
Indonesia,Biomass Gasification,"Hydrogen input to ""Centralized Electricity Generation"" [LEAP ID:35]",2050,4912.61
Indonesia,Biomass Gasification,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2050,82.38
Indonesia,Biomass Gasification,"Hydrogen input to ""Centralized Electricity Generation"" [LEAP ID:35]",2060,8788.87
Indonesia,Biomass Gasification,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2060,82.38
Indonesia,Biomass Other_IDEast,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2030,0.69
Indonesia,Biomass Other_IDEast,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2040,0.7
Indonesia,Biomass Other_IDEast,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2050,0.7
Indonesia,Biomass Other_IDEast,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2060,0.7
Indonesia,Biomass Other_IDJW,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2030,5.24
Indonesia,Biomass Other_IDJW,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2040,5.61
Indonesia,Biomass Other_IDJW,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2050,5.61
Indonesia,Biomass Other_IDJW,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2060,5.61
Indonesia,Biomass Other_IDKA,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2025,5.31
Indonesia,Biomass Other_IDKA,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2030,10.77
Indonesia,Biomass Other_IDKA,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2040,10.8
Indonesia,Biomass Other_IDKA,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2050,10.8
Indonesia,Biomass Other_IDKA,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2060,10.8
Indonesia,Biomass Other_IDSA,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2030,57.87
Indonesia,Biomass Other_IDSA,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2040,68.42
Indonesia,Biomass Other_IDSA,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2050,68.42
Indonesia,Biomass Other_IDSA,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2060,68.42
Indonesia,CAES,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2040,70.16
Indonesia,CAES,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2050,139.77
Indonesia,CAES,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2060,130.3
Indonesia,Coal Subcritical_IDEast,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2025,21.6
Indonesia,Coal Subcritical_IDEast,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2030,112.44
Indonesia,Coal Subcritical_IDEast,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2040,192.47
Indonesia,Coal Subcritical_IDEast,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2050,199.33
Indonesia,Coal Subcritical_IDEast,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2060,199.33
Indonesia,Coal Subcritical_IDJW,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2025,183.99
Indonesia,Coal Subcritical_IDJW,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2030,119.21
Indonesia,Coal Subcritical_IDJW,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2040,412.43
Indonesia,Coal Subcritical_IDJW,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2050,772.13
Indonesia,Coal Subcritical_IDJW,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2060,772.13
Indonesia,Coal Subcritical_IDKA,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2025,11.09
Indonesia,Coal Subcritical_IDKA,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2030,60.29
Indonesia,Coal Subcritical_IDKA,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2040,65.27
Indonesia,Coal Subcritical_IDKA,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2050,65.27
Indonesia,Coal Subcritical_IDKA,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2060,65.27
Indonesia,Coal Subcritical_IDSA,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2025,38.86
Indonesia,Coal Subcritical_IDSA,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2030,40.07
Indonesia,Coal Subcritical_IDSA,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2040,97.06
Indonesia,Coal Subcritical_IDSA,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2050,166.67
Indonesia,Coal Subcritical_IDSA,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2060,166.67
Indonesia,Coal Supercritical,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2025,89.8
Indonesia,Coal Supercritical,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2030,151.35
Indonesia,Coal Supercritical,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2040,196.83
Indonesia,Coal Supercritical,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2050,196.83
Indonesia,Coal Supercritical,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2060,196.83
Indonesia,Diesel,"Blended Diesel output from ""Diesel Blending"" [LEAP ID:82]",2030,378.7
Indonesia,Diesel,"Blended Diesel output from ""Diesel Blending"" [LEAP ID:82]",2040,170.02
Indonesia,Diesel_IDEast,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2030,3.01
Indonesia,Diesel_IDKA,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2030,26.82
Indonesia,Gas Combined Cycle with CCS,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2030,59.57
Indonesia,Gas Combined Cycle with CCS,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2040,514.67
Indonesia,Gas Combined Cycle with CCS,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2050,836.33
Indonesia,Gas Combined Cycle with CCS,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2060,965.0
Indonesia,Gas Combined Cycle_IDEast,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2025,5.22
Indonesia,Gas Combined Cycle_IDEast,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2030,22.97
Indonesia,Gas Combined Cycle_IDEast,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2040,22.97
Indonesia,Gas Combined Cycle_IDEast,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2050,22.97
Indonesia,Gas Combined Cycle_IDEast,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2060,22.97
Indonesia,Gas Combined Cycle_IDJW,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2025,83.17
Indonesia,Gas Combined Cycle_IDJW,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2030,322.47
Indonesia,Gas Combined Cycle_IDJW,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2040,438.95
Indonesia,Gas Combined Cycle_IDJW,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2050,438.95
Indonesia,Gas Combined Cycle_IDJW,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2060,438.95
Indonesia,Gas Combined Cycle_IDKA,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2025,0.83
Indonesia,Gas Combined Cycle_IDKA,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2030,4.47
Indonesia,Gas Combined Cycle_IDKA,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2040,4.47
Indonesia,Gas Combined Cycle_IDKA,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2050,4.47
Indonesia,Gas Combined Cycle_IDKA,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2060,4.47
Indonesia,Gas Combined Cycle_IDSA,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2025,21.07
Indonesia,Gas Combined Cycle_IDSA,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2030,45.17
Indonesia,Gas Combined Cycle_IDSA,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2040,63.47
Indonesia,Gas Combined Cycle_IDSA,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2050,63.47
Indonesia,Gas Combined Cycle_IDSA,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2060,63.47
Indonesia,Gas Engine_IDEast,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2025,17.44
Indonesia,Gas Engine_IDEast,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2030,24.1
Indonesia,Gas Engine_IDEast,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2040,24.97
Indonesia,Gas Engine_IDEast,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2050,24.97
Indonesia,Gas Engine_IDEast,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2060,24.97
Indonesia,Gas Engine_IDJW,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2025,1.46
Indonesia,Gas Engine_IDJW,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2030,1.67
Indonesia,Gas Engine_IDJW,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2040,12.35
Indonesia,Gas Engine_IDJW,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2050,12.35
Indonesia,Gas Engine_IDJW,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2060,12.35
Indonesia,Gas Engine_IDKA,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2025,6.06
Indonesia,Gas Engine_IDKA,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2030,23.35
Indonesia,Gas Engine_IDKA,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2040,25.22
Indonesia,Gas Engine_IDKA,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2050,25.22
Indonesia,Gas Engine_IDKA,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2060,25.22
Indonesia,Gas Engine_IDSA,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2025,6.74
Indonesia,Gas Engine_IDSA,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2030,31.82
Indonesia,Gas Engine_IDSA,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2040,71.36
Indonesia,Gas Engine_IDSA,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2050,71.36
Indonesia,Gas Engine_IDSA,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2060,71.36
Indonesia,Gas Turbine_IDJW,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2025,1.01
Indonesia,Gas Turbine_IDJW,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2030,3.9
Indonesia,Gas Turbine_IDJW,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2040,7.06
Indonesia,Geothermal Flash_IDEast,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2025,0.25
Indonesia,Geothermal Flash_IDEast,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2030,6.34
Indonesia,Geothermal Flash_IDEast,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2040,18.95
Indonesia,Geothermal Flash_IDEast,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2050,18.95
Indonesia,Geothermal Flash_IDEast,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2060,18.95
Indonesia,Geothermal Flash_IDJW,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2030,60.6
Indonesia,Geothermal Flash_IDJW,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2040,163.09
Indonesia,Geothermal Flash_IDJW,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2050,163.09
Indonesia,Geothermal Flash_IDJW,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2060,163.09
Indonesia,Geothermal Flash_IDSA,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2025,9.36
Indonesia,Geothermal Flash_IDSA,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2030,38.69
Indonesia,Geothermal Flash_IDSA,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2040,92.36
Indonesia,Geothermal Flash_IDSA,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2050,92.36
Indonesia,Geothermal Flash_IDSA,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2060,92.36
Indonesia,Geothermal ORC,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2040,8.0
Indonesia,Geothermal ORC,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2050,8.0
Indonesia,Geothermal ORC,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2060,8.0
Indonesia,H2 Fuel Cell,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2040,2.59
Indonesia,H2 Fuel Cell,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2050,1791.54
Indonesia,H2 Fuel Cell,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2060,3323.51
Indonesia,Large Hydro_IDEast,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2030,92.31
Indonesia,Large Hydro_IDEast,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2040,192.58
Indonesia,Large Hydro_IDEast,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2050,258.97
Indonesia,Large Hydro_IDEast,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2060,301.62
Indonesia,Large Hydro_IDJW,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2030,197.26
Indonesia,Large Hydro_IDJW,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2040,329.74
Indonesia,Large Hydro_IDJW,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2050,75.82
Indonesia,Large Hydro_IDJW,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2060,16.31
Indonesia,Large Hydro_IDKA,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2025,10.03
Indonesia,Large Hydro_IDKA,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2030,21.0
Indonesia,Large Hydro_IDKA,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2040,46.68
Indonesia,Large Hydro_IDKA,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2050,60.5
Indonesia,Large Hydro_IDSA,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2030,144.4
Indonesia,Large Hydro_IDSA,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2040,240.89
Indonesia,Large Hydro_IDSA,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2050,414.61
Indonesia,Large Hydro_IDSA,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2060,491.96
Indonesia,Lithium Ion Batteries,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2025,0.48
Indonesia,Lithium Ion Batteries,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2040,7.94
Indonesia,Lithium Ion Batteries,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2050,32.21
Indonesia,Lithium Ion Batteries,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2060,30.68
Indonesia,Nuclear SMR,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2040,14.35
Indonesia,Nuclear SMR,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2050,14.35
Indonesia,Nuclear SMR,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2060,14.35
Indonesia,Pumped Hydro,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2030,0.89
Indonesia,Pumped Hydro,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2040,18.35
Indonesia,Pumped Hydro,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2050,101.31
Indonesia,Pumped Hydro,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2060,163.71
Indonesia,Small Hydro_IDEast,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2030,35.32
Indonesia,Small Hydro_IDEast,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2040,61.02
Indonesia,Small Hydro_IDEast,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2050,69.12
Indonesia,Small Hydro_IDEast,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2060,33.6
Indonesia,Small Hydro_IDJW,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2030,39.22
Indonesia,Small Hydro_IDJW,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2040,62.05
Indonesia,Small Hydro_IDJW,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2050,11.77
Indonesia,Small Hydro_IDJW,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2060,7.37
Indonesia,Small Hydro_IDKA,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2025,0.49
Indonesia,Small Hydro_IDKA,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2030,1.31
Indonesia,Small Hydro_IDKA,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2040,2.35
Indonesia,Small Hydro_IDKA,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2050,0.08
Indonesia,Small Hydro_IDKA,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2060,0.11
Indonesia,Small Hydro_IDSA,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2030,49.45
Indonesia,Small Hydro_IDSA,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2040,83.65
Indonesia,Small Hydro_IDSA,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2050,128.1
Indonesia,Small Hydro_IDSA,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2060,167.99
Indonesia,Solar Floating,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2030,16.75
Indonesia,Solar Floating,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2040,44.66
Indonesia,Solar Floating,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",2050,55.83
