r,l,f,y,val,region_name,fuel_name,timeslice_name
R1,L26,F25,2030,1381.4772133707029,Indonesia,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",Dry: Hr 2
R1,L27,F25,2030,1348.346014042361,Indonesia,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",Dry: Hr 3
R1,L28,F25,2030,1476.9558958035468,Indonesia,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",Dry: Hr 4
R1,L29,F25,2030,1464.7597449995542,Indonesia,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",Dry: Hr 5
R1,L3,F25,2030,1435.1682596336832,Indonesia,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",Wet: Hr 3
R1,L30,F25,2030,1507.0225481242962,Indonesia,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",Dry: Hr 6
R1,L31,F25,2030,1469.1712374981666,Indonesia,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",Dry: Hr 7
R1,L32,F25,2030,1479.5270982918923,Indonesia,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",Dry: Hr 8
R1,L33,F25,2030,1552.6342798988794,Indonesia,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",Dry: Hr 9
R1,L34,F25,2030,1662.8683381749277,Indonesia,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",Dry: Hr 10
R1,L35,F25,2030,1659.9189382326824,Indonesia,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",Dry: Hr 11
R1,L36,F25,2030,1557.8170243393029,Indonesia,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",Dry: Hr 12
R1,L37,F25,2030,1667.460000351035,Indonesia,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",Dry: Hr 13
R1,L38,F25,2030,1627.142624332044,Indonesia,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",Dry: Hr 14
R1,L39,F25,2030,1699.7209127079425,Indonesia,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",Dry: Hr 15
R1,L4,F25,2030,1397.937120109036,Indonesia,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",Wet: Hr 4
R1,L40,F25,2030,1676.3875725083421,Indonesia,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",Dry: Hr 16
R1,L41,F25,2030,1618.266926509071,Indonesia,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",Dry: Hr 17
R1,L42,F25,2030,1827.1371837660442,Indonesia,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",Dry: Hr 18
R1,L43,F25,2030,1835.9631827436074,Indonesia,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",Dry: Hr 19
R1,L44,F25,2030,1823.4170333310449,Indonesia,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",Dry: Hr 20
R1,L45,F25,2030,1787.3268197840093,Indonesia,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",Dry: Hr 21
R1,L46,F25,2030,1697.1898037076935,Indonesia,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",Dry: Hr 22
R1,L47,F25,2030,1533.6384670470818,Indonesia,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",Dry: Hr 23
R1,L48,F25,2030,1479.044375128131,Indonesia,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",Dry: Hr 24
R1,L5,F25,2030,1521.1719426713896,Indonesia,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",Wet: Hr 5
R1,L6,F25,2030,1481.3243338177476,Indonesia,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",Wet: Hr 6
R1,L7,F25,2030,1348.3743010906821,Indonesia,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",Wet: Hr 7
R1,L8,F25,2030,1505.4375606219348,Indonesia,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",Wet: Hr 8
R1,L9,F25,2030,1497.3123271746904,Indonesia,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",Wet: Hr 9
R1,L1,F25,2035,2089.9466453399036,Indonesia,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",Wet: Hr 1
R1,L10,F25,2035,2081.3374790745384,Indonesia,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",Wet: Hr 10
R1,L11,F25,2035,2008.5893041765296,Indonesia,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",Wet: Hr 11
R1,L12,F25,2035,1949.6617873759599,Indonesia,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",Wet: Hr 12
R1,L13,F25,2035,1994.3041602968856,Indonesia,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",Wet: Hr 13
R1,L14,F25,2035,2303.223905509278,Indonesia,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",Wet: Hr 14
R1,L15,F25,2035,2034.2110542651362,Indonesia,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",Wet: Hr 15
R1,L16,F25,2035,2035.0355420883989,Indonesia,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",Wet: Hr 16
R1,L17,F25,2035,2223.590040814195,Indonesia,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",Wet: Hr 17
R1,L18,F25,2035,2323.7784662297086,Indonesia,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",Wet: Hr 18
R1,L19,F25,2035,2341.7489642047567,Indonesia,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",Wet: Hr 19
R1,L2,F25,2035,1975.9033860880463,Indonesia,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",Wet: Hr 2
R1,L20,F25,2035,2315.05280765043,Indonesia,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",Wet: Hr 20
R1,L21,F25,2035,2253.1812498009776,Indonesia,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",Wet: Hr 21
R1,L22,F25,2035,2213.857225824319,Indonesia,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",Wet: Hr 22
R1,L23,F25,2035,1986.1634219805244,Indonesia,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",Wet: Hr 23
R1,L24,F25,2035,1888.7828597166083,Indonesia,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",Wet: Hr 24
R1,L25,F25,2035,2021.5761818285666,Indonesia,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",Dry: Hr 1
R1,L26,F25,2035,1948.1614329085885,Indonesia,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",Dry: Hr 2
R1,L27,F25,2035,1941.12452511596,Indonesia,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",Dry: Hr 3
R1,L28,F25,2035,1753.2358373301672,Indonesia,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",Dry: Hr 4
R1,L29,F25,2035,1840.9191081893252,Indonesia,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",Dry: Hr 5
R1,L3,F25,2035,1752.2149598490016,Indonesia,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",Wet: Hr 3
R1,L30,F25,2035,1844.9704860129957,Indonesia,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",Dry: Hr 6
R1,L31,F25,2035,1799.7187170591037,Indonesia,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",Dry: Hr 7
R1,L32,F25,2035,2202.7045791870287,Indonesia,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",Dry: Hr 8
R1,L33,F25,2035,2007.2770073090796,Indonesia,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",Dry: Hr 9
R1,L34,F25,2035,2050.033492946151,Indonesia,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",Dry: Hr 10
R1,L35,F25,2035,2112.7183067006836,Indonesia,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",Dry: Hr 11
R1,L36,F25,2035,2184.8366619697435,Indonesia,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",Dry: Hr 12
R1,L37,F25,2035,2461.468266910608,Indonesia,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",Dry: Hr 13
R1,L38,F25,2035,2297.700328952619,Indonesia,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",Dry: Hr 14
R1,L39,F25,2035,2081.880016106004,Indonesia,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",Dry: Hr 15
R1,L4,F25,2035,1754.6588742968288,Indonesia,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",Wet: Hr 4
R1,L40,F25,2035,2074.2341073013417,Indonesia,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",Dry: Hr 16
R1,L41,F25,2035,2092.00111769616,Indonesia,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",Dry: Hr 17
R1,L42,F25,2035,2328.5298361116256,Indonesia,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",Dry: Hr 18
R1,L43,F25,2035,2373.0216554418494,Indonesia,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",Dry: Hr 19
R1,L44,F25,2035,2435.342523988327,Indonesia,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",Dry: Hr 20
R1,L45,F25,2035,2258.5242284629094,Indonesia,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",Dry: Hr 21
R1,L46,F25,2035,2231.5130741734406,Indonesia,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",Dry: Hr 22
R1,L47,F25,2035,2188.7740581854687,Indonesia,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",Dry: Hr 23
R1,L48,F25,2035,1891.2633650287107,Indonesia,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",Dry: Hr 24
R1,L5,F25,2035,1814.519686755469,Indonesia,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",Wet: Hr 5
R1,L6,F25,2035,1805.7700972037362,Indonesia,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",Wet: Hr 6
R1,L7,F25,2035,1743.6011404041326,Indonesia,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",Wet: Hr 7
R1,L8,F25,2035,2045.3027781544042,Indonesia,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",Wet: Hr 8
R1,L9,F25,2035,1935.8628030751586,Indonesia,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",Wet: Hr 9
R1,L1,F25,2040,2689.4658896616093,Indonesia,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",Wet: Hr 1
R1,L10,F25,2040,2803.2933062352436,Indonesia,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",Wet: Hr 10
R1,L11,F25,2040,2842.594288947694,Indonesia,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",Wet: Hr 11
R1,L12,F25,2040,2839.54401754594,Indonesia,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",Wet: Hr 12
R1,L13,F25,2040,2724.329205221625,Indonesia,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",Wet: Hr 13
R1,L14,F25,2040,2930.3866083944267,Indonesia,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",Wet: Hr 14
R1,L15,F25,2040,2778.762760257181,Indonesia,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",Wet: Hr 15
R1,L16,F25,2040,2779.887373045624,Indonesia,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",Wet: Hr 16
R1,L17,F25,2040,2860.6608015673232,Indonesia,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",Wet: Hr 17
R1,L18,F25,2040,3249.7780026551504,Indonesia,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",Wet: Hr 18
R1,L19,F25,2040,3337.7167157344547,Indonesia,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",Wet: Hr 19
R1,L2,F25,2040,2529.0132646637885,Indonesia,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",Wet: Hr 2
R1,L20,F25,2040,3272.2344749448084,Indonesia,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",Wet: Hr 20
R1,L21,F25,2040,3077.4411339569638,Indonesia,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",Wet: Hr 21
R1,L22,F25,2040,2926.8565606915245,Indonesia,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",Wet: Hr 22
R1,L23,F25,2040,2910.7850256225897,Indonesia,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",Wet: Hr 23
R1,L24,F25,2040,2581.4950700267304,Indonesia,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",Wet: Hr 24
R1,L25,F25,2040,2590.8341349740476,Indonesia,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",Dry: Hr 1
R1,L26,F25,2040,2625.068969391713,Indonesia,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",Dry: Hr 2
R1,L27,F25,2040,2481.5744175236405,Indonesia,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",Dry: Hr 3
R1,L28,F25,2040,2395.5086802271726,Indonesia,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",Dry: Hr 4
R1,L29,F25,2040,2712.1923193414927,Indonesia,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",Dry: Hr 5
R1,L3,F25,2040,2576.0482147814614,Indonesia,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",Wet: Hr 3
R1,L30,F25,2040,2520.6360091472557,Indonesia,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",Dry: Hr 6
R1,L31,F25,2040,2656.471870745078,Indonesia,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",Dry: Hr 7
R1,L32,F25,2040,2700.270043175232,Indonesia,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",Dry: Hr 8
R1,L33,F25,2040,2742.024347879631,Indonesia,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",Dry: Hr 9
R1,L34,F25,2040,2911.410551501078,Indonesia,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",Dry: Hr 10
R1,L35,F25,2040,2889.686341734586,Indonesia,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",Dry: Hr 11
R1,L36,F25,2040,2798.2138493970206,Indonesia,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",Dry: Hr 12
R1,L37,F25,2040,2910.336216595561,Indonesia,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",Dry: Hr 13
R1,L38,F25,2040,3070.77728476024,Indonesia,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",Dry: Hr 14
R1,L39,F25,2040,2843.783883171862,Indonesia,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",Dry: Hr 15
R1,L4,F25,2040,2397.4497223214044,Indonesia,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",Wet: Hr 4
R1,L40,F25,2040,3198.173717867182,Indonesia,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",Dry: Hr 16
R1,L41,F25,2040,2857.5892056523953,Indonesia,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",Dry: Hr 17
R1,L42,F25,2040,3278.5769823398414,Indonesia,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",Dry: Hr 18
R1,L43,F25,2040,3392.2881816350637,Indonesia,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",Dry: Hr 19
R1,L44,F25,2040,3318.5771643345333,Indonesia,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",Dry: Hr 20
R1,L45,F25,2040,3155.163570071657,Indonesia,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",Dry: Hr 21
R1,L46,F25,2040,2912.0156113028443,Indonesia,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",Dry: Hr 22
R1,L47,F25,2040,2906.1367408251904,Indonesia,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",Dry: Hr 23
R1,L48,F25,2040,2583.7801360658045,Indonesia,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",Dry: Hr 24
R1,L5,F25,2040,2640.622610196146,Indonesia,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",Wet: Hr 5
R1,L6,F25,2040,2566.4235413641613,Indonesia,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",Wet: Hr 6
R1,L7,F25,2040,2382.366820432436,Indonesia,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",Wet: Hr 7
R1,L8,F25,2040,2833.824363641395,Indonesia,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",Wet: Hr 8
R1,L9,F25,2040,2767.682104463836,Indonesia,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]",Wet: Hr 9
