r,e,y,val,solvedtm,region_name,emission_name
R11,E16,2025,50981.92831963054,2026-05-13 13:38:49.789,Thailand,Particulates PM2pt5
R12,E16,2025,49412.2254098839,2026-05-13 13:38:49.789,Myanmar,Particulates PM2pt5
R13,E16,2025,19086.653057980733,2026-05-13 13:38:49.789,Laos,Particulates PM2pt5
R14,E16,2025,11806.448784700464,2026-05-13 13:38:49.789,Vietnam,Particulates PM2pt5
R15,E16,2025,2406.358085634573,2026-05-13 13:38:49.789,Brunei,Particulates PM2pt5
R16,E16,2025,11560.454498691555,2026-05-13 13:38:49.789,Singapore,Particulates PM2pt5
R17,E16,2025,11388.201860657424,2026-05-13 13:38:49.789,Malaysia,Particulates PM2pt5
R19,E16,2025,94614.07293932693,2026-05-13 13:38:49.789,Philippines,Particulates PM2pt5
R20,E16,2025,3958.549949631529,2026-05-13 13:38:49.789,Timor Leste,Particulates PM2pt5
R6,E16,2025,8026.056745520037,2026-05-13 13:38:49.789,Cambodia,Particulates PM2pt5
R1,E18,2025,6940.615207303512,2026-05-13 13:38:49.789,Indonesia,Black Carbon
R11,E18,2025,6553.196772205733,2026-05-13 13:38:49.789,Thailand,Black Carbon
R12,E18,2025,8088.096369409901,2026-05-13 13:38:49.789,Myanmar,Black Carbon
R13,E18,2025,2723.5189140343277,2026-05-13 13:38:49.789,Laos,Black Carbon
R14,E18,2025,1353.115787795442,2026-05-13 13:38:49.789,Vietnam,Black Carbon
R15,E18,2025,132.25640999693144,2026-05-13 13:38:49.789,Brunei,Black Carbon
R16,E18,2025,1327.409859375414,2026-05-13 13:38:49.789,Singapore,Black Carbon
R17,E18,2025,829.5891274312378,2026-05-13 13:38:49.789,Malaysia,Black Carbon
R19,E18,2025,15459.23880716517,2026-05-13 13:38:49.789,Philippines,Black Carbon
R20,E18,2025,496.00228804123907,2026-05-13 13:38:49.789,Timor Leste,Black Carbon
R6,E18,2025,1103.4031380361282,2026-05-13 13:38:49.789,Cambodia,Black Carbon
R1,E19,2025,19488.20719661836,2026-05-13 13:38:49.789,Indonesia,Organic Carbon
R11,E19,2025,18457.763676901675,2026-05-13 13:38:49.789,Thailand,Organic Carbon
R12,E19,2025,21822.948424995928,2026-05-13 13:38:49.789,Myanmar,Organic Carbon
R13,E19,2025,8335.262424053759,2026-05-13 13:38:49.789,Laos,Organic Carbon
R14,E19,2025,1701.3595972148366,2026-05-13 13:38:49.789,Vietnam,Organic Carbon
R15,E19,2025,0.4865729191539479,2026-05-13 13:38:49.789,Brunei,Organic Carbon
R16,E19,2025,3895.1808578625682,2026-05-13 13:38:49.789,Singapore,Organic Carbon
R17,E19,2025,321.0633577392408,2026-05-13 13:38:49.789,Malaysia,Organic Carbon
R19,E19,2025,39787.5845760653,2026-05-13 13:38:49.789,Philippines,Organic Carbon
R20,E19,2025,1720.53524857328,2026-05-13 13:38:49.789,Timor Leste,Organic Carbon
R6,E19,2025,3391.967394137798,2026-05-13 13:38:49.789,Cambodia,Organic Carbon
R1,E2,2025,317890498.7255165,2026-05-13 13:38:49.789,Indonesia,Carbon Dioxide
R11,E2,2025,185015672.12135565,2026-05-13 13:38:49.789,Thailand,Carbon Dioxide
R12,E2,2025,36079895.78711872,2026-05-13 13:38:49.789,Myanmar,Carbon Dioxide
R13,E2,2025,11255662.680489082,2026-05-13 13:38:49.789,Laos,Carbon Dioxide
R14,E2,2025,166929650.47217396,2026-05-13 13:38:49.789,Vietnam,Carbon Dioxide
R15,E2,2025,32164553.88294471,2026-05-13 13:38:49.789,Brunei,Carbon Dioxide
R16,E2,2025,186894253.0709803,2026-05-13 13:38:49.789,Singapore,Carbon Dioxide
R17,E2,2025,243691206.1633409,2026-05-13 13:38:49.789,Malaysia,Carbon Dioxide
R19,E2,2025,96427261.78934103,2026-05-13 13:38:49.789,Philippines,Carbon Dioxide
R20,E2,2025,350921.9982003716,2026-05-13 13:38:49.789,Timor Leste,Carbon Dioxide
R6,E2,2025,9885964.670713864,2026-05-13 13:38:49.789,Cambodia,Carbon Dioxide
R1,E3,2025,579739.4901643684,2026-05-13 13:38:49.789,Indonesia,Carbon Monoxide
R11,E3,2025,619651.4110296795,2026-05-13 13:38:49.789,Thailand,Carbon Monoxide
R12,E3,2025,556353.5812766383,2026-05-13 13:38:49.789,Myanmar,Carbon Monoxide
R13,E3,2025,231002.03242393385,2026-05-13 13:38:49.789,Laos,Carbon Monoxide
R14,E3,2025,57498.18229069386,2026-05-13 13:38:49.789,Vietnam,Carbon Monoxide
R15,E3,2025,16031.134596386908,2026-05-13 13:38:49.789,Brunei,Carbon Monoxide
R16,E3,2025,23679.605072556733,2026-05-13 13:38:49.789,Singapore,Carbon Monoxide
R17,E3,2025,118057.11688293894,2026-05-13 13:38:49.789,Malaysia,Carbon Monoxide
R19,E3,2025,1393866.1573599738,2026-05-13 13:38:49.789,Philippines,Carbon Monoxide
R20,E3,2025,45916.825046992555,2026-05-13 13:38:49.789,Timor Leste,Carbon Monoxide
R6,E3,2025,110395.63234319448,2026-05-13 13:38:49.789,Cambodia,Carbon Monoxide
R1,E4,2025,314853.60920359544,2026-05-13 13:38:49.789,Indonesia,Methane (Combustion and Biogenic)
R11,E4,2025,132240.06412668893,2026-05-13 13:38:49.789,Thailand,Methane (Combustion and Biogenic)
R12,E4,2025,146287.73128605407,2026-05-13 13:38:49.789,Myanmar,Methane (Combustion and Biogenic)
R13,E4,2025,26461.12421940262,2026-05-13 13:38:49.789,Laos,Methane (Combustion and Biogenic)
R14,E4,2025,92222.09724107885,2026-05-13 13:38:49.789,Vietnam,Methane (Combustion and Biogenic)
R15,E4,2025,38129.635759975754,2026-05-13 13:38:49.789,Brunei,Methane (Combustion and Biogenic)
R16,E4,2025,129551.82786987616,2026-05-13 13:38:49.789,Singapore,Methane (Combustion and Biogenic)
R17,E4,2025,236401.9676766921,2026-05-13 13:38:49.789,Malaysia,Methane (Combustion and Biogenic)
R19,E4,2025,80546.14130240784,2026-05-13 13:38:49.789,Philippines,Methane (Combustion and Biogenic)
R20,E4,2025,2921.744518162043,2026-05-13 13:38:49.789,Timor Leste,Methane (Combustion and Biogenic)
R6,E4,2025,12118.617380924776,2026-05-13 13:38:49.789,Cambodia,Methane (Combustion and Biogenic)
R16,E407,2025,-347753.9756440317,2026-05-13 13:38:49.789,Singapore,Sequestered Carbon Dioxide
R1,E5,2025,540554.388338026,2026-05-13 13:38:49.789,Indonesia,Non Methane Volatile Organic Compounds
R11,E5,2025,233581.61749558448,2026-05-13 13:38:49.789,Thailand,Non Methane Volatile Organic Compounds
R12,E5,2025,205938.26221071262,2026-05-13 13:38:49.789,Myanmar,Non Methane Volatile Organic Compounds
R13,E5,2025,78671.69098356657,2026-05-13 13:38:49.789,Laos,Non Methane Volatile Organic Compounds
R14,E5,2025,127065.20108192628,2026-05-13 13:38:49.789,Vietnam,Non Methane Volatile Organic Compounds
R15,E5,2025,25900.085190509213,2026-05-13 13:38:49.789,Brunei,Non Methane Volatile Organic Compounds
R16,E5,2025,144490.8919868978,2026-05-13 13:38:49.789,Singapore,Non Methane Volatile Organic Compounds
R17,E5,2025,141838.46794627793,2026-05-13 13:38:49.789,Malaysia,Non Methane Volatile Organic Compounds
R19,E5,2025,390648.6803750909,2026-05-13 13:38:49.789,Philippines,Non Methane Volatile Organic Compounds
R20,E5,2025,17039.40624792334,2026-05-13 13:38:49.789,Timor Leste,Non Methane Volatile Organic Compounds
R6,E5,2025,41834.41969563226,2026-05-13 13:38:49.789,Cambodia,Non Methane Volatile Organic Compounds
R1,E7,2025,647016.8972971885,2026-05-13 13:38:49.789,Indonesia,Nitrogen Oxides
R11,E7,2025,435189.2056574944,2026-05-13 13:38:49.789,Thailand,Nitrogen Oxides
R12,E7,2025,62404.38633723289,2026-05-13 13:38:49.789,Myanmar,Nitrogen Oxides
R13,E7,2025,35214.1701931912,2026-05-13 13:38:49.789,Laos,Nitrogen Oxides
R14,E7,2025,497899.3408563094,2026-05-13 13:38:49.789,Vietnam,Nitrogen Oxides
R15,E7,2025,46885.543494014695,2026-05-13 13:38:49.789,Brunei,Nitrogen Oxides
R16,E7,2025,182783.4951270316,2026-05-13 13:38:49.789,Singapore,Nitrogen Oxides
R17,E7,2025,376909.67777118384,2026-05-13 13:38:49.789,Malaysia,Nitrogen Oxides
R19,E7,2025,358161.1466004976,2026-05-13 13:38:49.789,Philippines,Nitrogen Oxides
R20,E7,2025,1591.325077446669,2026-05-13 13:38:49.789,Timor Leste,Nitrogen Oxides
R6,E7,2025,31074.638059983987,2026-05-13 13:38:49.789,Cambodia,Nitrogen Oxides
R1,E8,2025,2892.806339284397,2026-05-13 13:38:49.789,Indonesia,Nitrous Oxide
R11,E8,2025,1059.9311784181527,2026-05-13 13:38:49.789,Thailand,Nitrous Oxide
R12,E8,2025,643.1779322820579,2026-05-13 13:38:49.789,Myanmar,Nitrous Oxide
R13,E8,2025,318.20572092598786,2026-05-13 13:38:49.789,Laos,Nitrous Oxide
R14,E8,2025,2043.6137557312722,2026-05-13 13:38:49.789,Vietnam,Nitrous Oxide
R15,E8,2025,25.91594679142083,2026-05-13 13:38:49.789,Brunei,Nitrous Oxide
R16,E8,2025,3937.678277657914,2026-05-13 13:38:49.789,Singapore,Nitrous Oxide
R17,E8,2025,984.1850653457982,2026-05-13 13:38:49.789,Malaysia,Nitrous Oxide
R19,E8,2025,1978.877142281026,2026-05-13 13:38:49.789,Philippines,Nitrous Oxide
R20,E8,2025,39.726762576842404,2026-05-13 13:38:49.789,Timor Leste,Nitrous Oxide
R6,E8,2025,181.60267652119052,2026-05-13 13:38:49.789,Cambodia,Nitrous Oxide
R1,E9,2025,57254.26312631895,2026-05-13 13:38:49.789,Indonesia,Particulates PM10
R11,E9,2025,61848.241747837164,2026-05-13 13:38:49.789,Thailand,Particulates PM10
R12,E9,2025,59635.58498169983,2026-05-13 13:38:49.789,Myanmar,Particulates PM10
R13,E9,2025,23519.068857276376,2026-05-13 13:38:49.789,Laos,Particulates PM10
R14,E9,2025,13689.996603835993,2026-05-13 13:38:49.789,Vietnam,Particulates PM10
R15,E9,2025,3127.022994900783,2026-05-13 13:38:49.789,Brunei,Particulates PM10
R16,E9,2025,12955.316339320212,2026-05-13 13:38:49.789,Singapore,Particulates PM10
R17,E9,2025,16131.597905988034,2026-05-13 13:38:49.789,Malaysia,Particulates PM10
R19,E9,2025,114928.25091157388,2026-05-13 13:38:49.789,Philippines,Particulates PM10
R20,E9,2025,4957.453770565664,2026-05-13 13:38:49.789,Timor Leste,Particulates PM10
R6,E9,2025,9922.986676730801,2026-05-13 13:38:49.789,Cambodia,Particulates PM10
R1,E1,2030,75304906.57640153,2026-05-13 13:38:49.789,Indonesia,Carbon Dioxide Biogenic
R11,E1,2030,19103.764779256362,2026-05-13 13:38:49.789,Thailand,Carbon Dioxide Biogenic
R12,E1,2030,28868603.49965167,2026-05-13 13:38:49.789,Myanmar,Carbon Dioxide Biogenic
R13,E1,2030,56732624.06279822,2026-05-13 13:38:49.789,Laos,Carbon Dioxide Biogenic
R14,E1,2030,10419721.836863717,2026-05-13 13:38:49.789,Vietnam,Carbon Dioxide Biogenic
R16,E1,2030,30950.07425828738,2026-05-13 13:38:49.789,Singapore,Carbon Dioxide Biogenic
R17,E1,2030,271585.5456501685,2026-05-13 13:38:49.789,Malaysia,Carbon Dioxide Biogenic
R19,E1,2030,299069111.9008472,2026-05-13 13:38:49.789,Philippines,Carbon Dioxide Biogenic
R20,E1,2030,14709560.868663833,2026-05-13 13:38:49.789,Timor Leste,Carbon Dioxide Biogenic
R6,E1,2030,290500.4847516417,2026-05-13 13:38:49.789,Cambodia,Carbon Dioxide Biogenic
R1,E13,2030,555564.1762363734,2026-05-13 13:38:49.789,Indonesia,Sulfur Dioxide
R11,E13,2030,275604.046889431,2026-05-13 13:38:49.789,Thailand,Sulfur Dioxide
R12,E13,2030,9372.965926793837,2026-05-13 13:38:49.789,Myanmar,Sulfur Dioxide
R13,E13,2030,102972.68137065585,2026-05-13 13:38:49.789,Laos,Sulfur Dioxide
R14,E13,2030,536270.1388652371,2026-05-13 13:38:49.789,Vietnam,Sulfur Dioxide
R15,E13,2030,34052.764377213076,2026-05-13 13:38:49.789,Brunei,Sulfur Dioxide
R16,E13,2030,26495.150685514585,2026-05-13 13:38:49.789,Singapore,Sulfur Dioxide
R17,E13,2030,432374.1414926966,2026-05-13 13:38:49.789,Malaysia,Sulfur Dioxide
R19,E13,2030,354270.55117538886,2026-05-13 13:38:49.789,Philippines,Sulfur Dioxide
R20,E13,2030,809.9889354631867,2026-05-13 13:38:49.789,Timor Leste,Sulfur Dioxide
R6,E13,2030,20526.185102712177,2026-05-13 13:38:49.789,Cambodia,Sulfur Dioxide
R1,E15,2030,13033.098327215223,2026-05-13 13:38:49.789,Indonesia,Ammonia
R11,E15,2030,5226.209297004905,2026-05-13 13:38:49.789,Thailand,Ammonia
R12,E15,2030,3555.5547165777552,2026-05-13 13:38:49.789,Myanmar,Ammonia
R13,E15,2030,2324.5152861725496,2026-05-13 13:38:49.789,Laos,Ammonia
R14,E15,2030,4457.792979395099,2026-05-13 13:38:49.789,Vietnam,Ammonia
R15,E15,2030,748.7285555480432,2026-05-13 13:38:49.789,Brunei,Ammonia
R16,E15,2030,762.2653810672872,2026-05-13 13:38:49.789,Singapore,Ammonia
R17,E15,2030,5250.202429702071,2026-05-13 13:38:49.789,Malaysia,Ammonia
R19,E15,2030,10708.032292847267,2026-05-13 13:38:49.789,Philippines,Ammonia
R20,E15,2030,543.6450495250198,2026-05-13 13:38:49.789,Timor Leste,Ammonia
R6,E15,2030,87.48103732992354,2026-05-13 13:38:49.789,Cambodia,Ammonia
R1,E16,2030,30383.505716864896,2026-05-13 13:38:49.789,Indonesia,Particulates PM2pt5
R11,E16,2030,18701.243059991866,2026-05-13 13:38:49.789,Thailand,Particulates PM2pt5
R12,E16,2030,12475.386996187079,2026-05-13 13:38:49.789,Myanmar,Particulates PM2pt5
R13,E16,2030,15166.415202672562,2026-05-13 13:38:49.789,Laos,Particulates PM2pt5
R14,E16,2030,20261.81830078587,2026-05-13 13:38:49.789,Vietnam,Particulates PM2pt5
R15,E16,2030,2388.3504509149816,2026-05-13 13:38:49.789,Brunei,Particulates PM2pt5
R16,E16,2030,11683.185131167911,2026-05-13 13:38:49.789,Singapore,Particulates PM2pt5
R17,E16,2030,10469.832429783623,2026-05-13 13:38:49.789,Malaysia,Particulates PM2pt5
R19,E16,2030,70853.39991605919,2026-05-13 13:38:49.789,Philippines,Particulates PM2pt5
R20,E16,2030,4076.121705462808,2026-05-13 13:38:49.789,Timor Leste,Particulates PM2pt5
R6,E16,2030,511.39208082288314,2026-05-13 13:38:49.789,Cambodia,Particulates PM2pt5
R1,E18,2030,4780.234443074908,2026-05-13 13:38:49.789,Indonesia,Black Carbon
R11,E18,2030,1889.3361437455212,2026-05-13 13:38:49.789,Thailand,Black Carbon
R12,E18,2030,2738.92976400094,2026-05-13 13:38:49.789,Myanmar,Black Carbon
R13,E18,2030,2230.9882138501857,2026-05-13 13:38:49.789,Laos,Black Carbon
R14,E18,2030,1734.9272410288272,2026-05-13 13:38:49.789,Vietnam,Black Carbon
R15,E18,2030,132.28776430137222,2026-05-13 13:38:49.789,Brunei,Black Carbon
R16,E18,2030,1334.9747439658202,2026-05-13 13:38:49.789,Singapore,Black Carbon
R17,E18,2030,789.881535877169,2026-05-13 13:38:49.789,Malaysia,Black Carbon
R19,E18,2030,11605.874739201425,2026-05-13 13:38:49.789,Philippines,Black Carbon
R20,E18,2030,510.7022653386862,2026-05-13 13:38:49.789,Timor Leste,Black Carbon
R6,E18,2030,51.14552975392746,2026-05-13 13:38:49.789,Cambodia,Black Carbon
R1,E19,2030,11547.384137406892,2026-05-13 13:38:49.789,Indonesia,Organic Carbon
R11,E19,2030,4106.797809567843,2026-05-13 13:38:49.789,Thailand,Organic Carbon
R12,E19,2030,5936.308961226459,2026-05-13 13:38:49.789,Myanmar,Organic Carbon
R13,E19,2030,6612.339594171958,2026-05-13 13:38:49.789,Laos,Organic Carbon
R14,E19,2030,2262.829481616554,2026-05-13 13:38:49.789,Vietnam,Organic Carbon
R15,E19,2030,0.4346935797181605,2026-05-13 13:38:49.789,Brunei,Organic Carbon
R16,E19,2030,3889.958607625566,2026-05-13 13:38:49.789,Singapore,Organic Carbon
R17,E19,2030,301.09952035458286,2026-05-13 13:38:49.789,Malaysia,Organic Carbon
R19,E19,2030,29739.751940627695,2026-05-13 13:38:49.789,Philippines,Organic Carbon
R20,E19,2030,1771.732219578748,2026-05-13 13:38:49.789,Timor Leste,Organic Carbon
R6,E19,2030,82.53281746684594,2026-05-13 13:38:49.789,Cambodia,Organic Carbon
R1,E2,2030,285461394.9257901,2026-05-13 13:38:49.789,Indonesia,Carbon Dioxide
R11,E2,2030,183500601.09023649,2026-05-13 13:38:49.789,Thailand,Carbon Dioxide
R12,E2,2030,35691849.439733885,2026-05-13 13:38:49.789,Myanmar,Carbon Dioxide
R13,E2,2030,15086356.907739138,2026-05-13 13:38:49.789,Laos,Carbon Dioxide
R14,E2,2030,183660792.27557012,2026-05-13 13:38:49.789,Vietnam,Carbon Dioxide
R15,E2,2030,30687780.40115888,2026-05-13 13:38:49.789,Brunei,Carbon Dioxide
R16,E2,2030,193371811.7799872,2026-05-13 13:38:49.789,Singapore,Carbon Dioxide
R17,E2,2030,227968614.75407347,2026-05-13 13:38:49.789,Malaysia,Carbon Dioxide
R19,E2,2030,89445051.13527456,2026-05-13 13:38:49.789,Philippines,Carbon Dioxide
R20,E2,2030,347683.92929232266,2026-05-13 13:38:49.789,Timor Leste,Carbon Dioxide
R6,E2,2030,8846434.31072349,2026-05-13 13:38:49.789,Cambodia,Carbon Dioxide
R1,E3,2030,374326.53143772454,2026-05-13 13:38:49.789,Indonesia,Carbon Monoxide
R11,E3,2030,108533.3071588741,2026-05-13 13:38:49.789,Thailand,Carbon Monoxide
R12,E3,2030,125339.15972924142,2026-05-13 13:38:49.789,Myanmar,Carbon Monoxide
R13,E3,2030,184166.50227972958,2026-05-13 13:38:49.789,Laos,Carbon Monoxide
R14,E3,2030,86488.97932672784,2026-05-13 13:38:49.789,Vietnam,Carbon Monoxide
R15,E3,2030,15318.51290986147,2026-05-13 13:38:49.789,Brunei,Carbon Monoxide
R16,E3,2030,26607.876204304084,2026-05-13 13:38:49.789,Singapore,Carbon Monoxide
R17,E3,2030,117181.33219520359,2026-05-13 13:38:49.789,Malaysia,Carbon Monoxide
R19,E3,2030,1076639.6222301077,2026-05-13 13:38:49.789,Philippines,Carbon Monoxide
R20,E3,2030,47280.52416052783,2026-05-13 13:38:49.789,Timor Leste,Carbon Monoxide
R6,E3,2030,3946.5739420814534,2026-05-13 13:38:49.789,Cambodia,Carbon Monoxide
R1,E4,2030,333958.2331877654,2026-05-13 13:38:49.789,Indonesia,Methane (Combustion and Biogenic)
R11,E4,2030,104258.07470103804,2026-05-13 13:38:49.789,Thailand,Methane (Combustion and Biogenic)
R12,E4,2030,119812.69531630437,2026-05-13 13:38:49.789,Myanmar,Methane (Combustion and Biogenic)
R13,E4,2030,23660.336115009555,2026-05-13 13:38:49.789,Laos,Methane (Combustion and Biogenic)
R14,E4,2030,129736.85621771669,2026-05-13 13:38:49.789,Vietnam,Methane (Combustion and Biogenic)
R15,E4,2030,38596.28090772701,2026-05-13 13:38:49.789,Brunei,Methane (Combustion and Biogenic)
R16,E4,2030,132858.05889580425,2026-05-13 13:38:49.789,Singapore,Methane (Combustion and Biogenic)
R17,E4,2030,257194.81747704512,2026-05-13 13:38:49.789,Malaysia,Methane (Combustion and Biogenic)
R19,E4,2030,61968.711869671686,2026-05-13 13:38:49.789,Philippines,Methane (Combustion and Biogenic)
R20,E4,2030,3011.290962652626,2026-05-13 13:38:49.789,Timor Leste,Methane (Combustion and Biogenic)
R6,E4,2030,8810.70135377127,2026-05-13 13:38:49.789,Cambodia,Methane (Combustion and Biogenic)
R16,E407,2030,-63434.62976101089,2026-05-13 13:38:49.789,Singapore,Sequestered Carbon Dioxide
R1,E5,2030,560535.5990335812,2026-05-13 13:38:49.789,Indonesia,Non Methane Volatile Organic Compounds
R11,E5,2030,105637.98207210704,2026-05-13 13:38:49.789,Thailand,Non Methane Volatile Organic Compounds
R12,E5,2030,63108.85532854944,2026-05-13 13:38:49.789,Myanmar,Non Methane Volatile Organic Compounds
R13,E5,2030,63013.87383207722,2026-05-13 13:38:49.789,Laos,Non Methane Volatile Organic Compounds
R14,E5,2030,146478.94489201446,2026-05-13 13:38:49.789,Vietnam,Non Methane Volatile Organic Compounds
R15,E5,2030,25966.000492642503,2026-05-13 13:38:49.789,Brunei,Non Methane Volatile Organic Compounds
R16,E5,2030,146923.05019576385,2026-05-13 13:38:49.789,Singapore,Non Methane Volatile Organic Compounds
R17,E5,2030,156608.0000443372,2026-05-13 13:38:49.789,Malaysia,Non Methane Volatile Organic Compounds
R19,E5,2030,309005.9552460281,2026-05-13 13:38:49.789,Philippines,Non Methane Volatile Organic Compounds
R20,E5,2030,17777.017874372912,2026-05-13 13:38:49.789,Timor Leste,Non Methane Volatile Organic Compounds
R6,E5,2030,14714.66019703382,2026-05-13 13:38:49.789,Cambodia,Non Methane Volatile Organic Compounds
R1,E7,2030,511503.95312487346,2026-05-13 13:38:49.789,Indonesia,Nitrogen Oxides
R11,E7,2030,437768.32599844295,2026-05-13 13:38:49.789,Thailand,Nitrogen Oxides
R12,E7,2030,49498.26576642555,2026-05-13 13:38:49.789,Myanmar,Nitrogen Oxides
R13,E7,2030,44400.90859423009,2026-05-13 13:38:49.789,Laos,Nitrogen Oxides
R14,E7,2030,523126.4643383752,2026-05-13 13:38:49.789,Vietnam,Nitrogen Oxides
R15,E7,2030,43597.871626679174,2026-05-13 13:38:49.789,Brunei,Nitrogen Oxides
R16,E7,2030,190392.10088335825,2026-05-13 13:38:49.789,Singapore,Nitrogen Oxides
R17,E7,2030,336536.71511102846,2026-05-13 13:38:49.789,Malaysia,Nitrogen Oxides
R19,E7,2030,331597.4157255492,2026-05-13 13:38:49.789,Philippines,Nitrogen Oxides
R20,E7,2030,1626.9913301254962,2026-05-13 13:38:49.789,Timor Leste,Nitrogen Oxides
R6,E7,2030,24008.98408189581,2026-05-13 13:38:49.789,Cambodia,Nitrogen Oxides
R1,E8,2030,2107.2815495936134,2026-05-13 13:38:49.789,Indonesia,Nitrous Oxide
R11,E8,2030,760.0772018865831,2026-05-13 13:38:49.789,Thailand,Nitrous Oxide
R12,E8,2030,282.6830571101602,2026-05-13 13:38:49.789,Myanmar,Nitrous Oxide
R13,E8,2030,330.3753955071477,2026-05-13 13:38:49.789,Laos,Nitrous Oxide
R14,E8,2030,2045.1081909538548,2026-05-13 13:38:49.789,Vietnam,Nitrous Oxide
R15,E8,2030,18.244590085947575,2026-05-13 13:38:49.789,Brunei,Nitrous Oxide
R16,E8,2030,3964.5893652814534,2026-05-13 13:38:49.789,Singapore,Nitrous Oxide
R17,E8,2030,719.9844149723621,2026-05-13 13:38:49.789,Malaysia,Nitrous Oxide
R19,E8,2030,1696.7314375882672,2026-05-13 13:38:49.789,Philippines,Nitrous Oxide
R20,E8,2030,40.788745203423126,2026-05-13 13:38:49.789,Timor Leste,Nitrous Oxide
R6,E8,2030,84.3555290419837,2026-05-13 13:38:49.789,Cambodia,Nitrous Oxide
R1,E9,2030,36394.63551411585,2026-05-13 13:38:49.789,Indonesia,Particulates PM10
R11,E9,2030,21735.159247411626,2026-05-13 13:38:49.789,Thailand,Particulates PM10
R12,E9,2030,13900.898587641854,2026-05-13 13:38:49.789,Myanmar,Particulates PM10
R13,E9,2030,18624.41557788468,2026-05-13 13:38:49.789,Laos,Particulates PM10
R14,E9,2030,23384.019787545898,2026-05-13 13:38:49.789,Vietnam,Particulates PM10
R15,E9,2030,3109.0141287089627,2026-05-13 13:38:49.789,Brunei,Particulates PM10
R16,E9,2030,13080.50484067928,2026-05-13 13:38:49.789,Singapore,Particulates PM10
R17,E9,2030,14385.348358116218,2026-05-13 13:38:49.789,Malaysia,Particulates PM10
R19,E9,2030,85459.6992941665,2026-05-13 13:38:49.789,Philippines,Particulates PM10
R20,E9,2030,5104.266264107149,2026-05-13 13:38:49.789,Timor Leste,Particulates PM10
R6,E9,2030,577.4727890248317,2026-05-13 13:38:49.789,Cambodia,Particulates PM10
R1,E1,2035,6192061.135833273,2026-05-13 13:38:49.789,Indonesia,Carbon Dioxide Biogenic
R11,E1,2035,4958038.720608243,2026-05-13 13:38:49.789,Thailand,Carbon Dioxide Biogenic
R12,E1,2035,5078028.176642511,2026-05-13 13:38:49.789,Myanmar,Carbon Dioxide Biogenic
