ams,fuel,process,unit,team_max_capacity_2025,canon_share_2023,canon_implied_installed_2023,conflict
Laos,Bioethanol,Sugarcane,Million Tonne Coal Equiv/Year,0,0,0,
Malaysia,Bioethanol,Cassava,Million Tonne Coal Equiv/Year,0,0,0,
Malaysia,Bioethanol,Corn Ethanol,Million Tonne Coal Equiv/Year,0,0,0,
Malaysia,Bioethanol,Molasses,Million Tonne Coal Equiv/Year,0.1095,0,0,
Malaysia,Bioethanol,Sugarcane,Million Tonne Coal Equiv/Year,0,0,0,
Myanmar,Bioethanol,Cassava,Million Tonne Coal Equiv/Year,0.0913,0,0,
Myanmar,Bioethanol,Corn Ethanol,Million Tonne Coal Equiv/Year,0,0,0,
Myanmar,Bioethanol,Molasses,Million Tonne Coal Equiv/Year,0,0,0,
Myanmar,Bioethanol,Sugarcane,Million Tonne Coal Equiv/Year,0.0913,0,0,
Philippines,Bioethanol,Cassava,Million Tonne Coal Equiv/Year,0,0,0,
Philippines,Bioethanol,Corn Ethanol,Million Tonne Coal Equiv/Year,0,0,0,
Philippines,Bioethanol,Molasses,Million Tonne Coal Equiv/Year,0.365,0.85736,0.46942,CAP BELOW EXISTING FLEET
Philippines,Bioethanol,Sugarcane,Million Tonne Coal Equiv/Year,0.365,0.14264,0.0781,
Singapore,Bioethanol,Cassava,Million Tonne Coal Equiv/Year,0,0,0,
Singapore,Bioethanol,Corn Ethanol,Million Tonne Coal Equiv/Year,0,0,0,
Singapore,Bioethanol,Molasses,Million Tonne Coal Equiv/Year,0,0,0,
Singapore,Bioethanol,Sugarcane,Million Tonne Coal Equiv/Year,0,0,0,
Thailand,Bioethanol,Cassava,Million Tonne Coal Equiv/Year,1.095,0.15804,0.21632,
Thailand,Bioethanol,Corn Ethanol,Million Tonne Coal Equiv/Year,0,0,0,
Thailand,Bioethanol,Molasses,Million Tonne Coal Equiv/Year,0,0.78511,1.07465,CAP BELOW EXISTING FLEET
Thailand,Bioethanol,Sugarcane,Million Tonne Coal Equiv/Year,0.5475,0.05685,0.07782,
Vietnam,Bioethanol,Cassava,Million Tonne Coal Equiv/Year,0.5475,0,0,
Vietnam,Bioethanol,Corn Ethanol,Million Tonne Coal Equiv/Year,0,0,0,
Vietnam,Bioethanol,Molasses,Million Tonne Coal Equiv/Year,0,0,0,
Vietnam,Bioethanol,Sugarcane,Million Tonne Coal Equiv/Year,0,0,0,
