branch,variable,unit,scenario,region,bound_direction,disposition
Resources\Primary\\Corn,Maximum Production,Metric Tonne,Regional Aspiration Scenario,"Base Template, Timor Leste",UPPER,"OUT OF SCOPE - only Base Template (not a real region, S11.1) and Timor Leste (disabled in calc, --exclude-timor-leste). NOT authored."
Resources\Primary\\Molasses,Maximum Imports,Gigajoule,Regional Aspiration Scenario,ALL (12 regions),UPPER,-> 10^10 GJ (10 AMS)
Resources\Primary\\Molasses,Maximum Production,Metric Tonne,AMS Target Scenario,"Base Template, Timor Leste",UPPER,-> copy the region's own RAS expression (canon-sourced)
Resources\Primary\\Molasses,Maximum Production,Metric Tonne,Baseline Simulation,"Base Template, Timor Leste",UPPER,-> copy the region's own RAS expression (canon-sourced)
Resources\Primary\\Molasses,Maximum Production,Metric Tonne,Current Accounts,"Base Template, Timor Leste",UPPER,-> copy the region's own RAS expression (canon-sourced)
Resources\Primary\\Molasses,Maximum Production,Metric Tonne,Regional Aspiration Scenario,"Base Template, Timor Leste",UPPER,"OUT OF SCOPE - only Base Template (not a real region, S11.1) and Timor Leste (disabled in calc, --exclude-timor-leste). NOT authored."
Resources\Primary\\Palm Oil Mill Effluent,Maximum Imports,Gigajoule,Regional Aspiration Scenario,ALL (12 regions),UPPER,-> 10^10 GJ (10 AMS)
Resources\Primary\\Palm Oil Mill Effluent,Maximum Production,Metric Tonne,AMS Target Scenario,"Base Template, Timor Leste",UPPER,-> copy the region's own RAS expression (canon-sourced)
Resources\Primary\\Palm Oil Mill Effluent,Maximum Production,Metric Tonne,Baseline Simulation,"Base Template, Timor Leste",UPPER,-> copy the region's own RAS expression (canon-sourced)
Resources\Primary\\Palm Oil Mill Effluent,Maximum Production,Metric Tonne,Current Accounts,"Base Template, Timor Leste",UPPER,-> copy the region's own RAS expression (canon-sourced)
Resources\Primary\\Palm Oil Mill Effluent,Maximum Production,Metric Tonne,Regional Aspiration Scenario,"Base Template, Timor Leste",UPPER,"OUT OF SCOPE - only Base Template (not a real region, S11.1) and Timor Leste (disabled in calc, --exclude-timor-leste). NOT authored."
