ams,branch,variable,expression,unit,fuel,source,note,src_csv,domain,data_confidence,scenario
Brunei,Transformation\Gasoline Blending\Processes\Ethanol,Maximum_Share_of_Production,"Max(Minimum Share of Production, Interp(2025, 0, 2026, 1.8128, 2027, 3.6705, 2030, 9.5306, 2035, 12.9861, 2040, 12.9861, 2045, 12.9861, 2050, 12.9861, 2055, 12.9861, 2060, 12.9861))",%,Bioethanol,"blend_ceiling_ramp.csv (bioenergy team 20260722); vol%->energy% via canon Moebius transform (E_bio/E_fossil from canon Minimum Share of Production, v0.67 slice lines 624/1980 - canon VALUE may be stale)","R6/R7 wrapper: reference FIRST, numeric LAST (S11.2e). Max() guarantees ceiling >= canon floor at every year. RAS only: ATS/BAS carry Optimize=No so the bound is inert; canon has NO Current Accounts row for this variable.",blend_ceiling_ramp.csv,blend_ceiling,Low,Regional Aspiration Scenario
Cambodia,Transformation\Gasoline Blending\Processes\Ethanol,Maximum_Share_of_Production,"Max(Minimum Share of Production, Interp(2025, 0, 2026, 1.8128, 2027, 3.6705, 2030, 9.5306, 2035, 12.9861, 2040, 12.9861, 2045, 12.9861, 2050, 12.9861, 2055, 12.9861, 2060, 12.9861))",%,Bioethanol,"blend_ceiling_ramp.csv (bioenergy team 20260722); vol%->energy% via canon Moebius transform (E_bio/E_fossil from canon Minimum Share of Production, v0.67 slice lines 624/1980 - canon VALUE may be stale)","R6/R7 wrapper: reference FIRST, numeric LAST (S11.2e). Max() guarantees ceiling >= canon floor at every year. RAS only: ATS/BAS carry Optimize=No so the bound is inert; canon has NO Current Accounts row for this variable.",blend_ceiling_ramp.csv,blend_ceiling,Low,Regional Aspiration Scenario
Indonesia,Transformation\Gasoline Blending\Processes\Ethanol,Maximum_Share_of_Production,"Max(Minimum Share of Production, Interp(2025, 0, 2026, 1.8128, 2027, 3.6705, 2030, 9.5306, 2035, 12.9861, 2040, 12.9861, 2045, 12.9861, 2050, 12.9861, 2055, 12.9861, 2060, 12.9861))",%,Bioethanol,"blend_ceiling_ramp.csv (bioenergy team 20260722); vol%->energy% via canon Moebius transform (E_bio/E_fossil from canon Minimum Share of Production, v0.67 slice lines 624/1980 - canon VALUE may be stale)","R6/R7 wrapper: reference FIRST, numeric LAST (S11.2e). Max() guarantees ceiling >= canon floor at every year. RAS only: ATS/BAS carry Optimize=No so the bound is inert; canon has NO Current Accounts row for this variable.",blend_ceiling_ramp.csv,blend_ceiling,Low,Regional Aspiration Scenario
Laos,Transformation\Gasoline Blending\Processes\Ethanol,Maximum_Share_of_Production,"Max(Minimum Share of Production, Interp(2025, 0, 2026, 1.8128, 2027, 3.6705, 2030, 9.5306, 2035, 12.9861, 2040, 12.9861, 2045, 12.9861, 2050, 12.9861, 2055, 12.9861, 2060, 12.9861))",%,Bioethanol,"blend_ceiling_ramp.csv (bioenergy team 20260722); vol%->energy% via canon Moebius transform (E_bio/E_fossil from canon Minimum Share of Production, v0.67 slice lines 624/1980 - canon VALUE may be stale)","R6/R7 wrapper: reference FIRST, numeric LAST (S11.2e). Max() guarantees ceiling >= canon floor at every year. RAS only: ATS/BAS carry Optimize=No so the bound is inert; canon has NO Current Accounts row for this variable.",blend_ceiling_ramp.csv,blend_ceiling,Low,Regional Aspiration Scenario
Malaysia,Transformation\Gasoline Blending\Processes\Ethanol,Maximum_Share_of_Production,"Max(Minimum Share of Production, Interp(2025, 0, 2026, 1.8128, 2027, 3.6705, 2030, 9.5306, 2035, 12.9861, 2040, 12.9861, 2045, 12.9861, 2050, 12.9861, 2055, 12.9861, 2060, 12.9861))",%,Bioethanol,"blend_ceiling_ramp.csv (bioenergy team 20260722); vol%->energy% via canon Moebius transform (E_bio/E_fossil from canon Minimum Share of Production, v0.67 slice lines 624/1980 - canon VALUE may be stale)","R6/R7 wrapper: reference FIRST, numeric LAST (S11.2e). Max() guarantees ceiling >= canon floor at every year. RAS only: ATS/BAS carry Optimize=No so the bound is inert; canon has NO Current Accounts row for this variable.",blend_ceiling_ramp.csv,blend_ceiling,Low,Regional Aspiration Scenario
Myanmar,Transformation\Gasoline Blending\Processes\Ethanol,Maximum_Share_of_Production,"Max(Minimum Share of Production, Interp(2025, 0, 2026, 1.8128, 2027, 3.6705, 2030, 9.5306, 2035, 12.9861, 2040, 12.9861, 2045, 12.9861, 2050, 12.9861, 2055, 12.9861, 2060, 12.9861))",%,Bioethanol,"blend_ceiling_ramp.csv (bioenergy team 20260722); vol%->energy% via canon Moebius transform (E_bio/E_fossil from canon Minimum Share of Production, v0.67 slice lines 624/1980 - canon VALUE may be stale)","R6/R7 wrapper: reference FIRST, numeric LAST (S11.2e). Max() guarantees ceiling >= canon floor at every year. RAS only: ATS/BAS carry Optimize=No so the bound is inert; canon has NO Current Accounts row for this variable.",blend_ceiling_ramp.csv,blend_ceiling,Low,Regional Aspiration Scenario
Philippines,Transformation\Gasoline Blending\Processes\Ethanol,Maximum_Share_of_Production,"Max(Minimum Share of Production, Interp(2025, 6.2852, 2026, 6.8712, 2027, 7.5276, 2030, 9.5306, 2035, 12.9861, 2040, 12.9861, 2045, 12.9861, 2050, 12.9861, 2055, 12.9861, 2060, 12.9861))",%,Bioethanol,"blend_ceiling_ramp.csv (bioenergy team 20260722); vol%->energy% via canon Moebius transform (E_bio/E_fossil from canon Minimum Share of Production, v0.67 slice lines 624/1980 - canon VALUE may be stale)","R6/R7 wrapper: reference FIRST, numeric LAST (S11.2e). Max() guarantees ceiling >= canon floor at every year. RAS only: ATS/BAS carry Optimize=No so the bound is inert; canon has NO Current Accounts row for this variable.",blend_ceiling_ramp.csv,blend_ceiling,Low,Regional Aspiration Scenario
Singapore,Transformation\Gasoline Blending\Processes\Ethanol,Maximum_Share_of_Production,"Max(Minimum Share of Production, Interp(2025, 0, 2026, 1.8128, 2027, 3.6705, 2030, 9.5306, 2035, 12.9861, 2040, 12.9861, 2045, 12.9861, 2050, 12.9861, 2055, 12.9861, 2060, 12.9861))",%,Bioethanol,"blend_ceiling_ramp.csv (bioenergy team 20260722); vol%->energy% via canon Moebius transform (E_bio/E_fossil from canon Minimum Share of Production, v0.67 slice lines 624/1980 - canon VALUE may be stale)","R6/R7 wrapper: reference FIRST, numeric LAST (S11.2e). Max() guarantees ceiling >= canon floor at every year. RAS only: ATS/BAS carry Optimize=No so the bound is inert; canon has NO Current Accounts row for this variable.",blend_ceiling_ramp.csv,blend_ceiling,Low,Regional Aspiration Scenario
Thailand,Transformation\Gasoline Blending\Processes\Ethanol,Maximum_Share_of_Production,"Max(Minimum Share of Production, Interp(2025, 8.6564, 2026, 8.6564, 2027, 12.9861, 2030, 12.9861, 2035, 12.9861, 2040, 12.9861, 2045, 12.9861, 2050, 12.9861, 2055, 12.9861, 2060, 12.9861))",%,Bioethanol,"blend_ceiling_ramp.csv (bioenergy team 20260722); vol%->energy% via canon Moebius transform (E_bio/E_fossil from canon Minimum Share of Production, v0.67 slice lines 624/1980 - canon VALUE may be stale)","R6/R7 wrapper: reference FIRST, numeric LAST (S11.2e). Max() guarantees ceiling >= canon floor at every year. RAS only: ATS/BAS carry Optimize=No so the bound is inert; canon has NO Current Accounts row for this variable.",blend_ceiling_ramp.csv,blend_ceiling,Low,Regional Aspiration Scenario
Vietnam,Transformation\Gasoline Blending\Processes\Ethanol,Maximum_Share_of_Production,"Max(Minimum Share of Production, Interp(2025, 0.9009, 2026, 6.2203, 2027, 7.5276, 2030, 9.5306, 2035, 12.9861, 2040, 12.9861, 2045, 12.9861, 2050, 12.9861, 2055, 12.9861, 2060, 12.9861))",%,Bioethanol,"blend_ceiling_ramp.csv (bioenergy team 20260722); vol%->energy% via canon Moebius transform (E_bio/E_fossil from canon Minimum Share of Production, v0.67 slice lines 624/1980 - canon VALUE may be stale)","R6/R7 wrapper: reference FIRST, numeric LAST (S11.2e). Max() guarantees ceiling >= canon floor at every year. RAS only: ATS/BAS carry Optimize=No so the bound is inert; canon has NO Current Accounts row for this variable.",blend_ceiling_ramp.csv,blend_ceiling,Low,Regional Aspiration Scenario
Indonesia,Key\Biofuel Blending Targets\Bioethanol,Activity Level,"InterpFSY(2025, 0, 2050, 20)",Volume %,Bioethanol,"USER RULING R4 (2026-07-22) accepting the bioenergy team's E20 physical wall; 2025 anchor = observed achieved 0.0% (blend_observed_panel.csv, USDA GAIN ID2025-0029 T7, 2015-2025)","SCENARIO-NARRATIVE CHANGE. Was: InterpFSY(2025, 20, 2050, 50) (E50 by 2050). Volume % pass-through - NO energy conversion on this variable. ONE reversible row per scenario; revert by restoring the old expression. Endpoint 20 EQUALS the wall from 2050 on, so the Max() ceiling wrapper pins lb=ub in 2050/2055/2060.",USER_RULING_R4,blend_mandate,High,AMS Target Scenario
Indonesia,Key\Biofuel Blending Targets\Bioethanol,Activity Level,"InterpFSY(2025, 0, 2050, 20)",Volume %,Bioethanol,"USER RULING R4 (2026-07-22) accepting the bioenergy team's E20 physical wall; 2025 anchor = observed achieved 0.0% (blend_observed_panel.csv, USDA GAIN ID2025-0029 T7, 2015-2025)","SCENARIO-NARRATIVE CHANGE. Was: InterpFSY(2025, 20, 2050, 50) (E50 by 2050). Volume % pass-through - NO energy conversion on this variable. ONE reversible row per scenario; revert by restoring the old expression. Endpoint 20 EQUALS the wall from 2050 on, so the Max() ceiling wrapper pins lb=ub in 2050/2055/2060.",USER_RULING_R4,blend_mandate,High,Regional Aspiration Scenario
Indonesia,Key\Biofuel Blending Targets\Biodiesel,Activity Level,"InterpFSY(2025, 34.1)",Volume %,Biodiesel,USER RULING R5 (2026-07-22) uniform 2025 start; anchor from blend_ceiling_ramp.csv 2025 row (binding_reason=observed_achieved_floor) == blend_observed_panel.csv,"2025 anchor := 34.1 vol% (observed achieved 34.1% (2025, High confidence)). Post-2025 trajectory PRESERVED verbatim. Was: 0",blend_observed_panel.csv,blend_mandate,Medium,Baseline Simulation
Indonesia,Key\Biofuel Blending Targets\Biodiesel,Activity Level,"InterpFSY(2023, 35, 2025, 34.1, 2050, 50)",Volume %,Biodiesel,USER RULING R5 (2026-07-22) uniform 2025 start; anchor from blend_ceiling_ramp.csv 2025 row (binding_reason=observed_achieved_floor) == blend_observed_panel.csv,"2025 anchor := 34.1 vol% (observed achieved 34.1% (2025, High confidence)). Post-2025 trajectory PRESERVED verbatim. Was: InterpFSY(2023, 35, 2025, 40, 2050, 50)",blend_observed_panel.csv,blend_mandate,Medium,AMS Target Scenario
Indonesia,Key\Biofuel Blending Targets\Biodiesel,Activity Level,"InterpFSY(2023, 35, 2025, 34.1, 2050, 50)",Volume %,Biodiesel,USER RULING R5 (2026-07-22) uniform 2025 start; anchor from blend_ceiling_ramp.csv 2025 row (binding_reason=observed_achieved_floor) == blend_observed_panel.csv,"2025 anchor := 34.1 vol% (observed achieved 34.1% (2025, High confidence)). Post-2025 trajectory PRESERVED verbatim. Was: InterpFSY(2023, 35, 2025, 40, 2050, 50)",blend_observed_panel.csv,blend_mandate,Medium,Regional Aspiration Scenario
Laos,Key\Biofuel Blending Targets\Biodiesel,Activity Level,"InterpFSY(2025, 0, 2030, 10)",Volume %,Biodiesel,USER RULING R5 (2026-07-22) uniform 2025 start; anchor from blend_ceiling_ramp.csv 2025 row (binding_reason=observed_achieved_floor) == blend_observed_panel.csv,"2025 anchor := 0 vol% (NO observation in blend_observed_panel.csv -> 0.0). Post-2025 trajectory PRESERVED verbatim. Was: InterpFSY(2030, 10)",blend_observed_panel.csv,blend_mandate,Medium,AMS Target Scenario
Laos,Key\Biofuel Blending Targets\Biodiesel,Activity Level,"InterpFSY(2025, 0, 2030, 10)",Volume %,Biodiesel,USER RULING R5 (2026-07-22) uniform 2025 start; anchor from blend_ceiling_ramp.csv 2025 row (binding_reason=observed_achieved_floor) == blend_observed_panel.csv,"2025 anchor := 0 vol% (NO observation in blend_observed_panel.csv -> 0.0). Post-2025 trajectory PRESERVED verbatim. Was: InterpFSY(2030, 10)",blend_observed_panel.csv,blend_mandate,Medium,Regional Aspiration Scenario
Malaysia,Key\Biofuel Blending Targets\Biodiesel,Activity Level,"InterpFSY(2025, 12)",Volume %,Biodiesel,USER RULING R5 (2026-07-22) uniform 2025 start; anchor from blend_ceiling_ramp.csv 2025 row (binding_reason=observed_achieved_floor) == blend_observed_panel.csv,"2025 anchor := 12 vol% (observed achieved 12.0% (2026, Low confidence)). Post-2025 trajectory PRESERVED verbatim. Was: 0",blend_observed_panel.csv,blend_mandate,Medium,Baseline Simulation
Malaysia,Key\Biofuel Blending Targets\Biodiesel,Activity Level,"InterpFSY(2025, 12, 2030, 30)",Volume %,Biodiesel,USER RULING R5 (2026-07-22) uniform 2025 start; anchor from blend_ceiling_ramp.csv 2025 row (binding_reason=observed_achieved_floor) == blend_observed_panel.csv,"2025 anchor := 12 vol% (observed achieved 12.0% (2026, Low confidence)). Post-2025 trajectory PRESERVED verbatim. Was: InterpFSY(2030, 30)",blend_observed_panel.csv,blend_mandate,Medium,AMS Target Scenario
Malaysia,Key\Biofuel Blending Targets\Biodiesel,Activity Level,"InterpFSY(2025, 12, 2030, 30)",Volume %,Biodiesel,USER RULING R5 (2026-07-22) uniform 2025 start; anchor from blend_ceiling_ramp.csv 2025 row (binding_reason=observed_achieved_floor) == blend_observed_panel.csv,"2025 anchor := 12 vol% (observed achieved 12.0% (2026, Low confidence)). Post-2025 trajectory PRESERVED verbatim. Was: InterpFSY(2030, 30)",blend_observed_panel.csv,blend_mandate,Medium,Regional Aspiration Scenario
Philippines,Key\Biofuel Blending Targets\Biodiesel,Activity Level,"InterpFSY(2025, 3.3)",Volume %,Biodiesel,USER RULING R5 (2026-07-22) uniform 2025 start; anchor from blend_ceiling_ramp.csv 2025 row (binding_reason=observed_achieved_floor) == blend_observed_panel.csv,"2025 anchor := 3.3 vol% (observed achieved 3.3% (2025, High confidence)). Post-2025 trajectory PRESERVED verbatim. Was: InterpFSY(2025, 2.5%)",blend_observed_panel.csv,blend_mandate,Medium,Baseline Simulation
Philippines,Key\Biofuel Blending Targets\Biodiesel,Activity Level,"InterpFSY(2024, 3, 2025, 3.3, 2026, 5)",Volume %,Biodiesel,USER RULING R5 (2026-07-22) uniform 2025 start; anchor from blend_ceiling_ramp.csv 2025 row (binding_reason=observed_achieved_floor) == blend_observed_panel.csv,"2025 anchor := 3.3 vol% (observed achieved 3.3% (2025, High confidence)). Post-2025 trajectory PRESERVED verbatim. Was: InterpFSY(2024, 3, 2025, 4, 2026, 5)",blend_observed_panel.csv,blend_mandate,Medium,AMS Target Scenario
Philippines,Key\Biofuel Blending Targets\Biodiesel,Activity Level,"InterpFSY(2024, 3, 2025, 3.3, 2026, 5)",Volume %,Biodiesel,USER RULING R5 (2026-07-22) uniform 2025 start; anchor from blend_ceiling_ramp.csv 2025 row (binding_reason=observed_achieved_floor) == blend_observed_panel.csv,"2025 anchor := 3.3 vol% (observed achieved 3.3% (2025, High confidence)). Post-2025 trajectory PRESERVED verbatim. Was: InterpFSY(2024, 3, 2025, 4, 2026, 5)",blend_observed_panel.csv,blend_mandate,Medium,Regional Aspiration Scenario
Thailand,Key\Biofuel Blending Targets\Biodiesel,Activity Level,"InterpFSY(2025, 8.2)",Volume %,Biodiesel,USER RULING R5 (2026-07-22) uniform 2025 start; anchor from blend_ceiling_ramp.csv 2025 row (binding_reason=observed_achieved_floor) == blend_observed_panel.csv,"2025 anchor := 8.2 vol% (observed achieved 6.8% (2024, Medium-High confidence)). Post-2025 trajectory PRESERVED verbatim. Was: 0",blend_observed_panel.csv,blend_mandate,Medium,Baseline Simulation
Thailand,Key\Biofuel Blending Targets\Biodiesel,Activity Level,"InterpFSY(2025, 8.2, 2037, 25)",Volume %,Biodiesel,USER RULING R5 (2026-07-22) uniform 2025 start; anchor from blend_ceiling_ramp.csv 2025 row (binding_reason=observed_achieved_floor) == blend_observed_panel.csv,"2025 anchor := 8.2 vol% (observed achieved 6.8% (2024, Medium-High confidence)). Post-2025 trajectory PRESERVED verbatim. Was: InterpFSY(2037, 25)",blend_observed_panel.csv,blend_mandate,Medium,AMS Target Scenario
Thailand,Key\Biofuel Blending Targets\Biodiesel,Activity Level,"InterpFSY(2025, 8.2, 2037, 25)",Volume %,Biodiesel,USER RULING R5 (2026-07-22) uniform 2025 start; anchor from blend_ceiling_ramp.csv 2025 row (binding_reason=observed_achieved_floor) == blend_observed_panel.csv,"2025 anchor := 8.2 vol% (observed achieved 6.8% (2024, Medium-High confidence)). Post-2025 trajectory PRESERVED verbatim. Was: InterpFSY(2037, 25)",blend_observed_panel.csv,blend_mandate,Medium,Regional Aspiration Scenario
Vietnam,Key\Biofuel Blending Targets\Biodiesel,Activity Level,"Interp(2023, 0, 2025, 0, 2050, 20)",Volume %,Biodiesel,USER RULING R5 (2026-07-22) uniform 2025 start; anchor from blend_ceiling_ramp.csv 2025 row (binding_reason=observed_achieved_floor) == blend_observed_panel.csv,"2025 anchor := 0 vol% (observed achieved 0.0% (2024, High confidence)). Post-2025 trajectory PRESERVED verbatim. Was: Interp(2023,0, 2050, 20)",blend_observed_panel.csv,blend_mandate,Medium,AMS Target Scenario
Vietnam,Key\Biofuel Blending Targets\Biodiesel,Activity Level,"Interp(2023, 0, 2025, 0, 2050, 20)",Volume %,Biodiesel,USER RULING R5 (2026-07-22) uniform 2025 start; anchor from blend_ceiling_ramp.csv 2025 row (binding_reason=observed_achieved_floor) == blend_observed_panel.csv,"2025 anchor := 0 vol% (observed achieved 0.0% (2024, High confidence)). Post-2025 trajectory PRESERVED verbatim. Was: Interp(2023,0, 2050, 20)",blend_observed_panel.csv,blend_mandate,Medium,Regional Aspiration Scenario
Laos,Key\Biofuel Blending Targets\Bioethanol,Activity Level,"InterpFSY(2025, 0, 2030, 10)",Volume %,Bioethanol,USER RULING R5 (2026-07-22) uniform 2025 start; anchor from blend_ceiling_ramp.csv 2025 row (binding_reason=observed_achieved_floor) == blend_observed_panel.csv,"2025 anchor := 0 vol% (NO observation in blend_observed_panel.csv -> 0.0). Post-2025 trajectory PRESERVED verbatim. Was: InterpFSY(2030, 10)",blend_observed_panel.csv,blend_mandate,Medium,AMS Target Scenario
Laos,Key\Biofuel Blending Targets\Bioethanol,Activity Level,"InterpFSY(2025, 0, 2030, 10)",Volume %,Bioethanol,USER RULING R5 (2026-07-22) uniform 2025 start; anchor from blend_ceiling_ramp.csv 2025 row (binding_reason=observed_achieved_floor) == blend_observed_panel.csv,"2025 anchor := 0 vol% (NO observation in blend_observed_panel.csv -> 0.0). Post-2025 trajectory PRESERVED verbatim. Was: InterpFSY(2030, 10)",blend_observed_panel.csv,blend_mandate,Medium,Regional Aspiration Scenario
Philippines,Key\Biofuel Blending Targets\Bioethanol,Activity Level,"InterpFSY(2025, 10.1)",Volume %,Bioethanol,USER RULING R5 (2026-07-22) uniform 2025 start; anchor from blend_ceiling_ramp.csv 2025 row (binding_reason=observed_achieved_floor) == blend_observed_panel.csv,"2025 anchor := 10.1 vol% (observed achieved 10.1% (2025, Medium-High confidence)). Post-2025 trajectory PRESERVED verbatim. Was: 0",blend_observed_panel.csv,blend_mandate,Medium,Baseline Simulation
Philippines,Key\Biofuel Blending Targets\Bioethanol,Activity Level,"InterpFSY(2025, 10.1, 2026, 10)",Volume %,Bioethanol,USER RULING R5 (2026-07-22) uniform 2025 start; anchor from blend_ceiling_ramp.csv 2025 row (binding_reason=observed_achieved_floor) == blend_observed_panel.csv,"2025 anchor := 10.1 vol% (observed achieved 10.1% (2025, Medium-High confidence)). Post-2025 trajectory PRESERVED verbatim. Was: InterpFSY(2026, 10)",blend_observed_panel.csv,blend_mandate,Medium,AMS Target Scenario
