origin_region,destination_region,fuel,fuel_name_full,year,traded_PJ
Brunei,Malaysia,Palm Oil input to Biodiesel Production,"Palm Oil input to ""Biodiesel Production"" [LEAP ID:66]",2060,13.7287
Brunei,Myanmar,Biodiesel output from Biodiesel Production,"Biodiesel output from ""Biodiesel Production"" [LEAP ID:61]",2025,7.7079
Brunei,Myanmar,Biodiesel output from Biodiesel Production,"Biodiesel output from ""Biodiesel Production"" [LEAP ID:61]",2030,21.5357
Brunei,Myanmar,Biodiesel output from Biodiesel Production,"Biodiesel output from ""Biodiesel Production"" [LEAP ID:61]",2035,28.2392
Brunei,Myanmar,Biodiesel output from Biodiesel Production,"Biodiesel output from ""Biodiesel Production"" [LEAP ID:61]",2040,87.1470
Brunei,Myanmar,Biodiesel output from Biodiesel Production,"Biodiesel output from ""Biodiesel Production"" [LEAP ID:61]",2045,34.5824
Brunei,Myanmar,Biodiesel output from Biodiesel Production,"Biodiesel output from ""Biodiesel Production"" [LEAP ID:61]",2050,17.2052
Brunei,Myanmar,Biodiesel output from Biodiesel Production,"Biodiesel output from ""Biodiesel Production"" [LEAP ID:61]",2055,0.8028
Brunei,Myanmar,Biodiesel output from Biodiesel Production,"Biodiesel output from ""Biodiesel Production"" [LEAP ID:61]",2060,3.9177
Brunei,Myanmar,Ethanol output from Bioethanol Production,"Ethanol output from ""Bioethanol Production"" [LEAP ID:24]",2045,0.0000
Brunei,Myanmar,Ethanol output from Bioethanol Production,"Ethanol output from ""Bioethanol Production"" [LEAP ID:24]",2050,0.0000
Brunei,Myanmar,Palm Oil input to Biodiesel Production,"Palm Oil input to ""Biodiesel Production"" [LEAP ID:66]",2025,0.0895
Brunei,Myanmar,Palm Oil input to Biodiesel Production,"Palm Oil input to ""Biodiesel Production"" [LEAP ID:66]",2055,2.7235
Brunei,Myanmar,Palm Oil input to Biodiesel Production,"Palm Oil input to ""Biodiesel Production"" [LEAP ID:66]",2060,1.9491
Brunei,Philippines,Biodiesel output from Biodiesel Production,"Biodiesel output from ""Biodiesel Production"" [LEAP ID:61]",2025,0.6773
Brunei,Philippines,Biodiesel output from Biodiesel Production,"Biodiesel output from ""Biodiesel Production"" [LEAP ID:61]",2035,7.3854
Brunei,Philippines,Biodiesel output from Biodiesel Production,"Biodiesel output from ""Biodiesel Production"" [LEAP ID:61]",2040,0.4750
Brunei,Philippines,Biodiesel output from Biodiesel Production,"Biodiesel output from ""Biodiesel Production"" [LEAP ID:61]",2045,53.0244
Brunei,Philippines,Biodiesel output from Biodiesel Production,"Biodiesel output from ""Biodiesel Production"" [LEAP ID:61]",2050,7.9456
Brunei,Philippines,Biodiesel output from Biodiesel Production,"Biodiesel output from ""Biodiesel Production"" [LEAP ID:61]",2060,1.0805
Brunei,Philippines,Palm Oil input to Biodiesel Production,"Palm Oil input to ""Biodiesel Production"" [LEAP ID:66]",2025,0.0449
Brunei,Philippines,Palm Oil input to Biodiesel Production,"Palm Oil input to ""Biodiesel Production"" [LEAP ID:66]",2030,0.4439
Brunei,Philippines,Palm Oil input to Biodiesel Production,"Palm Oil input to ""Biodiesel Production"" [LEAP ID:66]",2035,1.3487
Brunei,Philippines,Palm Oil input to Biodiesel Production,"Palm Oil input to ""Biodiesel Production"" [LEAP ID:66]",2040,2.0862
Brunei,Philippines,Palm Oil input to Biodiesel Production,"Palm Oil input to ""Biodiesel Production"" [LEAP ID:66]",2055,4.8246
Brunei,Singapore,Biodiesel output from Biodiesel Production,"Biodiesel output from ""Biodiesel Production"" [LEAP ID:61]",2025,1.0519
Brunei,Singapore,Biodiesel output from Biodiesel Production,"Biodiesel output from ""Biodiesel Production"" [LEAP ID:61]",2030,1.1577
Brunei,Singapore,Biodiesel output from Biodiesel Production,"Biodiesel output from ""Biodiesel Production"" [LEAP ID:61]",2035,2.3782
Brunei,Singapore,Biodiesel output from Biodiesel Production,"Biodiesel output from ""Biodiesel Production"" [LEAP ID:61]",2040,1.2612
Brunei,Singapore,Biodiesel output from Biodiesel Production,"Biodiesel output from ""Biodiesel Production"" [LEAP ID:61]",2045,0.9612
Brunei,Singapore,Biodiesel output from Biodiesel Production,"Biodiesel output from ""Biodiesel Production"" [LEAP ID:61]",2050,1.0323
Brunei,Singapore,Biodiesel output from Biodiesel Production,"Biodiesel output from ""Biodiesel Production"" [LEAP ID:61]",2055,1.5636
Brunei,Singapore,Biodiesel output from Biodiesel Production,"Biodiesel output from ""Biodiesel Production"" [LEAP ID:61]",2060,14.4511
Brunei,Singapore,Ethanol output from Bioethanol Production,"Ethanol output from ""Bioethanol Production"" [LEAP ID:24]",2045,0.0000
Brunei,Singapore,Ethanol output from Bioethanol Production,"Ethanol output from ""Bioethanol Production"" [LEAP ID:24]",2060,0.0000
Brunei,Singapore,Palm Oil input to Biodiesel Production,"Palm Oil input to ""Biodiesel Production"" [LEAP ID:66]",2040,3.3528
Brunei,Singapore,Palm Oil input to Biodiesel Production,"Palm Oil input to ""Biodiesel Production"" [LEAP ID:66]",2050,3.8114
Brunei,Singapore,Palm Oil input to Biodiesel Production,"Palm Oil input to ""Biodiesel Production"" [LEAP ID:66]",2060,6.7354
Brunei,Thailand,Biodiesel output from Biodiesel Production,"Biodiesel output from ""Biodiesel Production"" [LEAP ID:61]",2030,11.2284
Brunei,Thailand,Biodiesel output from Biodiesel Production,"Biodiesel output from ""Biodiesel Production"" [LEAP ID:61]",2035,59.6978
Brunei,Thailand,Biodiesel output from Biodiesel Production,"Biodiesel output from ""Biodiesel Production"" [LEAP ID:61]",2045,8.7294
Brunei,Thailand,Biodiesel output from Biodiesel Production,"Biodiesel output from ""Biodiesel Production"" [LEAP ID:61]",2055,41.2691
Brunei,Thailand,Biodiesel output from Biodiesel Production,"Biodiesel output from ""Biodiesel Production"" [LEAP ID:61]",2060,6.9450
Brunei,Thailand,Ethanol output from Bioethanol Production,"Ethanol output from ""Bioethanol Production"" [LEAP ID:24]",2030,-0.0000
Brunei,Thailand,Ethanol output from Bioethanol Production,"Ethanol output from ""Bioethanol Production"" [LEAP ID:24]",2045,-0.0000
Brunei,Thailand,Ethanol output from Bioethanol Production,"Ethanol output from ""Bioethanol Production"" [LEAP ID:24]",2060,-0.0000
Brunei,Thailand,Palm Oil input to Biodiesel Production,"Palm Oil input to ""Biodiesel Production"" [LEAP ID:66]",2025,0.3703
Brunei,Thailand,Palm Oil input to Biodiesel Production,"Palm Oil input to ""Biodiesel Production"" [LEAP ID:66]",2030,1.5281
Brunei,Thailand,Palm Oil input to Biodiesel Production,"Palm Oil input to ""Biodiesel Production"" [LEAP ID:66]",2035,0.9734
Brunei,Thailand,Palm Oil input to Biodiesel Production,"Palm Oil input to ""Biodiesel Production"" [LEAP ID:66]",2040,3.9385
Brunei,Thailand,Palm Oil input to Biodiesel Production,"Palm Oil input to ""Biodiesel Production"" [LEAP ID:66]",2045,8.2895
Brunei,Thailand,Palm Oil input to Biodiesel Production,"Palm Oil input to ""Biodiesel Production"" [LEAP ID:66]",2050,5.8928
Brunei,Thailand,Palm Oil input to Biodiesel Production,"Palm Oil input to ""Biodiesel Production"" [LEAP ID:66]",2055,6.7810
Brunei,Thailand,Palm Oil input to Biodiesel Production,"Palm Oil input to ""Biodiesel Production"" [LEAP ID:66]",2060,10.3520
Brunei,Timor Leste,Ethanol output from Bioethanol Production,"Ethanol output from ""Bioethanol Production"" [LEAP ID:24]",2045,-0.0000
Brunei,Timor Leste,Palm Oil input to Biodiesel Production,"Palm Oil input to ""Biodiesel Production"" [LEAP ID:66]",2025,0.0286
Brunei,Timor Leste,Palm Oil input to Biodiesel Production,"Palm Oil input to ""Biodiesel Production"" [LEAP ID:66]",2035,0.9734
Brunei,Timor Leste,Palm Oil input to Biodiesel Production,"Palm Oil input to ""Biodiesel Production"" [LEAP ID:66]",2045,0.8693
Brunei,Timor Leste,Palm Oil input to Biodiesel Production,"Palm Oil input to ""Biodiesel Production"" [LEAP ID:66]",2055,1.6606
Brunei,Vietnam,Biodiesel output from Biodiesel Production,"Biodiesel output from ""Biodiesel Production"" [LEAP ID:61]",2025,0.9344
Brunei,Vietnam,Biodiesel output from Biodiesel Production,"Biodiesel output from ""Biodiesel Production"" [LEAP ID:61]",2030,1.9494
Brunei,Vietnam,Biodiesel output from Biodiesel Production,"Biodiesel output from ""Biodiesel Production"" [LEAP ID:61]",2035,1.7463
Brunei,Vietnam,Biodiesel output from Biodiesel Production,"Biodiesel output from ""Biodiesel Production"" [LEAP ID:61]",2040,18.2605
Brunei,Vietnam,Biodiesel output from Biodiesel Production,"Biodiesel output from ""Biodiesel Production"" [LEAP ID:61]",2045,40.6628
Brunei,Vietnam,Biodiesel output from Biodiesel Production,"Biodiesel output from ""Biodiesel Production"" [LEAP ID:61]",2050,51.8969
Brunei,Vietnam,Biodiesel output from Biodiesel Production,"Biodiesel output from ""Biodiesel Production"" [LEAP ID:61]",2055,3.0112
Brunei,Vietnam,Biodiesel output from Biodiesel Production,"Biodiesel output from ""Biodiesel Production"" [LEAP ID:61]",2060,43.6362
Brunei,Vietnam,Palm Oil input to Biodiesel Production,"Palm Oil input to ""Biodiesel Production"" [LEAP ID:66]",2025,0.0324
Brunei,Vietnam,Palm Oil input to Biodiesel Production,"Palm Oil input to ""Biodiesel Production"" [LEAP ID:66]",2035,0.9734
Brunei,Vietnam,Palm Oil input to Biodiesel Production,"Palm Oil input to ""Biodiesel Production"" [LEAP ID:66]",2060,2.8134
Cambodia,Brunei,Biodiesel output from Biodiesel Production,"Biodiesel output from ""Biodiesel Production"" [LEAP ID:61]",2025,12.3343
Cambodia,Brunei,Biodiesel output from Biodiesel Production,"Biodiesel output from ""Biodiesel Production"" [LEAP ID:61]",2030,0.0174
Cambodia,Brunei,Biodiesel output from Biodiesel Production,"Biodiesel output from ""Biodiesel Production"" [LEAP ID:61]",2040,6.2850
Cambodia,Brunei,Biodiesel output from Biodiesel Production,"Biodiesel output from ""Biodiesel Production"" [LEAP ID:61]",2045,0.0126
Cambodia,Brunei,Biodiesel output from Biodiesel Production,"Biodiesel output from ""Biodiesel Production"" [LEAP ID:61]",2050,0.0177
Cambodia,Brunei,Biodiesel output from Biodiesel Production,"Biodiesel output from ""Biodiesel Production"" [LEAP ID:61]",2055,0.0101
Cambodia,Brunei,Biodiesel output from Biodiesel Production,"Biodiesel output from ""Biodiesel Production"" [LEAP ID:61]",2060,5.6349
Cambodia,Brunei,Ethanol output from Bioethanol Production,"Ethanol output from ""Bioethanol Production"" [LEAP ID:24]",2045,-0.0000
Cambodia,Brunei,Ethanol output from Bioethanol Production,"Ethanol output from ""Bioethanol Production"" [LEAP ID:24]",2050,0.0000
Cambodia,Brunei,Ethanol output from Bioethanol Production,"Ethanol output from ""Bioethanol Production"" [LEAP ID:24]",2060,0.0000
Cambodia,Brunei,Palm Oil input to Biodiesel Production,"Palm Oil input to ""Biodiesel Production"" [LEAP ID:66]",2025,0.0324
Cambodia,Brunei,Palm Oil input to Biodiesel Production,"Palm Oil input to ""Biodiesel Production"" [LEAP ID:66]",2040,0.7313
Cambodia,Brunei,Palm Oil input to Biodiesel Production,"Palm Oil input to ""Biodiesel Production"" [LEAP ID:66]",2055,5.5826
Cambodia,Indonesia,Biodiesel output from Biodiesel Production,"Biodiesel output from ""Biodiesel Production"" [LEAP ID:61]",2035,79.3638
Cambodia,Indonesia,Biodiesel output from Biodiesel Production,"Biodiesel output from ""Biodiesel Production"" [LEAP ID:61]",2040,45.9895
Cambodia,Indonesia,Biodiesel output from Biodiesel Production,"Biodiesel output from ""Biodiesel Production"" [LEAP ID:61]",2045,85.6857
Cambodia,Indonesia,Biodiesel output from Biodiesel Production,"Biodiesel output from ""Biodiesel Production"" [LEAP ID:61]",2050,42.8578
Cambodia,Indonesia,Biodiesel output from Biodiesel Production,"Biodiesel output from ""Biodiesel Production"" [LEAP ID:61]",2055,85.7354
Cambodia,Indonesia,Biodiesel output from Biodiesel Production,"Biodiesel output from ""Biodiesel Production"" [LEAP ID:61]",2060,34.0732
Cambodia,Indonesia,Ethanol output from Bioethanol Production,"Ethanol output from ""Bioethanol Production"" [LEAP ID:24]",2045,0.0000
Cambodia,Indonesia,Ethanol output from Bioethanol Production,"Ethanol output from ""Bioethanol Production"" [LEAP ID:24]",2060,0.0000
Cambodia,Laos,Biodiesel output from Biodiesel Production,"Biodiesel output from ""Biodiesel Production"" [LEAP ID:61]",2025,1.5396
Cambodia,Laos,Biodiesel output from Biodiesel Production,"Biodiesel output from ""Biodiesel Production"" [LEAP ID:61]",2030,0.3361
Cambodia,Laos,Biodiesel output from Biodiesel Production,"Biodiesel output from ""Biodiesel Production"" [LEAP ID:61]",2035,3.8886
Cambodia,Laos,Biodiesel output from Biodiesel Production,"Biodiesel output from ""Biodiesel Production"" [LEAP ID:61]",2040,1.9941
Cambodia,Laos,Biodiesel output from Biodiesel Production,"Biodiesel output from ""Biodiesel Production"" [LEAP ID:61]",2045,58.7243
Cambodia,Laos,Biodiesel output from Biodiesel Production,"Biodiesel output from ""Biodiesel Production"" [LEAP ID:61]",2050,94.8398
Cambodia,Laos,Biodiesel output from Biodiesel Production,"Biodiesel output from ""Biodiesel Production"" [LEAP ID:61]",2055,7.1683
Cambodia,Laos,Biodiesel output from Biodiesel Production,"Biodiesel output from ""Biodiesel Production"" [LEAP ID:61]",2060,6.1756
Cambodia,Laos,Ethanol output from Bioethanol Production,"Ethanol output from ""Bioethanol Production"" [LEAP ID:24]",2025,0.0000
Cambodia,Laos,Ethanol output from Bioethanol Production,"Ethanol output from ""Bioethanol Production"" [LEAP ID:24]",2045,0.0000
Cambodia,Laos,Ethanol output from Bioethanol Production,"Ethanol output from ""Bioethanol Production"" [LEAP ID:24]",2050,0.0000
Cambodia,Laos,Palm Oil input to Biodiesel Production,"Palm Oil input to ""Biodiesel Production"" [LEAP ID:66]",2025,0.0396
Cambodia,Laos,Palm Oil input to Biodiesel Production,"Palm Oil input to ""Biodiesel Production"" [LEAP ID:66]",2030,0.2094
Cambodia,Laos,Palm Oil input to Biodiesel Production,"Palm Oil input to ""Biodiesel Production"" [LEAP ID:66]",2040,0.7313
Cambodia,Laos,Palm Oil input to Biodiesel Production,"Palm Oil input to ""Biodiesel Production"" [LEAP ID:66]",2045,1.1989
Cambodia,Laos,Palm Oil input to Biodiesel Production,"Palm Oil input to ""Biodiesel Production"" [LEAP ID:66]",2055,2.7235
Cambodia,Malaysia,Biodiesel output from Biodiesel Production,"Biodiesel output from ""Biodiesel Production"" [LEAP ID:61]",2025,3.1057
Cambodia,Malaysia,Biodiesel output from Biodiesel Production,"Biodiesel output from ""Biodiesel Production"" [LEAP ID:61]",2030,0.8536
Cambodia,Malaysia,Biodiesel output from Biodiesel Production,"Biodiesel output from ""Biodiesel Production"" [LEAP ID:61]",2035,8.4344
Cambodia,Malaysia,Biodiesel output from Biodiesel Production,"Biodiesel output from ""Biodiesel Production"" [LEAP ID:61]",2040,43.9262
Cambodia,Malaysia,Biodiesel output from Biodiesel Production,"Biodiesel output from ""Biodiesel Production"" [LEAP ID:61]",2045,4.9631
Cambodia,Malaysia,Biodiesel output from Biodiesel Production,"Biodiesel output from ""Biodiesel Production"" [LEAP ID:61]",2050,12.2080
Cambodia,Malaysia,Biodiesel output from Biodiesel Production,"Biodiesel output from ""Biodiesel Production"" [LEAP ID:61]",2055,1.3335
Cambodia,Malaysia,Biodiesel output from Biodiesel Production,"Biodiesel output from ""Biodiesel Production"" [LEAP ID:61]",2060,3.8233
Cambodia,Malaysia,Ethanol output from Bioethanol Production,"Ethanol output from ""Bioethanol Production"" [LEAP ID:24]",2050,-0.0000
Cambodia,Malaysia,Palm Oil input to Biodiesel Production,"Palm Oil input to ""Biodiesel Production"" [LEAP ID:66]",2025,0.1868
Cambodia,Malaysia,Palm Oil input to Biodiesel Production,"Palm Oil input to ""Biodiesel Production"" [LEAP ID:66]",2030,1.2087
Cambodia,Malaysia,Palm Oil input to Biodiesel Production,"Palm Oil input to ""Biodiesel Production"" [LEAP ID:66]",2035,2.7691
Cambodia,Malaysia,Palm Oil input to Biodiesel Production,"Palm Oil input to ""Biodiesel Production"" [LEAP ID:66]",2040,3.3528
Cambodia,Malaysia,Palm Oil input to Biodiesel Production,"Palm Oil input to ""Biodiesel Production"" [LEAP ID:66]",2045,2.8657
Cambodia,Malaysia,Palm Oil input to Biodiesel Production,"Palm Oil input to ""Biodiesel Production"" [LEAP ID:66]",2050,16.5439
Cambodia,Malaysia,Palm Oil input to Biodiesel Production,"Palm Oil input to ""Biodiesel Production"" [LEAP ID:66]",2055,10.5857
Cambodia,Malaysia,Palm Oil input to Biodiesel Production,"Palm Oil input to ""Biodiesel Production"" [LEAP ID:66]",2060,7.2779
Cambodia,Myanmar,Biodiesel output from Biodiesel Production,"Biodiesel output from ""Biodiesel Production"" [LEAP ID:61]",2025,18.2751
Cambodia,Myanmar,Biodiesel output from Biodiesel Production,"Biodiesel output from ""Biodiesel Production"" [LEAP ID:61]",2030,10.3771
Cambodia,Myanmar,Biodiesel output from Biodiesel Production,"Biodiesel output from ""Biodiesel Production"" [LEAP ID:61]",2035,64.0941
Cambodia,Myanmar,Biodiesel output from Biodiesel Production,"Biodiesel output from ""Biodiesel Production"" [LEAP ID:61]",2040,107.8336
Cambodia,Myanmar,Biodiesel output from Biodiesel Production,"Biodiesel output from ""Biodiesel Production"" [LEAP ID:61]",2045,0.2915
Cambodia,Myanmar,Biodiesel output from Biodiesel Production,"Biodiesel output from ""Biodiesel Production"" [LEAP ID:61]",2050,0.2868
Cambodia,Myanmar,Biodiesel output from Biodiesel Production,"Biodiesel output from ""Biodiesel Production"" [LEAP ID:61]",2055,0.8735
Cambodia,Myanmar,Biodiesel output from Biodiesel Production,"Biodiesel output from ""Biodiesel Production"" [LEAP ID:61]",2060,2.6919
Cambodia,Myanmar,Ethanol output from Bioethanol Production,"Ethanol output from ""Bioethanol Production"" [LEAP ID:24]",2025,0.0000
Cambodia,Myanmar,Ethanol output from Bioethanol Production,"Ethanol output from ""Bioethanol Production"" [LEAP ID:24]",2045,0.0000
Cambodia,Myanmar,Ethanol output from Bioethanol Production,"Ethanol output from ""Bioethanol Production"" [LEAP ID:24]",2050,0.0000
Cambodia,Myanmar,Ethanol output from Bioethanol Production,"Ethanol output from ""Bioethanol Production"" [LEAP ID:24]",2060,0.0000
Cambodia,Myanmar,Palm Oil input to Biodiesel Production,"Palm Oil input to ""Biodiesel Production"" [LEAP ID:66]",2030,0.2902
Cambodia,Myanmar,Palm Oil input to Biodiesel Production,"Palm Oil input to ""Biodiesel Production"" [LEAP ID:66]",2040,3.1591
Cambodia,Myanmar,Palm Oil input to Biodiesel Production,"Palm Oil input to ""Biodiesel Production"" [LEAP ID:66]",2045,2.5305
Cambodia,Myanmar,Palm Oil input to Biodiesel Production,"Palm Oil input to ""Biodiesel Production"" [LEAP ID:66]",2050,3.8114
Cambodia,Myanmar,Palm Oil input to Biodiesel Production,"Palm Oil input to ""Biodiesel Production"" [LEAP ID:66]",2055,1.9656
Cambodia,Myanmar,Palm Oil input to Biodiesel Production,"Palm Oil input to ""Biodiesel Production"" [LEAP ID:66]",2060,4.4674
Cambodia,Philippines,Biodiesel output from Biodiesel Production,"Biodiesel output from ""Biodiesel Production"" [LEAP ID:61]",2025,0.6129
Cambodia,Philippines,Biodiesel output from Biodiesel Production,"Biodiesel output from ""Biodiesel Production"" [LEAP ID:61]",2030,1.0539
Cambodia,Philippines,Biodiesel output from Biodiesel Production,"Biodiesel output from ""Biodiesel Production"" [LEAP ID:61]",2035,28.2963
Cambodia,Philippines,Biodiesel output from Biodiesel Production,"Biodiesel output from ""Biodiesel Production"" [LEAP ID:61]",2040,23.1836
Cambodia,Philippines,Biodiesel output from Biodiesel Production,"Biodiesel output from ""Biodiesel Production"" [LEAP ID:61]",2045,1.8385
Cambodia,Philippines,Biodiesel output from Biodiesel Production,"Biodiesel output from ""Biodiesel Production"" [LEAP ID:61]",2050,0.8485
Cambodia,Philippines,Biodiesel output from Biodiesel Production,"Biodiesel output from ""Biodiesel Production"" [LEAP ID:61]",2055,0.6905
Cambodia,Philippines,Biodiesel output from Biodiesel Production,"Biodiesel output from ""Biodiesel Production"" [LEAP ID:61]",2060,6.6342
Cambodia,Philippines,Ethanol output from Bioethanol Production,"Ethanol output from ""Bioethanol Production"" [LEAP ID:24]",2035,-0.0000
Cambodia,Philippines,Ethanol output from Bioethanol Production,"Ethanol output from ""Bioethanol Production"" [LEAP ID:24]",2050,0.0000
Cambodia,Philippines,Palm Oil input to Biodiesel Production,"Palm Oil input to ""Biodiesel Production"" [LEAP ID:66]",2025,0.0396
Cambodia,Philippines,Palm Oil input to Biodiesel Production,"Palm Oil input to ""Biodiesel Production"" [LEAP ID:66]",2030,0.2345
Cambodia,Philippines,Palm Oil input to Biodiesel Production,"Palm Oil input to ""Biodiesel Production"" [LEAP ID:66]",2040,0.7313
Cambodia,Philippines,Palm Oil input to Biodiesel Production,"Palm Oil input to ""Biodiesel Production"" [LEAP ID:66]",2045,4.0646
Cambodia,Philippines,Palm Oil input to Biodiesel Production,"Palm Oil input to ""Biodiesel Production"" [LEAP ID:66]",2050,2.4359
Cambodia,Philippines,Palm Oil input to Biodiesel Production,"Palm Oil input to ""Biodiesel Production"" [LEAP ID:66]",2055,6.3497
Cambodia,Philippines,Palm Oil input to Biodiesel Production,"Palm Oil input to ""Biodiesel Production"" [LEAP ID:66]",2060,2.2337
Cambodia,Singapore,Biodiesel output from Biodiesel Production,"Biodiesel output from ""Biodiesel Production"" [LEAP ID:61]",2030,1.0394
