r,t,e,y,val,solvedtm,region_name,tech_name,emission_name
R1,P21872,E13,2025,942125.361382289,2026-05-13 15:07:40.839,Indonesia,Coal Subcritical_IDJW,Sulfur Dioxide
R1,P21935,E13,2025,28339.66193052363,2026-05-13 15:07:40.839,Indonesia,Coal Subcritical_IDKA,Sulfur Dioxide
R1,P21998,E13,2025,99327.01906056699,2026-05-13 15:07:40.839,Indonesia,Coal Subcritical_IDSA,Sulfur Dioxide
R1,P22129,E13,2025,38.74923247653778,2026-05-13 15:07:40.839,Indonesia,Gas Combined Cycle_IDEast,Sulfur Dioxide
R1,P22147,E13,2025,6.149752092340168,2026-05-13 15:07:40.839,Indonesia,Gas Combined Cycle_IDKA,Sulfur Dioxide
R1,P22165,E13,2025,156.41269687010987,2026-05-13 15:07:40.839,Indonesia,Gas Combined Cycle_IDSA,Sulfur Dioxide
R1,P22183,E13,2025,617.3547256187425,2026-05-13 15:07:40.839,Indonesia,Gas Combined Cycle_IDJW,Sulfur Dioxide
R1,P22235,E13,2025,3.1820160730541462,2026-05-13 15:07:40.839,Indonesia,Gas Turbine_IDSA,Sulfur Dioxide
R1,P22252,E13,2025,18.105367814837074,2026-05-13 15:07:40.839,Indonesia,Gas Turbine_IDJW,Sulfur Dioxide
R1,P22269,E13,2025,303.85608485141313,2026-05-13 15:07:40.839,Indonesia,Gas Engine_IDEast,Sulfur Dioxide
R1,P22286,E13,2025,68.77947683236438,2026-05-13 15:07:40.839,Indonesia,Gas Engine_IDKA,Sulfur Dioxide
R1,P22303,E13,2025,100.74191686863709,2026-05-13 15:07:40.839,Indonesia,Gas Engine_IDSA,Sulfur Dioxide
R1,P22320,E13,2025,15.833416185201097,2026-05-13 15:07:40.839,Indonesia,Gas Engine_IDJW,Sulfur Dioxide
R15,P2544,E13,2025,5425.848259495885,2026-05-13 15:07:40.839,Brunei,All Refineries,Sulfur Dioxide
R16,P2544,E13,2025,12692.937445254507,2026-05-13 15:07:40.839,Singapore,All Refineries,Sulfur Dioxide
R17,P2544,E13,2025,11392.945631234661,2026-05-13 15:07:40.839,Malaysia,All Refineries,Sulfur Dioxide
R1,P2653,E13,2025,1976.6906338713752,2026-05-13 15:07:40.839,Indonesia,LNG,Sulfur Dioxide
R11,P2653,E13,2025,23.22396658574986,2026-05-13 15:07:40.839,Thailand,LNG,Sulfur Dioxide
R12,P2653,E13,2025,3.5498507807939492,2026-05-13 15:07:40.839,Myanmar,LNG,Sulfur Dioxide
R13,P2653,E13,2025,2.3047708138671474,2026-05-13 15:07:40.839,Laos,LNG,Sulfur Dioxide
R14,P2653,E13,2025,37.51369159101002,2026-05-13 15:07:40.839,Vietnam,LNG,Sulfur Dioxide
R15,P2653,E13,2025,960.5694676590001,2026-05-13 15:07:40.839,Brunei,LNG,Sulfur Dioxide
R16,P2653,E13,2025,4.215565330964182,2026-05-13 15:07:40.839,Singapore,LNG,Sulfur Dioxide
R17,P2653,E13,2025,4982.5194947608115,2026-05-13 15:07:40.839,Malaysia,LNG,Sulfur Dioxide
R19,P2653,E13,2025,6.373008015921293,2026-05-13 15:07:40.839,Philippines,LNG,Sulfur Dioxide
R20,P2653,E13,2025,0.003158115034187074,2026-05-13 15:07:40.839,Timor Leste,LNG,Sulfur Dioxide
R6,P2653,E13,2025,1.6598045014409208,2026-05-13 15:07:40.839,Cambodia,LNG,Sulfur Dioxide
R1,P2668,E13,2025,4675.187353746633,2026-05-13 15:07:40.839,Indonesia,Natural Gas,Sulfur Dioxide
R11,P2668,E13,2025,1857.0260775225524,2026-05-13 15:07:40.839,Thailand,Natural Gas,Sulfur Dioxide
R12,P2668,E13,2025,2230.9877826752786,2026-05-13 15:07:40.839,Myanmar,Natural Gas,Sulfur Dioxide
R13,P2668,E13,2025,87.15572906961289,2026-05-13 15:07:40.839,Laos,Natural Gas,Sulfur Dioxide
R14,P2668,E13,2025,1527.9200499114818,2026-05-13 15:07:40.839,Vietnam,Natural Gas,Sulfur Dioxide
R15,P2668,E13,2025,116.63720754727458,2026-05-13 15:07:40.839,Brunei,Natural Gas,Sulfur Dioxide
R16,P2668,E13,2025,263.6241529758559,2026-05-13 15:07:40.839,Singapore,Natural Gas,Sulfur Dioxide
R17,P2668,E13,2025,2152.440199479722,2026-05-13 15:07:40.839,Malaysia,Natural Gas,Sulfur Dioxide
R19,P2668,E13,2025,219.42017720743658,2026-05-13 15:07:40.839,Philippines,Natural Gas,Sulfur Dioxide
R20,P2668,E13,2025,0.10637800778403605,2026-05-13 15:07:40.839,Timor Leste,Natural Gas,Sulfur Dioxide
R6,P2668,E13,2025,62.13278961038014,2026-05-13 15:07:40.839,Cambodia,Natural Gas,Sulfur Dioxide
R1,P2698,E13,2025,16888.696707634783,2026-05-13 15:07:40.839,Indonesia,Crude Oil,Sulfur Dioxide
R11,P2698,E13,2025,54930.65872419593,2026-05-13 15:07:40.839,Thailand,Crude Oil,Sulfur Dioxide
R12,P2698,E13,2025,244.73997751005047,2026-05-13 15:07:40.839,Myanmar,Crude Oil,Sulfur Dioxide
R14,P2698,E13,2025,21185.491604216953,2026-05-13 15:07:40.839,Vietnam,Crude Oil,Sulfur Dioxide
R15,P2698,E13,2025,23314.349811854565,2026-05-13 15:07:40.839,Brunei,Crude Oil,Sulfur Dioxide
R16,P2698,E13,2025,11157.234630251181,2026-05-13 15:07:40.839,Singapore,Crude Oil,Sulfur Dioxide
R17,P2698,E13,2025,75807.58374079365,2026-05-13 15:07:40.839,Malaysia,Crude Oil,Sulfur Dioxide
R19,P2698,E13,2025,2848.199721118841,2026-05-13 15:07:40.839,Philippines,Crude Oil,Sulfur Dioxide
R11,P2720,E13,2025,143673.30732784767,2026-05-13 15:07:40.839,Thailand,Coal Subcritical,Sulfur Dioxide
R12,P2720,E13,2025,6388.641829826138,2026-05-13 15:07:40.839,Myanmar,Coal Subcritical,Sulfur Dioxide
R13,P2720,E13,2025,73622.67083284655,2026-05-13 15:07:40.839,Laos,Coal Subcritical,Sulfur Dioxide
R14,P2720,E13,2025,466433.95631588146,2026-05-13 15:07:40.839,Vietnam,Coal Subcritical,Sulfur Dioxide
R19,P2720,E13,2025,374750.092797402,2026-05-13 15:07:40.839,Philippines,Coal Subcritical,Sulfur Dioxide
R6,P2720,E13,2025,30461.03292246143,2026-05-13 15:07:40.839,Cambodia,Coal Subcritical,Sulfur Dioxide
R12,P2776,E13,2025,23.88098454756828,2026-05-13 15:07:40.839,Myanmar,Diesel,Sulfur Dioxide
R20,P2776,E13,2025,817.9804130916078,2026-05-13 15:07:40.839,Timor Leste,Diesel,Sulfur Dioxide
R12,P2808,E13,2025,44.840297957534126,2026-05-13 15:07:40.839,Myanmar,Gas Turbine,Sulfur Dioxide
R15,P2808,E13,2025,140.06482556777704,2026-05-13 15:07:40.839,Brunei,Gas Turbine,Sulfur Dioxide
R11,P2831,E13,2025,5921.078105344296,2026-05-13 15:07:40.839,Thailand,Gas Combined Cycle,Sulfur Dioxide
R12,P2831,E13,2025,109.87342048957076,2026-05-13 15:07:40.839,Myanmar,Gas Combined Cycle,Sulfur Dioxide
R14,P2831,E13,2025,654.5812799565941,2026-05-13 15:07:40.839,Vietnam,Gas Combined Cycle,Sulfur Dioxide
R15,P2831,E13,2025,81.89213961528925,2026-05-13 15:07:40.839,Brunei,Gas Combined Cycle,Sulfur Dioxide
R16,P2831,E13,2025,170.4448589931337,2026-05-13 15:07:40.839,Singapore,Gas Combined Cycle,Sulfur Dioxide
R19,P2831,E13,2025,697.1457770825255,2026-05-13 15:07:40.839,Philippines,Gas Combined Cycle,Sulfur Dioxide
R6,P2831,E13,2025,18.89950937066685,2026-05-13 15:07:40.839,Cambodia,Gas Combined Cycle,Sulfur Dioxide
R12,P2858,E13,2025,114.53848837576518,2026-05-13 15:07:40.839,Myanmar,Gas Engine,Sulfur Dioxide
R6,P2907,E13,2025,274.52316411251155,2026-05-13 15:07:40.839,Cambodia,Biogas,Sulfur Dioxide
R1,P3012,E13,2025,128960.04772614085,2026-05-13 15:07:40.839,Indonesia,Coal Supercritical,Sulfur Dioxide
R14,P3012,E13,2025,46842.6982565813,2026-05-13 15:07:40.839,Vietnam,Coal Supercritical,Sulfur Dioxide
R17,P3067,E13,2025,91863.45387562936,2026-05-13 15:07:40.839,Malaysia,Coal Ultrasupercritical,Sulfur Dioxide
R15,P3122,E13,2025,7067.270300660442,2026-05-13 15:07:40.839,Brunei,Coal IGCC,Sulfur Dioxide
R16,P15321,E15,2025,9.600557166147482,2026-05-13 15:07:40.839,Singapore,Gas Combined Cycle with CCS,Ammonia
R17,P20955,E15,2025,399.6308024154622,2026-05-13 15:07:40.839,Malaysia,Gas Turbine_MYPE,Ammonia
R17,P21230,E15,2025,526.8785526780596,2026-05-13 15:07:40.839,Malaysia,Gas Combined Cycle_MYPE,Ammonia
R17,P21252,E15,2025,59.0547495532054,2026-05-13 15:07:40.839,Malaysia,Gas Combined Cycle_MYSB,Ammonia
R17,P21274,E15,2025,48.51579373987891,2026-05-13 15:07:40.839,Malaysia,Gas Combined Cycle_MYSR,Ammonia
R17,P21563,E15,2025,1.3660201129467833,2026-05-13 15:07:40.839,Malaysia,Biomass Other_MYPE,Ammonia
R1,P22129,E15,2025,12.994163735472325,2026-05-13 15:07:40.839,Indonesia,Gas Combined Cycle_IDEast,Ammonia
R1,P22147,E15,2025,2.062257250355005,2026-05-13 15:07:40.839,Indonesia,Gas Combined Cycle_IDKA,Ammonia
R1,P22165,E15,2025,52.45141809370377,2026-05-13 15:07:40.839,Indonesia,Gas Combined Cycle_IDSA,Ammonia
R1,P22183,E15,2025,207.0236718214939,2026-05-13 15:07:40.839,Indonesia,Gas Combined Cycle_IDJW,Ammonia
R1,P22235,E15,2025,1.0670569510558894,2026-05-13 15:07:40.839,Indonesia,Gas Turbine_IDSA,Ammonia
R1,P22252,E15,2025,6.071452228618812,2026-05-13 15:07:40.839,Indonesia,Gas Turbine_IDJW,Ammonia
R1,P22269,E15,2025,101.89506904348413,2026-05-13 15:07:40.839,Indonesia,Gas Engine_IDEast,Ammonia
R1,P22286,E15,2025,23.064502868308757,2026-05-13 15:07:40.839,Indonesia,Gas Engine_IDKA,Ammonia
R1,P22303,E15,2025,33.78278430699321,2026-05-13 15:07:40.839,Indonesia,Gas Engine_IDSA,Ammonia
R1,P22320,E15,2025,5.309576196817709,2026-05-13 15:07:40.839,Indonesia,Gas Engine_IDJW,Ammonia
R17,P22388,E15,2025,0.5887911207192004,2026-05-13 15:07:40.839,Malaysia,Biomass Other_MYSB,Ammonia
R1,P2653,E15,2025,662.8632390706443,2026-05-13 15:07:40.839,Indonesia,LNG,Ammonia
R11,P2653,E15,2025,7.787922627502207,2026-05-13 15:07:40.839,Thailand,LNG,Ammonia
R12,P2653,E15,2025,1.1904066050872222,2026-05-13 15:07:40.839,Myanmar,LNG,Ammonia
R13,P2653,E15,2025,0.7728816137522481,2026-05-13 15:07:40.839,Laos,LNG,Ammonia
R14,P2653,E15,2025,12.579837578737765,2026-05-13 15:07:40.839,Vietnam,LNG,Ammonia
R15,P2653,E15,2025,322.1172690224026,2026-05-13 15:07:40.839,Brunei,LNG,Ammonia
R16,P2653,E15,2025,1.4136472556274886,2026-05-13 15:07:40.839,Singapore,LNG,Ammonia
R17,P2653,E15,2025,1670.8375880556193,2026-05-13 15:07:40.839,Malaysia,LNG,Ammonia
R19,P2653,E15,2025,2.1371238693953645,2026-05-13 15:07:40.839,Philippines,LNG,Ammonia
R20,P2653,E15,2025,0.0010590419790774208,2026-05-13 15:07:40.839,Timor Leste,LNG,Ammonia
R6,P2653,E15,2025,0.5565986751777957,2026-05-13 15:07:40.839,Cambodia,LNG,Ammonia
R1,P2668,E15,2025,1567.7768586868617,2026-05-13 15:07:40.839,Indonesia,Natural Gas,Ammonia
R11,P2668,E15,2025,622.734938736676,2026-05-13 15:07:40.839,Thailand,Natural Gas,Ammonia
R12,P2668,E15,2025,748.1392194664484,2026-05-13 15:07:40.839,Myanmar,Natural Gas,Ammonia
R13,P2668,E15,2025,29.22679345199265,2026-05-13 15:07:40.839,Laos,Natural Gas,Ammonia
R14,P2668,E15,2025,512.3725564185625,2026-05-13 15:07:40.839,Vietnam,Natural Gas,Ammonia
R15,P2668,E15,2025,39.11310949023919,2026-05-13 15:07:40.839,Brunei,Natural Gas,Ammonia
R16,P2668,E15,2025,88.40369704013165,2026-05-13 15:07:40.839,Singapore,Natural Gas,Ammonia
R17,P2668,E15,2025,721.7990807892063,2026-05-13 15:07:40.839,Malaysia,Natural Gas,Ammonia
R19,P2668,E15,2025,73.5803402358006,2026-05-13 15:07:40.839,Philippines,Natural Gas,Ammonia
R20,P2668,E15,2025,0.035672790469748715,2026-05-13 15:07:40.839,Timor Leste,Natural Gas,Ammonia
R6,P2668,E15,2025,20.835603441378687,2026-05-13 15:07:40.839,Cambodia,Natural Gas,Ammonia
R1,P2683,E15,2025,607.4073688319619,2026-05-13 15:07:40.839,Indonesia,LPG,Ammonia
R11,P2683,E15,2025,360.7834787822115,2026-05-13 15:07:40.839,Thailand,LPG,Ammonia
R12,P2683,E15,2025,6.946022725202069,2026-05-13 15:07:40.839,Myanmar,LPG,Ammonia
R13,P2683,E15,2025,34.313020772191024,2026-05-13 15:07:40.839,Laos,LPG,Ammonia
R14,P2683,E15,2025,172.77091227307523,2026-05-13 15:07:40.839,Vietnam,LPG,Ammonia
R15,P2683,E15,2025,37.306647209009625,2026-05-13 15:07:40.839,Brunei,LPG,Ammonia
R16,P2683,E15,2025,32.710731911923425,2026-05-13 15:07:40.839,Singapore,LPG,Ammonia
R17,P2683,E15,2025,227.51388249287606,2026-05-13 15:07:40.839,Malaysia,LPG,Ammonia
R19,P2683,E15,2025,109.51005902227674,2026-05-13 15:07:40.839,Philippines,LPG,Ammonia
R20,P2683,E15,2025,0.02874025652483459,2026-05-13 15:07:40.839,Timor Leste,LPG,Ammonia
R6,P2683,E15,2025,28.321021396205094,2026-05-13 15:07:40.839,Cambodia,LPG,Ammonia
R1,P2698,E15,2025,213.4361343310248,2026-05-13 15:07:40.839,Indonesia,Crude Oil,Ammonia
R11,P2698,E15,2025,694.2032092416621,2026-05-13 15:07:40.839,Thailand,Crude Oil,Ammonia
R12,P2698,E15,2025,3.0929772510150473,2026-05-13 15:07:40.839,Myanmar,Crude Oil,Ammonia
R14,P2698,E15,2025,267.73821036541705,2026-05-13 15:07:40.839,Vietnam,Crude Oil,Ammonia
R15,P2698,E15,2025,294.6423151784094,2026-05-13 15:07:40.839,Brunei,Crude Oil,Ammonia
R16,P2698,E15,2025,141.00300754578208,2026-05-13 15:07:40.839,Singapore,Crude Oil,Ammonia
R17,P2698,E15,2025,958.0418138065088,2026-05-13 15:07:40.839,Malaysia,Crude Oil,Ammonia
R19,P2698,E15,2025,35.99500593811328,2026-05-13 15:07:40.839,Philippines,Crude Oil,Ammonia
R12,P2776,E15,2025,0.301803337112905,2026-05-13 15:07:40.839,Myanmar,Diesel,Ammonia
R20,P2776,E15,2025,10.337480763085948,2026-05-13 15:07:40.839,Timor Leste,Diesel,Ammonia
R12,P2808,E15,2025,15.036741023460506,2026-05-13 15:07:40.839,Myanmar,Gas Turbine,Ammonia
R15,P2808,E15,2025,46.96932456946264,2026-05-13 15:07:40.839,Brunei,Gas Turbine,Ammonia
R11,P2831,E15,2025,1985.573738472111,2026-05-13 15:07:40.839,Thailand,Gas Combined Cycle,Ammonia
R12,P2831,E15,2025,36.84494181613395,2026-05-13 15:07:40.839,Myanmar,Gas Combined Cycle,Ammonia
R14,P2831,E15,2025,219.5072208225327,2026-05-13 15:07:40.839,Vietnam,Gas Combined Cycle,Ammonia
R15,P2831,E15,2025,27.461701891864326,2026-05-13 15:07:40.839,Brunei,Gas Combined Cycle,Ammonia
R16,P2831,E15,2025,57.15696193382157,2026-05-13 15:07:40.839,Singapore,Gas Combined Cycle,Ammonia
R19,P2831,E15,2025,233.78079502319028,2026-05-13 15:07:40.839,Philippines,Gas Combined Cycle,Ammonia
R6,P2831,E15,2025,6.337759578366783,2026-05-13 15:07:40.839,Cambodia,Gas Combined Cycle,Ammonia
R12,P2858,E15,2025,38.40932521358597,2026-05-13 15:07:40.839,Myanmar,Gas Engine,Ammonia
R6,P2907,E15,2025,0.8342422136470585,2026-05-13 15:07:40.839,Cambodia,Biogas,Ammonia
R13,P2956,E15,2025,0.022223619048012424,2026-05-13 15:07:40.839,Laos,Biomass Other,Ammonia
R14,P2956,E15,2025,23.14910388946386,2026-05-13 15:07:40.839,Vietnam,Biomass Other,Ammonia
R19,P2956,E15,2025,1.2082691750563501,2026-05-13 15:07:40.839,Philippines,Biomass Other,Ammonia
R6,P2956,E15,2025,0.038648803362264506,2026-05-13 15:07:40.839,Cambodia,Biomass Other,Ammonia
R1,P14937,E16,2025,0.1486295596191163,2026-05-13 15:07:40.839,Indonesia,SMR,Particulates PM2pt5
R11,P14937,E16,2025,0.2553912798464349,2026-05-13 15:07:40.839,Thailand,SMR,Particulates PM2pt5
R16,P14937,E16,2025,514.792264706491,2026-05-13 15:07:40.839,Singapore,SMR,Particulates PM2pt5
R17,P14937,E16,2025,0.22494117201891822,2026-05-13 15:07:40.839,Malaysia,SMR,Particulates PM2pt5
R6,P14937,E16,2025,0.010199417574333462,2026-05-13 15:07:40.839,Cambodia,SMR,Particulates PM2pt5
R16,P15321,E16,2025,6.1299472830894866,2026-05-13 15:07:40.839,Singapore,Gas Combined Cycle with CCS,Particulates PM2pt5
R17,P21096,E16,2025,1343.4684797582872,2026-05-13 15:07:40.839,Malaysia,Coal Subcritical_MYPE,Particulates PM2pt5
R17,P21163,E16,2025,153.72863067187726,2026-05-13 15:07:40.839,Malaysia,Coal Subcritical_MYSR,Particulates PM2pt5
R17,P21230,E16,2025,336.4114911887998,2026-05-13 15:07:40.839,Malaysia,Gas Combined Cycle_MYPE,Particulates PM2pt5
R17,P21252,E16,2025,37.70640550463658,2026-05-13 15:07:40.839,Malaysia,Gas Combined Cycle_MYSB,Particulates PM2pt5
R17,P21274,E16,2025,30.977291512971767,2026-05-13 15:07:40.839,Malaysia,Gas Combined Cycle_MYSR,Particulates PM2pt5
R17,P21563,E16,2025,302.8011250365369,2026-05-13 15:07:40.839,Malaysia,Biomass Other_MYPE,Particulates PM2pt5
R1,P22129,E16,2025,8.296762084511595,2026-05-13 15:07:40.839,Indonesia,Gas Combined Cycle_IDEast,Particulates PM2pt5
R1,P22147,E16,2025,1.316749435482822,2026-05-13 15:07:40.839,Indonesia,Gas Combined Cycle_IDKA,Particulates PM2pt5
R1,P22165,E16,2025,33.490184191748504,2026-05-13 15:07:40.839,Indonesia,Gas Combined Cycle_IDSA,Particulates PM2pt5
R1,P22183,E16,2025,132.18443186736621,2026-05-13 15:07:40.839,Indonesia,Gas Combined Cycle_IDJW,Particulates PM2pt5
R1,P22235,E16,2025,0.6813149221267101,2026-05-13 15:07:40.839,Indonesia,Gas Turbine_IDSA,Particulates PM2pt5
R1,P22252,E16,2025,3.8766168930760334,2026-05-13 15:07:40.839,Indonesia,Gas Turbine_IDJW,Particulates PM2pt5
R1,P22269,E16,2025,65.0599117148912,2026-05-13 15:07:40.839,Indonesia,Gas Engine_IDEast,Particulates PM2pt5
R1,P22286,E16,2025,14.726664738993858,2026-05-13 15:07:40.839,Indonesia,Gas Engine_IDKA,Particulates PM2pt5
R1,P22303,E16,2025,21.570277984288182,2026-05-13 15:07:40.839,Indonesia,Gas Engine_IDSA,Particulates PM2pt5
R1,P22320,E16,2025,3.3901597187301555,2026-05-13 15:07:40.839,Indonesia,Gas Engine_IDJW,Particulates PM2pt5
R17,P22388,E16,2025,130.51536509275607,2026-05-13 15:07:40.839,Malaysia,Biomass Other_MYSB,Particulates PM2pt5
R11,P2668,E16,2025,397.61570914384833,2026-05-13 15:07:40.839,Thailand,Natural Gas,Particulates PM2pt5
R1,P2698,E16,2025,1707.6813784920014,2026-05-13 15:07:40.839,Indonesia,Crude Oil,Particulates PM2pt5
R11,P2698,E16,2025,5554.251144151524,2026-05-13 15:07:40.839,Thailand,Crude Oil,Particulates PM2pt5
R12,P2698,E16,2025,24.746604750000003,2026-05-13 15:07:40.839,Myanmar,Crude Oil,Particulates PM2pt5
R14,P2698,E16,2025,2142.146912400002,2026-05-13 15:07:40.839,Vietnam,Crude Oil,Particulates PM2pt5
R15,P2698,E16,2025,2357.4039912360004,2026-05-13 15:07:40.839,Brunei,Crude Oil,Particulates PM2pt5
R16,P2698,E16,2025,1128.1511026799863,2026-05-13 15:07:40.839,Singapore,Crude Oil,Particulates PM2pt5
R17,P2698,E16,2025,7665.197696640747,2026-05-13 15:07:40.839,Malaysia,Crude Oil,Particulates PM2pt5
R19,P2698,E16,2025,287.99247864887025,2026-05-13 15:07:40.839,Philippines,Crude Oil,Particulates PM2pt5
R19,P2720,E16,2025,413.70665264895183,2026-05-13 15:07:40.839,Philippines,Coal Subcritical,Particulates PM2pt5
R12,P2776,E16,2025,0.1035812958186311,2026-05-13 15:07:40.839,Myanmar,Diesel,Particulates PM2pt5
R20,P2776,E16,2025,3.547905278926845,2026-05-13 15:07:40.839,Timor Leste,Diesel,Particulates PM2pt5
R12,P2808,E16,2025,9.600945881380525,2026-05-13 15:07:40.839,Myanmar,Gas Turbine,Particulates PM2pt5
R15,P2808,E16,2025,29.989872311615258,2026-05-13 15:07:40.839,Brunei,Gas Turbine,Particulates PM2pt5
R11,P2831,E16,2025,1267.7870807788881,2026-05-13 15:07:40.839,Thailand,Gas Combined Cycle,Particulates PM2pt5
R12,P2831,E16,2025,23.525462853114053,2026-05-13 15:07:40.839,Myanmar,Gas Combined Cycle,Particulates PM2pt5
R14,P2831,E16,2025,140.15516689429376,2026-05-13 15:07:40.839,Vietnam,Gas Combined Cycle,Particulates PM2pt5
R15,P2831,E16,2025,17.53427243729421,2026-05-13 15:07:40.839,Brunei,Gas Combined Cycle,Particulates PM2pt5
R16,P2831,E16,2025,36.49466978346999,2026-05-13 15:07:40.839,Singapore,Gas Combined Cycle,Particulates PM2pt5
R19,P2831,E16,2025,149.2688314324122,2026-05-13 15:07:40.839,Philippines,Gas Combined Cycle,Particulates PM2pt5
R6,P2831,E16,2025,4.04665390101246,2026-05-13 15:07:40.839,Cambodia,Gas Combined Cycle,Particulates PM2pt5
R12,P2858,E16,2025,24.52432027263291,2026-05-13 15:07:40.839,Myanmar,Gas Engine,Particulates PM2pt5
R6,P2907,E16,2025,184.92369069176465,2026-05-13 15:07:40.839,Cambodia,Biogas,Particulates PM2pt5
R13,P2956,E16,2025,4.926235555642753,2026-05-13 15:07:40.839,Laos,Biomass Other,Particulates PM2pt5
R14,P2956,E16,2025,5131.384695497823,2026-05-13 15:07:40.839,Vietnam,Biomass Other,Particulates PM2pt5
R19,P2956,E16,2025,267.8330004708243,2026-05-13 15:07:40.839,Philippines,Biomass Other,Particulates PM2pt5
R6,P2956,E16,2025,8.567151411968634,2026-05-13 15:07:40.839,Cambodia,Biomass Other,Particulates PM2pt5
R17,P3067,E16,2025,327.2803246371143,2026-05-13 15:07:40.839,Malaysia,Coal Ultrasupercritical,Particulates PM2pt5
R1,P2698,E18,2025,95.55937247520008,2026-05-13 15:07:40.839,Indonesia,Crude Oil,Black Carbon
R11,P2698,E18,2025,310.80783604578477,2026-05-13 15:07:40.839,Thailand,Crude Oil,Black Carbon
R12,P2698,E18,2025,1.3847841000000003,2026-05-13 15:07:40.839,Myanmar,Crude Oil,Black Carbon
R14,P2698,E18,2025,119.8714334400001,2026-05-13 15:07:40.839,Vietnam,Crude Oil,Black Carbon
R15,P2698,E18,2025,131.91690728160003,2026-05-13 15:07:40.839,Brunei,Crude Oil,Black Carbon
R16,P2698,E18,2025,63.12969901007176,2026-05-13 15:07:40.839,Singapore,Crude Oil,Black Carbon
R17,P2698,E18,2025,428.9333426099486,2026-05-13 15:07:40.839,Malaysia,Crude Oil,Black Carbon
R19,P2698,E18,2025,16.11564129226839,2026-05-13 15:07:40.839,Philippines,Crude Oil,Black Carbon
R1,P14612,E2,2025,7.673577918989849,2026-05-13 15:07:40.839,Indonesia,Anaerobic Digestion,Carbon Dioxide
R12,P14612,E2,2025,1.192100751310001,2026-05-13 15:07:40.839,Myanmar,Anaerobic Digestion,Carbon Dioxide
R6,P14612,E2,2025,2.4513213361180086,2026-05-13 15:07:40.839,Cambodia,Anaerobic Digestion,Carbon Dioxide
R1,P14937,E2,2025,4970.411148868476,2026-05-13 15:07:40.839,Indonesia,SMR,Carbon Dioxide
R11,P14937,E2,2025,8540.694515448477,2026-05-13 15:07:40.839,Thailand,SMR,Carbon Dioxide
R16,P14937,E2,2025,17215480.005494803,2026-05-13 15:07:40.839,Singapore,SMR,Carbon Dioxide
R17,P14937,E2,2025,7522.394011712948,2026-05-13 15:07:40.839,Malaysia,SMR,Carbon Dioxide
R6,P14937,E2,2025,341.0849023124726,2026-05-13 15:07:40.839,Cambodia,SMR,Carbon Dioxide
