region,fuel,family,year,prev_prod,production_PJ,ratio_prod,demand_PJ_prev,demand_PJ_this,demand_YoY_ratio,attribution
Indonesia,Natural Gas output from Natural Gas Production,Natural Gas,2050,3845.2948,6790.8027,1.7660031423338465,2323.716772261694,2682.7954451580026,1.1545277278120318,SOLVER (demand smoother than production)
Indonesia,Natural Gas output from Natural Gas Transmission and Distribution,Natural Gas,2030,1565.2954,2391.0287,1.5275255392688178,1030.9423911474228,1244.1485852317746,1.2068070882671307,SOLVER (demand smoother than production)
Indonesia,Natural Gas output from Natural Gas Transmission and Distribution,Natural Gas,2050,3845.2948,6790.8027,1.7660031423338465,2323.716772261694,2682.7954451580026,1.1545277278120318,SOLVER (demand smoother than production)
Laos,Blended Diesel output from Diesel Blending,Blended Diesel,2030,88.4614,136.1769,1.5393934529636655,88.46138264547362,136.17685435097857,1.539393238931547,AUTHORED (demand step matches production step)
Laos,Gasoline output from Gasoline Distribution and Handling,Gasoline,2055,47.9746,3.2926,0.06863215117999942,9.58203710610404,3.2926209829303708,0.343624319804906,MIXED
Laos,Gasoline output from Gasoline Distribution and Handling,Gasoline,2060,3.2926,1.0072,0.3058980744700237,3.2926209829303708,1.0071720737152607,0.3058876435935534,AUTHORED (demand step matches production step)
Laos,Gasoline output from Oil Refining,Gasoline,2055,47.9746,9.5354,0.19875934348592794,9.58203710610404,3.2926209829303708,0.343624319804906,MIXED
Laos,LNG output from Energy Sector Own Use,LNG,2030,0.5517,2.1887,3.9671923146637664,0.5517000487524157,2.1886556476628645,3.9671115719713463,AUTHORED (demand step matches production step)
Laos,LNG output from Energy Sector Own Use,LNG,2035,2.1887,3.8963,1.7801891533787182,2.1886556476628645,3.8963390468654806,1.7802430688565147,AUTHORED (demand step matches production step)
Laos,LNG output from Gas Processing,LNG,2030,0.5517,2.1887,3.9671923146637664,0.5517000487524157,2.1886556476628645,3.9671115719713463,AUTHORED (demand step matches production step)
Laos,LNG output from Gas Processing,LNG,2035,2.1887,3.8963,1.7801891533787182,2.1886556476628645,3.8963390468654806,1.7802430688565147,AUTHORED (demand step matches production step)
Malaysia,Gasoline output from Gasoline Distribution and Handling,Gasoline,2055,1455.8277,583.0702,0.40050769744249265,778.3226623992225,583.0701916492684,0.7491368552110796,SOLVER (demand smoother than production)
Myanmar,Gasoline output from Gasoline Distribution and Handling,Gasoline,2035,151.0647,280.2372,1.8550806376340734,151.0646997735425,172.7978823241543,1.143866717924118,SOLVER (demand smoother than production)
Myanmar,Gasoline output from Oil Refining,Gasoline,2035,151.0647,280.2372,1.8550806376340734,151.0646997735425,172.7978823241543,1.143866717924118,SOLVER (demand smoother than production)
Myanmar,Kerosene output from Gas Processing,Kerosene,2030,6.2027,0.0445,0.007174295065052316,6.202734504286634,0.04448564458985118,0.0071719407882294,AUTHORED (demand step matches production step)
Myanmar,LNG output from Energy Sector Own Use,LNG,2030,0.8497,3.2232,3.7933388254678118,0.8497386538584979,3.22317704427926,3.7931392548090406,AUTHORED (demand step matches production step)
Myanmar,LNG output from Energy Sector Own Use,LNG,2035,3.2232,6.3355,1.9655931993050384,3.22317704427926,6.335458442638169,1.9655943051228981,AUTHORED (demand step matches production step)
Myanmar,LNG output from Energy Sector Own Use,LNG,2040,6.3355,10.3052,1.6265803803961802,6.335458442638169,10.305162633310694,1.6265851519056744,AUTHORED (demand step matches production step)
Myanmar,LNG output from Gas Processing,LNG,2030,0.8497,3.2232,3.7933388254678118,0.8497386538584979,3.22317704427926,3.7931392548090406,AUTHORED (demand step matches production step)
Myanmar,LNG output from Gas Processing,LNG,2035,3.2232,6.3355,1.9655931993050384,3.22317704427926,6.335458442638169,1.9655943051228981,AUTHORED (demand step matches production step)
Myanmar,LNG output from Gas Processing,LNG,2040,6.3355,10.3052,1.6265803803961802,6.335458442638169,10.305162633310694,1.6265851519056744,AUTHORED (demand step matches production step)
Philippines,Blended Diesel output from Diesel Blending,Blended Diesel,2030,88.9209,160.2847,1.8025537303378618,88.92087317945908,160.28471675127025,1.8025544624127283,AUTHORED (demand step matches production step)
Philippines,Gasoline output from Gasoline Distribution and Handling,Gasoline,2035,272.515,464.1542,1.7032244096655231,272.51499438999934,336.23158079462115,1.2338094699972224,SOLVER (demand smoother than production)
Philippines,Gasoline output from Gasoline Distribution and Handling,Gasoline,2055,464.1542,232.0387,0.499917268873146,283.2404317122127,232.03871890238963,0.8192287997151243,SOLVER (demand smoother than production)
Philippines,Gasoline output from Oil Refining,Gasoline,2035,272.515,464.1542,1.7032244096655231,272.51499438999934,336.23158079462115,1.2338094699972224,SOLVER (demand smoother than production)
Philippines,Gasoline output from Oil Refining,Gasoline,2055,464.1542,232.0387,0.499917268873146,283.2404317122127,232.03871890238963,0.8192287997151243,SOLVER (demand smoother than production)
Philippines,Kerosene output from Gas Processing,Kerosene,2040,11.0712,1.0488,0.09473227834381097,11.071194695664731,0.07076702345978181,0.006391995209649129,MIXED
Philippines,LNG output from Energy Sector Own Use,LNG,2030,1.5255,6.1576,4.036447066535562,1.525526447978521,6.157584530397016,4.03636694634593,AUTHORED (demand step matches production step)
Philippines,LNG output from Energy Sector Own Use,LNG,2035,6.1576,11.4878,1.8656294660257242,6.157584530397016,11.487805341856095,1.8656350205419605,AUTHORED (demand step matches production step)
Philippines,LNG output from Energy Sector Own Use,LNG,2040,11.4878,17.3696,1.5120040390675324,11.487805341856095,17.36956549866448,1.512000332681304,AUTHORED (demand step matches production step)
Philippines,LNG output from Gas Processing,LNG,2030,1.5255,6.1576,4.036447066535562,1.525526447978521,6.157584530397016,4.03636694634593,AUTHORED (demand step matches production step)
Philippines,LNG output from Gas Processing,LNG,2035,6.1576,11.4878,1.8656294660257242,6.157584530397016,11.487805341856095,1.8656350205419605,AUTHORED (demand step matches production step)
Philippines,LNG output from Gas Processing,LNG,2040,11.4878,17.3696,1.5120040390675324,11.487805341856095,17.36956549866448,1.512000332681304,AUTHORED (demand step matches production step)
Singapore,Gasoline output from Gasoline Distribution and Handling,Gasoline,2035,1097.2723,2146.1597,1.955904382166578,1085.6461753596175,1068.373387297172,0.9840898550057307,SOLVER (demand smoother than production)
Singapore,Gasoline output from Gasoline Distribution and Handling,Gasoline,2055,2146.1597,1049.1689,0.48885872752153525,1049.432336977601,1049.1689110833927,0.9997489824880307,SOLVER (demand smoother than production)
Singapore,Gasoline output from Oil Refining,Gasoline,2035,1097.2723,2146.1597,1.955904382166578,1085.6461753596175,1068.373387297172,0.9840898550057307,SOLVER (demand smoother than production)
Singapore,Gasoline output from Oil Refining,Gasoline,2055,2146.1597,1049.1689,0.48885872752153525,1049.432336977601,1049.1689110833927,0.9997489824880307,SOLVER (demand smoother than production)
Singapore,LNG output from Energy Sector Own Use,LNG,2030,1.0091,3.8248,3.790308195421663,1.009092784678934,3.8247599882715244,3.7902956460921082,AUTHORED (demand step matches production step)
Singapore,LNG output from Energy Sector Own Use,LNG,2035,3.8248,7.1417,1.8672087429408073,3.8247599882715244,7.141722787891017,1.8672342342502086,AUTHORED (demand step matches production step)
Singapore,LNG output from Energy Sector Own Use,LNG,2040,7.1417,10.9283,1.5302098940028284,7.141722787891017,10.928333456847437,1.530209696094158,AUTHORED (demand step matches production step)
Singapore,LNG output from Gas Processing,LNG,2030,1.0091,3.8248,3.790308195421663,1.009092784678934,3.8247599882715244,3.7902956460921082,AUTHORED (demand step matches production step)
Singapore,LNG output from Gas Processing,LNG,2035,3.8248,7.1417,1.8672087429408073,3.8247599882715244,7.141722787891017,1.8672342342502086,AUTHORED (demand step matches production step)
Singapore,LNG output from Gas Processing,LNG,2040,7.1417,10.9283,1.5302098940028284,7.141722787891017,10.928333456847437,1.530209696094158,AUTHORED (demand step matches production step)
Singapore,Natural Gas output from Natural Gas Production,Natural Gas,2055,347.4069,77.6791,0.22359688307860323,65.60895402052753,65.32829919946427,0.9957223091687233,SOLVER (demand smoother than production)
Singapore,Natural Gas output from Natural Gas Transmission and Distribution,Natural Gas,2035,330.1259,122.5638,0.3712638117760527,61.985588624892785,64.01191943739641,1.032690353636327,SOLVER (demand smoother than production)
Singapore,Natural Gas output from Natural Gas Transmission and Distribution,Natural Gas,2040,122.5638,220.007,1.795040623740452,64.01191943739641,65.41569120862052,1.0219298496836513,SOLVER (demand smoother than production)
Singapore,Natural Gas output from Natural Gas Transmission and Distribution,Natural Gas,2055,268.9795,74.8133,0.2781375532336108,65.60895402052753,65.32829919946427,0.9957223091687233,SOLVER (demand smoother than production)
Thailand,Blended Diesel output from Diesel Blending,Blended Diesel,2030,243.1501,428.1558,1.7608703430514732,243.15007821091507,428.1558049540225,1.7608705212203486,AUTHORED (demand step matches production step)
Thailand,Crude Oil output from Crude Oil Production,Crude Oil,2035,331.1981,1201.9656,3.629144007770576,331.1980975395354,394.5657735788323,1.1913286232923865,SOLVER (demand smoother than production)
Thailand,Gasoline output from Gasoline Distribution and Handling,Gasoline,2055,913.9707,245.3907,0.2684885850279446,419.189710053067,245.39068267355242,0.5853929063346697,SOLVER (demand smoother than production)
Thailand,Gasoline output from Oil Refining,Gasoline,2055,913.9707,245.3907,0.2684885850279446,419.189710053067,245.39068267355242,0.5853929063346697,SOLVER (demand smoother than production)
Thailand,LNG output from Energy Sector Own Use,LNG,2030,5.5592,20.686,3.7210389984170384,5.559192011844533,20.685974479840194,3.721039754656111,AUTHORED (demand step matches production step)
Thailand,LNG output from Energy Sector Own Use,LNG,2035,20.686,39.0544,1.8879628734409746,20.685974479840194,39.054372597025555,1.887963877896424,AUTHORED (demand step matches production step)
Thailand,LNG output from Energy Sector Own Use,LNG,2040,39.0544,60.2468,1.5426379614076775,39.054372597025555,60.24684987665444,1.5426403209263932,AUTHORED (demand step matches production step)
Thailand,LNG output from Gas Processing,LNG,2030,5.5592,20.686,3.7210389984170384,5.559192011844533,20.685974479840194,3.721039754656111,AUTHORED (demand step matches production step)
Thailand,LNG output from Gas Processing,LNG,2035,20.686,39.0544,1.8879628734409746,20.685974479840194,39.054372597025555,1.887963877896424,AUTHORED (demand step matches production step)
Thailand,LNG output from Gas Processing,LNG,2040,39.0544,60.2468,1.5426379614076775,39.054372597025555,60.24684987665444,1.5426403209263932,AUTHORED (demand step matches production step)
Timor Leste,Gasoline output from Gasoline Distribution and Handling,Gasoline,2035,14.9041,36.9358,2.478230822391154,14.904117623631715,23.423473954610845,1.5716109162659173,SOLVER (demand smoother than production)
Timor Leste,Gasoline output from Oil Refining,Gasoline,2035,14.9041,36.9358,2.478230822391154,14.904117623631715,23.423473954610845,1.5716109162659173,SOLVER (demand smoother than production)
Vietnam,Blended Diesel output from Diesel Blending,Blended Diesel,2030,587.1693,1100.4924,1.8742335472920673,587.169329228709,1100.4924388678853,1.8742335201899336,AUTHORED (demand step matches production step)
Vietnam,Blended Diesel output from Diesel Blending,Blended Diesel,2035,1100.4924,1672.6853,1.5199426184133575,1100.4924388678853,1672.685285269169,1.5199425513453944,AUTHORED (demand step matches production step)
Vietnam,Diesel output from Gas Processing,Diesel,2030,752.1223,1273.5332,1.693252812740694,172.79350373951138,224.66473629495798,1.3001920294043183,SOLVER (demand smoother than production)
Vietnam,Gasoline output from Gasoline Distribution and Handling,Gasoline,2055,1443.8283,278.2148,0.19269244133807326,557.6315786938376,278.21482442056976,0.49892229036282937,SOLVER (demand smoother than production)
Vietnam,Gasoline output from Gasoline Distribution and Handling,Gasoline,2060,278.2148,129.5379,0.46560391467312306,278.21482442056976,129.53792224739647,0.4656039537691116,AUTHORED (demand step matches production step)
Vietnam,Gasoline output from Oil Refining,Gasoline,2055,1443.8283,278.2148,0.19269244133807326,557.6315786938376,278.21482442056976,0.49892229036282937,SOLVER (demand smoother than production)
Vietnam,Gasoline output from Oil Refining,Gasoline,2060,278.2148,129.5379,0.46560391467312306,278.21482442056976,129.53792224739647,0.4656039537691116,AUTHORED (demand step matches production step)
Vietnam,LNG output from Energy Sector Own Use,LNG,2030,8.9798,42.4323,4.725305686095459,8.979767252830333,42.432346387812245,4.725328084025562,AUTHORED (demand step matches production step)
Vietnam,LNG output from Energy Sector Own Use,LNG,2035,42.4323,92.3459,2.1763114419911247,42.432346387812245,92.34592727029751,2.176309705485008,AUTHORED (demand step matches production step)
Vietnam,LNG output from Energy Sector Own Use,LNG,2040,92.3459,163.9087,1.7749429048826209,92.34592727029751,163.9086643227891,1.774941994388412,AUTHORED (demand step matches production step)
Vietnam,LNG output from Energy Sector Own Use,LNG,2045,163.9087,261.2183,1.5936817264733354,163.9086643227891,261.2182740254896,1.5936819148929582,AUTHORED (demand step matches production step)
Vietnam,LNG output from Gas Processing,LNG,2030,8.9798,42.4323,4.725305686095459,8.979767252830333,42.432346387812245,4.725328084025562,AUTHORED (demand step matches production step)
Vietnam,LNG output from Gas Processing,LNG,2035,42.4323,92.3459,2.1763114419911247,42.432346387812245,92.34592727029751,2.176309705485008,AUTHORED (demand step matches production step)
Vietnam,LNG output from Gas Processing,LNG,2040,92.3459,163.9087,1.7749429048826209,92.34592727029751,163.9086643227891,1.774941994388412,AUTHORED (demand step matches production step)
Vietnam,LNG output from Gas Processing,LNG,2045,163.9087,261.2183,1.5936817264733354,163.9086643227891,261.2182740254896,1.5936819148929582,AUTHORED (demand step matches production step)
