region,data_center_type,year,twh
Philippines,Enterprise,2041,0.028
Philippines,Enterprise,2042,0.031
Philippines,Enterprise,2043,0.034
Philippines,Enterprise,2044,0.037
Philippines,Enterprise,2045,0.04
Philippines,Enterprise,2046,0.043
Philippines,Enterprise,2047,0.047
Philippines,Enterprise,2048,0.05
Philippines,Enterprise,2049,0.054
Philippines,Enterprise,2050,0.057
Philippines,Enterprise,2051,0.061
Philippines,Enterprise,2052,0.065
Philippines,Enterprise,2053,0.069
Philippines,Enterprise,2054,0.073
Philippines,Enterprise,2055,0.077
Philippines,Enterprise,2056,0.081
Philippines,Enterprise,2057,0.085
Philippines,Enterprise,2058,0.089
Philippines,Enterprise,2059,0.093
Philippines,Enterprise,2060,0.097
Singapore,Hyperscale,2023,1.713
Singapore,Hyperscale,2024,2.394
Singapore,Hyperscale,2025,3.075
Singapore,Hyperscale,2026,3.757
Singapore,Hyperscale,2027,4.438
Singapore,Hyperscale,2028,5.119
Singapore,Hyperscale,2029,5.801
Singapore,Hyperscale,2030,6.482
Singapore,Hyperscale,2031,7.461
Singapore,Hyperscale,2032,8.411
Singapore,Hyperscale,2033,9.328
Singapore,Hyperscale,2034,10.213
Singapore,Hyperscale,2035,11.067
Singapore,Hyperscale,2036,11.89
Singapore,Hyperscale,2037,12.69
Singapore,Hyperscale,2038,13.464
Singapore,Hyperscale,2039,14.211
Singapore,Hyperscale,2040,14.924
Singapore,Hyperscale,2041,15.609
Singapore,Hyperscale,2042,16.266
Singapore,Hyperscale,2043,16.898
Singapore,Hyperscale,2044,17.493
Singapore,Hyperscale,2045,18.062
Singapore,Hyperscale,2046,18.605
Singapore,Hyperscale,2047,19.108
Singapore,Hyperscale,2048,19.599
Singapore,Hyperscale,2049,20.054
Singapore,Hyperscale,2050,20.477
Singapore,Hyperscale,2051,20.874
Singapore,Hyperscale,2052,21.247
Singapore,Hyperscale,2053,21.595
Singapore,Hyperscale,2054,21.92
Singapore,Hyperscale,2055,22.222
Singapore,Hyperscale,2056,22.503
Singapore,Hyperscale,2057,22.763
Singapore,Hyperscale,2058,23.004
Singapore,Hyperscale,2059,23.226
Singapore,Hyperscale,2060,23.43
Singapore,Colocation,2023,2.646
Singapore,Colocation,2024,3.809
Singapore,Colocation,2025,4.972
Singapore,Colocation,2026,6.135
Singapore,Colocation,2027,7.298
Singapore,Colocation,2028,8.461
Singapore,Colocation,2029,9.624
Singapore,Colocation,2030,10.787
Singapore,Colocation,2031,11.093
Singapore,Colocation,2032,11.205
Singapore,Colocation,2033,11.166
Singapore,Colocation,2034,11.015
Singapore,Colocation,2035,10.785
Singapore,Colocation,2036,10.497
Singapore,Colocation,2037,10.177
Singapore,Colocation,2038,9.836
Singapore,Colocation,2039,9.482
Singapore,Colocation,2040,9.121
Singapore,Colocation,2041,8.762
Singapore,Colocation,2042,8.409
Singapore,Colocation,2043,8.069
Singapore,Colocation,2044,7.738
Singapore,Colocation,2045,7.422
Singapore,Colocation,2046,7.123
Singapore,Colocation,2047,6.836
Singapore,Colocation,2048,6.572
Singapore,Colocation,2049,6.32
Singapore,Colocation,2050,6.084
Singapore,Colocation,2051,5.864
Singapore,Colocation,2052,5.659
Singapore,Colocation,2053,5.469
Singapore,Colocation,2054,5.293
Singapore,Colocation,2055,5.13
Singapore,Colocation,2056,4.98
Singapore,Colocation,2057,4.841
Singapore,Colocation,2058,4.714
Singapore,Colocation,2059,4.596
Singapore,Colocation,2060,4.488
Singapore,Enterprise,2023,0.201
Singapore,Enterprise,2024,0.216
Singapore,Enterprise,2025,0.232
Singapore,Enterprise,2026,0.247
Singapore,Enterprise,2027,0.263
Singapore,Enterprise,2028,0.278
Singapore,Enterprise,2029,0.294
Singapore,Enterprise,2030,0.309
Singapore,Enterprise,2031,0.316
Singapore,Enterprise,2032,0.317
Singapore,Enterprise,2033,0.314
Singapore,Enterprise,2034,0.309
Singapore,Enterprise,2035,0.301
Singapore,Enterprise,2036,0.291
Singapore,Enterprise,2037,0.281
Singapore,Enterprise,2038,0.27
Singapore,Enterprise,2039,0.259
Singapore,Enterprise,2040,0.248
Singapore,Enterprise,2041,0.238
Singapore,Enterprise,2042,0.227
Singapore,Enterprise,2043,0.217
Singapore,Enterprise,2044,0.207
Singapore,Enterprise,2045,0.198
Singapore,Enterprise,2046,0.19
Singapore,Enterprise,2047,0.181
Singapore,Enterprise,2048,0.174
Singapore,Enterprise,2049,0.167
Singapore,Enterprise,2050,0.16
Singapore,Enterprise,2051,0.154
Singapore,Enterprise,2052,0.148
Singapore,Enterprise,2053,0.143
Singapore,Enterprise,2054,0.138
Singapore,Enterprise,2055,0.133
Singapore,Enterprise,2056,0.129
Singapore,Enterprise,2057,0.125
Singapore,Enterprise,2058,0.122
Singapore,Enterprise,2059,0.118
Singapore,Enterprise,2060,0.115
Thailand,Hyperscale,2023,0.0
Thailand,Hyperscale,2024,0.0
Thailand,Hyperscale,2025,0.0
Thailand,Hyperscale,2026,0.0
Thailand,Hyperscale,2027,0.0
Thailand,Hyperscale,2028,0.0
Thailand,Hyperscale,2029,0.0
Thailand,Hyperscale,2030,0.0
Thailand,Hyperscale,2031,0.0
Thailand,Hyperscale,2032,0.0
Thailand,Hyperscale,2033,0.0
Thailand,Hyperscale,2034,0.0
Thailand,Hyperscale,2035,0.0
Thailand,Hyperscale,2036,0.0
Thailand,Hyperscale,2037,0.0
Thailand,Hyperscale,2038,0.0
Thailand,Hyperscale,2039,0.0
Thailand,Hyperscale,2040,0.0
Thailand,Hyperscale,2041,0.0
Thailand,Hyperscale,2042,0.0
Thailand,Hyperscale,2043,0.0
Thailand,Hyperscale,2044,0.0
Thailand,Hyperscale,2045,0.0
Thailand,Hyperscale,2046,0.0
Thailand,Hyperscale,2047,0.0
Thailand,Hyperscale,2048,0.0
Thailand,Hyperscale,2049,0.0
Thailand,Hyperscale,2050,0.0
Thailand,Hyperscale,2051,0.0
Thailand,Hyperscale,2052,0.0
Thailand,Hyperscale,2053,0.0
Thailand,Hyperscale,2054,0.0
Thailand,Hyperscale,2055,0.0
Thailand,Hyperscale,2056,0.0
Thailand,Hyperscale,2057,0.0
Thailand,Hyperscale,2058,0.0
Thailand,Hyperscale,2059,0.0
Thailand,Hyperscale,2060,0.0
Thailand,Colocation,2023,2.022
Thailand,Colocation,2024,2.578
Thailand,Colocation,2025,3.134
Thailand,Colocation,2026,3.689
Thailand,Colocation,2027,4.245
Thailand,Colocation,2028,4.801
Thailand,Colocation,2029,5.356
Thailand,Colocation,2030,5.912
Thailand,Colocation,2031,6.874
Thailand,Colocation,2032,8.061
Thailand,Colocation,2033,9.281
Thailand,Colocation,2034,10.764
Thailand,Colocation,2035,12.414
Thailand,Colocation,2036,14.237
Thailand,Colocation,2037,16.238
Thailand,Colocation,2038,18.42
Thailand,Colocation,2039,20.969
Thailand,Colocation,2040,23.523
Thailand,Colocation,2041,26.46
Thailand,Colocation,2042,29.583
Thailand,Colocation,2043,32.879
Thailand,Colocation,2044,36.332
Thailand,Colocation,2045,39.923
Thailand,Colocation,2046,43.628
Thailand,Colocation,2047,47.678
Thailand,Colocation,2048,51.799
Thailand,Colocation,2049,55.701
Thailand,Colocation,2050,59.872
Thailand,Colocation,2051,64.082
Thailand,Colocation,2052,68.306
Thailand,Colocation,2053,72.515
Thailand,Colocation,2054,76.685
Thailand,Colocation,2055,80.791
Thailand,Colocation,2056,84.81
Thailand,Colocation,2057,88.722
Thailand,Colocation,2058,92.51
Thailand,Colocation,2059,96.158
Thailand,Colocation,2060,99.652
Thailand,Enterprise,2023,0.058
Thailand,Enterprise,2024,0.057
Thailand,Enterprise,2025,0.056
Thailand,Enterprise,2026,0.055
Thailand,Enterprise,2027,0.054
Thailand,Enterprise,2028,0.053
Thailand,Enterprise,2029,0.051
Thailand,Enterprise,2030,0.05
Thailand,Enterprise,2031,0.058
Thailand,Enterprise,2032,0.068
Thailand,Enterprise,2033,0.078
Thailand,Enterprise,2034,0.09
Thailand,Enterprise,2035,0.103
Thailand,Enterprise,2036,0.117
Thailand,Enterprise,2037,0.133
Thailand,Enterprise,2038,0.15
Thailand,Enterprise,2039,0.17
Thailand,Enterprise,2040,0.19
Thailand,Enterprise,2041,0.213
Thailand,Enterprise,2042,0.238
Thailand,Enterprise,2043,0.263
Thailand,Enterprise,2044,0.29
Thailand,Enterprise,2045,0.317
Thailand,Enterprise,2046,0.345
Thailand,Enterprise,2047,0.376
Thailand,Enterprise,2048,0.407
Thailand,Enterprise,2049,0.437
Thailand,Enterprise,2050,0.468
Thailand,Enterprise,2051,0.5
Thailand,Enterprise,2052,0.531
Thailand,Enterprise,2053,0.562
Thailand,Enterprise,2054,0.593
Thailand,Enterprise,2055,0.623
Thailand,Enterprise,2056,0.653
Thailand,Enterprise,2057,0.682
Thailand,Enterprise,2058,0.709
Thailand,Enterprise,2059,0.736
Thailand,Enterprise,2060,0.761
Vietnam,Hyperscale,2023,0.0
Vietnam,Hyperscale,2024,0.0
Vietnam,Hyperscale,2025,0.0
Vietnam,Hyperscale,2026,0.0
Vietnam,Hyperscale,2027,0.0
Vietnam,Hyperscale,2028,0.0
Vietnam,Hyperscale,2029,0.0
Vietnam,Hyperscale,2030,0.0
Vietnam,Hyperscale,2031,0.0
Vietnam,Hyperscale,2032,0.0
Vietnam,Hyperscale,2033,0.0
Vietnam,Hyperscale,2034,0.0
Vietnam,Hyperscale,2035,0.0
Vietnam,Hyperscale,2036,0.0
Vietnam,Hyperscale,2037,0.0
Vietnam,Hyperscale,2038,0.0
Vietnam,Hyperscale,2039,0.0
Vietnam,Hyperscale,2040,0.0
Vietnam,Hyperscale,2041,0.0
Vietnam,Hyperscale,2042,0.0
Vietnam,Hyperscale,2043,0.0
Vietnam,Hyperscale,2044,0.0
Vietnam,Hyperscale,2045,0.0
Vietnam,Hyperscale,2046,0.0
Vietnam,Hyperscale,2047,0.0
Vietnam,Hyperscale,2048,0.0
Vietnam,Hyperscale,2049,0.0
Vietnam,Hyperscale,2050,0.0
Vietnam,Hyperscale,2051,0.0
Vietnam,Hyperscale,2052,0.0
Vietnam,Hyperscale,2053,0.0
Vietnam,Hyperscale,2054,0.0
Vietnam,Hyperscale,2055,0.0
Vietnam,Hyperscale,2056,0.0
Vietnam,Hyperscale,2057,0.0
Vietnam,Hyperscale,2058,0.0
Vietnam,Hyperscale,2059,0.0
Vietnam,Hyperscale,2060,0.0
Vietnam,Colocation,2023,0.67
Vietnam,Colocation,2024,0.957
Vietnam,Colocation,2025,1.243
Vietnam,Colocation,2026,1.53
Vietnam,Colocation,2027,1.816
Vietnam,Colocation,2028,2.103
Vietnam,Colocation,2029,2.389
Vietnam,Colocation,2030,2.676
Vietnam,Colocation,2031,3.149
Vietnam,Colocation,2032,3.695
Vietnam,Colocation,2033,4.323
Vietnam,Colocation,2034,5.062
Vietnam,Colocation,2035,5.894
Vietnam,Colocation,2036,6.854
Vietnam,Colocation,2037,7.942
Vietnam,Colocation,2038,9.186
Vietnam,Colocation,2039,10.521
Vietnam,Colocation,2040,12.154
Vietnam,Colocation,2041,13.962
Vietnam,Colocation,2042,15.953
Vietnam,Colocation,2043,18.138
Vietnam,Colocation,2044,20.526
Vietnam,Colocation,2045,23.122
Vietnam,Colocation,2046,25.933
Vietnam,Colocation,2047,28.963
Vietnam,Colocation,2048,32.493
Vietnam,Colocation,2049,35.98
Vietnam,Colocation,2050,39.988
Vietnam,Colocation,2051,44.305
Vietnam,Colocation,2052,48.931
Vietnam,Colocation,2053,53.867
Vietnam,Colocation,2054,59.105
Vietnam,Colocation,2055,64.638
Vietnam,Colocation,2056,70.452
Vietnam,Colocation,2057,76.532
Vietnam,Colocation,2058,82.856
Vietnam,Colocation,2059,89.402
Vietnam,Colocation,2060,96.143
Vietnam,Enterprise,2023,0.0
Vietnam,Enterprise,2024,0.0
Vietnam,Enterprise,2025,0.0
Vietnam,Enterprise,2026,0.0
Vietnam,Enterprise,2027,0.0
Vietnam,Enterprise,2028,0.0
Vietnam,Enterprise,2029,0.0
Vietnam,Enterprise,2030,0.0
Vietnam,Enterprise,2031,0.0
Vietnam,Enterprise,2032,0.0
Vietnam,Enterprise,2033,0.0
Vietnam,Enterprise,2034,0.0
Vietnam,Enterprise,2035,0.0
Vietnam,Enterprise,2036,0.0
Vietnam,Enterprise,2037,0.0
Vietnam,Enterprise,2038,0.0
Vietnam,Enterprise,2039,0.0
Vietnam,Enterprise,2040,0.0
Vietnam,Enterprise,2041,0.0
Vietnam,Enterprise,2042,0.0
Vietnam,Enterprise,2043,0.0
Vietnam,Enterprise,2044,0.0
Vietnam,Enterprise,2045,0.0
Vietnam,Enterprise,2046,0.0
Vietnam,Enterprise,2047,0.0
Vietnam,Enterprise,2048,0.0
Vietnam,Enterprise,2049,0.0
Vietnam,Enterprise,2050,0.0
Vietnam,Enterprise,2051,0.0
Vietnam,Enterprise,2052,0.0
Vietnam,Enterprise,2053,0.0
Vietnam,Enterprise,2054,0.0
Vietnam,Enterprise,2055,0.0
Vietnam,Enterprise,2056,0.0
Vietnam,Enterprise,2057,0.0
Vietnam,Enterprise,2058,0.0
Vietnam,Enterprise,2059,0.0
Vietnam,Enterprise,2060,0.0
