domain,scenario,scenario_code,sector,subsector,layer,fuel,carrier,region,year,value,unit,value_pj,confident_carrier,fuel_resolved,path_repaired,branch_leaf,branch_path
demand,Baseline Simulation,BAS,Commercial,Data_Center,Direct,Electricity,electricity,Indonesia,2044,68647.422243,GWh,247.13072,True,True,False,Colocation,Demand\Commercial\Data_Center\Colocation
demand,Baseline Simulation,BAS,Commercial,Data_Center,Direct,Electricity,electricity,Indonesia,2045,69552.265288,GWh,250.388155,True,True,False,Colocation,Demand\Commercial\Data_Center\Colocation
demand,Baseline Simulation,BAS,Commercial,Data_Center,Direct,Electricity,electricity,Indonesia,2046,70227.31073,GWh,252.818319,True,True,False,Colocation,Demand\Commercial\Data_Center\Colocation
demand,Baseline Simulation,BAS,Commercial,Data_Center,Direct,Electricity,electricity,Indonesia,2047,70695.40662,GWh,254.503464,True,True,False,Colocation,Demand\Commercial\Data_Center\Colocation
demand,Baseline Simulation,BAS,Commercial,Data_Center,Direct,Electricity,electricity,Indonesia,2048,70981.037712,GWh,255.531736,True,True,False,Colocation,Demand\Commercial\Data_Center\Colocation
demand,Baseline Simulation,BAS,Commercial,Data_Center,Direct,Electricity,electricity,Indonesia,2049,71109.240746,GWh,255.993267,True,True,False,Colocation,Demand\Commercial\Data_Center\Colocation
demand,Baseline Simulation,BAS,Commercial,Data_Center,Direct,Electricity,electricity,Indonesia,2050,71104.037294,GWh,255.974534,True,True,False,Colocation,Demand\Commercial\Data_Center\Colocation
demand,Baseline Simulation,BAS,Commercial,Data_Center,Direct,Electricity,electricity,Indonesia,2051,71039.386139,GWh,255.74179,True,True,False,Colocation,Demand\Commercial\Data_Center\Colocation
demand,Baseline Simulation,BAS,Commercial,Data_Center,Direct,Electricity,electricity,Indonesia,2052,70932.690259,GWh,255.357685,True,True,False,Colocation,Demand\Commercial\Data_Center\Colocation
demand,Baseline Simulation,BAS,Commercial,Data_Center,Direct,Electricity,electricity,Indonesia,2053,70799.755187,GWh,254.879119,True,True,False,Colocation,Demand\Commercial\Data_Center\Colocation
demand,Baseline Simulation,BAS,Commercial,Data_Center,Direct,Electricity,electricity,Indonesia,2054,70654.832529,GWh,254.357397,True,True,False,Colocation,Demand\Commercial\Data_Center\Colocation
demand,Baseline Simulation,BAS,Commercial,Data_Center,Direct,Electricity,electricity,Indonesia,2055,70510.66091,GWh,253.838379,True,True,False,Colocation,Demand\Commercial\Data_Center\Colocation
demand,Baseline Simulation,BAS,Commercial,Data_Center,Direct,Electricity,electricity,Indonesia,2056,70378.508092,GWh,253.362629,True,True,False,Colocation,Demand\Commercial\Data_Center\Colocation
demand,Baseline Simulation,BAS,Commercial,Data_Center,Direct,Electricity,electricity,Indonesia,2057,70268.217156,GWh,252.965582,True,True,False,Colocation,Demand\Commercial\Data_Center\Colocation
demand,Baseline Simulation,BAS,Commercial,Data_Center,Direct,Electricity,electricity,Indonesia,2058,70188.25867,GWh,252.677731,True,True,False,Colocation,Demand\Commercial\Data_Center\Colocation
demand,Baseline Simulation,BAS,Commercial,Data_Center,Direct,Electricity,electricity,Indonesia,2059,70145.78974,GWh,252.524843,True,True,False,Colocation,Demand\Commercial\Data_Center\Colocation
demand,Baseline Simulation,BAS,Commercial,Data_Center,Direct,Electricity,electricity,Indonesia,2060,70146.719998,GWh,252.528192,True,True,False,Colocation,Demand\Commercial\Data_Center\Colocation
demand,Baseline Simulation,BAS,Commercial,Data_Center,Direct,Electricity,electricity,Malaysia,2023,5900.0,GWh,21.24,True,True,False,Colocation,Demand\Commercial\Data_Center\Colocation
demand,Baseline Simulation,BAS,Commercial,Data_Center,Direct,Electricity,electricity,Malaysia,2024,6437.228615,GWh,23.174023,True,True,False,Colocation,Demand\Commercial\Data_Center\Colocation
demand,Baseline Simulation,BAS,Commercial,Data_Center,Direct,Electricity,electricity,Malaysia,2025,6974.45723,GWh,25.108046,True,True,False,Colocation,Demand\Commercial\Data_Center\Colocation
demand,Baseline Simulation,BAS,Commercial,Data_Center,Direct,Electricity,electricity,Malaysia,2026,7511.685844,GWh,27.042069,True,True,False,Colocation,Demand\Commercial\Data_Center\Colocation
demand,Baseline Simulation,BAS,Commercial,Data_Center,Direct,Electricity,electricity,Malaysia,2027,8048.914459,GWh,28.976092,True,True,False,Colocation,Demand\Commercial\Data_Center\Colocation
demand,Baseline Simulation,BAS,Commercial,Data_Center,Direct,Electricity,electricity,Malaysia,2028,8586.143074,GWh,30.910115,True,True,False,Colocation,Demand\Commercial\Data_Center\Colocation
demand,Baseline Simulation,BAS,Commercial,Data_Center,Direct,Electricity,electricity,Malaysia,2029,9123.371689,GWh,32.844138,True,True,False,Colocation,Demand\Commercial\Data_Center\Colocation
demand,Baseline Simulation,BAS,Commercial,Data_Center,Direct,Electricity,electricity,Malaysia,2030,9660.600303,GWh,34.778161,True,True,False,Colocation,Demand\Commercial\Data_Center\Colocation
demand,Baseline Simulation,BAS,Commercial,Data_Center,Direct,Electricity,electricity,Malaysia,2031,10922.682095,GWh,39.321656,True,True,False,Colocation,Demand\Commercial\Data_Center\Colocation
demand,Baseline Simulation,BAS,Commercial,Data_Center,Direct,Electricity,electricity,Malaysia,2032,11945.162037,GWh,43.002583,True,True,False,Colocation,Demand\Commercial\Data_Center\Colocation
demand,Baseline Simulation,BAS,Commercial,Data_Center,Direct,Electricity,electricity,Malaysia,2033,12816.356827,GWh,46.138885,True,True,False,Colocation,Demand\Commercial\Data_Center\Colocation
demand,Baseline Simulation,BAS,Commercial,Data_Center,Direct,Electricity,electricity,Malaysia,2034,13568.279731,GWh,48.845807,True,True,False,Colocation,Demand\Commercial\Data_Center\Colocation
demand,Baseline Simulation,BAS,Commercial,Data_Center,Direct,Electricity,electricity,Malaysia,2035,14370.739609,GWh,51.734663,True,True,False,Colocation,Demand\Commercial\Data_Center\Colocation
demand,Baseline Simulation,BAS,Commercial,Data_Center,Direct,Electricity,electricity,Malaysia,2036,15104.187732,GWh,54.375076,True,True,False,Colocation,Demand\Commercial\Data_Center\Colocation
demand,Baseline Simulation,BAS,Commercial,Data_Center,Direct,Electricity,electricity,Malaysia,2037,15652.14597,GWh,56.347725,True,True,False,Colocation,Demand\Commercial\Data_Center\Colocation
demand,Baseline Simulation,BAS,Commercial,Data_Center,Direct,Electricity,electricity,Malaysia,2038,16298.038071,GWh,58.672937,True,True,False,Colocation,Demand\Commercial\Data_Center\Colocation
demand,Baseline Simulation,BAS,Commercial,Data_Center,Direct,Electricity,electricity,Malaysia,2039,16913.80321,GWh,60.889692,True,True,False,Colocation,Demand\Commercial\Data_Center\Colocation
demand,Baseline Simulation,BAS,Commercial,Data_Center,Direct,Electricity,electricity,Malaysia,2040,17505.488805,GWh,63.01976,True,True,False,Colocation,Demand\Commercial\Data_Center\Colocation
demand,Baseline Simulation,BAS,Commercial,Data_Center,Direct,Electricity,electricity,Malaysia,2041,18196.695656,GWh,65.508104,True,True,False,Colocation,Demand\Commercial\Data_Center\Colocation
demand,Baseline Simulation,BAS,Commercial,Data_Center,Direct,Electricity,electricity,Malaysia,2042,18748.050112,GWh,67.49298,True,True,False,Colocation,Demand\Commercial\Data_Center\Colocation
demand,Baseline Simulation,BAS,Commercial,Data_Center,Direct,Electricity,electricity,Malaysia,2043,19284.687378,GWh,69.424875,True,True,False,Colocation,Demand\Commercial\Data_Center\Colocation
demand,Baseline Simulation,BAS,Commercial,Data_Center,Direct,Electricity,electricity,Malaysia,2044,19915.839482,GWh,71.697022,True,True,False,Colocation,Demand\Commercial\Data_Center\Colocation
demand,Baseline Simulation,BAS,Commercial,Data_Center,Direct,Electricity,electricity,Malaysia,2045,20422.550289,GWh,73.521181,True,True,False,Colocation,Demand\Commercial\Data_Center\Colocation
demand,Baseline Simulation,BAS,Commercial,Data_Center,Direct,Electricity,electricity,Malaysia,2046,21018.130557,GWh,75.66527,True,True,False,Colocation,Demand\Commercial\Data_Center\Colocation
demand,Baseline Simulation,BAS,Commercial,Data_Center,Direct,Electricity,electricity,Malaysia,2047,21595.188736,GWh,77.742679,True,True,False,Colocation,Demand\Commercial\Data_Center\Colocation
demand,Baseline Simulation,BAS,Commercial,Data_Center,Direct,Electricity,electricity,Malaysia,2048,22153.664764,GWh,79.753193,True,True,False,Colocation,Demand\Commercial\Data_Center\Colocation
demand,Baseline Simulation,BAS,Commercial,Data_Center,Direct,Electricity,electricity,Malaysia,2049,22693.653553,GWh,81.697153,True,True,False,Colocation,Demand\Commercial\Data_Center\Colocation
demand,Baseline Simulation,BAS,Commercial,Data_Center,Direct,Electricity,electricity,Malaysia,2050,23130.229932,GWh,83.268828,True,True,False,Colocation,Demand\Commercial\Data_Center\Colocation
demand,Baseline Simulation,BAS,Commercial,Data_Center,Direct,Electricity,electricity,Malaysia,2051,23568.488776,GWh,84.84656,True,True,False,Colocation,Demand\Commercial\Data_Center\Colocation
demand,Baseline Simulation,BAS,Commercial,Data_Center,Direct,Electricity,electricity,Malaysia,2052,24008.124613,GWh,86.429249,True,True,False,Colocation,Demand\Commercial\Data_Center\Colocation
demand,Baseline Simulation,BAS,Commercial,Data_Center,Direct,Electricity,electricity,Malaysia,2053,24448.830078,GWh,88.015788,True,True,False,Colocation,Demand\Commercial\Data_Center\Colocation
demand,Baseline Simulation,BAS,Commercial,Data_Center,Direct,Electricity,electricity,Malaysia,2054,24890.301368,GWh,89.605085,True,True,False,Colocation,Demand\Commercial\Data_Center\Colocation
demand,Baseline Simulation,BAS,Commercial,Data_Center,Direct,Electricity,electricity,Malaysia,2055,25332.241848,GWh,91.196071,True,True,False,Colocation,Demand\Commercial\Data_Center\Colocation
demand,Baseline Simulation,BAS,Commercial,Data_Center,Direct,Electricity,electricity,Malaysia,2056,25774.364446,GWh,92.787712,True,True,False,Colocation,Demand\Commercial\Data_Center\Colocation
demand,Baseline Simulation,BAS,Commercial,Data_Center,Direct,Electricity,electricity,Malaysia,2057,26216.39325,GWh,94.379016,True,True,False,Colocation,Demand\Commercial\Data_Center\Colocation
demand,Baseline Simulation,BAS,Commercial,Data_Center,Direct,Electricity,electricity,Malaysia,2058,26658.064563,GWh,95.969032,True,True,False,Colocation,Demand\Commercial\Data_Center\Colocation
demand,Baseline Simulation,BAS,Commercial,Data_Center,Direct,Electricity,electricity,Malaysia,2059,27099.127594,GWh,97.556859,True,True,False,Colocation,Demand\Commercial\Data_Center\Colocation
demand,Baseline Simulation,BAS,Commercial,Data_Center,Direct,Electricity,electricity,Malaysia,2060,27539.344899,GWh,99.141642,True,True,False,Colocation,Demand\Commercial\Data_Center\Colocation
demand,Baseline Simulation,BAS,Commercial,Data_Center,Direct,Electricity,electricity,Philippines,2023,1099.977085,GWh,3.959918,True,True,False,Colocation,Demand\Commercial\Data_Center\Colocation
demand,Baseline Simulation,BAS,Commercial,Data_Center,Direct,Electricity,electricity,Philippines,2024,1127.448194,GWh,4.058813,True,True,False,Colocation,Demand\Commercial\Data_Center\Colocation
demand,Baseline Simulation,BAS,Commercial,Data_Center,Direct,Electricity,electricity,Philippines,2025,1154.919303,GWh,4.157709,True,True,False,Colocation,Demand\Commercial\Data_Center\Colocation
demand,Baseline Simulation,BAS,Commercial,Data_Center,Direct,Electricity,electricity,Philippines,2026,1182.390412,GWh,4.256605,True,True,False,Colocation,Demand\Commercial\Data_Center\Colocation
demand,Baseline Simulation,BAS,Commercial,Data_Center,Direct,Electricity,electricity,Philippines,2027,1209.861521,GWh,4.355501,True,True,False,Colocation,Demand\Commercial\Data_Center\Colocation
demand,Baseline Simulation,BAS,Commercial,Data_Center,Direct,Electricity,electricity,Philippines,2028,1237.33263,GWh,4.454397,True,True,False,Colocation,Demand\Commercial\Data_Center\Colocation
demand,Baseline Simulation,BAS,Commercial,Data_Center,Direct,Electricity,electricity,Philippines,2029,1264.803739,GWh,4.553293,True,True,False,Colocation,Demand\Commercial\Data_Center\Colocation
demand,Baseline Simulation,BAS,Commercial,Data_Center,Direct,Electricity,electricity,Philippines,2030,1292.274847,GWh,4.652189,True,True,False,Colocation,Demand\Commercial\Data_Center\Colocation
demand,Baseline Simulation,BAS,Commercial,Data_Center,Direct,Electricity,electricity,Philippines,2031,1463.481745,GWh,5.268534,True,True,False,Colocation,Demand\Commercial\Data_Center\Colocation
demand,Baseline Simulation,BAS,Commercial,Data_Center,Direct,Electricity,electricity,Philippines,2032,1676.328576,GWh,6.034783,True,True,False,Colocation,Demand\Commercial\Data_Center\Colocation
demand,Baseline Simulation,BAS,Commercial,Data_Center,Direct,Electricity,electricity,Philippines,2033,1878.161352,GWh,6.761381,True,True,False,Colocation,Demand\Commercial\Data_Center\Colocation
demand,Baseline Simulation,BAS,Commercial,Data_Center,Direct,Electricity,electricity,Philippines,2034,2126.301734,GWh,7.654686,True,True,False,Colocation,Demand\Commercial\Data_Center\Colocation
demand,Baseline Simulation,BAS,Commercial,Data_Center,Direct,Electricity,electricity,Philippines,2035,2360.313309,GWh,8.497128,True,True,False,Colocation,Demand\Commercial\Data_Center\Colocation
demand,Baseline Simulation,BAS,Commercial,Data_Center,Direct,Electricity,electricity,Philippines,2036,2645.170319,GWh,9.522613,True,True,False,Colocation,Demand\Commercial\Data_Center\Colocation
demand,Baseline Simulation,BAS,Commercial,Data_Center,Direct,Electricity,electricity,Philippines,2037,2949.693265,GWh,10.618896,True,True,False,Colocation,Demand\Commercial\Data_Center\Colocation
demand,Baseline Simulation,BAS,Commercial,Data_Center,Direct,Electricity,electricity,Philippines,2038,3273.931143,GWh,11.786152,True,True,False,Colocation,Demand\Commercial\Data_Center\Colocation
demand,Baseline Simulation,BAS,Commercial,Data_Center,Direct,Electricity,electricity,Philippines,2039,3659.670625,GWh,13.174814,True,True,False,Colocation,Demand\Commercial\Data_Center\Colocation
demand,Baseline Simulation,BAS,Commercial,Data_Center,Direct,Electricity,electricity,Philippines,2040,4024.863074,GWh,14.489507,True,True,False,Colocation,Demand\Commercial\Data_Center\Colocation
demand,Baseline Simulation,BAS,Commercial,Data_Center,Direct,Electricity,electricity,Philippines,2041,4454.801042,GWh,16.037284,True,True,False,Colocation,Demand\Commercial\Data_Center\Colocation
demand,Baseline Simulation,BAS,Commercial,Data_Center,Direct,Electricity,electricity,Philippines,2042,4906.65764,GWh,17.663968,True,True,False,Colocation,Demand\Commercial\Data_Center\Colocation
demand,Baseline Simulation,BAS,Commercial,Data_Center,Direct,Electricity,electricity,Philippines,2043,5379.149404,GWh,19.364938,True,True,False,Colocation,Demand\Commercial\Data_Center\Colocation
demand,Baseline Simulation,BAS,Commercial,Data_Center,Direct,Electricity,electricity,Philippines,2044,5870.693427,GWh,21.134496,True,True,False,Colocation,Demand\Commercial\Data_Center\Colocation
demand,Baseline Simulation,BAS,Commercial,Data_Center,Direct,Electricity,electricity,Philippines,2045,6379.406952,GWh,22.965865,True,True,False,Colocation,Demand\Commercial\Data_Center\Colocation
demand,Baseline Simulation,BAS,Commercial,Data_Center,Direct,Electricity,electricity,Philippines,2046,6903.125398,GWh,24.851251,True,True,False,Colocation,Demand\Commercial\Data_Center\Colocation
demand,Baseline Simulation,BAS,Commercial,Data_Center,Direct,Electricity,electricity,Philippines,2047,7497.452426,GWh,26.990829,True,True,False,Colocation,Demand\Commercial\Data_Center\Colocation
demand,Baseline Simulation,BAS,Commercial,Data_Center,Direct,Electricity,electricity,Philippines,2048,8104.836371,GWh,29.177411,True,True,False,Colocation,Demand\Commercial\Data_Center\Colocation
demand,Baseline Simulation,BAS,Commercial,Data_Center,Direct,Electricity,electricity,Philippines,2049,8660.557849,GWh,31.178008,True,True,False,Colocation,Demand\Commercial\Data_Center\Colocation
demand,Baseline Simulation,BAS,Commercial,Data_Center,Direct,Electricity,electricity,Philippines,2050,9281.678434,GWh,33.414042,True,True,False,Colocation,Demand\Commercial\Data_Center\Colocation
demand,Baseline Simulation,BAS,Commercial,Data_Center,Direct,Electricity,electricity,Philippines,2051,9920.857693,GWh,35.715088,True,True,False,Colocation,Demand\Commercial\Data_Center\Colocation
demand,Baseline Simulation,BAS,Commercial,Data_Center,Direct,Electricity,electricity,Philippines,2052,10575.355229,GWh,38.071279,True,True,False,Colocation,Demand\Commercial\Data_Center\Colocation
demand,Baseline Simulation,BAS,Commercial,Data_Center,Direct,Electricity,electricity,Philippines,2053,11242.178373,GWh,40.471842,True,True,False,Colocation,Demand\Commercial\Data_Center\Colocation
demand,Baseline Simulation,BAS,Commercial,Data_Center,Direct,Electricity,electricity,Philippines,2054,11918.146893,GWh,42.905329,True,True,False,Colocation,Demand\Commercial\Data_Center\Colocation
demand,Baseline Simulation,BAS,Commercial,Data_Center,Direct,Electricity,electricity,Philippines,2055,12599.968779,GWh,45.359888,True,True,False,Colocation,Demand\Commercial\Data_Center\Colocation
demand,Baseline Simulation,BAS,Commercial,Data_Center,Direct,Electricity,electricity,Philippines,2056,13284.324372,GWh,47.823568,True,True,False,Colocation,Demand\Commercial\Data_Center\Colocation
demand,Baseline Simulation,BAS,Commercial,Data_Center,Direct,Electricity,electricity,Philippines,2057,13967.955366,GWh,50.284639,True,True,False,Colocation,Demand\Commercial\Data_Center\Colocation
demand,Baseline Simulation,BAS,Commercial,Data_Center,Direct,Electricity,electricity,Philippines,2058,14647.754763,GWh,52.731917,True,True,False,Colocation,Demand\Commercial\Data_Center\Colocation
demand,Baseline Simulation,BAS,Commercial,Data_Center,Direct,Electricity,electricity,Philippines,2059,15320.853613,GWh,55.155073,True,True,False,Colocation,Demand\Commercial\Data_Center\Colocation
demand,Baseline Simulation,BAS,Commercial,Data_Center,Direct,Electricity,electricity,Philippines,2060,15984.700456,GWh,57.544922,True,True,False,Colocation,Demand\Commercial\Data_Center\Colocation
demand,Baseline Simulation,BAS,Commercial,Data_Center,Direct,Electricity,electricity,Singapore,2023,2646.280992,GWh,9.526612,True,True,False,Colocation,Demand\Commercial\Data_Center\Colocation
demand,Baseline Simulation,BAS,Commercial,Data_Center,Direct,Electricity,electricity,Singapore,2024,3809.28558,GWh,13.713428,True,True,False,Colocation,Demand\Commercial\Data_Center\Colocation
demand,Baseline Simulation,BAS,Commercial,Data_Center,Direct,Electricity,electricity,Singapore,2025,4972.290168,GWh,17.900245,True,True,False,Colocation,Demand\Commercial\Data_Center\Colocation
demand,Baseline Simulation,BAS,Commercial,Data_Center,Direct,Electricity,electricity,Singapore,2026,6135.294755,GWh,22.087061,True,True,False,Colocation,Demand\Commercial\Data_Center\Colocation
demand,Baseline Simulation,BAS,Commercial,Data_Center,Direct,Electricity,electricity,Singapore,2027,7298.299343,GWh,26.273878,True,True,False,Colocation,Demand\Commercial\Data_Center\Colocation
demand,Baseline Simulation,BAS,Commercial,Data_Center,Direct,Electricity,electricity,Singapore,2028,8461.303931,GWh,30.460694,True,True,False,Colocation,Demand\Commercial\Data_Center\Colocation
demand,Baseline Simulation,BAS,Commercial,Data_Center,Direct,Electricity,electricity,Singapore,2029,9624.308519,GWh,34.647511,True,True,False,Colocation,Demand\Commercial\Data_Center\Colocation
demand,Baseline Simulation,BAS,Commercial,Data_Center,Direct,Electricity,electricity,Singapore,2030,10787.313106,GWh,38.834327,True,True,False,Colocation,Demand\Commercial\Data_Center\Colocation
demand,Baseline Simulation,BAS,Commercial,Data_Center,Direct,Electricity,electricity,Singapore,2031,11092.724718,GWh,39.933809,True,True,False,Colocation,Demand\Commercial\Data_Center\Colocation
demand,Baseline Simulation,BAS,Commercial,Data_Center,Direct,Electricity,electricity,Singapore,2032,11204.963251,GWh,40.337868,True,True,False,Colocation,Demand\Commercial\Data_Center\Colocation
demand,Baseline Simulation,BAS,Commercial,Data_Center,Direct,Electricity,electricity,Singapore,2033,11165.72571,GWh,40.196613,True,True,False,Colocation,Demand\Commercial\Data_Center\Colocation
demand,Baseline Simulation,BAS,Commercial,Data_Center,Direct,Electricity,electricity,Singapore,2034,11015.37231,GWh,39.65534,True,True,False,Colocation,Demand\Commercial\Data_Center\Colocation
demand,Baseline Simulation,BAS,Commercial,Data_Center,Direct,Electricity,electricity,Singapore,2035,10784.677643,GWh,38.82484,True,True,False,Colocation,Demand\Commercial\Data_Center\Colocation
demand,Baseline Simulation,BAS,Commercial,Data_Center,Direct,Electricity,electricity,Singapore,2036,10497.062854,GWh,37.789426,True,True,False,Colocation,Demand\Commercial\Data_Center\Colocation
demand,Baseline Simulation,BAS,Commercial,Data_Center,Direct,Electricity,electricity,Singapore,2037,10177.083049,GWh,36.637499,True,True,False,Colocation,Demand\Commercial\Data_Center\Colocation
demand,Baseline Simulation,BAS,Commercial,Data_Center,Direct,Electricity,electricity,Singapore,2038,9835.690608,GWh,35.408486,True,True,False,Colocation,Demand\Commercial\Data_Center\Colocation
demand,Baseline Simulation,BAS,Commercial,Data_Center,Direct,Electricity,electricity,Singapore,2039,9482.307828,GWh,34.136308,True,True,False,Colocation,Demand\Commercial\Data_Center\Colocation
demand,Baseline Simulation,BAS,Commercial,Data_Center,Direct,Electricity,electricity,Singapore,2040,9120.616984,GWh,32.834221,True,True,False,Colocation,Demand\Commercial\Data_Center\Colocation
demand,Baseline Simulation,BAS,Commercial,Data_Center,Direct,Electricity,electricity,Singapore,2041,8761.737133,GWh,31.542254,True,True,False,Colocation,Demand\Commercial\Data_Center\Colocation
demand,Baseline Simulation,BAS,Commercial,Data_Center,Direct,Electricity,electricity,Singapore,2042,8409.213389,GWh,30.273168,True,True,False,Colocation,Demand\Commercial\Data_Center\Colocation
demand,Baseline Simulation,BAS,Commercial,Data_Center,Direct,Electricity,electricity,Singapore,2043,8069.20685,GWh,29.049145,True,True,False,Colocation,Demand\Commercial\Data_Center\Colocation
demand,Baseline Simulation,BAS,Commercial,Data_Center,Direct,Electricity,electricity,Singapore,2044,7738.013565,GWh,27.856849,True,True,False,Colocation,Demand\Commercial\Data_Center\Colocation
demand,Baseline Simulation,BAS,Commercial,Data_Center,Direct,Electricity,electricity,Singapore,2045,7422.425121,GWh,26.72073,True,True,False,Colocation,Demand\Commercial\Data_Center\Colocation
demand,Baseline Simulation,BAS,Commercial,Data_Center,Direct,Electricity,electricity,Singapore,2046,7123.270361,GWh,25.643773,True,True,False,Colocation,Demand\Commercial\Data_Center\Colocation
demand,Baseline Simulation,BAS,Commercial,Data_Center,Direct,Electricity,electricity,Singapore,2047,6836.348357,GWh,24.610854,True,True,False,Colocation,Demand\Commercial\Data_Center\Colocation
demand,Baseline Simulation,BAS,Commercial,Data_Center,Direct,Electricity,electricity,Singapore,2048,6571.717991,GWh,23.658185,True,True,False,Colocation,Demand\Commercial\Data_Center\Colocation
demand,Baseline Simulation,BAS,Commercial,Data_Center,Direct,Electricity,electricity,Singapore,2049,6320.264541,GWh,22.752952,True,True,False,Colocation,Demand\Commercial\Data_Center\Colocation
demand,Baseline Simulation,BAS,Commercial,Data_Center,Direct,Electricity,electricity,Singapore,2050,6083.837491,GWh,21.901815,True,True,False,Colocation,Demand\Commercial\Data_Center\Colocation
demand,Baseline Simulation,BAS,Commercial,Data_Center,Direct,Electricity,electricity,Singapore,2051,5863.577963,GWh,21.108881,True,True,False,Colocation,Demand\Commercial\Data_Center\Colocation
demand,Baseline Simulation,BAS,Commercial,Data_Center,Direct,Electricity,electricity,Singapore,2052,5658.831026,GWh,20.371792,True,True,False,Colocation,Demand\Commercial\Data_Center\Colocation
demand,Baseline Simulation,BAS,Commercial,Data_Center,Direct,Electricity,electricity,Singapore,2053,5468.876628,GWh,19.687956,True,True,False,Colocation,Demand\Commercial\Data_Center\Colocation
demand,Baseline Simulation,BAS,Commercial,Data_Center,Direct,Electricity,electricity,Singapore,2054,5292.951725,GWh,19.054626,True,True,False,Colocation,Demand\Commercial\Data_Center\Colocation
