region,data_center_type,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
Philippines,Enterprise,0.01,0.01,0.01,0.009,0.009,0.009,0.009,0.009,0.01,0.011,0.012,0.014,0.015,0.017,0.019,0.021,0.024,0.026,0.028,0.031,0.034,0.037,0.04,0.043,0.047,0.05,0.054,0.057,0.061,0.065,0.069,0.073,0.077,0.081,0.085,0.089,0.093,0.097
Philippines,TOTAL,1.11,1.147,1.184,1.22,1.257,1.294,1.331,1.368,1.559,1.798,2.03,2.318,2.598,2.942,3.32,3.731,4.23,4.722,5.312,5.956,6.657,7.419,8.245,9.141,10.19,11.326,12.469,13.79,15.24,16.828,18.565,20.46,22.526,24.773,27.212,29.853,32.708,35.786
Singapore,Hyperscale,1.713,2.394,3.075,3.757,4.438,5.119,5.801,6.482,7.461,8.411,9.328,10.213,11.067,11.89,12.69,13.464,14.211,14.924,15.609,16.266,16.898,17.493,18.062,18.605,19.108,19.599,20.054,20.477,20.874,21.247,21.595,21.92,22.222,22.503,22.763,23.004,23.226,23.43
Singapore,Colocation,2.646,3.809,4.972,6.135,7.298,8.461,9.624,10.787,11.093,11.205,11.166,11.015,10.785,10.497,10.177,9.836,9.482,9.121,8.762,8.409,8.069,7.738,7.422,7.123,6.836,6.572,6.32,6.084,5.864,5.659,5.469,5.293,5.13,4.98,4.841,4.714,4.596,4.488
Singapore,Enterprise,0.201,0.216,0.232,0.247,0.263,0.278,0.294,0.309,0.316,0.317,0.314,0.309,0.301,0.291,0.281,0.27,0.259,0.248,0.238,0.227,0.217,0.207,0.198,0.19,0.181,0.174,0.167,0.16,0.154,0.148,0.143,0.138,0.133,0.129,0.125,0.122,0.118,0.115
Singapore,TOTAL,4.56,6.419,8.279,10.139,11.999,13.858,15.719,17.578,18.87,19.933,20.808,21.537,22.153,22.678,23.148,23.57,23.952,24.293,24.609,24.902,25.184,25.438,25.682,25.918,26.125,26.345,26.541,26.721,26.892,27.054,27.207,27.351,27.485,27.612,27.729,27.84,27.94,28.033
Thailand,Hyperscale,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thailand,Colocation,2.022,2.578,3.134,3.689,4.245,4.801,5.356,5.912,6.874,8.061,9.281,10.764,12.414,14.237,16.238,18.42,20.969,23.523,26.46,29.583,32.879,36.332,39.923,43.628,47.678,51.799,55.701,59.872,64.082,68.306,72.515,76.685,80.791,84.81,88.722,92.51,96.158,99.652
Thailand,Enterprise,0.058,0.057,0.056,0.055,0.054,0.053,0.051,0.05,0.058,0.068,0.078,0.09,0.103,0.117,0.133,0.15,0.17,0.19,0.213,0.238,0.263,0.29,0.317,0.345,0.376,0.407,0.437,0.468,0.5,0.531,0.562,0.593,0.623,0.653,0.682,0.709,0.736,0.761
Thailand,TOTAL,2.08,2.635,3.19,3.744,4.299,4.854,5.407,5.962,6.932,8.129,9.359,10.854,12.517,14.354,16.371,18.57,21.139,23.713,26.673,29.821,33.142,36.622,40.24,43.973,48.054,52.206,56.138,60.34,64.582,68.837,73.077,77.278,81.414,85.463,89.404,93.219,96.894,100.413
Vietnam,Hyperscale,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vietnam,Colocation,0.67,0.957,1.243,1.53,1.816,2.103,2.389,2.676,3.149,3.695,4.323,5.062,5.894,6.854,7.942,9.186,10.521,12.154,13.962,15.953,18.138,20.526,23.122,25.933,28.963,32.493,35.98,39.988,44.305,48.931,53.867,59.105,64.638,70.452,76.532,82.856,89.402,96.143
Vietnam,Enterprise,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vietnam,TOTAL,0.67,0.957,1.243,1.53,1.816,2.103,2.389,2.676,3.149,3.695,4.323,5.062,5.894,6.854,7.942,9.186,10.521,12.154,13.962,15.953,18.138,20.526,23.122,25.933,28.963,32.493,35.98,39.988,44.305,48.931,53.867,59.105,64.638,70.452,76.532,82.856,89.402,96.143
ASEAN,Hyperscale,3.468,10.992,18.515,26.041,33.563,41.087,48.612,56.136,66.582,76.635,86.615,96.625,107.476,118.564,129.236,140.969,153.084,165.581,179.18,192.496,206.232,221.02,235.536,251.041,266.868,283.001,299.364,315.435,331.957,348.926,366.333,384.17,402.433,421.111,440.198,459.681,479.554,499.804
ASEAN,Colocation,15.585,21.431,27.277,33.123,38.969,44.815,50.66,56.507,63.947,71.379,78.584,85.845,93.106,100.31,107.298,114.377,121.586,128.702,136.217,143.681,151.246,159.03,166.821,174.832,183.264,192.104,200.465,209.46,218.779,228.412,238.342,248.546,259.002,269.679,280.547,291.574,302.722,313.954
ASEAN,Enterprise,0.687,0.693,0.701,0.706,0.713,0.719,0.726,0.732,0.805,0.874,0.938,1.001,1.058,1.11,1.16,1.205,1.249,1.287,1.325,1.361,1.394,1.426,1.456,1.484,1.513,1.541,1.567,1.591,1.618,1.643,1.669,1.695,1.72,1.747,1.772,1.797,1.822,1.846
ASEAN,TOTAL,19.74,33.116,46.493,59.87,73.245,86.621,99.998,113.375,131.334,148.888,166.137,183.471,201.64,219.984,237.694,256.551,275.919,295.57,316.722,337.538,358.872,381.476,403.813,427.357,451.645,476.646,501.396,526.486,552.354,578.981,606.344,634.411,663.155,692.537,722.517,753.052,784.098,815.604
