ams,branch,variable,expression,unit,scenario,source,note
Brunei,Demand\Residential\Projections\Refrigeration_\Medium\Low_eff,Exogenous Devices,"Interp(2005, 0)",Device,,Fridge author CSV 2026-06-29,Phase-2 Demand-leaf input (device-stock leaf)
Brunei,Demand\Residential\Projections\Refrigeration_\Medium\Mid_eff,Exogenous Devices,"Interp(2005, 19593.5, 2006, 20546.9, 2007, 21514.8, 2008, 22497.9, 2009, 23497.5, 2010, 24517.8, 2011, 25540.4, 2012, 26559.5, 2013, 27592.3, 2014, 28634, 2015, 29678.6, 2016, 30720.9, 2017, 31757.2, 2018, 32782.6, 2019, 33801.9, 2020, 34822.3, 2021, 35847.7, 2022, 36879.8, 2023, 37909.7, 2024, 38930.4, 2025, 39943.2)",Device,,Fridge author CSV 2026-06-29,Phase-2 Demand-leaf input (device-stock leaf)
Brunei,Demand\Residential\Projections\Refrigeration_\Small\High_eff,Exogenous Devices,"Interp(2005, 0)",Device,,Fridge author CSV 2026-06-29,Phase-2 Demand-leaf input (device-stock leaf)
Brunei,Demand\Residential\Projections\Refrigeration_\Small\Low_eff,Exogenous Devices,"Interp(2005, 15015, 2006, 15745.7, 2007, 16487.4, 2008, 17240.8, 2009, 18006.8, 2010, 18788.7, 2011, 19572.3, 2012, 20353.3, 2013, 21144.8, 2014, 21943.1, 2015, 22743.6, 2016, 23542.3, 2017, 24336.5, 2018, 25122.2, 2019, 25903.4, 2020, 26685.4, 2021, 27471.1, 2022, 28262.1, 2023, 29051.3, 2024, 29833.5, 2025, 30609.6)",Device,,Fridge author CSV 2026-06-29,Phase-2 Demand-leaf input (device-stock leaf)
Brunei,Demand\Residential\Projections\Refrigeration_\Small\Mid_eff,Exogenous Devices,"Interp(2005, 0)",Device,,Fridge author CSV 2026-06-29,Phase-2 Demand-leaf input (device-stock leaf)
Cambodia,Demand\Residential\Projections\Refrigeration_\Large\High_eff,Efficiency,"Interp(2014, 100.0)",Percent,,Fridge author CSV 2026-06-29,Phase-2 Demand-leaf input (device-stock leaf)
Cambodia,Demand\Residential\Projections\Refrigeration_\Large\Low_eff,Efficiency,"Interp(2014, 65.60978818576503)",Percent,,Fridge author CSV 2026-06-29,Phase-2 Demand-leaf input (device-stock leaf)
Cambodia,Demand\Residential\Projections\Refrigeration_\Large\Mid_eff,Efficiency,"Interp(2014, 82.4297520661157)",Percent,,Fridge author CSV 2026-06-29,Phase-2 Demand-leaf input (device-stock leaf)
Cambodia,Demand\Residential\Projections\Refrigeration_\Medium\High_eff,Efficiency,"Interp(2014, 100.0)",Percent,,Fridge author CSV 2026-06-29,Phase-2 Demand-leaf input (device-stock leaf)
Cambodia,Demand\Residential\Projections\Refrigeration_\Medium\Low_eff,Efficiency,"Interp(2014, 68.52967761373908)",Percent,,Fridge author CSV 2026-06-29,Phase-2 Demand-leaf input (device-stock leaf)
Cambodia,Demand\Residential\Projections\Refrigeration_\Medium\Mid_eff,Efficiency,"Interp(2014, 90.72596729158356)",Percent,,Fridge author CSV 2026-06-29,Phase-2 Demand-leaf input (device-stock leaf)
Cambodia,Demand\Residential\Projections\Refrigeration_\Small\High_eff,Efficiency,"Interp(2014, 100.0)",Percent,,Fridge author CSV 2026-06-29,Phase-2 Demand-leaf input (device-stock leaf)
Cambodia,Demand\Residential\Projections\Refrigeration_\Small\Low_eff,Efficiency,"Interp(2014, 58.85075202468183)",Percent,,Fridge author CSV 2026-06-29,Phase-2 Demand-leaf input (device-stock leaf)
Cambodia,Demand\Residential\Projections\Refrigeration_\Small\Mid_eff,Efficiency,"Interp(2014, 86.33663366336634)",Percent,,Fridge author CSV 2026-06-29,Phase-2 Demand-leaf input (device-stock leaf)
Cambodia,Demand\Residential\Projections\Refrigeration_\Large\High_eff,Exogenous Devices,"Interp(2005, 40536, 2006, 42527.4, 2007, 44590.4, 2008, 46680.2, 2009, 48761.9, 2010, 50876.6, 2011, 53046.6, 2012, 55271.4, 2013, 57542.7, 2014, 59851.4, 2015, 62185.9, 2016, 64563.8, 2017, 66978.9, 2018, 69384.1, 2019, 71772.9, 2020, 74225.3, 2021, 76725.8, 2022, 79197, 2023, 81689.6, 2024, 84211.1, 2025, 86733.7)",Device,,Fridge author CSV 2026-06-29,Phase-2 Demand-leaf input (device-stock leaf)
Cambodia,Demand\Residential\Projections\Refrigeration_\Large\Low_eff,Exogenous Devices,"Interp(2005, 5637.5, 2006, 5914.4, 2007, 6201.3, 2008, 6492, 2009, 6781.5, 2010, 7075.6, 2011, 7377.3, 2012, 7686.7, 2013, 8002.6, 2014, 8323.7, 2015, 8648.4, 2016, 8979.1, 2017, 9315, 2018, 9649.4, 2019, 9981.7, 2020, 10322.7, 2021, 10670.5, 2022, 11014.2, 2023, 11360.8, 2024, 11711.5, 2025, 12062.3)",Device,,Fridge author CSV 2026-06-29,Phase-2 Demand-leaf input (device-stock leaf)
Cambodia,Demand\Residential\Projections\Refrigeration_\Large\Mid_eff,Exogenous Devices,"Interp(2005, 22684.1, 2006, 23798.5, 2007, 24952.9, 2008, 26122.4, 2009, 27287.3, 2010, 28470.7, 2011, 29685, 2012, 30930, 2013, 32201.1, 2014, 33493, 2015, 34799.4, 2016, 36130.1, 2017, 37481.6, 2018, 38827.5, 2019, 40164.3, 2020, 41536.7, 2021, 42936, 2022, 44318.9, 2023, 45713.7, 2024, 47124.7, 2025, 48536.4)",Device,,Fridge author CSV 2026-06-29,Phase-2 Demand-leaf input (device-stock leaf)
Cambodia,Demand\Residential\Projections\Refrigeration_\Medium\High_eff,Exogenous Devices,"Interp(2005, 168855.3, 2006, 177150.6, 2007, 185744, 2008, 194449.4, 2009, 203120.9, 2010, 211929.8, 2011, 220969.1, 2012, 230236.3, 2013, 239697.8, 2014, 249314.9, 2015, 259039.2, 2016, 268944.7, 2017, 279004.9, 2018, 289023.9, 2019, 298974.7, 2020, 309190.2, 2021, 319606.3, 2022, 329900.3, 2023, 340283, 2024, 350786.5, 2025, 361294.5)",Device,,Fridge author CSV 2026-06-29,Phase-2 Demand-leaf input (device-stock leaf)
Cambodia,Demand\Residential\Projections\Refrigeration_\Medium\Low_eff,Exogenous Devices,"Interp(2005, 0)",Device,,Fridge author CSV 2026-06-29,Phase-2 Demand-leaf input (device-stock leaf)
Cambodia,Demand\Residential\Projections\Refrigeration_\Medium\Mid_eff,Exogenous Devices,"Interp(2005, 0)",Device,,Fridge author CSV 2026-06-29,Phase-2 Demand-leaf input (device-stock leaf)
Cambodia,Demand\Residential\Projections\Refrigeration_\Small\High_eff,Exogenous Devices,"Interp(2005, 1104539.4, 2006, 1158801.7, 2007, 1215014.1, 2008, 1271958.5, 2009, 1328681.7, 2010, 1386304.1, 2011, 1445433.3, 2012, 1506053.1, 2013, 1567943.7, 2014, 1630852.2, 2015, 1694462.6, 2016, 1759257.2, 2017, 1825064.8, 2018, 1890602.2, 2019, 1955693.8, 2020, 2022516.8, 2021, 2090651.8, 2022, 2157988.3, 2023, 2225905.4, 2024, 2294612.1, 2025, 2363348.5)",Device,,Fridge author CSV 2026-06-29,Phase-2 Demand-leaf input (device-stock leaf)
Cambodia,Demand\Residential\Projections\Refrigeration_\Small\Low_eff,Exogenous Devices,"Interp(2005, 0)",Device,,Fridge author CSV 2026-06-29,Phase-2 Demand-leaf input (device-stock leaf)
Cambodia,Demand\Residential\Projections\Refrigeration_\Small\Mid_eff,Exogenous Devices,"Interp(2005, 0)",Device,,Fridge author CSV 2026-06-29,Phase-2 Demand-leaf input (device-stock leaf)
Indonesia,Demand\Residential\Projections\Refrigeration_\Large\High_eff,Efficiency,"Interp(2014, 100.0)",Percent,,Fridge author CSV 2026-06-29,Phase-2 Demand-leaf input (device-stock leaf)
Indonesia,Demand\Residential\Projections\Refrigeration_\Large\Low_eff,Efficiency,"Interp(2014, 65.60978818576503)",Percent,,Fridge author CSV 2026-06-29,Phase-2 Demand-leaf input (device-stock leaf)
Indonesia,Demand\Residential\Projections\Refrigeration_\Large\Mid_eff,Efficiency,"Interp(2014, 82.4297520661157)",Percent,,Fridge author CSV 2026-06-29,Phase-2 Demand-leaf input (device-stock leaf)
Indonesia,Demand\Residential\Projections\Refrigeration_\Medium\High_eff,Efficiency,"Interp(2014, 100.0)",Percent,,Fridge author CSV 2026-06-29,Phase-2 Demand-leaf input (device-stock leaf)
Indonesia,Demand\Residential\Projections\Refrigeration_\Medium\Low_eff,Efficiency,"Interp(2014, 68.52967761373908)",Percent,,Fridge author CSV 2026-06-29,Phase-2 Demand-leaf input (device-stock leaf)
Indonesia,Demand\Residential\Projections\Refrigeration_\Medium\Mid_eff,Efficiency,"Interp(2014, 90.72596729158356)",Percent,,Fridge author CSV 2026-06-29,Phase-2 Demand-leaf input (device-stock leaf)
Indonesia,Demand\Residential\Projections\Refrigeration_\Small\High_eff,Efficiency,"Interp(2014, 100.0)",Percent,,Fridge author CSV 2026-06-29,Phase-2 Demand-leaf input (device-stock leaf)
Indonesia,Demand\Residential\Projections\Refrigeration_\Small\Low_eff,Efficiency,"Interp(2014, 58.85075202468183)",Percent,,Fridge author CSV 2026-06-29,Phase-2 Demand-leaf input (device-stock leaf)
Indonesia,Demand\Residential\Projections\Refrigeration_\Small\Mid_eff,Efficiency,"Interp(2014, 86.33663366336634)",Percent,,Fridge author CSV 2026-06-29,Phase-2 Demand-leaf input (device-stock leaf)
Indonesia,Demand\Residential\Projections\Refrigeration_\Large\High_eff,Exogenous Devices,"Interp(2005, 1311640.2, 2006, 1370238.9, 2007, 1430217, 2008, 1491245.3, 2009, 1552959.5, 2010, 1615452.5, 2011, 1679071.4, 2012, 1743732, 2013, 1808629.1, 2014, 1873465.4, 2015, 1938204.2, 2016, 2002661.5, 2017, 2066700.3, 2018, 2130456.7, 2019, 2194086.5, 2020, 2255959, 2021, 2314750.1, 2022, 2372254.6, 2023, 2432159, 2024, 2494088.3, 2025, 2555500.5)",Device,,Fridge author CSV 2026-06-29,Phase-2 Demand-leaf input (device-stock leaf)
Indonesia,Demand\Residential\Projections\Refrigeration_\Large\Low_eff,Exogenous Devices,"Interp(2005, 433901.2, 2006, 453286.1, 2007, 473127.4, 2008, 493316, 2009, 513731.5, 2010, 534404.7, 2011, 555450.4, 2012, 576840.6, 2013, 598309.1, 2014, 619757.5, 2015, 641173.6, 2016, 662496.6, 2017, 683681.2, 2018, 704772.3, 2019, 725821.5, 2020, 746289.5, 2021, 765738.1, 2022, 784761, 2023, 804577.8, 2024, 825064.6, 2025, 845380.2)",Device,,Fridge author CSV 2026-06-29,Phase-2 Demand-leaf input (device-stock leaf)
Indonesia,Demand\Residential\Projections\Refrigeration_\Large\Mid_eff,Exogenous Devices,"Interp(2005, 861177.9, 2006, 899651.8, 2007, 939031.4, 2008, 979100.4, 2009, 1019619.9, 2010, 1060650.6, 2011, 1102420.6, 2012, 1144874.5, 2013, 1187483.8, 2014, 1230053.1, 2015, 1272558.3, 2016, 1314878.7, 2017, 1356924.5, 2018, 1398784.7, 2019, 1440561.8, 2020, 1481185.2, 2021, 1519785.4, 2022, 1557540.9, 2023, 1596872.1, 2024, 1637532.7, 2025, 1677853.9)",Device,,Fridge author CSV 2026-06-29,Phase-2 Demand-leaf input (device-stock leaf)
Indonesia,Demand\Residential\Projections\Refrigeration_\Medium\High_eff,Exogenous Devices,"Interp(2005, 1487188, 2006, 1553629.5, 2007, 1621635, 2008, 1690831.1, 2009, 1760805.1, 2010, 1831662.1, 2011, 1903795.6, 2012, 1977110.3, 2013, 2050693.1, 2014, 2124207, 2015, 2197610.3, 2016, 2270694.4, 2017, 2343304.2, 2018, 2415593.6, 2019, 2487739.5, 2020, 2557893, 2021, 2624552.6, 2022, 2689753.3, 2023, 2757675.2, 2024, 2827893.1, 2025, 2897524.6)",Device,,Fridge author CSV 2026-06-29,Phase-2 Demand-leaf input (device-stock leaf)
Indonesia,Demand\Residential\Projections\Refrigeration_\Medium\Low_eff,Exogenous Devices,"Interp(2005, 0)",Device,,Fridge author CSV 2026-06-29,Phase-2 Demand-leaf input (device-stock leaf)
Indonesia,Demand\Residential\Projections\Refrigeration_\Medium\Mid_eff,Exogenous Devices,"Interp(2005, 0)",Device,,Fridge author CSV 2026-06-29,Phase-2 Demand-leaf input (device-stock leaf)
Indonesia,Demand\Residential\Projections\Refrigeration_\Small\High_eff,Exogenous Devices,"Interp(2005, 29025008.3, 2006, 30321726.3, 2007, 31648969.1, 2008, 32999450.2, 2009, 34365111, 2010, 35748006, 2011, 37155814.7, 2012, 38586674.8, 2013, 40022769.6, 2014, 41457519.2, 2015, 42890109, 2016, 44316470.3, 2017, 45733573, 2018, 47144425, 2019, 48552474.4, 2020, 49921638.8, 2021, 51222614.6, 2022, 52495118.4, 2023, 53820730.2, 2024, 55191150.9, 2025, 56550128.2)",Device,,Fridge author CSV 2026-06-29,Phase-2 Demand-leaf input (device-stock leaf)
Indonesia,Demand\Residential\Projections\Refrigeration_\Small\Low_eff,Exogenous Devices,"Interp(2005, 0)",Device,,Fridge author CSV 2026-06-29,Phase-2 Demand-leaf input (device-stock leaf)
Indonesia,Demand\Residential\Projections\Refrigeration_\Small\Mid_eff,Exogenous Devices,"Interp(2005, 0)",Device,,Fridge author CSV 2026-06-29,Phase-2 Demand-leaf input (device-stock leaf)
Laos,Demand\Residential\Projections\Refrigeration_\Large\High_eff,Efficiency,"Interp(2014, 100.0)",Percent,,Fridge author CSV 2026-06-29,Phase-2 Demand-leaf input (device-stock leaf)
Laos,Demand\Residential\Projections\Refrigeration_\Large\Low_eff,Efficiency,"Interp(2014, 65.60978818576503)",Percent,,Fridge author CSV 2026-06-29,Phase-2 Demand-leaf input (device-stock leaf)
Laos,Demand\Residential\Projections\Refrigeration_\Large\Mid_eff,Efficiency,"Interp(2014, 82.4297520661157)",Percent,,Fridge author CSV 2026-06-29,Phase-2 Demand-leaf input (device-stock leaf)
Laos,Demand\Residential\Projections\Refrigeration_\Medium\High_eff,Efficiency,"Interp(2014, 100.0)",Percent,,Fridge author CSV 2026-06-29,Phase-2 Demand-leaf input (device-stock leaf)
Laos,Demand\Residential\Projections\Refrigeration_\Medium\Low_eff,Efficiency,"Interp(2014, 68.52967761373908)",Percent,,Fridge author CSV 2026-06-29,Phase-2 Demand-leaf input (device-stock leaf)
Laos,Demand\Residential\Projections\Refrigeration_\Medium\Mid_eff,Efficiency,"Interp(2014, 90.72596729158356)",Percent,,Fridge author CSV 2026-06-29,Phase-2 Demand-leaf input (device-stock leaf)
Laos,Demand\Residential\Projections\Refrigeration_\Small\High_eff,Efficiency,"Interp(2014, 100.0)",Percent,,Fridge author CSV 2026-06-29,Phase-2 Demand-leaf input (device-stock leaf)
Laos,Demand\Residential\Projections\Refrigeration_\Small\Low_eff,Efficiency,"Interp(2014, 58.85075202468183)",Percent,,Fridge author CSV 2026-06-29,Phase-2 Demand-leaf input (device-stock leaf)
Laos,Demand\Residential\Projections\Refrigeration_\Small\Mid_eff,Efficiency,"Interp(2014, 86.33663366336634)",Percent,,Fridge author CSV 2026-06-29,Phase-2 Demand-leaf input (device-stock leaf)
Laos,Demand\Residential\Projections\Refrigeration_\Large\High_eff,Exogenous Devices,"Interp(2005, 20147.4, 2006, 21063.7, 2007, 22009, 2008, 22978.5, 2009, 23971.4, 2010, 24987, 2011, 26025.1, 2012, 27086.1, 2013, 28169.4, 2014, 29271.6, 2015, 30421.4, 2016, 31632.8, 2017, 32883.1, 2018, 34163.1, 2019, 35469.8, 2020, 36805.1, 2021, 38158.4, 2022, 39531.4, 2023, 40929.6, 2024, 42345.5, 2025, 43779.4)",Device,,Fridge author CSV 2026-06-29,Phase-2 Demand-leaf input (device-stock leaf)
Laos,Demand\Residential\Projections\Refrigeration_\Large\Low_eff,Exogenous Devices,"Interp(2005, 2826.9, 2006, 2955.5, 2007, 3088.1, 2008, 3224.2, 2009, 3363.5, 2010, 3506, 2011, 3651.6, 2012, 3800.5, 2013, 3952.5, 2014, 4107.2, 2015, 4268.5, 2016, 4438.5, 2017, 4613.9, 2018, 4793.5, 2019, 4976.8, 2020, 5164.2, 2021, 5354.1, 2022, 5546.7, 2023, 5742.9, 2024, 5941.6, 2025, 6142.8)",Device,,Fridge author CSV 2026-06-29,Phase-2 Demand-leaf input (device-stock leaf)
Laos,Demand\Residential\Projections\Refrigeration_\Large\Mid_eff,Exogenous Devices,"Interp(2005, 11442.3, 2006, 11962.7, 2007, 12499.5, 2008, 13050.1, 2009, 13614, 2010, 14190.8, 2011, 14780.4, 2012, 15383, 2013, 15998.2, 2014, 16624.2, 2015, 17277.2, 2016, 17965.2, 2017, 18675.3, 2018, 19402.2, 2019, 20144.3, 2020, 20902.6, 2021, 21671.2, 2022, 22451, 2023, 23245.1, 2024, 24049.3, 2025, 24863.6)",Device,,Fridge author CSV 2026-06-29,Phase-2 Demand-leaf input (device-stock leaf)
Laos,Demand\Residential\Projections\Refrigeration_\Medium\High_eff,Exogenous Devices,"Interp(2005, 56897.2, 2006, 59484.9, 2007, 62154.5, 2008, 64892.4, 2009, 67696.5, 2010, 70564.6, 2011, 73496.4, 2012, 76492.6, 2013, 79551.8, 2014, 82664.6, 2015, 85911.7, 2016, 89332.7, 2017, 92863.7, 2018, 96478.4, 2019, 100168.7, 2020, 103939.4, 2021, 107761.3, 2022, 111638.8, 2023, 115587.2, 2024, 119586.1, 2025, 123635.4)",Device,,Fridge author CSV 2026-06-29,Phase-2 Demand-leaf input (device-stock leaf)
Laos,Demand\Residential\Projections\Refrigeration_\Medium\Low_eff,Exogenous Devices,"Interp(2005, 0)",Device,,Fridge author CSV 2026-06-29,Phase-2 Demand-leaf input (device-stock leaf)
Laos,Demand\Residential\Projections\Refrigeration_\Medium\Mid_eff,Exogenous Devices,"Interp(2005, 0)",Device,,Fridge author CSV 2026-06-29,Phase-2 Demand-leaf input (device-stock leaf)
Laos,Demand\Residential\Projections\Refrigeration_\Small\High_eff,Exogenous Devices,"Interp(2005, 357402.5, 2006, 373657, 2007, 390426.3, 2008, 407624.8, 2009, 425238.5, 2010, 443255, 2011, 461670.7, 2012, 480492.1, 2013, 499708.6, 2014, 519261.5, 2015, 539658.3, 2016, 561147.7, 2017, 583327.8, 2018, 606033.4, 2019, 629214.5, 2020, 652900.4, 2021, 676907.4, 2022, 701264.3, 2023, 726066.5, 2024, 751185.4, 2025, 776621.3)",Device,,Fridge author CSV 2026-06-29,Phase-2 Demand-leaf input (device-stock leaf)
Laos,Demand\Residential\Projections\Refrigeration_\Small\Low_eff,Exogenous Devices,"Interp(2005, 0)",Device,,Fridge author CSV 2026-06-29,Phase-2 Demand-leaf input (device-stock leaf)
Laos,Demand\Residential\Projections\Refrigeration_\Small\Mid_eff,Exogenous Devices,"Interp(2005, 0)",Device,,Fridge author CSV 2026-06-29,Phase-2 Demand-leaf input (device-stock leaf)
Malaysia,Demand\Residential\Projections\Refrigeration_\Large\High_eff,Efficiency,"Interp(2014, 100.0)",Percent,,Fridge author CSV 2026-06-29,Phase-2 Demand-leaf input (device-stock leaf)
Malaysia,Demand\Residential\Projections\Refrigeration_\Large\Low_eff,Efficiency,"Interp(2014, 65.60978818576503)",Percent,,Fridge author CSV 2026-06-29,Phase-2 Demand-leaf input (device-stock leaf)
Malaysia,Demand\Residential\Projections\Refrigeration_\Large\Mid_eff,Efficiency,"Interp(2014, 82.4297520661157)",Percent,,Fridge author CSV 2026-06-29,Phase-2 Demand-leaf input (device-stock leaf)
Malaysia,Demand\Residential\Projections\Refrigeration_\Medium\High_eff,Efficiency,"Interp(2014, 100.0)",Percent,,Fridge author CSV 2026-06-29,Phase-2 Demand-leaf input (device-stock leaf)
Malaysia,Demand\Residential\Projections\Refrigeration_\Medium\Low_eff,Efficiency,"Interp(2014, 68.52967761373908)",Percent,,Fridge author CSV 2026-06-29,Phase-2 Demand-leaf input (device-stock leaf)
Malaysia,Demand\Residential\Projections\Refrigeration_\Medium\Mid_eff,Efficiency,"Interp(2014, 90.72596729158356)",Percent,,Fridge author CSV 2026-06-29,Phase-2 Demand-leaf input (device-stock leaf)
Malaysia,Demand\Residential\Projections\Refrigeration_\Small\High_eff,Efficiency,"Interp(2014, 100.0)",Percent,,Fridge author CSV 2026-06-29,Phase-2 Demand-leaf input (device-stock leaf)
Malaysia,Demand\Residential\Projections\Refrigeration_\Small\Low_eff,Efficiency,"Interp(2014, 58.85075202468183)",Percent,,Fridge author CSV 2026-06-29,Phase-2 Demand-leaf input (device-stock leaf)
Malaysia,Demand\Residential\Projections\Refrigeration_\Small\Mid_eff,Efficiency,"Interp(2014, 86.33663366336634)",Percent,,Fridge author CSV 2026-06-29,Phase-2 Demand-leaf input (device-stock leaf)
Malaysia,Demand\Residential\Projections\Refrigeration_\Large\High_eff,Exogenous Devices,"Interp(2005, 277552.6, 2006, 292765.3, 2007, 308345.7, 2008, 324179.8, 2009, 340159, 2010, 355839.3, 2011, 371390.9, 2012, 387342.3, 2013, 403544.1, 2014, 419965.1, 2015, 436503.5, 2016, 453205.3, 2017, 470005.7, 2018, 486620.8, 2019, 503126.7, 2020, 519652, 2021, 535966.8, 2022, 552246, 2023, 568729.3, 2024, 585195.9, 2025, 601626.3)",Device,,Fridge author CSV 2026-06-29,Phase-2 Demand-leaf input (device-stock leaf)
Malaysia,Demand\Residential\Projections\Refrigeration_\Large\Low_eff,Exogenous Devices,"Interp(2005, 180700.1, 2006, 190604.3, 2007, 200747.9, 2008, 211056.6, 2009, 221459.9, 2010, 231668.5, 2011, 241793.4, 2012, 252178.5, 2013, 262726.6, 2014, 273417.4, 2015, 284184.8, 2016, 295058.5, 2017, 305996.3, 2018, 316813.5, 2019, 327559.7, 2020, 338318.5, 2021, 348940.1, 2022, 359538.7, 2023, 370270.1, 2024, 380990.6, 2025, 391687.6)",Device,,Fridge author CSV 2026-06-29,Phase-2 Demand-leaf input (device-stock leaf)
Malaysia,Demand\Residential\Projections\Refrigeration_\Large\Mid_eff,Exogenous Devices,"Interp(2005, 223137.2, 2006, 235367.4, 2007, 247893.2, 2008, 260623, 2009, 273469.4, 2010, 286075.5, 2011, 298578.2, 2012, 311402.2, 2013, 324427.6, 2014, 337629.1, 2015, 350925.2, 2016, 364352.5, 2017, 377859.1, 2018, 391216.7, 2019, 404486.6, 2020, 417772, 2021, 430888.2, 2022, 443975.8, 2023, 457227.5, 2024, 470465.7, 2025, 483674.9)",Device,,Fridge author CSV 2026-06-29,Phase-2 Demand-leaf input (device-stock leaf)
Malaysia,Demand\Residential\Projections\Refrigeration_\Medium\High_eff,Exogenous Devices,"Interp(2005, 1486513.1, 2006, 1567988.9, 2007, 1651434.7, 2008, 1736238.6, 2009, 1821819.8, 2010, 1905800.4, 2011, 1989091.4, 2012, 2074523.5, 2013, 2161297, 2014, 2249244.2, 2015, 2337820.8, 2016, 2427272.1, 2017, 2517251.5, 2018, 2606238, 2019, 2694640.6, 2020, 2783146.5, 2021, 2870524.9, 2022, 2957713.1, 2023, 3045993.9, 2024, 3134185.5, 2025, 3222183.3)",Device,,Fridge author CSV 2026-06-29,Phase-2 Demand-leaf input (device-stock leaf)
Malaysia,Demand\Residential\Projections\Refrigeration_\Medium\Low_eff,Exogenous Devices,"Interp(2005, 0)",Device,,Fridge author CSV 2026-06-29,Phase-2 Demand-leaf input (device-stock leaf)
Malaysia,Demand\Residential\Projections\Refrigeration_\Medium\Mid_eff,Exogenous Devices,"Interp(2005, 0)",Device,,Fridge author CSV 2026-06-29,Phase-2 Demand-leaf input (device-stock leaf)
