ams,branch,variable,expression,unit,fuel,source,note,src_csv,domain,data_confidence,unit_audit
Indonesia,Transformation\Centralized Electricity Generation\Processes\Gas Turbine_IDKA,Existing Capacity,"Interp(2005, 212.8450775, 2006, 213.0923043, 2007, 221.1429693, 2008, 210.7587583, 2009, 215.3537425, 2010, 262.4428874, 2011, 290.9048689, 2012, 298.3079371, 2013, 301.4168137, 2014, 296.019716, 2015, 296.019716, 2016, 303.5738672, 2017, 303.5738672, 2018, 367.2993133, 2019, 367.3, 2020, 367.3, 2021, 367.3, 2022, 415.9, 2023, 415.5752495, 2024, 417.8513029, FirstScenarioYear, 0)",MW,,"Transformation_ Input LEAP_ID_MY_Nodes Rev1 (Existing Cap, Historical Prod).csv",Interpolated trajectory on Existing Capacity | sourced from year-wide Rev1 input,"Transformation_ Input LEAP_ID_MY_Nodes Rev1 (Existing Cap, Historical Prod).csv",power_existing_capacity,High,passthrough — input unit preserved (no conversion)
Indonesia,Transformation\Centralized Electricity Generation\Processes\Gas Turbine_IDEast,Existing Capacity,"Interp(2005, 198.6013204, 2006, 198.8320025, 2007, 206.3439108, 2008, 196.6546193, 2009, 200.9421035, 2010, 244.8800064, 2011, 271.4372901, 2012, 278.3449393, 2013, 281.2457674, 2014, 276.2098477, 2015, 276.2098477, 2016, 283.2584693, 2017, 283.2584693, 2018, 342.7193592, 2019, 342.72, 2020, 342.72, 2021, 342.72, 2022, 342.72, 2023, 342.4523912, 2024, 344.3279599, FirstScenarioYear, 0)",MW,,"Transformation_ Input LEAP_ID_MY_Nodes Rev1 (Existing Cap, Historical Prod).csv",Interpolated trajectory on Existing Capacity | sourced from year-wide Rev1 input,"Transformation_ Input LEAP_ID_MY_Nodes Rev1 (Existing Cap, Historical Prod).csv",power_existing_capacity,High,passthrough — input unit preserved (no conversion)
Indonesia,Transformation\Centralized Electricity Generation\Processes\Gas Engine_IDSA,Existing Capacity,"Interp(2005, 1.625746015, 2006, 11.3802221, 2007, 17.88320616, 2008, 36.22162121, 2009, 38.47598902, 2010, 50.31142001, 2011, 91.87632646, 2012, 107.7002543, 2013, 242.8431014, 2014, 330.9693737, 2015, 443.6877641, 2016, 1004.028224, 2017, 1304.373962, 2018, 1277.652117, 2019, 1540.155906, 2020, 1480.962352, 2021, 1545.670208, 2022, 1330.391298, 2023, 1202.060161, 2024, 1291.67875, FirstScenarioYear, 0)",MW,,"Transformation_ Input LEAP_ID_MY_Nodes Rev1 (Existing Cap, Historical Prod).csv",Interpolated trajectory on Existing Capacity | sourced from year-wide Rev1 input,"Transformation_ Input LEAP_ID_MY_Nodes Rev1 (Existing Cap, Historical Prod).csv",power_existing_capacity,High,passthrough — input unit preserved (no conversion)
Indonesia,Transformation\Centralized Electricity Generation\Processes\Gas Engine_IDJW,Existing Capacity,"Interp(2005, 0.267772154, 2006, 1.874405077, 2007, 2.945493692, 2008, 5.965963587, 2009, 6.337274307, 2010, 8.286655587, 2011, 15.13269699, 2012, 17.73901262, 2013, 39.99801919, 2014, 54.51305507, 2015, 73.07859107, 2016, 165.3707268, 2017, 214.839847, 2018, 210.4385654, 2019, 253.6748425, 2020, 204.5037747, 2021, 213.4391813, 2022, 245.6961835, 2023, 221.9960356, 2024, 238.5467641, FirstScenarioYear, 0)",MW,,"Transformation_ Input LEAP_ID_MY_Nodes Rev1 (Existing Cap, Historical Prod).csv",Interpolated trajectory on Existing Capacity | sourced from year-wide Rev1 input,"Transformation_ Input LEAP_ID_MY_Nodes Rev1 (Existing Cap, Historical Prod).csv",power_existing_capacity,High,passthrough — input unit preserved (no conversion)
Indonesia,Transformation\Centralized Electricity Generation\Processes\Gas Engine_IDKA,Existing Capacity,"Interp(2005, 0.499307497, 2006, 3.495152477, 2007, 5.492382463, 2008, 11.12457103, 2009, 11.81694409, 2010, 15.45190266, 2011, 28.21753099, 2012, 33.0774573, 2013, 74.58322513, 2014, 101.6490202, 2015, 136.2676733, 2016, 308.3623238, 2017, 400.6060551, 2018, 392.3991042, 2019, 473.0206213, 2020, 389.9005291, 2021, 436.3826135, 2022, 555.0369256, 2023, 501.4973995, 2024, 538.8861181, FirstScenarioYear, 0)",MW,,"Transformation_ Input LEAP_ID_MY_Nodes Rev1 (Existing Cap, Historical Prod).csv",Interpolated trajectory on Existing Capacity | sourced from year-wide Rev1 input,"Transformation_ Input LEAP_ID_MY_Nodes Rev1 (Existing Cap, Historical Prod).csv",power_existing_capacity,High,passthrough — input unit preserved (no conversion)
Indonesia,Transformation\Centralized Electricity Generation\Processes\Gas Engine_IDEast,Existing Capacity,"Interp(2005, 0.607174335, 2006, 4.250220342, 2007, 6.67891768, 2008, 13.52784417, 2009, 14.36979258, 2010, 18.79002174, 2011, 34.31344556, 2012, 40.22327575, 2013, 90.69565427, 2014, 123.608551, 2015, 165.7059716, 2016, 374.9787255, 2017, 487.150136, 2018, 477.1702139, 2019, 575.2086298, 2020, 1102.543344, 2021, 1023.377998, 2022, 845.3055928, 2023, 763.7664036, 2024, 820.7083681, FirstScenarioYear, 0)",MW,,"Transformation_ Input LEAP_ID_MY_Nodes Rev1 (Existing Cap, Historical Prod).csv",Interpolated trajectory on Existing Capacity | sourced from year-wide Rev1 input,"Transformation_ Input LEAP_ID_MY_Nodes Rev1 (Existing Cap, Historical Prod).csv",power_existing_capacity,High,passthrough — input unit preserved (no conversion)
Indonesia,Transformation\Centralized Electricity Generation\Processes\Diesel_IDSA,Existing Capacity,"Interp(2005, 838.5988109, 2006, 827.350679, 2007, 839.5999809, 2008, 855.5638064, 2009, 851.2193037, 2010, 1194.578788, 2011, 1430.373928, 2012, 1561.506286, 2013, 1551.421393, 2014, 1622.520147, 2015, 1640.243209, 2016, 1640.243209, 2017, 1641.288817, 2018, 1210.52693, 2019, 1249.488911, 2020, 1310.55, 2021, 1331.61, 2022, 1059.92, 2023, 1129.616426, 2024, 1417.230473, FirstScenarioYear, 0)",MW,,"Transformation_ Input LEAP_ID_MY_Nodes Rev1 (Existing Cap, Historical Prod).csv",Interpolated trajectory on Existing Capacity | sourced from year-wide Rev1 input,"Transformation_ Input LEAP_ID_MY_Nodes Rev1 (Existing Cap, Historical Prod).csv",power_existing_capacity,High,passthrough — input unit preserved (no conversion)
Indonesia,Transformation\Centralized Electricity Generation\Processes\Diesel_IDJW,Existing Capacity,"Interp(2005, 125.8584037, 2006, 124.170264, 2007, 126.008661, 2008, 128.4045404, 2009, 127.7525097, 2010, 179.2845129, 2011, 214.6730676, 2012, 234.3536455, 2013, 232.8400868, 2014, 243.5107145, 2015, 246.1706231, 2016, 246.1706231, 2017, 246.3275499, 2018, 181.6780384, 2019, 187.525522, 2020, 311.16, 2021, 311.16, 2022, 272.25, 2023, 290.1521548, 2024, 364.0284137, FirstScenarioYear, 0)",MW,,"Transformation_ Input LEAP_ID_MY_Nodes Rev1 (Existing Cap, Historical Prod).csv",Interpolated trajectory on Existing Capacity | sourced from year-wide Rev1 input,"Transformation_ Input LEAP_ID_MY_Nodes Rev1 (Existing Cap, Historical Prod).csv",power_existing_capacity,High,passthrough — input unit preserved (no conversion)
Indonesia,Transformation\Centralized Electricity Generation\Processes\Diesel_IDKA,Existing Capacity,"Interp(2005, 819.6937259, 2006, 808.6991681, 2007, 820.6723259, 2008, 836.2762684, 2009, 832.0297066, 2010, 1167.648613, 2011, 1398.128067, 2012, 1526.304222, 2013, 1516.446679, 2014, 1585.942607, 2015, 1603.266126, 2016, 1603.266126, 2017, 1604.288163, 2018, 1183.237225, 2019, 1221.32086, 2020, 1184.58, 2021, 1196.6, 2022, 930.09, 2023, 991.2492844, 2024, 1243.633378, FirstScenarioYear, 0)",MW,,"Transformation_ Input LEAP_ID_MY_Nodes Rev1 (Existing Cap, Historical Prod).csv",Interpolated trajectory on Existing Capacity | sourced from year-wide Rev1 input,"Transformation_ Input LEAP_ID_MY_Nodes Rev1 (Existing Cap, Historical Prod).csv",power_existing_capacity,High,passthrough — input unit preserved (no conversion)
Indonesia,Transformation\Centralized Electricity Generation\Processes\Diesel_IDEast,Existing Capacity,"Interp(2005, 1423.92906, 2006, 1404.829889, 2007, 1425.629032, 2008, 1452.735385, 2009, 1445.35848, 2010, 2028.378086, 2011, 2428.754937, 2012, 2651.415847, 2013, 2634.291841, 2014, 2755.016531, 2015, 2785.110042, 2016, 2785.110042, 2017, 2786.88547, 2018, 2055.457807, 2019, 2121.614707, 2020, 2057.3, 2021, 2147.27, 2022, 2089.87, 2023, 2227.292135, 2024, 2794.387735, FirstScenarioYear, 0)",MW,,"Transformation_ Input LEAP_ID_MY_Nodes Rev1 (Existing Cap, Historical Prod).csv",Interpolated trajectory on Existing Capacity | sourced from year-wide Rev1 input,"Transformation_ Input LEAP_ID_MY_Nodes Rev1 (Existing Cap, Historical Prod).csv",power_existing_capacity,High,passthrough — input unit preserved (no conversion)
Indonesia,Transformation\Centralized Electricity Generation\Processes\Large Hydro_IDSA,Existing Capacity,"Interp(2005, 1097.853891, 2006, 1197.068026, 2007, 1189.159863, 2008, 1190.093264, 2009, 1191.428994, 2010, 1201.805843, 2011, 1269.561131, 2012, 1334.57415, 2013, 1662.616474, 2014, 1683.144869, 2015, 1693.219167, 2016, 1732.389841, 2017, 1754.196029, 2018, 1737.925877, 2019, 1789.102024, 2020, 1823.02, 2021, 1823.02, 2022, 1823.02, 2023, 1707.769807, 2024, 1840.825028, FirstScenarioYear, 0)",MW,,"Transformation_ Input LEAP_ID_MY_Nodes Rev1 (Existing Cap, Historical Prod).csv",Interpolated trajectory on Existing Capacity | sourced from year-wide Rev1 input,"Transformation_ Input LEAP_ID_MY_Nodes Rev1 (Existing Cap, Historical Prod).csv",power_existing_capacity,High,passthrough — input unit preserved (no conversion)
Indonesia,Transformation\Centralized Electricity Generation\Processes\Large Hydro_IDJW,Existing Capacity,"Interp(2005, 1651.097244, 2006, 1800.308524, 2007, 1788.415187, 2008, 1789.818959, 2009, 1791.827805, 2010, 1807.433877, 2011, 1909.333201, 2012, 2007.10834, 2013, 2500.461583, 2014, 2531.334886, 2015, 2546.485942, 2016, 2605.395959, 2017, 2638.190977, 2018, 2613.721779, 2019, 2690.687209, 2020, 2647.53, 2021, 2647.53, 2022, 2647.53, 2023, 2480.154797, 2024, 2673.387833, FirstScenarioYear, 0)",MW,,"Transformation_ Input LEAP_ID_MY_Nodes Rev1 (Existing Cap, Historical Prod).csv",Interpolated trajectory on Existing Capacity | sourced from year-wide Rev1 input,"Transformation_ Input LEAP_ID_MY_Nodes Rev1 (Existing Cap, Historical Prod).csv",power_existing_capacity,High,passthrough — input unit preserved (no conversion)
Indonesia,Transformation\Centralized Electricity Generation\Processes\Large Hydro_IDKA,Existing Capacity,"Interp(2005, 166.5834646, 2006, 181.637776, 2007, 180.4378265, 2008, 180.5794567, 2009, 180.7821344, 2010, 182.3566713, 2011, 192.6375572, 2012, 202.5023435, 2013, 252.2780261, 2014, 255.3929134, 2015, 256.9215425, 2016, 262.8651263, 2017, 266.1739004, 2018, 263.7051398, 2019, 271.4703807, 2020, 262.24, 2021, 262.24, 2022, 262.24, 2023, 245.66135, 2024, 264.8012394, FirstScenarioYear, 0)",MW,,"Transformation_ Input LEAP_ID_MY_Nodes Rev1 (Existing Cap, Historical Prod).csv",Interpolated trajectory on Existing Capacity | sourced from year-wide Rev1 input,"Transformation_ Input LEAP_ID_MY_Nodes Rev1 (Existing Cap, Historical Prod).csv",power_existing_capacity,High,passthrough — input unit preserved (no conversion)
Indonesia,Transformation\Centralized Electricity Generation\Processes\Large Hydro_IDEast,Existing Capacity,"Interp(2005, 495.405401, 2006, 540.175674, 2007, 536.6071237, 2008, 537.0283202, 2009, 537.6310667, 2010, 542.3136088, 2011, 572.8881106, 2012, 602.2251663, 2013, 750.2539164, 2014, 759.5173325, 2015, 764.0633488, 2016, 781.7390738, 2017, 791.5790932, 2018, 784.2372042, 2019, 807.3303863, 2020, 905.88, 2021, 1255.88, 2022, 1255.88, 2023, 1176.484046, 2024, 1268.145899, FirstScenarioYear, 0)",MW,,"Transformation_ Input LEAP_ID_MY_Nodes Rev1 (Existing Cap, Historical Prod).csv",Interpolated trajectory on Existing Capacity | sourced from year-wide Rev1 input,"Transformation_ Input LEAP_ID_MY_Nodes Rev1 (Existing Cap, Historical Prod).csv",power_existing_capacity,High,passthrough — input unit preserved (no conversion)
Indonesia,Transformation\Centralized Electricity Generation\Processes\Small Hydro_IDSA,Existing Capacity,"Interp(2005, 0, 2006, 0, 2007, 0, 2008, 0, 2009, 0, 2010, 0, 2011, 0, 2012, 0, 2013, 0, 2014, 0, 2015, 0, 2016, 0, 2017, 0, 2018, 114.5669249, 2019, 128.3773194, 2020, 179.57, 2021, 252.66, 2022, 292.27, 2023, 400.5162931, 2024, 419.607777, FirstScenarioYear, 0)",MW,,"Transformation_ Input LEAP_ID_MY_Nodes Rev1 (Existing Cap, Historical Prod).csv",Interpolated trajectory on Existing Capacity | sourced from year-wide Rev1 input,"Transformation_ Input LEAP_ID_MY_Nodes Rev1 (Existing Cap, Historical Prod).csv",power_existing_capacity,High,passthrough — input unit preserved (no conversion)
Indonesia,Transformation\Centralized Electricity Generation\Processes\Small Hydro_IDJW,Existing Capacity,"Interp(2005, 0, 2006, 0, 2007, 0, 2008, 0, 2009, 0, 2010, 0, 2011, 0, 2012, 0, 2013, 0, 2014, 0, 2015, 0, 2016, 0, 2017, 0, 2018, 121.6567346, 2019, 136.3217656, 2020, 152.88, 2021, 196.42, 2022, 205.09, 2023, 281.0479575, 2024, 294.4447223, FirstScenarioYear, 0)",MW,,"Transformation_ Input LEAP_ID_MY_Nodes Rev1 (Existing Cap, Historical Prod).csv",Interpolated trajectory on Existing Capacity | sourced from year-wide Rev1 input,"Transformation_ Input LEAP_ID_MY_Nodes Rev1 (Existing Cap, Historical Prod).csv",power_existing_capacity,High,passthrough — input unit preserved (no conversion)
Indonesia,Transformation\Centralized Electricity Generation\Processes\Small Hydro_IDKA,Existing Capacity,"Interp(2005, 0, 2006, 0, 2007, 0, 2008, 0, 2009, 0, 2010, 0, 2011, 0, 2012, 0, 2013, 0, 2014, 0, 2015, 0, 2016, 0, 2017, 0, 2018, 3.099916794, 2019, 3.473594224, 2020, 3.1, 2021, 7.35, 2022, 7.63, 2023, 10.4558775, 2024, 10.95427974, FirstScenarioYear, 0)",MW,,"Transformation_ Input LEAP_ID_MY_Nodes Rev1 (Existing Cap, Historical Prod).csv",Interpolated trajectory on Existing Capacity | sourced from year-wide Rev1 input,"Transformation_ Input LEAP_ID_MY_Nodes Rev1 (Existing Cap, Historical Prod).csv",power_existing_capacity,High,passthrough — input unit preserved (no conversion)
Indonesia,Transformation\Centralized Electricity Generation\Processes\Small Hydro_IDEast,Existing Capacity,"Interp(2005, 0, 2006, 0, 2007, 0, 2008, 0, 2009, 0, 2010, 0, 2011, 0, 2012, 0, 2013, 0, 2014, 0, 2015, 0, 2016, 0, 2017, 0, 2018, 133.2364238, 2019, 149.2973208, 2020, 146.68, 2021, 156.54, 2022, 195.24, 2023, 267.5498719, 2024, 280.3032209, FirstScenarioYear, 0)",MW,,"Transformation_ Input LEAP_ID_MY_Nodes Rev1 (Existing Cap, Historical Prod).csv",Interpolated trajectory on Existing Capacity | sourced from year-wide Rev1 input,"Transformation_ Input LEAP_ID_MY_Nodes Rev1 (Existing Cap, Historical Prod).csv",power_existing_capacity,High,passthrough — input unit preserved (no conversion)
Indonesia,Transformation\Centralized Electricity Generation\Processes\Geothermal Flash_IDSA,Existing Capacity,"Interp(2005, 245.1881127, 2006, 245.1881127, 2007, 282.6874711, 2008, 303.4563466, 2009, 342.9749012, 2010, 342.9749012, 2011, 353.6477955, 2012, 385.3780219, 2013, 387.5414464, 2014, 404.8488426, 2015, 414.9448237, 2016, 474.0784273, 2017, 521.6160756, 2018, 562, 2019, 614.4991018, 2020, 744.4, 2021, 899.75, 2022, 967.45, 2023, 1064.665131, 2024, 1081.572645, FirstScenarioYear, 0)",MW,,"Transformation_ Input LEAP_ID_MY_Nodes Rev1 (Existing Cap, Historical Prod).csv",Interpolated trajectory on Existing Capacity | sourced from year-wide Rev1 input,"Transformation_ Input LEAP_ID_MY_Nodes Rev1 (Existing Cap, Historical Prod).csv",power_existing_capacity,High,passthrough — input unit preserved (no conversion)
Indonesia,Transformation\Centralized Electricity Generation\Processes\Geothermal Flash_IDJW,Existing Capacity,"Interp(2005, 547.0050814, 2006, 547.0050814, 2007, 630.664682, 2008, 676.9992301, 2009, 765.1635785, 2010, 765.1635785, 2011, 788.9743879, 2012, 859.7632808, 2013, 864.5897962, 2014, 903.2019196, 2015, 925.7256583, 2016, 1057.650413, 2017, 1163.705045, 2018, 1253.8, 2019, 1370.923441, 2020, 1253.8, 2021, 1253.8, 2022, 1253.8, 2023, 1379.789283, 2024, 1401.701155, FirstScenarioYear, 0)",MW,,"Transformation_ Input LEAP_ID_MY_Nodes Rev1 (Existing Cap, Historical Prod).csv",Interpolated trajectory on Existing Capacity | sourced from year-wide Rev1 input,"Transformation_ Input LEAP_ID_MY_Nodes Rev1 (Existing Cap, Historical Prod).csv",power_existing_capacity,High,passthrough — input unit preserved (no conversion)
Indonesia,Transformation\Centralized Electricity Generation\Processes\Geothermal Flash_IDKA,Existing Capacity,"Interp(2005, 0, 2006, 0, 2007, 0, 2008, 0, 2009, 0, 2010, 0, 2011, 0, 2012, 0, 2013, 0, 2014, 0, 2015, 0, 2016, 0, 2017, 0, 2018, 0, 2019, 0, 2020, 0, 2021, 0, 2022, 0, 2023, 0, 2024, 0, FirstScenarioYear, 0)",MW,,"Transformation_ Input LEAP_ID_MY_Nodes Rev1 (Existing Cap, Historical Prod).csv",Interpolated trajectory on Existing Capacity | sourced from year-wide Rev1 input,"Transformation_ Input LEAP_ID_MY_Nodes Rev1 (Existing Cap, Historical Prod).csv",power_existing_capacity,High,passthrough — input unit preserved (no conversion)
Indonesia,Transformation\Centralized Electricity Generation\Processes\Geothermal Flash_IDEast,Existing Capacity,"Interp(2005, 57.80680593, 2006, 57.80680593, 2007, 66.64784684, 2008, 71.54442334, 2009, 80.8615203, 2010, 80.8615203, 2011, 83.37781656, 2012, 90.85869733, 2013, 91.36875738, 2014, 95.4492378, 2015, 97.82951804, 2016, 111.7711595, 2017, 122.978879, 2018, 132.5, 2019, 144.8774573, 2020, 132.5, 2021, 132.5, 2022, 139.08, 2023, 153.0555858, 2024, 155.4861993, FirstScenarioYear, 0)",MW,,"Transformation_ Input LEAP_ID_MY_Nodes Rev1 (Existing Cap, Historical Prod).csv",Interpolated trajectory on Existing Capacity | sourced from year-wide Rev1 input,"Transformation_ Input LEAP_ID_MY_Nodes Rev1 (Existing Cap, Historical Prod).csv",power_existing_capacity,High,passthrough — input unit preserved (no conversion)
