branch_path,variable,scenario,region,expression,units,scale,per,source
Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS,Capital Cost,Baseline Simulation,Indonesia,"Interp(2023, 4520.0, 2030, 3980.0, 2050, 3090.0)",thousand USD/MW,,,DEA Indonesia (computed)
Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS,Capital Cost,AMS Target Scenario,Indonesia,"Interp(2023, 4520.0, 2030, 3980.0, 2050, 3090.0)",thousand USD/MW,,,DEA Indonesia (computed)
Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS,Capital Cost,Regional Aspiration Scenario,Indonesia,"Interp(2023, 4520.0, 2030, 3980.0, 2050, 3090.0)",thousand USD/MW,,,DEA Indonesia (computed)
Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS,Fixed OM Cost,Current Accounts,Indonesia,"Interp(2023, 104.0, 2030, 94.3, 2050, 71.9)",thousand USD/MW,,,DEA Indonesia (computed)
Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS,Fixed OM Cost,Baseline Simulation,Indonesia,"Interp(2023, 104.0, 2030, 94.3, 2050, 71.9)",thousand USD/MW,,,DEA Indonesia (computed)
Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS,Fixed OM Cost,AMS Target Scenario,Indonesia,"Interp(2023, 104.0, 2030, 94.3, 2050, 71.9)",thousand USD/MW,,,DEA Indonesia (computed)
Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS,Fixed OM Cost,Regional Aspiration Scenario,Indonesia,"Interp(2023, 104.0, 2030, 94.3, 2050, 71.9)",thousand USD/MW,,,DEA Indonesia (computed)
Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS,Variable OM Cost,Current Accounts,Indonesia,"Interp(2023, 6.5, 2030, 5.98, 2050, 5.12)",USD/MWh,,,DEA Indonesia (computed)
Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS,Variable OM Cost,Baseline Simulation,Indonesia,"Interp(2023, 6.5, 2030, 5.98, 2050, 5.12)",USD/MWh,,,DEA Indonesia (computed)
Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS,Variable OM Cost,AMS Target Scenario,Indonesia,"Interp(2023, 6.5, 2030, 5.98, 2050, 5.12)",USD/MWh,,,DEA Indonesia (computed)
Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS,Variable OM Cost,Regional Aspiration Scenario,Indonesia,"Interp(2023, 6.5, 2030, 5.98, 2050, 5.12)",USD/MWh,,,DEA Indonesia (computed)
Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS,Process Efficiency,Current Accounts,Indonesia,"Interp(2023, 23.0, 2030, 23.0, 2050, 23.0)",%,,,DEA Indonesia (computed)
Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS,Process Efficiency,Baseline Simulation,Indonesia,"Interp(2023, 23.0, 2030, 23.0, 2050, 23.0)",%,,,DEA Indonesia (computed)
Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS,Process Efficiency,AMS Target Scenario,Indonesia,"Interp(2023, 23.0, 2030, 23.0, 2050, 23.0)",%,,,DEA Indonesia (computed)
Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS,Process Efficiency,Regional Aspiration Scenario,Indonesia,"Interp(2023, 23.0, 2030, 23.0, 2050, 23.0)",%,,,DEA Indonesia (computed)
Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS,Capital Cost,Current Accounts,Laos,"Interp(2023, 4520.0, 2030, 3980.0, 2050, 3090.0)",thousand USD/MW,,,DEA Indonesia (computed)
Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS,Capital Cost,Baseline Simulation,Laos,"Interp(2023, 4520.0, 2030, 3980.0, 2050, 3090.0)",thousand USD/MW,,,DEA Indonesia (computed)
Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS,Capital Cost,AMS Target Scenario,Laos,"Interp(2023, 4520.0, 2030, 3980.0, 2050, 3090.0)",thousand USD/MW,,,DEA Indonesia (computed)
Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS,Capital Cost,Regional Aspiration Scenario,Laos,"Interp(2023, 4520.0, 2030, 3980.0, 2050, 3090.0)",thousand USD/MW,,,DEA Indonesia (computed)
Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS,Fixed OM Cost,Current Accounts,Laos,"Interp(2023, 104.0, 2030, 94.3, 2050, 71.9)",thousand USD/MW,,,DEA Indonesia (computed)
Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS,Fixed OM Cost,Baseline Simulation,Laos,"Interp(2023, 104.0, 2030, 94.3, 2050, 71.9)",thousand USD/MW,,,DEA Indonesia (computed)
Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS,Fixed OM Cost,AMS Target Scenario,Laos,"Interp(2023, 104.0, 2030, 94.3, 2050, 71.9)",thousand USD/MW,,,DEA Indonesia (computed)
Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS,Fixed OM Cost,Regional Aspiration Scenario,Laos,"Interp(2023, 104.0, 2030, 94.3, 2050, 71.9)",thousand USD/MW,,,DEA Indonesia (computed)
Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS,Variable OM Cost,Current Accounts,Laos,"Interp(2023, 6.5, 2030, 5.98, 2050, 5.12)",USD/MWh,,,DEA Indonesia (computed)
Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS,Variable OM Cost,Baseline Simulation,Laos,"Interp(2023, 6.5, 2030, 5.98, 2050, 5.12)",USD/MWh,,,DEA Indonesia (computed)
Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS,Variable OM Cost,AMS Target Scenario,Laos,"Interp(2023, 6.5, 2030, 5.98, 2050, 5.12)",USD/MWh,,,DEA Indonesia (computed)
Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS,Variable OM Cost,Regional Aspiration Scenario,Laos,"Interp(2023, 6.5, 2030, 5.98, 2050, 5.12)",USD/MWh,,,DEA Indonesia (computed)
Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS,Process Efficiency,Current Accounts,Laos,"Interp(2023, 23.0, 2030, 23.0, 2050, 23.0)",%,,,DEA Indonesia (computed)
Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS,Process Efficiency,Baseline Simulation,Laos,"Interp(2023, 23.0, 2030, 23.0, 2050, 23.0)",%,,,DEA Indonesia (computed)
Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS,Process Efficiency,AMS Target Scenario,Laos,"Interp(2023, 23.0, 2030, 23.0, 2050, 23.0)",%,,,DEA Indonesia (computed)
Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS,Process Efficiency,Regional Aspiration Scenario,Laos,"Interp(2023, 23.0, 2030, 23.0, 2050, 23.0)",%,,,DEA Indonesia (computed)
Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS,Capital Cost,Current Accounts,Malaysia,"Interp(2023, 4520.0, 2030, 3980.0, 2050, 3090.0)",thousand USD/MW,,,DEA Indonesia (computed)
Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS,Capital Cost,Baseline Simulation,Malaysia,"Interp(2023, 4520.0, 2030, 3980.0, 2050, 3090.0)",thousand USD/MW,,,DEA Indonesia (computed)
Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS,Capital Cost,AMS Target Scenario,Malaysia,"Interp(2023, 4520.0, 2030, 3980.0, 2050, 3090.0)",thousand USD/MW,,,DEA Indonesia (computed)
Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS,Capital Cost,Regional Aspiration Scenario,Malaysia,"Interp(2023, 4520.0, 2030, 3980.0, 2050, 3090.0)",thousand USD/MW,,,DEA Indonesia (computed)
Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS,Fixed OM Cost,Current Accounts,Malaysia,"Interp(2023, 104.0, 2030, 94.3, 2050, 71.9)",thousand USD/MW,,,DEA Indonesia (computed)
Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS,Fixed OM Cost,Baseline Simulation,Malaysia,"Interp(2023, 104.0, 2030, 94.3, 2050, 71.9)",thousand USD/MW,,,DEA Indonesia (computed)
Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS,Fixed OM Cost,AMS Target Scenario,Malaysia,"Interp(2023, 104.0, 2030, 94.3, 2050, 71.9)",thousand USD/MW,,,DEA Indonesia (computed)
Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS,Fixed OM Cost,Regional Aspiration Scenario,Malaysia,"Interp(2023, 104.0, 2030, 94.3, 2050, 71.9)",thousand USD/MW,,,DEA Indonesia (computed)
Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS,Variable OM Cost,Current Accounts,Malaysia,"Interp(2023, 6.5, 2030, 5.98, 2050, 5.12)",USD/MWh,,,DEA Indonesia (computed)
Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS,Variable OM Cost,Baseline Simulation,Malaysia,"Interp(2023, 6.5, 2030, 5.98, 2050, 5.12)",USD/MWh,,,DEA Indonesia (computed)
Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS,Variable OM Cost,AMS Target Scenario,Malaysia,"Interp(2023, 6.5, 2030, 5.98, 2050, 5.12)",USD/MWh,,,DEA Indonesia (computed)
Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS,Variable OM Cost,Regional Aspiration Scenario,Malaysia,"Interp(2023, 6.5, 2030, 5.98, 2050, 5.12)",USD/MWh,,,DEA Indonesia (computed)
Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS,Process Efficiency,Current Accounts,Malaysia,"Interp(2023, 23.0, 2030, 23.0, 2050, 23.0)",%,,,DEA Indonesia (computed)
Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS,Process Efficiency,Baseline Simulation,Malaysia,"Interp(2023, 23.0, 2030, 23.0, 2050, 23.0)",%,,,DEA Indonesia (computed)
Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS,Process Efficiency,AMS Target Scenario,Malaysia,"Interp(2023, 23.0, 2030, 23.0, 2050, 23.0)",%,,,DEA Indonesia (computed)
Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS,Process Efficiency,Regional Aspiration Scenario,Malaysia,"Interp(2023, 23.0, 2030, 23.0, 2050, 23.0)",%,,,DEA Indonesia (computed)
Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS,Capital Cost,Current Accounts,Myanmar,"Interp(2023, 4520.0, 2030, 3980.0, 2050, 3090.0)",thousand USD/MW,,,DEA Indonesia (computed)
Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS,Capital Cost,Baseline Simulation,Myanmar,"Interp(2023, 4520.0, 2030, 3980.0, 2050, 3090.0)",thousand USD/MW,,,DEA Indonesia (computed)
Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS,Capital Cost,AMS Target Scenario,Myanmar,"Interp(2023, 4520.0, 2030, 3980.0, 2050, 3090.0)",thousand USD/MW,,,DEA Indonesia (computed)
Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS,Capital Cost,Regional Aspiration Scenario,Myanmar,"Interp(2023, 4520.0, 2030, 3980.0, 2050, 3090.0)",thousand USD/MW,,,DEA Indonesia (computed)
Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS,Fixed OM Cost,Current Accounts,Myanmar,"Interp(2023, 104.0, 2030, 94.3, 2050, 71.9)",thousand USD/MW,,,DEA Indonesia (computed)
Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS,Fixed OM Cost,Baseline Simulation,Myanmar,"Interp(2023, 104.0, 2030, 94.3, 2050, 71.9)",thousand USD/MW,,,DEA Indonesia (computed)
Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS,Fixed OM Cost,AMS Target Scenario,Myanmar,"Interp(2023, 104.0, 2030, 94.3, 2050, 71.9)",thousand USD/MW,,,DEA Indonesia (computed)
Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS,Fixed OM Cost,Regional Aspiration Scenario,Myanmar,"Interp(2023, 104.0, 2030, 94.3, 2050, 71.9)",thousand USD/MW,,,DEA Indonesia (computed)
Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS,Variable OM Cost,Current Accounts,Myanmar,"Interp(2023, 6.5, 2030, 5.98, 2050, 5.12)",USD/MWh,,,DEA Indonesia (computed)
Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS,Variable OM Cost,Baseline Simulation,Myanmar,"Interp(2023, 6.5, 2030, 5.98, 2050, 5.12)",USD/MWh,,,DEA Indonesia (computed)
Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS,Variable OM Cost,AMS Target Scenario,Myanmar,"Interp(2023, 6.5, 2030, 5.98, 2050, 5.12)",USD/MWh,,,DEA Indonesia (computed)
Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS,Variable OM Cost,Regional Aspiration Scenario,Myanmar,"Interp(2023, 6.5, 2030, 5.98, 2050, 5.12)",USD/MWh,,,DEA Indonesia (computed)
Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS,Process Efficiency,Current Accounts,Myanmar,"Interp(2023, 23.0, 2030, 23.0, 2050, 23.0)",%,,,DEA Indonesia (computed)
Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS,Process Efficiency,Baseline Simulation,Myanmar,"Interp(2023, 23.0, 2030, 23.0, 2050, 23.0)",%,,,DEA Indonesia (computed)
Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS,Process Efficiency,AMS Target Scenario,Myanmar,"Interp(2023, 23.0, 2030, 23.0, 2050, 23.0)",%,,,DEA Indonesia (computed)
Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS,Process Efficiency,Regional Aspiration Scenario,Myanmar,"Interp(2023, 23.0, 2030, 23.0, 2050, 23.0)",%,,,DEA Indonesia (computed)
Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS,Capital Cost,Current Accounts,Philippines,"Interp(2023, 4520.0, 2030, 3980.0, 2050, 3090.0)",thousand USD/MW,,,DEA Indonesia (computed)
Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS,Capital Cost,Baseline Simulation,Philippines,"Interp(2023, 4520.0, 2030, 3980.0, 2050, 3090.0)",thousand USD/MW,,,DEA Indonesia (computed)
Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS,Capital Cost,AMS Target Scenario,Philippines,"Interp(2023, 4520.0, 2030, 3980.0, 2050, 3090.0)",thousand USD/MW,,,DEA Indonesia (computed)
Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS,Capital Cost,Regional Aspiration Scenario,Philippines,"Interp(2023, 4520.0, 2030, 3980.0, 2050, 3090.0)",thousand USD/MW,,,DEA Indonesia (computed)
Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS,Fixed OM Cost,Current Accounts,Philippines,"Interp(2023, 104.0, 2030, 94.3, 2050, 71.9)",thousand USD/MW,,,DEA Indonesia (computed)
Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS,Fixed OM Cost,Baseline Simulation,Philippines,"Interp(2023, 104.0, 2030, 94.3, 2050, 71.9)",thousand USD/MW,,,DEA Indonesia (computed)
Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS,Fixed OM Cost,AMS Target Scenario,Philippines,"Interp(2023, 104.0, 2030, 94.3, 2050, 71.9)",thousand USD/MW,,,DEA Indonesia (computed)
Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS,Fixed OM Cost,Regional Aspiration Scenario,Philippines,"Interp(2023, 104.0, 2030, 94.3, 2050, 71.9)",thousand USD/MW,,,DEA Indonesia (computed)
Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS,Variable OM Cost,Current Accounts,Philippines,"Interp(2023, 6.5, 2030, 5.98, 2050, 5.12)",USD/MWh,,,DEA Indonesia (computed)
Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS,Variable OM Cost,Baseline Simulation,Philippines,"Interp(2023, 6.5, 2030, 5.98, 2050, 5.12)",USD/MWh,,,DEA Indonesia (computed)
Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS,Variable OM Cost,AMS Target Scenario,Philippines,"Interp(2023, 6.5, 2030, 5.98, 2050, 5.12)",USD/MWh,,,DEA Indonesia (computed)
Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS,Variable OM Cost,Regional Aspiration Scenario,Philippines,"Interp(2023, 6.5, 2030, 5.98, 2050, 5.12)",USD/MWh,,,DEA Indonesia (computed)
Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS,Process Efficiency,Current Accounts,Philippines,"Interp(2023, 23.0, 2030, 23.0, 2050, 23.0)",%,,,DEA Indonesia (computed)
Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS,Process Efficiency,Baseline Simulation,Philippines,"Interp(2023, 23.0, 2030, 23.0, 2050, 23.0)",%,,,DEA Indonesia (computed)
Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS,Process Efficiency,AMS Target Scenario,Philippines,"Interp(2023, 23.0, 2030, 23.0, 2050, 23.0)",%,,,DEA Indonesia (computed)
Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS,Process Efficiency,Regional Aspiration Scenario,Philippines,"Interp(2023, 23.0, 2030, 23.0, 2050, 23.0)",%,,,DEA Indonesia (computed)
Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS,Capital Cost,Current Accounts,Singapore,"Interp(2023, 4520.0, 2030, 3980.0, 2050, 3090.0)",thousand USD/MW,,,DEA Indonesia (computed)
Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS,Capital Cost,Baseline Simulation,Singapore,"Interp(2023, 4520.0, 2030, 3980.0, 2050, 3090.0)",thousand USD/MW,,,DEA Indonesia (computed)
Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS,Capital Cost,AMS Target Scenario,Singapore,"Interp(2023, 4520.0, 2030, 3980.0, 2050, 3090.0)",thousand USD/MW,,,DEA Indonesia (computed)
Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS,Capital Cost,Regional Aspiration Scenario,Singapore,"Interp(2023, 4520.0, 2030, 3980.0, 2050, 3090.0)",thousand USD/MW,,,DEA Indonesia (computed)
Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS,Fixed OM Cost,Current Accounts,Singapore,"Interp(2023, 104.0, 2030, 94.3, 2050, 71.9)",thousand USD/MW,,,DEA Indonesia (computed)
Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS,Fixed OM Cost,Baseline Simulation,Singapore,"Interp(2023, 104.0, 2030, 94.3, 2050, 71.9)",thousand USD/MW,,,DEA Indonesia (computed)
Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS,Fixed OM Cost,AMS Target Scenario,Singapore,"Interp(2023, 104.0, 2030, 94.3, 2050, 71.9)",thousand USD/MW,,,DEA Indonesia (computed)
Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS,Fixed OM Cost,Regional Aspiration Scenario,Singapore,"Interp(2023, 104.0, 2030, 94.3, 2050, 71.9)",thousand USD/MW,,,DEA Indonesia (computed)
Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS,Variable OM Cost,Current Accounts,Singapore,"Interp(2023, 6.5, 2030, 5.98, 2050, 5.12)",USD/MWh,,,DEA Indonesia (computed)
Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS,Variable OM Cost,Baseline Simulation,Singapore,"Interp(2023, 6.5, 2030, 5.98, 2050, 5.12)",USD/MWh,,,DEA Indonesia (computed)
Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS,Variable OM Cost,AMS Target Scenario,Singapore,"Interp(2023, 6.5, 2030, 5.98, 2050, 5.12)",USD/MWh,,,DEA Indonesia (computed)
Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS,Variable OM Cost,Regional Aspiration Scenario,Singapore,"Interp(2023, 6.5, 2030, 5.98, 2050, 5.12)",USD/MWh,,,DEA Indonesia (computed)
Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS,Process Efficiency,Current Accounts,Singapore,"Interp(2023, 23.0, 2030, 23.0, 2050, 23.0)",%,,,DEA Indonesia (computed)
Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS,Process Efficiency,Baseline Simulation,Singapore,"Interp(2023, 23.0, 2030, 23.0, 2050, 23.0)",%,,,DEA Indonesia (computed)
