Country,season,hour,hours,value_pct
Malaysia,Wet,5,153,0.27154
Malaysia,Wet,6,153,0.18146
Malaysia,Wet,7,153,0.12288
Malaysia,Wet,8,153,0.08399
Malaysia,Wet,9,153,0.36292
Malaysia,Wet,10,153,1.12662
Malaysia,Wet,11,153,1.93879
Malaysia,Wet,12,153,2.64778
Malaysia,Wet,13,153,3.17609
Malaysia,Wet,14,153,3.53461
Malaysia,Wet,15,153,3.644
Malaysia,Wet,16,153,3.43118
Malaysia,Wet,17,153,3.07486
Malaysia,Wet,18,153,2.66282
Malaysia,Wet,19,153,2.29108
Malaysia,Wet,20,153,1.81798
Malaysia,Wet,21,153,1.53931
Malaysia,Wet,22,153,1.383
Malaysia,Wet,23,153,1.18779
Malaysia,Wet,24,153,1.00089
Malaysia,Dry,1,212,1.52185
Malaysia,Dry,2,212,1.26535
Malaysia,Dry,3,212,1.00671
Malaysia,Dry,4,212,0.77835
Malaysia,Dry,5,212,0.59776
Malaysia,Dry,6,212,0.45469
Malaysia,Dry,7,212,0.34279
Malaysia,Dry,8,212,0.25839
Malaysia,Dry,9,212,0.96033
Malaysia,Dry,10,212,2.05713
Malaysia,Dry,11,212,3.12987
Malaysia,Dry,12,212,4.04153
Malaysia,Dry,13,212,4.7356
Malaysia,Dry,14,212,5.18168
Malaysia,Dry,15,212,5.32805
Malaysia,Dry,16,212,5.19777
Malaysia,Dry,17,212,4.80556
Malaysia,Dry,18,212,4.40346
Malaysia,Dry,19,212,3.89934
Malaysia,Dry,20,212,3.2258
Malaysia,Dry,21,212,2.68772
Malaysia,Dry,22,212,2.41374
Malaysia,Dry,23,212,2.09781
Malaysia,Dry,24,212,1.78582
Myanmar,Wet,1,153,0.4504
Myanmar,Wet,2,153,0.33874
Myanmar,Wet,3,153,0.24355
Myanmar,Wet,4,153,0.17401
Myanmar,Wet,5,153,0.12736
Myanmar,Wet,6,153,0.10436
Myanmar,Wet,7,153,0.14405
Myanmar,Wet,8,153,0.45372
Myanmar,Wet,9,153,1.08234
Myanmar,Wet,10,153,2.00349
Myanmar,Wet,11,153,2.88837
Myanmar,Wet,12,153,3.538
Myanmar,Wet,13,153,3.94562
Myanmar,Wet,14,153,4.13909
Myanmar,Wet,15,153,4.18243
Myanmar,Wet,16,153,4.05628
Myanmar,Wet,17,153,3.69454
Myanmar,Wet,18,153,2.72884
Myanmar,Wet,19,153,1.8916
Myanmar,Wet,20,153,1.52456
Myanmar,Wet,21,153,1.17731
Myanmar,Wet,22,153,0.92646
Myanmar,Wet,23,153,0.75023
Myanmar,Wet,24,153,0.58871
Myanmar,Dry,1,212,1.32433
Myanmar,Dry,2,212,1.15462
Myanmar,Dry,3,212,1.01378
Myanmar,Dry,4,212,0.90774
Myanmar,Dry,5,212,0.80949
Myanmar,Dry,6,212,0.74626
Myanmar,Dry,7,212,1.16986
Myanmar,Dry,8,212,1.83278
Myanmar,Dry,9,212,2.58066
Myanmar,Dry,10,212,3.3387
Myanmar,Dry,11,212,3.94466
Myanmar,Dry,12,212,4.34027
Myanmar,Dry,13,212,4.53364
Myanmar,Dry,14,212,4.5103
Myanmar,Dry,15,212,4.2551
Myanmar,Dry,16,212,3.96206
Myanmar,Dry,17,212,3.53316
Myanmar,Dry,18,212,2.99833
Myanmar,Dry,19,212,2.61125
Myanmar,Dry,20,212,2.26623
Myanmar,Dry,21,212,2.01351
Myanmar,Dry,22,212,1.83657
Myanmar,Dry,23,212,1.66643
Myanmar,Dry,24,212,1.49619
Philippines,Wet,1,153,0.5823
Philippines,Wet,2,153,0.48835
Philippines,Wet,3,153,0.40155
Philippines,Wet,4,153,0.32667
Philippines,Wet,5,153,0.28071
Philippines,Wet,6,153,0.24043
Philippines,Wet,7,153,0.21445
Philippines,Wet,8,153,0.45522
Philippines,Wet,9,153,1.02584
Philippines,Wet,10,153,1.65625
Philippines,Wet,11,153,2.2289
Philippines,Wet,12,153,2.74131
Philippines,Wet,13,153,3.04131
Philippines,Wet,14,153,3.11756
Philippines,Wet,15,153,3.08375
Philippines,Wet,16,153,2.94146
Philippines,Wet,17,153,2.65905
Philippines,Wet,18,153,2.19554
Philippines,Wet,19,153,1.60053
Philippines,Wet,20,153,1.24006
Philippines,Wet,21,153,1.14826
Philippines,Wet,22,153,0.99259
Philippines,Wet,23,153,0.82659
Philippines,Wet,24,153,0.70065
Philippines,Dry,1,212,1.72005
Philippines,Dry,2,212,1.57084
Philippines,Dry,3,212,1.46135
Philippines,Dry,4,212,1.33899
Philippines,Dry,5,212,1.24203
Philippines,Dry,6,212,1.16914
Philippines,Dry,7,212,1.27586
Philippines,Dry,8,212,1.91929
Philippines,Dry,9,212,2.69683
Philippines,Dry,10,212,3.49534
Philippines,Dry,11,212,4.08463
Philippines,Dry,12,212,4.50607
Philippines,Dry,13,212,4.72062
Philippines,Dry,14,212,4.68357
Philippines,Dry,15,212,4.52615
Philippines,Dry,16,212,4.23483
Philippines,Dry,17,212,3.85178
Philippines,Dry,18,212,3.33504
Philippines,Dry,19,212,2.7665
Philippines,Dry,20,212,2.38433
Philippines,Dry,21,212,2.54152
Philippines,Dry,22,212,2.31433
Philippines,Dry,23,212,2.08835
Philippines,Dry,24,212,1.88323
Singapore,Wet,1,153,0.44465
Singapore,Wet,2,153,0.3304
Singapore,Wet,3,153,0.24996
Singapore,Wet,4,153,0.18829
Singapore,Wet,5,153,0.14092
Singapore,Wet,6,153,0.11202
Singapore,Wet,7,153,0.09429
Singapore,Wet,8,153,0.08774
Singapore,Wet,9,153,0.45091
Singapore,Wet,10,153,1.28852
Singapore,Wet,11,153,2.08025
Singapore,Wet,12,153,2.7187
Singapore,Wet,13,153,3.18629
Singapore,Wet,14,153,3.41391
Singapore,Wet,15,153,3.32453
Singapore,Wet,16,153,3.11598
Singapore,Wet,17,153,2.86975
Singapore,Wet,18,153,2.56721
Singapore,Wet,19,153,2.17484
Singapore,Wet,20,153,1.5562
Singapore,Wet,21,153,1.14686
Singapore,Wet,22,153,0.94576
Singapore,Wet,23,153,0.75002
Singapore,Wet,24,153,0.58274
Singapore,Dry,1,212,1.69977
Singapore,Dry,2,212,1.54991
Singapore,Dry,3,212,1.42801
Singapore,Dry,4,212,1.28149
Singapore,Dry,5,212,1.15741
Singapore,Dry,6,212,1.07483
Singapore,Dry,7,212,1.02604
Singapore,Dry,8,212,0.97419
Singapore,Dry,9,212,1.68477
Singapore,Dry,10,212,2.70673
Singapore,Dry,11,212,3.56936
Singapore,Dry,12,212,4.23144
Singapore,Dry,13,212,4.67827
Singapore,Dry,14,212,4.90547
Singapore,Dry,15,212,4.8912
Singapore,Dry,16,212,4.75721
Singapore,Dry,17,212,4.57661
Singapore,Dry,18,212,4.31577
Singapore,Dry,19,212,3.85205
Singapore,Dry,20,212,2.99452
Singapore,Dry,21,212,2.54653
Singapore,Dry,22,212,2.31073
Singapore,Dry,23,212,2.08354
Singapore,Dry,24,212,1.88342
Thailand,Wet,1,153,0.70598
Thailand,Wet,2,153,0.56761
Thailand,Wet,3,153,0.46113
Thailand,Wet,4,153,0.37095
Thailand,Wet,5,153,0.30628
Thailand,Wet,6,153,0.25917
Thailand,Wet,7,153,0.22335
Thailand,Wet,8,153,0.32345
Thailand,Wet,9,153,0.71245
Thailand,Wet,10,153,1.2887
Thailand,Wet,11,153,1.87485
Thailand,Wet,12,153,2.39879
Thailand,Wet,13,153,2.79221
Thailand,Wet,14,153,3.07513
Thailand,Wet,15,153,3.18279
Thailand,Wet,16,153,3.18485
Thailand,Wet,17,153,3.05914
Thailand,Wet,18,153,2.75963
Thailand,Wet,19,153,2.16111
Thailand,Wet,20,153,1.64385
Thailand,Wet,21,153,1.45052
Thailand,Wet,22,153,1.23835
Thailand,Wet,23,153,1.04788
Thailand,Wet,24,153,0.86966
Thailand,Dry,1,212,1.78422
Thailand,Dry,2,212,1.63281
Thailand,Dry,3,212,1.48112
Thailand,Dry,4,212,1.33653
Thailand,Dry,5,212,1.21861
Thailand,Dry,6,212,1.11557
Thailand,Dry,7,212,1.03382
Thailand,Dry,8,212,1.55327
Thailand,Dry,9,212,2.33437
Thailand,Dry,10,212,3.03948
Thailand,Dry,11,212,3.65085
Thailand,Dry,12,212,4.15178
Thailand,Dry,13,212,4.49441
Thailand,Dry,14,212,4.59832
Thailand,Dry,15,212,4.47579
Thailand,Dry,16,212,4.23276
Thailand,Dry,17,212,3.9171
Thailand,Dry,18,212,3.51058
Thailand,Dry,19,212,2.99477
Thailand,Dry,20,212,2.68966
Thailand,Dry,21,212,2.46006
Thailand,Dry,22,212,2.27239
Thailand,Dry,23,212,2.11542
Thailand,Dry,24,212,1.94848
Vietnam,Wet,1,153,0.60122
Vietnam,Wet,2,153,0.45123
Vietnam,Wet,3,153,0.33096
Vietnam,Wet,4,153,0.23894
Vietnam,Wet,5,153,0.17311
Vietnam,Wet,6,153,0.12926
Vietnam,Wet,7,153,0.10148
Vietnam,Wet,8,153,0.34212
Vietnam,Wet,9,153,1.00177
Vietnam,Wet,10,153,1.83522
Vietnam,Wet,11,153,2.63495
Vietnam,Wet,12,153,3.28867
Vietnam,Wet,13,153,3.78125
Vietnam,Wet,14,153,4.08727
Vietnam,Wet,15,153,4.13795
Vietnam,Wet,16,153,4.02167
Vietnam,Wet,17,153,3.66918
Vietnam,Wet,18,153,3.06636
Vietnam,Wet,19,153,2.20593
Vietnam,Wet,20,153,1.70117
Vietnam,Wet,21,153,1.41952
Vietnam,Wet,22,153,1.15609
Vietnam,Wet,23,153,0.94471
Vietnam,Wet,24,153,0.76591
Vietnam,Dry,1,212,1.18833
Vietnam,Dry,2,212,1.02921
Vietnam,Dry,3,212,0.89492
Vietnam,Dry,4,212,0.77478
Vietnam,Dry,5,212,0.68169
Vietnam,Dry,6,212,0.60363
Vietnam,Dry,7,212,0.64171
Vietnam,Dry,8,212,1.52739
Vietnam,Dry,9,212,2.52197
Vietnam,Dry,10,212,3.43638
Vietnam,Dry,11,212,4.16394
Vietnam,Dry,12,212,4.69475
Vietnam,Dry,13,212,4.90899
Vietnam,Dry,14,212,4.83216
Vietnam,Dry,15,212,4.46303
Vietnam,Dry,16,212,3.97365
Vietnam,Dry,17,212,3.43282
Vietnam,Dry,18,212,2.93018
Vietnam,Dry,19,212,2.37499
Vietnam,Dry,20,212,2.2093
Vietnam,Dry,21,212,1.9768
Vietnam,Dry,22,212,1.74842
Vietnam,Dry,23,212,1.54387
Vietnam,Dry,24,212,1.36115
