ams,branch,variable,expression,unit,fuel,source,note,src_csv,domain,data_confidence,unit_audit
Laos,Transformation\Centralized Electricity Generation\Processes\Biomass Other,Capacity Retirement,0,MW,,ats_cap_ret.csv,Zero-clamp on Capacity Retirement (BAS standardisation),ats_cap_ret.csv,power_capacity_retirement,High,passthrough — input unit preserved (no conversion)
Myanmar,Transformation\Centralized Electricity Generation\Processes\Biomass Other,Capacity Retirement,0,MW,,ats_cap_ret.csv,Zero-clamp on Capacity Retirement (BAS standardisation),ats_cap_ret.csv,power_capacity_retirement,High,passthrough — input unit preserved (no conversion)
Philippines,Transformation\Centralized Electricity Generation\Processes\Biomass Other,Capacity Retirement,0,MW,,ats_cap_ret.csv,Zero-clamp on Capacity Retirement (BAS standardisation),ats_cap_ret.csv,power_capacity_retirement,High,passthrough — input unit preserved (no conversion)
Singapore,Transformation\Centralized Electricity Generation\Processes\Biomass Other,Capacity Retirement,0,MW,,ats_cap_ret.csv,Zero-clamp on Capacity Retirement (BAS standardisation),ats_cap_ret.csv,power_capacity_retirement,High,passthrough — input unit preserved (no conversion)
Thailand,Transformation\Centralized Electricity Generation\Processes\Biomass Other,Capacity Retirement,0,MW,,ats_cap_ret.csv,Zero-clamp on Capacity Retirement (BAS standardisation),ats_cap_ret.csv,power_capacity_retirement,High,passthrough — input unit preserved (no conversion)
Timor Leste,Transformation\Centralized Electricity Generation\Processes\Biomass Other,Capacity Retirement,0,MW,,ats_cap_ret.csv,Zero-clamp on Capacity Retirement (BAS standardisation),ats_cap_ret.csv,power_capacity_retirement,High,passthrough — input unit preserved (no conversion)
Vietnam,Transformation\Centralized Electricity Generation\Processes\Biomass Other,Capacity Retirement,0,MW,,ats_cap_ret.csv,Zero-clamp on Capacity Retirement (BAS standardisation),ats_cap_ret.csv,power_capacity_retirement,High,passthrough — input unit preserved (no conversion)
Indonesia,Transformation\Centralized Electricity Generation\Processes\Biomass Other_IDEast,Capacity Retirement,0,MW,,ats_cap_ret.csv,Zero-clamp on Capacity Retirement (BAS standardisation),ats_cap_ret.csv,power_capacity_retirement,High,passthrough — input unit preserved (no conversion)
Indonesia,Transformation\Centralized Electricity Generation\Processes\Biomass Other_IDJW,Capacity Retirement,0,MW,,ats_cap_ret.csv,Zero-clamp on Capacity Retirement (BAS standardisation),ats_cap_ret.csv,power_capacity_retirement,High,passthrough — input unit preserved (no conversion)
Indonesia,Transformation\Centralized Electricity Generation\Processes\Biomass Other_IDKA,Capacity Retirement,0,MW,,ats_cap_ret.csv,Zero-clamp on Capacity Retirement (BAS standardisation),ats_cap_ret.csv,power_capacity_retirement,High,passthrough — input unit preserved (no conversion)
Indonesia,Transformation\Centralized Electricity Generation\Processes\Biomass Other_IDSA,Capacity Retirement,0,MW,,ats_cap_ret.csv,Zero-clamp on Capacity Retirement (BAS standardisation),ats_cap_ret.csv,power_capacity_retirement,High,passthrough — input unit preserved (no conversion)
Malaysia,Transformation\Centralized Electricity Generation\Processes\Biomass Other_MYPE,Capacity Retirement,"Add(2033, 1.5)",MW,,ats_cap_ret.csv,Step-add trajectory on Capacity Retirement (per-year MW deltas),ats_cap_ret.csv,power_capacity_retirement,High,passthrough — input unit preserved (no conversion)
Malaysia,Transformation\Centralized Electricity Generation\Processes\Biomass Other_MYSB,Capacity Retirement,"Add(2033, 0.6)",MW,,ats_cap_ret.csv,Step-add trajectory on Capacity Retirement (per-year MW deltas),ats_cap_ret.csv,power_capacity_retirement,High,passthrough — input unit preserved (no conversion)
Malaysia,Transformation\Centralized Electricity Generation\Processes\Biomass Other_MYSR,Capacity Retirement,"Add(2033, 0.2)",MW,,ats_cap_ret.csv,Step-add trajectory on Capacity Retirement (per-year MW deltas),ats_cap_ret.csv,power_capacity_retirement,High,passthrough — input unit preserved (no conversion)
Brunei,Transformation\Centralized Electricity Generation\Processes\CAES,Capacity Retirement,0,MW,,ats_cap_ret.csv,Zero-clamp on Capacity Retirement (BAS standardisation),ats_cap_ret.csv,power_capacity_retirement,High,passthrough — input unit preserved (no conversion)
Cambodia,Transformation\Centralized Electricity Generation\Processes\CAES,Capacity Retirement,0,MW,,ats_cap_ret.csv,Zero-clamp on Capacity Retirement (BAS standardisation),ats_cap_ret.csv,power_capacity_retirement,High,passthrough — input unit preserved (no conversion)
Indonesia,Transformation\Centralized Electricity Generation\Processes\CAES,Capacity Retirement,0,MW,,ats_cap_ret.csv,Zero-clamp on Capacity Retirement (BAS standardisation),ats_cap_ret.csv,power_capacity_retirement,High,passthrough — input unit preserved (no conversion)
Laos,Transformation\Centralized Electricity Generation\Processes\CAES,Capacity Retirement,0,MW,,ats_cap_ret.csv,Zero-clamp on Capacity Retirement (BAS standardisation),ats_cap_ret.csv,power_capacity_retirement,High,passthrough — input unit preserved (no conversion)
Malaysia,Transformation\Centralized Electricity Generation\Processes\CAES,Capacity Retirement,0,MW,,ats_cap_ret.csv,Zero-clamp on Capacity Retirement (BAS standardisation),ats_cap_ret.csv,power_capacity_retirement,High,passthrough — input unit preserved (no conversion)
Myanmar,Transformation\Centralized Electricity Generation\Processes\CAES,Capacity Retirement,0,MW,,ats_cap_ret.csv,Zero-clamp on Capacity Retirement (BAS standardisation),ats_cap_ret.csv,power_capacity_retirement,High,passthrough — input unit preserved (no conversion)
Philippines,Transformation\Centralized Electricity Generation\Processes\CAES,Capacity Retirement,0,MW,,ats_cap_ret.csv,Zero-clamp on Capacity Retirement (BAS standardisation),ats_cap_ret.csv,power_capacity_retirement,High,passthrough — input unit preserved (no conversion)
Singapore,Transformation\Centralized Electricity Generation\Processes\CAES,Capacity Retirement,0,MW,,ats_cap_ret.csv,Zero-clamp on Capacity Retirement (BAS standardisation),ats_cap_ret.csv,power_capacity_retirement,High,passthrough — input unit preserved (no conversion)
Thailand,Transformation\Centralized Electricity Generation\Processes\CAES,Capacity Retirement,0,MW,,ats_cap_ret.csv,Zero-clamp on Capacity Retirement (BAS standardisation),ats_cap_ret.csv,power_capacity_retirement,High,passthrough — input unit preserved (no conversion)
Timor Leste,Transformation\Centralized Electricity Generation\Processes\CAES,Capacity Retirement,0,MW,,ats_cap_ret.csv,Zero-clamp on Capacity Retirement (BAS standardisation),ats_cap_ret.csv,power_capacity_retirement,High,passthrough — input unit preserved (no conversion)
Vietnam,Transformation\Centralized Electricity Generation\Processes\CAES,Capacity Retirement,0,MW,,ats_cap_ret.csv,Zero-clamp on Capacity Retirement (BAS standardisation),ats_cap_ret.csv,power_capacity_retirement,High,passthrough — input unit preserved (no conversion)
Brunei,Transformation\Centralized Electricity Generation\Processes\Coal IGCC,Capacity Retirement,0,MW,,ats_cap_ret.csv,Zero-clamp on Capacity Retirement (BAS standardisation),ats_cap_ret.csv,power_capacity_retirement,High,passthrough — input unit preserved (no conversion)
Cambodia,Transformation\Centralized Electricity Generation\Processes\Coal IGCC,Capacity Retirement,0,MW,,ats_cap_ret.csv,Zero-clamp on Capacity Retirement (BAS standardisation),ats_cap_ret.csv,power_capacity_retirement,High,passthrough — input unit preserved (no conversion)
Indonesia,Transformation\Centralized Electricity Generation\Processes\Coal IGCC,Capacity Retirement,0,MW,,ats_cap_ret.csv,Zero-clamp on Capacity Retirement (BAS standardisation),ats_cap_ret.csv,power_capacity_retirement,High,passthrough — input unit preserved (no conversion)
Laos,Transformation\Centralized Electricity Generation\Processes\Coal IGCC,Capacity Retirement,0,MW,,ats_cap_ret.csv,Zero-clamp on Capacity Retirement (BAS standardisation),ats_cap_ret.csv,power_capacity_retirement,High,passthrough — input unit preserved (no conversion)
Malaysia,Transformation\Centralized Electricity Generation\Processes\Coal IGCC,Capacity Retirement,0,MW,,ats_cap_ret.csv,Zero-clamp on Capacity Retirement (BAS standardisation),ats_cap_ret.csv,power_capacity_retirement,High,passthrough — input unit preserved (no conversion)
Myanmar,Transformation\Centralized Electricity Generation\Processes\Coal IGCC,Capacity Retirement,0,MW,,ats_cap_ret.csv,Zero-clamp on Capacity Retirement (BAS standardisation),ats_cap_ret.csv,power_capacity_retirement,High,passthrough — input unit preserved (no conversion)
Philippines,Transformation\Centralized Electricity Generation\Processes\Coal IGCC,Capacity Retirement,0,MW,,ats_cap_ret.csv,Zero-clamp on Capacity Retirement (BAS standardisation),ats_cap_ret.csv,power_capacity_retirement,High,passthrough — input unit preserved (no conversion)
Singapore,Transformation\Centralized Electricity Generation\Processes\Coal IGCC,Capacity Retirement,0,MW,,ats_cap_ret.csv,Zero-clamp on Capacity Retirement (BAS standardisation),ats_cap_ret.csv,power_capacity_retirement,High,passthrough — input unit preserved (no conversion)
Thailand,Transformation\Centralized Electricity Generation\Processes\Coal IGCC,Capacity Retirement,0,MW,,ats_cap_ret.csv,Zero-clamp on Capacity Retirement (BAS standardisation),ats_cap_ret.csv,power_capacity_retirement,High,passthrough — input unit preserved (no conversion)
Timor Leste,Transformation\Centralized Electricity Generation\Processes\Coal IGCC,Capacity Retirement,0,MW,,ats_cap_ret.csv,Zero-clamp on Capacity Retirement (BAS standardisation),ats_cap_ret.csv,power_capacity_retirement,High,passthrough — input unit preserved (no conversion)
Vietnam,Transformation\Centralized Electricity Generation\Processes\Coal IGCC,Capacity Retirement,0,MW,,ats_cap_ret.csv,Zero-clamp on Capacity Retirement (BAS standardisation),ats_cap_ret.csv,power_capacity_retirement,High,passthrough — input unit preserved (no conversion)
Brunei,Transformation\Centralized Electricity Generation\Processes\Coal IGCC with CCS,Capacity Retirement,0,MW,,ats_cap_ret.csv,Zero-clamp on Capacity Retirement (BAS standardisation),ats_cap_ret.csv,power_capacity_retirement,High,passthrough — input unit preserved (no conversion)
Cambodia,Transformation\Centralized Electricity Generation\Processes\Coal IGCC with CCS,Capacity Retirement,0,MW,,ats_cap_ret.csv,Zero-clamp on Capacity Retirement (BAS standardisation),ats_cap_ret.csv,power_capacity_retirement,High,passthrough — input unit preserved (no conversion)
Indonesia,Transformation\Centralized Electricity Generation\Processes\Coal IGCC with CCS,Capacity Retirement,0,MW,,ats_cap_ret.csv,Zero-clamp on Capacity Retirement (BAS standardisation),ats_cap_ret.csv,power_capacity_retirement,High,passthrough — input unit preserved (no conversion)
Laos,Transformation\Centralized Electricity Generation\Processes\Coal IGCC with CCS,Capacity Retirement,0,MW,,ats_cap_ret.csv,Zero-clamp on Capacity Retirement (BAS standardisation),ats_cap_ret.csv,power_capacity_retirement,High,passthrough — input unit preserved (no conversion)
Malaysia,Transformation\Centralized Electricity Generation\Processes\Coal IGCC with CCS,Capacity Retirement,0,MW,,ats_cap_ret.csv,Zero-clamp on Capacity Retirement (BAS standardisation),ats_cap_ret.csv,power_capacity_retirement,High,passthrough — input unit preserved (no conversion)
Myanmar,Transformation\Centralized Electricity Generation\Processes\Coal IGCC with CCS,Capacity Retirement,0,MW,,ats_cap_ret.csv,Zero-clamp on Capacity Retirement (BAS standardisation),ats_cap_ret.csv,power_capacity_retirement,High,passthrough — input unit preserved (no conversion)
Philippines,Transformation\Centralized Electricity Generation\Processes\Coal IGCC with CCS,Capacity Retirement,0,MW,,ats_cap_ret.csv,Zero-clamp on Capacity Retirement (BAS standardisation),ats_cap_ret.csv,power_capacity_retirement,High,passthrough — input unit preserved (no conversion)
Singapore,Transformation\Centralized Electricity Generation\Processes\Coal IGCC with CCS,Capacity Retirement,0,MW,,ats_cap_ret.csv,Zero-clamp on Capacity Retirement (BAS standardisation),ats_cap_ret.csv,power_capacity_retirement,High,passthrough — input unit preserved (no conversion)
Thailand,Transformation\Centralized Electricity Generation\Processes\Coal IGCC with CCS,Capacity Retirement,0,MW,,ats_cap_ret.csv,Zero-clamp on Capacity Retirement (BAS standardisation),ats_cap_ret.csv,power_capacity_retirement,High,passthrough — input unit preserved (no conversion)
Timor Leste,Transformation\Centralized Electricity Generation\Processes\Coal IGCC with CCS,Capacity Retirement,0,MW,,ats_cap_ret.csv,Zero-clamp on Capacity Retirement (BAS standardisation),ats_cap_ret.csv,power_capacity_retirement,High,passthrough — input unit preserved (no conversion)
Vietnam,Transformation\Centralized Electricity Generation\Processes\Coal IGCC with CCS,Capacity Retirement,0,MW,,ats_cap_ret.csv,Zero-clamp on Capacity Retirement (BAS standardisation),ats_cap_ret.csv,power_capacity_retirement,High,passthrough — input unit preserved (no conversion)
Brunei,Transformation\Centralized Electricity Generation\Processes\Coal Subcritical,Capacity Retirement,0,MW,,ats_cap_ret.csv,Zero-clamp on Capacity Retirement (BAS standardisation),ats_cap_ret.csv,power_capacity_retirement,High,passthrough — input unit preserved (no conversion)
Cambodia,Transformation\Centralized Electricity Generation\Processes\Coal Subcritical,Capacity Retirement,0,MW,,ats_cap_ret.csv,Zero-clamp on Capacity Retirement (BAS standardisation),ats_cap_ret.csv,power_capacity_retirement,High,passthrough — input unit preserved (no conversion)
Laos,Transformation\Centralized Electricity Generation\Processes\Coal Subcritical,Capacity Retirement,0,MW,,ats_cap_ret.csv,Zero-clamp on Capacity Retirement (BAS standardisation),ats_cap_ret.csv,power_capacity_retirement,High,passthrough — input unit preserved (no conversion)
Myanmar,Transformation\Centralized Electricity Generation\Processes\Coal Subcritical,Capacity Retirement,0,MW,,ats_cap_ret.csv,Zero-clamp on Capacity Retirement (BAS standardisation),ats_cap_ret.csv,power_capacity_retirement,High,passthrough — input unit preserved (no conversion)
Philippines,Transformation\Centralized Electricity Generation\Processes\Coal Subcritical,Capacity Retirement,0,MW,,ats_cap_ret.csv,Zero-clamp on Capacity Retirement (BAS standardisation),ats_cap_ret.csv,power_capacity_retirement,High,passthrough — input unit preserved (no conversion)
Singapore,Transformation\Centralized Electricity Generation\Processes\Coal Subcritical,Capacity Retirement,0,MW,,ats_cap_ret.csv,Zero-clamp on Capacity Retirement (BAS standardisation),ats_cap_ret.csv,power_capacity_retirement,High,passthrough — input unit preserved (no conversion)
Thailand,Transformation\Centralized Electricity Generation\Processes\Coal Subcritical,Capacity Retirement,0,MW,,ats_cap_ret.csv,Zero-clamp on Capacity Retirement (BAS standardisation),ats_cap_ret.csv,power_capacity_retirement,High,passthrough — input unit preserved (no conversion)
Timor Leste,Transformation\Centralized Electricity Generation\Processes\Coal Subcritical,Capacity Retirement,0,MW,,ats_cap_ret.csv,Zero-clamp on Capacity Retirement (BAS standardisation),ats_cap_ret.csv,power_capacity_retirement,High,passthrough — input unit preserved (no conversion)
Vietnam,Transformation\Centralized Electricity Generation\Processes\Coal Subcritical,Capacity Retirement,0,MW,,ats_cap_ret.csv,Zero-clamp on Capacity Retirement (BAS standardisation),ats_cap_ret.csv,power_capacity_retirement,High,passthrough — input unit preserved (no conversion)
Indonesia,Transformation\Centralized Electricity Generation\Processes\Coal Subcritical_IDEast,Capacity Retirement,0,MW,,ats_cap_ret.csv,Zero-clamp on Capacity Retirement (BAS standardisation),ats_cap_ret.csv,power_capacity_retirement,High,passthrough — input unit preserved (no conversion)
Indonesia,Transformation\Centralized Electricity Generation\Processes\Coal Subcritical_IDJW,Capacity Retirement,0,MW,,ats_cap_ret.csv,Zero-clamp on Capacity Retirement (BAS standardisation),ats_cap_ret.csv,power_capacity_retirement,High,passthrough — input unit preserved (no conversion)
Indonesia,Transformation\Centralized Electricity Generation\Processes\Coal Subcritical_IDKA,Capacity Retirement,0,MW,,ats_cap_ret.csv,Zero-clamp on Capacity Retirement (BAS standardisation),ats_cap_ret.csv,power_capacity_retirement,High,passthrough — input unit preserved (no conversion)
Indonesia,Transformation\Centralized Electricity Generation\Processes\Coal Subcritical_IDSA,Capacity Retirement,0,MW,,ats_cap_ret.csv,Zero-clamp on Capacity Retirement (BAS standardisation),ats_cap_ret.csv,power_capacity_retirement,High,passthrough — input unit preserved (no conversion)
Malaysia,Transformation\Centralized Electricity Generation\Processes\Coal Subcritical_MYPE,Capacity Retirement,"Add(2026, 779.5, 2027, 779.5, 2028, 779.5, 2029, 191.7, 2030, 1320.2, 2031, 1858.3, 2032, 1884.2, 2033, 1255.3)",MW,,ats_cap_ret.csv,Step-add trajectory on Capacity Retirement (per-year MW deltas),ats_cap_ret.csv,power_capacity_retirement,High,passthrough — input unit preserved (no conversion)
Malaysia,Transformation\Centralized Electricity Generation\Processes\Coal Subcritical_MYSR,Capacity Retirement,"Add(2026, 90.1, 2027, 90.1, 2028, 90.1, 2029, 18.3, 2030, 153.8, 2031, 211.7, 2032, 215.8, 2033, 144.7)",MW,,ats_cap_ret.csv,Step-add trajectory on Capacity Retirement (per-year MW deltas),ats_cap_ret.csv,power_capacity_retirement,High,passthrough — input unit preserved (no conversion)
Brunei,Transformation\Centralized Electricity Generation\Processes\Coal Supercritical,Capacity Retirement,0,MW,,ats_cap_ret.csv,Zero-clamp on Capacity Retirement (BAS standardisation),ats_cap_ret.csv,power_capacity_retirement,High,passthrough — input unit preserved (no conversion)
Cambodia,Transformation\Centralized Electricity Generation\Processes\Coal Supercritical,Capacity Retirement,0,MW,,ats_cap_ret.csv,Zero-clamp on Capacity Retirement (BAS standardisation),ats_cap_ret.csv,power_capacity_retirement,High,passthrough — input unit preserved (no conversion)
Indonesia,Transformation\Centralized Electricity Generation\Processes\Coal Supercritical,Capacity Retirement,0,MW,,ats_cap_ret.csv,Zero-clamp on Capacity Retirement (BAS standardisation),ats_cap_ret.csv,power_capacity_retirement,High,passthrough — input unit preserved (no conversion)
Laos,Transformation\Centralized Electricity Generation\Processes\Coal Supercritical,Capacity Retirement,0,MW,,ats_cap_ret.csv,Zero-clamp on Capacity Retirement (BAS standardisation),ats_cap_ret.csv,power_capacity_retirement,High,passthrough — input unit preserved (no conversion)
Malaysia,Transformation\Centralized Electricity Generation\Processes\Coal Supercritical,Capacity Retirement,0,MW,,ats_cap_ret.csv,Zero-clamp on Capacity Retirement (BAS standardisation),ats_cap_ret.csv,power_capacity_retirement,High,passthrough — input unit preserved (no conversion)
Myanmar,Transformation\Centralized Electricity Generation\Processes\Coal Supercritical,Capacity Retirement,0,MW,,ats_cap_ret.csv,Zero-clamp on Capacity Retirement (BAS standardisation),ats_cap_ret.csv,power_capacity_retirement,High,passthrough — input unit preserved (no conversion)
