variable,scenario,energy_class,fuel,region,year,value,unit
Exports,Baseline Simulation,Primary,Cassava,Thailand,2030,492.35341050000005,Million Gigajoules
Exports,Baseline Simulation,Primary,Cassava,Thailand,2040,492.35341050000005,Million Gigajoules
Exports,Baseline Simulation,Primary,Cassava,Thailand,2050,492.35341050000005,Million Gigajoules
Exports,Baseline Simulation,Primary,Cassava,Thailand,2060,492.35341050000005,Million Gigajoules
Exports,Baseline Simulation,Primary,Cassava,Vietnam,2010,169.91889300000003,Million Gigajoules
Exports,Baseline Simulation,Primary,Cassava,Vietnam,2020,168.55298550000003,Million Gigajoules
Exports,Baseline Simulation,Primary,Cassava,Vietnam,2030,143.05068900000003,Million Gigajoules
Exports,Baseline Simulation,Primary,Cassava,Vietnam,2040,143.05068900000003,Million Gigajoules
Exports,Baseline Simulation,Primary,Cassava,Vietnam,2050,143.05068900000003,Million Gigajoules
Exports,Baseline Simulation,Primary,Cassava,Vietnam,2060,143.05068900000003,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Anthracite,Brunei,2010,0.0,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Anthracite,Brunei,2020,0.0,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Anthracite,Brunei,2030,0.0,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Anthracite,Brunei,2040,0.0,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Anthracite,Brunei,2050,0.0,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Anthracite,Brunei,2060,0.0,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Anthracite,Cambodia,2010,0.0,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Anthracite,Cambodia,2020,0.0,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Anthracite,Cambodia,2030,0.0,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Anthracite,Cambodia,2040,0.0,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Anthracite,Cambodia,2050,0.0,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Anthracite,Cambodia,2060,0.0,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Anthracite,Indonesia,2010,0.0,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Anthracite,Indonesia,2020,0.0,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Anthracite,Indonesia,2030,0.0,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Anthracite,Indonesia,2040,0.0,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Anthracite,Indonesia,2050,0.0,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Anthracite,Indonesia,2060,0.0,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Anthracite,Laos,2010,0.0,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Anthracite,Laos,2020,0.0,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Anthracite,Laos,2030,0.0,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Anthracite,Laos,2040,0.0,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Anthracite,Laos,2050,0.0,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Anthracite,Laos,2060,0.0,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Anthracite,Malaysia,2010,0.0,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Anthracite,Malaysia,2020,0.0,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Anthracite,Malaysia,2030,0.0,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Anthracite,Malaysia,2040,0.0,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Anthracite,Malaysia,2050,0.0,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Anthracite,Malaysia,2060,0.0,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Anthracite,Myanmar,2010,0.0,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Anthracite,Myanmar,2020,0.0,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Anthracite,Myanmar,2030,0.0,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Anthracite,Myanmar,2040,0.0,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Anthracite,Myanmar,2050,0.0,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Anthracite,Myanmar,2060,0.0,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Anthracite,Philippines,2010,0.0,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Anthracite,Philippines,2020,0.0,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Anthracite,Philippines,2030,0.0,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Anthracite,Philippines,2040,0.0,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Anthracite,Philippines,2050,0.0,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Anthracite,Philippines,2060,0.0,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Anthracite,Singapore,2010,0.0,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Anthracite,Singapore,2020,0.0,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Anthracite,Singapore,2030,0.0,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Anthracite,Singapore,2040,0.0,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Anthracite,Singapore,2050,0.0,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Anthracite,Singapore,2060,0.0,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Anthracite,Thailand,2010,0.04186800000000373,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Anthracite,Thailand,2020,1.0467000000000075,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Anthracite,Thailand,2030,0.46054800000001117,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Anthracite,Thailand,2040,0.46054800000001117,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Anthracite,Thailand,2050,0.46054800000002233,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Anthracite,Thailand,2060,0.4605480000000298,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Anthracite,Vietnam,2010,464.9022720000001,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Anthracite,Vietnam,2020,21.310812,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Anthracite,Vietnam,2030,28.093428000000237,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Anthracite,Vietnam,2040,28.093428,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Anthracite,Vietnam,2050,28.093428000000475,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Anthracite,Vietnam,2060,28.093428000000237,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Bituminous,Brunei,2010,0.0,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Bituminous,Brunei,2020,0.0,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Bituminous,Brunei,2030,0.0,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Bituminous,Brunei,2040,0.0,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Bituminous,Brunei,2050,0.0,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Bituminous,Brunei,2060,0.0,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Bituminous,Cambodia,2010,0.0,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Bituminous,Cambodia,2020,0.0,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Bituminous,Cambodia,2030,0.0,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Bituminous,Cambodia,2040,0.0,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Bituminous,Cambodia,2050,0.0,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Bituminous,Cambodia,2060,0.0,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Bituminous,Indonesia,2010,0.0,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Bituminous,Indonesia,2020,0.0,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Bituminous,Indonesia,2030,0.0,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Bituminous,Indonesia,2040,0.0,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Bituminous,Indonesia,2050,0.0,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Bituminous,Indonesia,2060,0.0,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Bituminous,Laos,2010,0.0,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Bituminous,Laos,2020,0.0,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Bituminous,Laos,2030,0.0,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Bituminous,Laos,2040,0.0,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Bituminous,Laos,2050,0.0,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Bituminous,Laos,2060,0.0,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Bituminous,Malaysia,2010,0.0,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Bituminous,Malaysia,2020,0.0,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Bituminous,Malaysia,2030,0.0,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Bituminous,Malaysia,2040,0.0,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Bituminous,Malaysia,2050,0.0,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Bituminous,Malaysia,2060,0.0,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Bituminous,Myanmar,2010,0.0,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Bituminous,Myanmar,2020,0.0,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Bituminous,Myanmar,2030,0.0,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Bituminous,Myanmar,2040,0.0,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Bituminous,Myanmar,2050,0.0,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Bituminous,Myanmar,2060,0.0,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Bituminous,Philippines,2010,0.0,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Bituminous,Philippines,2020,0.0,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Bituminous,Philippines,2030,0.0,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Bituminous,Philippines,2040,0.0,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Bituminous,Philippines,2050,0.0,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Bituminous,Philippines,2060,0.0,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Bituminous,Singapore,2010,0.0,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Bituminous,Singapore,2020,0.0,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Bituminous,Singapore,2030,0.0,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Bituminous,Singapore,2040,0.0,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Bituminous,Singapore,2050,0.0,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Bituminous,Singapore,2060,0.0,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Bituminous,Thailand,2010,0.0,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Bituminous,Thailand,2020,0.041868000000029805,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Bituminous,Thailand,2030,0.0,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Bituminous,Thailand,2040,0.0,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Bituminous,Thailand,2050,0.0,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Bituminous,Thailand,2060,0.0,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Bituminous,Vietnam,2010,0.0,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Bituminous,Vietnam,2020,0.0,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Bituminous,Vietnam,2030,0.0,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Bituminous,Vietnam,2040,0.0,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Bituminous,Vietnam,2050,0.0,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Bituminous,Vietnam,2060,0.0,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Lignite,Brunei,2010,0.0,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Lignite,Brunei,2020,0.0,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Lignite,Brunei,2030,0.0,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Lignite,Brunei,2040,0.0,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Lignite,Brunei,2050,0.0,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Lignite,Brunei,2060,0.0,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Lignite,Cambodia,2010,0.0,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Lignite,Cambodia,2020,0.0,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Lignite,Cambodia,2030,0.0,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Lignite,Cambodia,2040,0.0,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Lignite,Cambodia,2050,0.0,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Lignite,Cambodia,2060,0.0,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Lignite,Indonesia,2010,0.0,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Lignite,Indonesia,2020,0.0,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Lignite,Indonesia,2030,0.0,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Lignite,Indonesia,2040,0.0,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Lignite,Indonesia,2050,0.0,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Lignite,Indonesia,2060,0.0,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Lignite,Laos,2010,6.8810058000000005,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Lignite,Laos,2020,7.706642760000089,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Lignite,Laos,2030,18.205881119999997,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Lignite,Laos,2040,18.205881120000004,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Lignite,Laos,2050,18.205881120000004,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Lignite,Laos,2060,18.205881120000004,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Lignite,Malaysia,2010,0.0,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Lignite,Malaysia,2020,0.0,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Lignite,Malaysia,2030,0.0,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Lignite,Malaysia,2040,0.0,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Lignite,Malaysia,2050,0.0,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Lignite,Malaysia,2060,0.0,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Lignite,Myanmar,2010,0.0,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Lignite,Myanmar,2020,0.0,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Lignite,Myanmar,2030,0.0,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Lignite,Myanmar,2040,0.0,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Lignite,Myanmar,2050,0.0,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Lignite,Myanmar,2060,0.0,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Lignite,Philippines,2010,0.0,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Lignite,Philippines,2020,0.0,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Lignite,Philippines,2030,0.0,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Lignite,Philippines,2040,0.0,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Lignite,Philippines,2050,0.0,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Lignite,Philippines,2060,0.0,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Lignite,Singapore,2010,0.0,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Lignite,Singapore,2020,0.0,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Lignite,Singapore,2030,0.0,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Lignite,Singapore,2040,0.0,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Lignite,Singapore,2050,0.0,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Lignite,Singapore,2060,0.0,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Lignite,Thailand,2010,0.0,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Lignite,Thailand,2020,0.0,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Lignite,Thailand,2030,0.0,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Lignite,Thailand,2040,0.0,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Lignite,Thailand,2050,0.0,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Lignite,Thailand,2060,0.0,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Lignite,Vietnam,2010,0.0,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Lignite,Vietnam,2020,0.0,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Lignite,Vietnam,2030,0.0,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Lignite,Vietnam,2040,0.0,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Lignite,Vietnam,2050,0.0,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Lignite,Vietnam,2060,0.0,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Sub bituminous,Brunei,2010,0.0,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Sub bituminous,Brunei,2020,0.0,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Sub bituminous,Brunei,2030,0.0,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Sub bituminous,Brunei,2040,0.0,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Sub bituminous,Brunei,2050,0.0,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Sub bituminous,Brunei,2060,0.0,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Sub bituminous,Cambodia,2010,0.0,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Sub bituminous,Cambodia,2020,0.0,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Sub bituminous,Cambodia,2030,0.0,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Sub bituminous,Cambodia,2040,0.0,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Sub bituminous,Cambodia,2050,0.0,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Sub bituminous,Cambodia,2060,0.0,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Sub bituminous,Indonesia,2010,5120.623872,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Sub bituminous,Indonesia,2020,9715.33081692,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Sub bituminous,Indonesia,2030,9182.505669840004,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Sub bituminous,Indonesia,2040,9182.50566984,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Sub bituminous,Indonesia,2050,9182.50566984,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Sub bituminous,Indonesia,2060,9182.50566984,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Sub bituminous,Laos,2010,0.0,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Sub bituminous,Laos,2020,0.0,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Sub bituminous,Laos,2030,0.0,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Sub bituminous,Laos,2040,0.0,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Sub bituminous,Laos,2050,0.0,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Sub bituminous,Laos,2060,0.0,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Sub bituminous,Malaysia,2010,0.0,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Sub bituminous,Malaysia,2020,0.0,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Sub bituminous,Malaysia,2030,0.0,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Sub bituminous,Malaysia,2040,0.0,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Sub bituminous,Malaysia,2050,0.0,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Sub bituminous,Malaysia,2060,0.0,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Sub bituminous,Myanmar,2010,0.0,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Sub bituminous,Myanmar,2020,0.0,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Sub bituminous,Myanmar,2030,0.0,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Sub bituminous,Myanmar,2040,0.0,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Sub bituminous,Myanmar,2050,0.0,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Sub bituminous,Myanmar,2060,0.0,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Sub bituminous,Philippines,2010,90.576346571028,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Sub bituminous,Philippines,2020,166.29616074981612,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Sub bituminous,Philippines,2030,156.77067945780013,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Sub bituminous,Philippines,2040,156.77067945780018,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Sub bituminous,Philippines,2050,156.77067945780018,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Sub bituminous,Philippines,2060,156.77067945780018,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Sub bituminous,Singapore,2010,0.0,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Sub bituminous,Singapore,2020,0.0,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Sub bituminous,Singapore,2030,0.0,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Sub bituminous,Singapore,2040,0.0,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Sub bituminous,Singapore,2050,0.0,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Sub bituminous,Singapore,2060,0.0,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Sub bituminous,Thailand,2010,0.0,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Sub bituminous,Thailand,2020,0.0,Million Gigajoules
Exports,Baseline Simulation,Primary,Coal Sub bituminous,Thailand,2030,0.0,Million Gigajoules
