region,fuel,year,volume_pct,energy_pct
Philippines,Biodiesel,2040,5.0,4.522613
Philippines,Biodiesel,2045,5.0,4.522613
Philippines,Biodiesel,2050,5.0,4.522613
Philippines,Biodiesel,2055,5.0,4.522613
Philippines,Biodiesel,2060,5.0,4.522613
Singapore,Biodiesel,2025,0.0,0.0
Singapore,Biodiesel,2026,0.0,0.0
Singapore,Biodiesel,2027,0.0,0.0
Singapore,Biodiesel,2030,0.0,0.0
Singapore,Biodiesel,2035,0.0,0.0
Singapore,Biodiesel,2040,0.0,0.0
Singapore,Biodiesel,2045,0.0,0.0
Singapore,Biodiesel,2050,0.0,0.0
Singapore,Biodiesel,2055,0.0,0.0
Singapore,Biodiesel,2060,0.0,0.0
Thailand,Biodiesel,2025,7.0,6.344411
Thailand,Biodiesel,2026,7.0,6.344411
Thailand,Biodiesel,2027,7.0,6.344411
Thailand,Biodiesel,2030,11.54,10.507254
Thailand,Biodiesel,2035,21.15,19.446289
Thailand,Biodiesel,2040,25.0,23.076923
Thailand,Biodiesel,2045,25.0,23.076923
Thailand,Biodiesel,2050,25.0,23.076923
Thailand,Biodiesel,2055,25.0,23.076923
Thailand,Biodiesel,2060,25.0,23.076923
Vietnam,Biodiesel,2025,1.48,1.333974
Vietnam,Biodiesel,2026,2.22,2.002445
Vietnam,Biodiesel,2027,2.96,2.671909
Vietnam,Biodiesel,2030,5.19,4.695369
Vietnam,Biodiesel,2035,8.89,8.072767
Vietnam,Biodiesel,2040,12.59,11.475476
Vietnam,Biodiesel,2045,16.3,14.913083
Vietnam,Biodiesel,2050,20.0,18.367347
Vietnam,Biodiesel,2055,20.0,18.367347
Vietnam,Biodiesel,2060,20.0,18.367347
Brunei,Bioethanol,2025,0.0,0.0
Brunei,Bioethanol,2026,0.0,0.0
Brunei,Bioethanol,2027,0.0,0.0
Brunei,Bioethanol,2030,0.0,0.0
Brunei,Bioethanol,2035,0.0,0.0
Brunei,Bioethanol,2040,0.0,0.0
Brunei,Bioethanol,2045,0.0,0.0
Brunei,Bioethanol,2050,0.0,0.0
Brunei,Bioethanol,2055,0.0,0.0
Brunei,Bioethanol,2060,0.0,0.0
Cambodia,Bioethanol,2025,0.0,0.0
Cambodia,Bioethanol,2026,0.0,0.0
Cambodia,Bioethanol,2027,0.0,0.0
Cambodia,Bioethanol,2030,0.0,0.0
Cambodia,Bioethanol,2035,0.0,0.0
Cambodia,Bioethanol,2040,0.0,0.0
Cambodia,Bioethanol,2045,0.0,0.0
Cambodia,Bioethanol,2050,0.0,0.0
Cambodia,Bioethanol,2055,0.0,0.0
Cambodia,Bioethanol,2060,0.0,0.0
Indonesia,Bioethanol,2025,0.0,0.0
Indonesia,Bioethanol,2026,0.8,0.479116
Indonesia,Bioethanol,2027,1.6,0.961342
Indonesia,Bioethanol,2030,4.0,2.426984
Indonesia,Bioethanol,2035,8.0,4.934827
Indonesia,Bioethanol,2040,12.0,7.52764
Indonesia,Bioethanol,2045,16.0,10.209816
Indonesia,Bioethanol,2050,20.0,12.986054
Indonesia,Bioethanol,2055,20.0,12.986054
Indonesia,Bioethanol,2060,20.0,12.986054
Laos,Bioethanol,2025,1.67,1.003686
Laos,Bioethanol,2026,3.33,2.014934
Laos,Bioethanol,2027,5.0,3.046208
Laos,Bioethanol,2030,10.0,6.220345
Laos,Bioethanol,2035,10.0,6.220345
Laos,Bioethanol,2040,10.0,6.220345
Laos,Bioethanol,2045,10.0,6.220345
Laos,Bioethanol,2050,10.0,6.220345
Laos,Bioethanol,2055,10.0,6.220345
Laos,Bioethanol,2060,10.0,6.220345
Malaysia,Bioethanol,2025,0.0,0.0
Malaysia,Bioethanol,2026,0.0,0.0
Malaysia,Bioethanol,2027,0.0,0.0
Malaysia,Bioethanol,2030,0.0,0.0
Malaysia,Bioethanol,2035,0.0,0.0
Malaysia,Bioethanol,2040,0.0,0.0
Malaysia,Bioethanol,2045,0.0,0.0
Malaysia,Bioethanol,2050,0.0,0.0
Malaysia,Bioethanol,2055,0.0,0.0
Malaysia,Bioethanol,2060,0.0,0.0
Myanmar,Bioethanol,2025,0.0,0.0
Myanmar,Bioethanol,2026,0.0,0.0
Myanmar,Bioethanol,2027,0.0,0.0
Myanmar,Bioethanol,2030,0.0,0.0
Myanmar,Bioethanol,2035,0.0,0.0
Myanmar,Bioethanol,2040,0.0,0.0
Myanmar,Bioethanol,2045,0.0,0.0
Myanmar,Bioethanol,2050,0.0,0.0
Myanmar,Bioethanol,2055,0.0,0.0
Myanmar,Bioethanol,2060,0.0,0.0
Philippines,Bioethanol,2025,10.0,6.220345
Philippines,Bioethanol,2026,10.0,6.220345
Philippines,Bioethanol,2027,10.0,6.220345
Philippines,Bioethanol,2030,10.0,6.220345
Philippines,Bioethanol,2035,10.0,6.220345
Philippines,Bioethanol,2040,10.0,6.220345
Philippines,Bioethanol,2045,10.0,6.220345
Philippines,Bioethanol,2050,10.0,6.220345
Philippines,Bioethanol,2055,10.0,6.220345
Philippines,Bioethanol,2060,10.0,6.220345
Singapore,Bioethanol,2025,0.0,0.0
Singapore,Bioethanol,2026,0.0,0.0
Singapore,Bioethanol,2027,0.0,0.0
Singapore,Bioethanol,2030,0.0,0.0
Singapore,Bioethanol,2035,0.0,0.0
Singapore,Bioethanol,2040,0.0,0.0
Singapore,Bioethanol,2045,0.0,0.0
Singapore,Bioethanol,2050,0.0,0.0
Singapore,Bioethanol,2055,0.0,0.0
Singapore,Bioethanol,2060,0.0,0.0
Thailand,Bioethanol,2025,0.77,0.461093
Thailand,Bioethanol,2026,1.54,0.925067
Thailand,Bioethanol,2027,20.0,12.986054
Thailand,Bioethanol,2030,20.0,12.986054
Thailand,Bioethanol,2035,20.0,12.986054
Thailand,Bioethanol,2040,20.0,12.986054
Thailand,Bioethanol,2045,20.0,12.986054
Thailand,Bioethanol,2050,20.0,12.986054
Thailand,Bioethanol,2055,20.0,12.986054
Thailand,Bioethanol,2060,20.0,12.986054
Vietnam,Bioethanol,2025,1.48,0.888809
Vietnam,Bioethanol,2026,10.0,6.220345
Vietnam,Bioethanol,2027,11.0,6.871236
Vietnam,Bioethanol,2030,14.0,8.857272
Vietnam,Bioethanol,2035,15.0,9.530643
Vietnam,Bioethanol,2040,15.0,9.530643
Vietnam,Bioethanol,2045,16.3,10.41471
Vietnam,Bioethanol,2050,20.0,12.986054
Vietnam,Bioethanol,2055,20.0,12.986054
Vietnam,Bioethanol,2060,20.0,12.986054
