region,process,unit,installed_2023_team,installed_2023_used,rebased_for_B4,alpha,one_train_floor,first_feasible_year,alpha_x_installed,allowance_per_yr,binder,series
Myanmar,Cassava,Million Tonne Coal Equiv/Year,0.0,0,no,0.2,0.1369,2028,0,0.1369,one_train_floor,"Interp(2025, 0, 2027, 0, 2028, 0.1369, 2060, 0.1369)"
Philippines,Cassava,Million Tonne Coal Equiv/Year,0.0,0,no,0.2,0.1369,2028,0,0.1369,one_train_floor,"Interp(2025, 0, 2027, 0, 2028, 0.1369, 2060, 0.1369)"
Singapore,Cassava,Million Tonne Coal Equiv/Year,0.0,0,no,0.2,0.1369,2028,0,0.1369,one_train_floor,"Interp(2025, 0, 2027, 0, 2028, 0.1369, 2060, 0.1369)"
Thailand,Cassava,Million Tonne Coal Equiv/Year,0.2242,0.2242,no,0.2,0.1369,2026,0.04484,0.1369,one_train_floor,"Interp(2025, 0, 2026, 0.1369, 2060, 0.1369)"
Vietnam,Cassava,Million Tonne Coal Equiv/Year,0.0,0,no,0.2,0.1369,2028,0,0.1369,one_train_floor,"Interp(2025, 0, 2027, 0, 2028, 0.1369, 2060, 0.1369)"
Brunei,Corn Ethanol,Million Tonne Coal Equiv/Year,0.0,0,no,0.2,0.1369,2028,0,0.1369,one_train_floor,"Interp(2025, 0, 2027, 0, 2028, 0.1369, 2060, 0.1369)"
Cambodia,Corn Ethanol,Million Tonne Coal Equiv/Year,0.0,0,no,0.2,0.1369,2028,0,0.1369,one_train_floor,"Interp(2025, 0, 2027, 0, 2028, 0.1369, 2060, 0.1369)"
Indonesia,Corn Ethanol,Million Tonne Coal Equiv/Year,0.0,0,no,0.2,0.1369,2028,0,0.1369,one_train_floor,"Interp(2025, 0, 2027, 0, 2028, 0.1369, 2060, 0.1369)"
Laos,Corn Ethanol,Million Tonne Coal Equiv/Year,0.0,0,no,0.2,0.1369,2028,0,0.1369,one_train_floor,"Interp(2025, 0, 2027, 0, 2028, 0.1369, 2060, 0.1369)"
Malaysia,Corn Ethanol,Million Tonne Coal Equiv/Year,0.0,0,no,0.2,0.1369,2028,0,0.1369,one_train_floor,"Interp(2025, 0, 2027, 0, 2028, 0.1369, 2060, 0.1369)"
Myanmar,Corn Ethanol,Million Tonne Coal Equiv/Year,0.0,0,no,0.2,0.1369,2028,0,0.1369,one_train_floor,"Interp(2025, 0, 2027, 0, 2028, 0.1369, 2060, 0.1369)"
Philippines,Corn Ethanol,Million Tonne Coal Equiv/Year,0.0,0,no,0.2,0.1369,2028,0,0.1369,one_train_floor,"Interp(2025, 0, 2027, 0, 2028, 0.1369, 2060, 0.1369)"
Singapore,Corn Ethanol,Million Tonne Coal Equiv/Year,0.0,0,no,0.2,0.1369,2028,0,0.1369,one_train_floor,"Interp(2025, 0, 2027, 0, 2028, 0.1369, 2060, 0.1369)"
Thailand,Corn Ethanol,Million Tonne Coal Equiv/Year,0.0,0,no,0.2,0.1369,2028,0,0.1369,one_train_floor,"Interp(2025, 0, 2027, 0, 2028, 0.1369, 2060, 0.1369)"
Vietnam,Corn Ethanol,Million Tonne Coal Equiv/Year,0.0,0,no,0.2,0.1369,2028,0,0.1369,one_train_floor,"Interp(2025, 0, 2027, 0, 2028, 0.1369, 2060, 0.1369)"
Brunei,FAME Biodiesel,Million Gigajoules/Year,0.0,0,no,0.2,5.8495,2028,0,5.8495,one_train_floor,"Interp(2025, 0, 2027, 0, 2028, 5.8495, 2060, 5.8495)"
Cambodia,FAME Biodiesel,Million Gigajoules/Year,0.0,0,no,0.2,5.8495,2028,0,5.8495,one_train_floor,"Interp(2025, 0, 2027, 0, 2028, 5.8495, 2060, 5.8495)"
Indonesia,FAME Biodiesel,Million Gigajoules/Year,636.5184,636.5184,no,0.2,5.8495,2026,127.30368,127.30368,alpha x installed,"Interp(2025, 0, 2026, 127.3037, 2060, 127.3037)"
Laos,FAME Biodiesel,Million Gigajoules/Year,0.0,0,no,0.2,5.8495,2028,0,5.8495,one_train_floor,"Interp(2025, 0, 2027, 0, 2028, 5.8495, 2060, 5.8495)"
Malaysia,FAME Biodiesel,Million Gigajoules/Year,54.2214,54.2214,no,0.2,5.8495,2026,10.84428,10.84428,alpha x installed,"Interp(2025, 0, 2026, 10.8443, 2060, 10.8443)"
Myanmar,FAME Biodiesel,Million Gigajoules/Year,0.0,0,no,0.2,5.8495,2028,0,5.8495,one_train_floor,"Interp(2025, 0, 2027, 0, 2028, 5.8495, 2060, 5.8495)"
Philippines,FAME Biodiesel,Million Gigajoules/Year,225.0,7.721406,yes,0.2,5.8495,2026,1.544281,5.8495,one_train_floor,"Interp(2025, 0, 2026, 5.8495, 2060, 5.8495)"
Singapore,FAME Biodiesel,Million Gigajoules/Year,0.0,0,no,0.2,5.8495,2028,0,5.8495,one_train_floor,"Interp(2025, 0, 2027, 0, 2028, 5.8495, 2060, 5.8495)"
Thailand,FAME Biodiesel,Million Gigajoules/Year,99.8635,99.8635,no,0.2,5.8495,2026,19.9727,19.9727,alpha x installed,"Interp(2025, 0, 2026, 19.9727, 2060, 19.9727)"
Vietnam,FAME Biodiesel,Million Gigajoules/Year,0.0,0,no,0.2,5.8495,2028,0,5.8495,one_train_floor,"Interp(2025, 0, 2027, 0, 2028, 5.8495, 2060, 5.8495)"
Brunei,Molasses,Million Tonne Coal Equiv/Year,0.0,0,no,0.2,0.1369,2028,0,0.1369,one_train_floor,"Interp(2025, 0, 2027, 0, 2028, 0.1369, 2060, 0.1369)"
Cambodia,Molasses,Million Tonne Coal Equiv/Year,0.0,0,no,0.2,0.1369,2028,0,0.1369,one_train_floor,"Interp(2025, 0, 2027, 0, 2028, 0.1369, 2060, 0.1369)"
Indonesia,Molasses,Million Tonne Coal Equiv/Year,0.072,0.072,no,0.2,0.1369,2026,0.0144,0.1369,one_train_floor,"Interp(2025, 0, 2026, 0.1369, 2060, 0.1369)"
Laos,Molasses,Million Tonne Coal Equiv/Year,0.0,0,no,0.2,0.1369,2028,0,0.1369,one_train_floor,"Interp(2025, 0, 2027, 0, 2028, 0.1369, 2060, 0.1369)"
Malaysia,Molasses,Million Tonne Coal Equiv/Year,0.0,0,no,0.2,0.1369,2028,0,0.1369,one_train_floor,"Interp(2025, 0, 2027, 0, 2028, 0.1369, 2060, 0.1369)"
Myanmar,Molasses,Million Tonne Coal Equiv/Year,0.0,0,no,0.2,0.1369,2028,0,0.1369,one_train_floor,"Interp(2025, 0, 2027, 0, 2028, 0.1369, 2060, 0.1369)"
Philippines,Molasses,Million Tonne Coal Equiv/Year,0.2951,0.2951,no,0.2,0.1369,2026,0.05902,0.1369,one_train_floor,"Interp(2025, 0, 2026, 0.1369, 2060, 0.1369)"
Singapore,Molasses,Million Tonne Coal Equiv/Year,0.0,0,no,0.2,0.1369,2028,0,0.1369,one_train_floor,"Interp(2025, 0, 2027, 0, 2028, 0.1369, 2060, 0.1369)"
Thailand,Molasses,Million Tonne Coal Equiv/Year,1.1136,1.1136,no,0.2,0.1369,2026,0.22272,0.22272,alpha x installed,"Interp(2025, 0, 2026, 0.2227, 2060, 0.2227)"
Vietnam,Molasses,Million Tonne Coal Equiv/Year,0.0,0,no,0.2,0.1369,2028,0,0.1369,one_train_floor,"Interp(2025, 0, 2027, 0, 2028, 0.1369, 2060, 0.1369)"
Brunei,POME Biodiesel,Million Gigajoules/Year,0.0,0,no,0.2,5.8495,2028,0,5.8495,one_train_floor,"Interp(2025, 0, 2027, 0, 2028, 5.8495, 2060, 5.8495)"
Cambodia,POME Biodiesel,Million Gigajoules/Year,0.0,0,no,0.2,5.8495,2028,0,5.8495,one_train_floor,"Interp(2025, 0, 2027, 0, 2028, 5.8495, 2060, 5.8495)"
Indonesia,POME Biodiesel,Million Gigajoules/Year,0.0,0,no,0.2,5.8495,2028,0,5.8495,one_train_floor,"Interp(2025, 0, 2027, 0, 2028, 5.8495, 2060, 5.8495)"
Laos,POME Biodiesel,Million Gigajoules/Year,0.0,0,no,0.2,5.8495,2028,0,5.8495,one_train_floor,"Interp(2025, 0, 2027, 0, 2028, 5.8495, 2060, 5.8495)"
Malaysia,POME Biodiesel,Million Gigajoules/Year,0.0,0,no,0.2,5.8495,2028,0,5.8495,one_train_floor,"Interp(2025, 0, 2027, 0, 2028, 5.8495, 2060, 5.8495)"
Myanmar,POME Biodiesel,Million Gigajoules/Year,0.0,0,no,0.2,5.8495,2028,0,5.8495,one_train_floor,"Interp(2025, 0, 2027, 0, 2028, 5.8495, 2060, 5.8495)"
Philippines,POME Biodiesel,Million Gigajoules/Year,0.0,0,no,0.2,5.8495,2028,0,5.8495,one_train_floor,"Interp(2025, 0, 2027, 0, 2028, 5.8495, 2060, 5.8495)"
Singapore,POME Biodiesel,Million Gigajoules/Year,0.0,0,no,0.2,5.8495,2028,0,5.8495,one_train_floor,"Interp(2025, 0, 2027, 0, 2028, 5.8495, 2060, 5.8495)"
Thailand,POME Biodiesel,Million Gigajoules/Year,0.0,0,no,0.2,5.8495,2028,0,5.8495,one_train_floor,"Interp(2025, 0, 2027, 0, 2028, 5.8495, 2060, 5.8495)"
Vietnam,POME Biodiesel,Million Gigajoules/Year,0.0,0,no,0.2,5.8495,2028,0,5.8495,one_train_floor,"Interp(2025, 0, 2027, 0, 2028, 5.8495, 2060, 5.8495)"
Brunei,Sugarcane,Million Tonne Coal Equiv/Year,0.0,0,no,0.2,0.1369,2028,0,0.1369,one_train_floor,"Interp(2025, 0, 2027, 0, 2028, 0.1369, 2060, 0.1369)"
Cambodia,Sugarcane,Million Tonne Coal Equiv/Year,0.0,0,no,0.2,0.1369,2028,0,0.1369,one_train_floor,"Interp(2025, 0, 2027, 0, 2028, 0.1369, 2060, 0.1369)"
Indonesia,Sugarcane,Million Tonne Coal Equiv/Year,0.0,0,no,0.2,0.1369,2028,0,0.1369,one_train_floor,"Interp(2025, 0, 2027, 0, 2028, 0.1369, 2060, 0.1369)"
Laos,Sugarcane,Million Tonne Coal Equiv/Year,0.0,0,no,0.2,0.1369,2028,0,0.1369,one_train_floor,"Interp(2025, 0, 2027, 0, 2028, 0.1369, 2060, 0.1369)"
Malaysia,Sugarcane,Million Tonne Coal Equiv/Year,0.0,0,no,0.2,0.1369,2028,0,0.1369,one_train_floor,"Interp(2025, 0, 2027, 0, 2028, 0.1369, 2060, 0.1369)"
Myanmar,Sugarcane,Million Tonne Coal Equiv/Year,0.0,0,no,0.2,0.1369,2028,0,0.1369,one_train_floor,"Interp(2025, 0, 2027, 0, 2028, 0.1369, 2060, 0.1369)"
Philippines,Sugarcane,Million Tonne Coal Equiv/Year,0.0491,0.0491,no,0.2,0.1369,2026,0.00982,0.1369,one_train_floor,"Interp(2025, 0, 2026, 0.1369, 2060, 0.1369)"
Singapore,Sugarcane,Million Tonne Coal Equiv/Year,0.0,0,no,0.2,0.1369,2028,0,0.1369,one_train_floor,"Interp(2025, 0, 2027, 0, 2028, 0.1369, 2060, 0.1369)"
Thailand,Sugarcane,Million Tonne Coal Equiv/Year,0.0806,0.0806,no,0.2,0.1369,2026,0.01612,0.1369,one_train_floor,"Interp(2025, 0, 2026, 0.1369, 2060, 0.1369)"
Vietnam,Sugarcane,Million Tonne Coal Equiv/Year,0.0,0,no,0.2,0.1369,2028,0,0.1369,one_train_floor,"Interp(2025, 0, 2027, 0, 2028, 0.1369, 2060, 0.1369)"
