branch_path,variable,scenario,region,scale,units,per,expression
Transformation\Centralized Electricity Generation\Processes\Biogas_IDJW,Capital Cost,Baseline Simulation,Indonesia,Thousand,U.S. Dollar,Megawatt,"Interp(2022, 2450, 2030, 2080, 2050, 1840) ? 2024 Technology Data for the Indonesian Power Sector (Danish Energy) - price Year 2022"
Transformation\Centralized Electricity Generation\Processes\Biogas_IDJW,Capital Cost,Current Accounts,Indonesia,Thousand,U.S. Dollar,Megawatt,"Interp(2022, 2450, 2030, 2080, 2050, 1840) ? 2024 Technology Data for the Indonesian Power Sector (Danish Energy) - price Year 2022"
Transformation\Centralized Electricity Generation\Processes\Biogas_IDJW,Capital Cost,Regional Aspiration Scenario,Indonesia,Thousand,U.S. Dollar,Megawatt,"Interp(2030, 2000, 2050, 1600)"
Transformation\Centralized Electricity Generation\Processes\Biogas_IDJW,Dispatch Rule,AMS Target Scenario,Indonesia,,None,,MeritOrderDispatch
Transformation\Centralized Electricity Generation\Processes\Biogas_IDJW,Dispatch Rule,Baseline Simulation,Indonesia,,None,,MeritOrderDispatch
Transformation\Centralized Electricity Generation\Processes\Biogas_IDJW,Dispatch Rule,Current Accounts,Indonesia,,None,,MeritOrderDispatch
Transformation\Centralized Electricity Generation\Processes\Biogas_IDJW,Dispatchable,Current Accounts,Indonesia,,Yes/No,,Yes
Transformation\Centralized Electricity Generation\Processes\Biogas_IDJW,Endogenous Capacity,AMS Target Scenario,Indonesia,,Megawatt,,"Step(2023, 0, 2031, 0.04 * Key\End_cap multip\Total_:Activity Level[MW]*Key\End_cap multip\RE_Fraction:Activity Level[Fraction]) ? Fraction of this technology among the RE or non RE calculated based on last Year of capacity additions in AMS' PDP"
Transformation\Centralized Electricity Generation\Processes\Biogas_IDJW,Endogenous Capacity,Baseline Simulation,Indonesia,,Megawatt,,"Step(2023,1)"
Transformation\Centralized Electricity Generation\Processes\Biogas_IDJW,Endogenous Capacity,Current Accounts,Indonesia,,Megawatt,,0
Transformation\Centralized Electricity Generation\Processes\Biogas_IDJW,Existing Capacity,AMS Target Scenario,Indonesia,,MW,,"Max(Value(2024) - Capacity Retirement[MW], 0)"
Transformation\Centralized Electricity Generation\Processes\Biogas_IDJW,Existing Capacity,Baseline Simulation,Indonesia,,MW,,Value(2024)
Transformation\Centralized Electricity Generation\Processes\Biogas_IDJW,Existing Capacity,Current Accounts,Indonesia,,MW,,"Interp(2005, 0, 2006, 0, 2007, 0, 2008, 0, 2009, 0, 2010, 0, 2011, 0, 2012, 0, 2013, 0, 2014, 0, 2015, 0, 2016, 0, 2017, 0.227313088, 2018, 1.928787072, 2019, 2, 2020, 2, 2021, 2.05, 2022, 2.05, 2023, 2.139458537, 2024, 2.157569774, FirstScenarioYear, 0)"
Transformation\Centralized Electricity Generation\Processes\Biogas_IDJW,Existing Capacity,Regional Aspiration Scenario,Indonesia,,MW,,"Max(Value(2024) - Capacity Retirement[MW], 0)"
Transformation\Centralized Electricity Generation\Processes\Biogas_IDJW,Exogenous Capacity,AMS Target Scenario,Indonesia,,Megawatt,,Existing Capacity[MW] + Capacity Additions[MW] - Capacity Retirement[MW]
Transformation\Centralized Electricity Generation\Processes\Biogas_IDJW,Exogenous Capacity,Baseline Simulation,Indonesia,,Megawatt,,Existing Capacity[MW] + Capacity Additions[MW] - Capacity Retirement[MW]
Transformation\Centralized Electricity Generation\Processes\Biogas_IDJW,Exogenous Capacity,Current Accounts,Indonesia,,Megawatt,,Existing Capacity[MW] + Capacity Additions[MW]
Transformation\Centralized Electricity Generation\Processes\Biogas_IDJW,Exogenous Capacity,Regional Aspiration Scenario,Indonesia,,Megawatt,,Existing Capacity[MW] + Capacity Additions[MW] - Capacity Retirement[MW]
Transformation\Centralized Electricity Generation\Processes\Biogas_IDJW,First Simulation Year,AMS Target Scenario,Indonesia,,Years,,FirstScenarioYear
Transformation\Centralized Electricity Generation\Processes\Biogas_IDJW,First Simulation Year,Baseline Simulation,Indonesia,,Years,,FirstScenarioYear
Transformation\Centralized Electricity Generation\Processes\Biogas_IDJW,First Simulation Year,Current Accounts,Indonesia,,Years,,FirstScenarioYear
Transformation\Centralized Electricity Generation\Processes\Biogas_IDJW,Fixed OM Cost,AMS Target Scenario,Indonesia,Thousand,U.S. Dollar,Megawatt,"Interp(2022, 110.6, 2030, 101.7, 2050, 88.5) ? 2024 Technology Data for the Indonesian Power Sector (Danish Energy) - price Year 2022"
Transformation\Centralized Electricity Generation\Processes\Biogas_IDJW,Fixed OM Cost,Baseline Simulation,Indonesia,Thousand,U.S. Dollar,Megawatt,"Interp(2022, 110.6, 2030, 101.7, 2050, 88.5) ? 2024 Technology Data for the Indonesian Power Sector (Danish Energy) - price Year 2022"
Transformation\Centralized Electricity Generation\Processes\Biogas_IDJW,Fixed OM Cost,Current Accounts,Indonesia,Thousand,U.S. Dollar,Megawatt,"Interp(2022, 110.6, 2030, 101.7, 2050, 88.5) ? 2024 Technology Data for the Indonesian Power Sector (Danish Energy) - price Year 2022"
Transformation\Centralized Electricity Generation\Processes\Biogas_IDJW,Fixed OM Cost,Regional Aspiration Scenario,Indonesia,Thousand,U.S. Dollar,Megawatt,"Interp(2017, 89.2, 2050, 77.6, 2060, 76)"
Transformation\Centralized Electricity Generation\Processes\Biogas_IDJW,Full Load Hours,AMS Target Scenario,Indonesia,,Hours,,0
Transformation\Centralized Electricity Generation\Processes\Biogas_IDJW,Full Load Hours,Baseline Simulation,Indonesia,,Hours,,0
Transformation\Centralized Electricity Generation\Processes\Biogas_IDJW,Full Load Hours,Current Accounts,Indonesia,,Hours,,0
Transformation\Centralized Electricity Generation\Processes\Biogas_IDJW,Full Load Hours,Regional Aspiration Scenario,Indonesia,,Hours,,0
Transformation\Centralized Electricity Generation\Processes\Biogas_IDJW,Historical Capacity Factor,AMS Target Scenario,Indonesia,,percentage,,0
Transformation\Centralized Electricity Generation\Processes\Biogas_IDJW,Historical Capacity Factor,Baseline Simulation,Indonesia,,percentage,,0
Transformation\Centralized Electricity Generation\Processes\Biogas_IDJW,Historical Capacity Factor,Current Accounts,Indonesia,,percentage,,"Min(Historical Production[GWh] / (Exogenous Capacity[MW] / 1000 * 8760) * 100, 100)"
Transformation\Centralized Electricity Generation\Processes\Biogas_IDJW,Historical Capacity Factor,Regional Aspiration Scenario,Indonesia,,percentage,,0
Transformation\Centralized Electricity Generation\Processes\Biogas_IDJW,Historical Production,AMS Target Scenario,Indonesia,,Gigawatt-Hour,,"Interp(2005, 0, 2006, 0, 2007, 0, 2008, 0, 2009, 0, 2010, 0, 2011, 0, 2012, 0, 2013, 0, 2014, 0, 2015, 0, 2016, 0, 2017, 0, 2018, 8.605564648, 2019, 11.12602291, 2020, 13.65811966, 2021, 15, 2022, 16.65957447, 2023, 16.14893617, 2024, 17.7606383, FirstScenarioYear, 0)"
Transformation\Centralized Electricity Generation\Processes\Biogas_IDJW,Historical Production,Baseline Simulation,Indonesia,,Gigawatt-Hour,,"Interp(2005, 0, 2006, 0, 2007, 0, 2008, 0, 2009, 0, 2010, 0, 2011, 0, 2012, 0, 2013, 0, 2014, 0, 2015, 0, 2016, 0, 2017, 0, 2018, 8.605564648, 2019, 11.12602291, 2020, 13.65811966, 2021, 15, 2022, 16.65957447, 2023, 16.14893617, 2024, 17.7606383, FirstScenarioYear, 0)"
Transformation\Centralized Electricity Generation\Processes\Biogas_IDJW,Historical Production,Current Accounts,Indonesia,,Gigawatt-Hour,,"Interp(2005, 0, 2006, 0, 2007, 0, 2008, 0, 2009, 0, 2010, 0, 2011, 0, 2012, 0, 2013, 0, 2014, 0, 2015, 0, 2016, 0, 2017, 0, 2018, 8.605564648, 2019, 11.12602291, 2020, 13.65811966, 2021, 15, 2022, 16.65957447, 2023, 16.14893617, 2024, 17.7606383, FirstScenarioYear, 0)"
Transformation\Centralized Electricity Generation\Processes\Biogas_IDJW,Hourly Storage Carryover,Current Accounts,Indonesia,,Yes/No,,Yes
Transformation\Centralized Electricity Generation\Processes\Biogas_IDJW,Interest Rate,AMS Target Scenario,Indonesia,,Percent,,DiscountRate
Transformation\Centralized Electricity Generation\Processes\Biogas_IDJW,Interest Rate,Baseline Simulation,Indonesia,,Percent,,DiscountRate
Transformation\Centralized Electricity Generation\Processes\Biogas_IDJW,Interest Rate,Current Accounts,Indonesia,,Percent,,DiscountRate
Transformation\Centralized Electricity Generation\Processes\Biogas_IDJW,Interest Rate,Regional Aspiration Scenario,Indonesia,,Percent,,DiscountRate
Transformation\Centralized Electricity Generation\Processes\Biogas_IDJW,Lifetime,AMS Target Scenario,Indonesia,,Years,,30
Transformation\Centralized Electricity Generation\Processes\Biogas_IDJW,Lifetime,Baseline Simulation,Indonesia,,Years,,30
Transformation\Centralized Electricity Generation\Processes\Biogas_IDJW,Lifetime,Current Accounts,Indonesia,,Years,,30
Transformation\Centralized Electricity Generation\Processes\Biogas_IDJW,Lifetime,Regional Aspiration Scenario,Indonesia,,Years,,30
Transformation\Centralized Electricity Generation\Processes\Biogas_IDJW,Maximum Availability,AMS Target Scenario,Indonesia,,Percent,,72 ? *Malaysia AEO6 Country Visit (6 December 2019)
Transformation\Centralized Electricity Generation\Processes\Biogas_IDJW,Maximum Availability,Baseline Simulation,Indonesia,,Percent,,72 ? *Malaysia AEO6 Country Visit (6 December 2019)
Transformation\Centralized Electricity Generation\Processes\Biogas_IDJW,Maximum Availability,Current Accounts,Indonesia,,Percent,,72 ? *Malaysia AEO6 Country Visit (6 December 2019)
Transformation\Centralized Electricity Generation\Processes\Biogas_IDJW,Maximum Availability,Regional Aspiration Scenario,Indonesia,,Percent,,80 ?  aeo7 = 77.54  maximum historical
Transformation\Centralized Electricity Generation\Processes\Biogas_IDJW,Maximum Capacity,Regional Aspiration Scenario,Indonesia,,Megawatt,,Exogenous Capacity[MW] + 32654*10%
Transformation\Centralized Electricity Generation\Processes\Biogas_IDJW,Maximum Capacity Addition,Regional Aspiration Scenario,Indonesia,,Megawatt,,"Interp(BaseYear, 0, 2023, 100)"
Transformation\Centralized Electricity Generation\Processes\Biogas_IDJW,Maximum Production,Regional Aspiration Scenario,Indonesia,,Gigajoule,,Unlimited
Transformation\Centralized Electricity Generation\Processes\Biogas_IDJW,Maximum_Share_of_Production,AMS Target Scenario,Indonesia,,%,,100
Transformation\Centralized Electricity Generation\Processes\Biogas_IDJW,Maximum_Share_of_Production,Baseline Simulation,Indonesia,,%,,100
Transformation\Centralized Electricity Generation\Processes\Biogas_IDJW,Maximum_Share_of_Production,Regional Aspiration Scenario,Indonesia,,%,,100
Transformation\Centralized Electricity Generation\Processes\Biogas_IDJW,Merit Order,AMS Target Scenario,Indonesia,,Merit Order,,1
Transformation\Centralized Electricity Generation\Processes\Biogas_IDJW,Merit Order,Baseline Simulation,Indonesia,,Merit Order,,1
Transformation\Centralized Electricity Generation\Processes\Biogas_IDJW,Merit Order,Current Accounts,Indonesia,,Merit Order,,1
Transformation\Centralized Electricity Generation\Processes\Biogas_IDJW,Minimum Capacity,Regional Aspiration Scenario,Indonesia,,Megawatt,,0
Transformation\Centralized Electricity Generation\Processes\Biogas_IDJW,Minimum Capacity Addition,Regional Aspiration Scenario,Indonesia,,Megawatt,,0
Transformation\Centralized Electricity Generation\Processes\Biogas_IDJW,Minimum Charge,AMS Target Scenario,Indonesia,%,Share,,0
Transformation\Centralized Electricity Generation\Processes\Biogas_IDJW,Minimum Charge,Baseline Simulation,Indonesia,%,Share,,0
Transformation\Centralized Electricity Generation\Processes\Biogas_IDJW,Minimum Charge,Current Accounts,Indonesia,%,Share,,0
Transformation\Centralized Electricity Generation\Processes\Biogas_IDJW,Minimum Charge,Regional Aspiration Scenario,Indonesia,%,Share,,0
Transformation\Centralized Electricity Generation\Processes\Biogas_IDJW,Minimum Production,Regional Aspiration Scenario,Indonesia,,Gigajoule,,0
Transformation\Centralized Electricity Generation\Processes\Biogas_IDJW,Minimum Share of Production,Regional Aspiration Scenario,Indonesia,,Percent,,0
Transformation\Centralized Electricity Generation\Processes\Biogas_IDJW,Minimum Utilization,AMS Target Scenario,Indonesia,,Percent,,0
Transformation\Centralized Electricity Generation\Processes\Biogas_IDJW,Minimum Utilization,Baseline Simulation,Indonesia,,Percent,,0
Transformation\Centralized Electricity Generation\Processes\Biogas_IDJW,Minimum Utilization,Current Accounts,Indonesia,,Percent,,0
Transformation\Centralized Electricity Generation\Processes\Biogas_IDJW,Minimum Utilization,Regional Aspiration Scenario,Indonesia,,Percent,,0
Transformation\Centralized Electricity Generation\Processes\Biogas_IDJW,Node,AMS Target Scenario,Indonesia,,ID,,BranchID(Key\Transmission\Nodes\Indonesia:Activity Level[NA])
Transformation\Centralized Electricity Generation\Processes\Biogas_IDJW,Node,Baseline Simulation,Indonesia,,ID,,BranchID(Key\Transmission\Nodes\Indonesia:Activity Level[NA])
Transformation\Centralized Electricity Generation\Processes\Biogas_IDJW,Node,Current Accounts,Indonesia,,ID,,BranchID(Key\Transmission\Nodes\Indonesia:Activity Level[NA])
Transformation\Centralized Electricity Generation\Processes\Biogas_IDJW,Node,Regional Aspiration Scenario,Indonesia,,ID,,BranchID(Key\Transmission\Nodes\Indonesia:Activity Level[NA])
Transformation\Centralized Electricity Generation\Processes\Biogas_IDJW,Optimized New Capacity,Regional Aspiration Scenario,Indonesia,,Megawatt,,"Data(2030, 500, 2040, 1000, 2050, 1000, 2060, 1000) ?Optimized on 07/02/2026 11:41 (NEMO/CPLEX)"
Transformation\Centralized Electricity Generation\Processes\Biogas_IDJW,Process Efficiency,AMS Target Scenario,Indonesia,,Percent,,"Interp(2022,34) * Key\Cal\Transformation\Biogas_eff:Activity Level[Factor] ? 2024 Technology Data for the Indonesian Power Sector (Danish Energy) - price Year 2022"
Transformation\Centralized Electricity Generation\Processes\Biogas_IDJW,Process Efficiency,Baseline Simulation,Indonesia,,Percent,,"Interp(2022,34) * Key\Cal\Transformation\Biogas_eff:Activity Level[Factor] ? 2024 Technology Data for the Indonesian Power Sector (Danish Energy) - price Year 2022"
Transformation\Centralized Electricity Generation\Processes\Biogas_IDJW,Process Efficiency,Current Accounts,Indonesia,,Percent,,"Interp(2022,34) * Key\Cal\Transformation\Biogas_eff:Activity Level[Factor] ? 2024 Technology Data for the Indonesian Power Sector (Danish Energy) - price Year 2022"
Transformation\Centralized Electricity Generation\Processes\Biogas_IDJW,Process Efficiency,Regional Aspiration Scenario,Indonesia,,Percent,,"Interp(2022,34) * Key\Cal\Transformation\Biogas_eff:Activity Level[Factor] ? 2024 Technology Data for the Indonesian Power Sector (Danish Energy) - price Year 2022"
Transformation\Centralized Electricity Generation\Processes\Biogas_IDJW,Process Share,AMS Target Scenario,Indonesia,%,Share,,0
Transformation\Centralized Electricity Generation\Processes\Biogas_IDJW,Process Share,Baseline Simulation,Indonesia,%,Share,,0
Transformation\Centralized Electricity Generation\Processes\Biogas_IDJW,Process Share,Current Accounts,Indonesia,%,Share,,0
Transformation\Centralized Electricity Generation\Processes\Biogas_IDJW,Real Investment Cost,AMS Target Scenario,Indonesia,Million,USD,,"If((Capacity Additions[MW] - PrevYearValue(Capacity Additions[MW])>0),(Capital Cost[Thousand USD/MW] * (Capacity Additions[MW] - PrevYearValue(Capacity Additions[MW])) / 1000),0)"
Transformation\Centralized Electricity Generation\Processes\Biogas_IDJW,Real Investment Cost,Baseline Simulation,Indonesia,Million,USD,,Capital Cost[Thousand USD/MW] * (Capacity Additions[MW]) / 1000
Transformation\Centralized Electricity Generation\Processes\Biogas_IDJW,Real Investment Cost,Current Accounts,Indonesia,Million,USD,,Capital Cost[Thousand USD/MW] * (Capacity Additions[MW]) / 1000
Transformation\Centralized Electricity Generation\Processes\Biogas_IDJW,Real Investment Cost,Regional Aspiration Scenario,Indonesia,Million,USD,,"If((Capacity Additions[MW] - PrevYearValue(Capacity Additions[MW])>0),(Capital Cost[Thousand USD/MW] * (Capacity Additions[MW] - PrevYearValue(Capacity Additions[MW])) / 1000),0)"
Transformation\Centralized Electricity Generation\Processes\Biogas_IDJW,Renewable Qualified,Regional Aspiration Scenario,Indonesia,,Percent,,100
Transformation\Centralized Electricity Generation\Processes\Biogas_IDJW,Salvage Value,AMS Target Scenario,Indonesia,Thousand,U.S. Dollar,Megawatt,0
Transformation\Centralized Electricity Generation\Processes\Biogas_IDJW,Salvage Value,Baseline Simulation,Indonesia,Thousand,U.S. Dollar,Megawatt,0
Transformation\Centralized Electricity Generation\Processes\Biogas_IDJW,Salvage Value,Current Accounts,Indonesia,Thousand,U.S. Dollar,Megawatt,0
Transformation\Centralized Electricity Generation\Processes\Biogas_IDJW,Salvage Value,Regional Aspiration Scenario,Indonesia,Thousand,U.S. Dollar,Megawatt,0
Transformation\Centralized Electricity Generation\Processes\Biogas_IDJW,Seasonal Storage Carryover,Current Accounts,Indonesia,,Yes/No,,No
Transformation\Centralized Electricity Generation\Processes\Biogas_IDJW,Starting Charge,Current Accounts,Indonesia,%,Share,,0
Transformation\Centralized Electricity Generation\Processes\Biogas_IDJW,Stranded Cost,AMS Target Scenario,Indonesia,,U.S. Dollar,,0
Transformation\Centralized Electricity Generation\Processes\Biogas_IDJW,Stranded Cost,Baseline Simulation,Indonesia,,U.S. Dollar,,0
Transformation\Centralized Electricity Generation\Processes\Biogas_IDJW,Stranded Cost,Current Accounts,Indonesia,,U.S. Dollar,,0
Transformation\Centralized Electricity Generation\Processes\Biogas_IDJW,Stranded Cost,Regional Aspiration Scenario,Indonesia,,U.S. Dollar,,0
Transformation\Centralized Electricity Generation\Processes\Biogas_IDJW,Variable OM Cost,AMS Target Scenario,Indonesia,,U.S. Dollar,Megawatt-Hour,"Interp(2022, 0.13, 2030, 0.12, 2050, 0.1) ? 2024 Technology Data for the Indonesian Power Sector (Danish Energy) - price Year 2022"
Transformation\Centralized Electricity Generation\Processes\Biogas_IDJW,Variable OM Cost,Baseline Simulation,Indonesia,,U.S. Dollar,Megawatt-Hour,"Interp(2022, 0.13, 2030, 0.12, 2050, 0.1) ? 2024 Technology Data for the Indonesian Power Sector (Danish Energy) - price Year 2022"
Transformation\Centralized Electricity Generation\Processes\Biogas_IDJW,Variable OM Cost,Current Accounts,Indonesia,,U.S. Dollar,Megawatt-Hour,"Interp(2022, 0.13, 2030, 0.12, 2050, 0.1) ? 2024 Technology Data for the Indonesian Power Sector (Danish Energy) - price Year 2022"
Transformation\Centralized Electricity Generation\Processes\Biogas_IDJW,Variable OM Cost,Regional Aspiration Scenario,Indonesia,,U.S. Dollar,Megawatt-Hour,"Interp(2030, 0.1, 2050, 0.1)"
Transformation\Centralized Electricity Generation\Processes\Biogas_IDJW\Feedstock Fuels\Biomethane,Feedstock Fuel Share,AMS Target Scenario,Indonesia,,2020 USD,Million BTU,100
Transformation\Centralized Electricity Generation\Processes\Biogas_IDJW\Feedstock Fuels\Biomethane,Feedstock Fuel Share,Baseline Simulation,Indonesia,,2020 USD,Million BTU,100
Transformation\Centralized Electricity Generation\Processes\Biogas_IDJW\Feedstock Fuels\Biomethane,Feedstock Fuel Share,Current Accounts,Indonesia,,2020 USD,Million BTU,100
Transformation\Centralized Electricity Generation\Processes\Biogas_IDJW\Feedstock Fuels\Biomethane,Feedstock Fuel Share,Regional Aspiration Scenario,Indonesia,,2020 USD,Million BTU,100
Transformation\Centralized Electricity Generation\Processes\Biogas_IDJW\Feedstock Fuels\Biomethane,Fuel Cost,AMS Target Scenario,Indonesia,,2020 USD,Million BTU,Resources\Secondary\Biomethane:Production Cost[2020 USD/MMBTU]
Transformation\Centralized Electricity Generation\Processes\Biogas_IDJW\Feedstock Fuels\Biomethane,Fuel Cost,Baseline Simulation,Indonesia,,2020 USD,Million BTU,Resources\Secondary\Biomethane:Production Cost[2020 USD/MMBTU]
Transformation\Centralized Electricity Generation\Processes\Biogas_IDJW\Feedstock Fuels\Biomethane,Fuel Cost,Current Accounts,Indonesia,,2020 USD,Million BTU,Resources\Secondary\Biomethane:Production Cost[2020 USD/MMBTU]
Transformation\Centralized Electricity Generation\Processes\Biogas_IDJW\Feedstock Fuels\Biomethane,Fuel Cost,Regional Aspiration Scenario,Indonesia,,2020 USD,Million BTU,Resources\Secondary\Biomethane:Production Cost[2020 USD/MMBTU]
Transformation\Centralized Electricity Generation\Processes\Biogas_IDJW\Feedstock Fuels\Biomethane,Fuel Source,Regional Aspiration Scenario,Indonesia,,2020 USD,Million BTU,SourceBelow
Transformation\Centralized Electricity Generation\Processes\Biogas_IDJW\Feedstock Fuels\Biomethane\Ammonia,Avg Environmental Loading,AMS Target Scenario,Indonesia,,Kilogramme,Terajoule,0.6 ?d
Transformation\Centralized Electricity Generation\Processes\Biogas_IDJW\Feedstock Fuels\Biomethane\Ammonia,Avg Environmental Loading,Baseline Simulation,Indonesia,,Kilogramme,Terajoule,0.6 ?d
Transformation\Centralized Electricity Generation\Processes\Biogas_IDJW\Feedstock Fuels\Biomethane\Ammonia,Avg Environmental Loading,Current Accounts,Indonesia,,Kilogramme,Terajoule,0.6 ?d
Transformation\Centralized Electricity Generation\Processes\Biogas_IDJW\Feedstock Fuels\Biomethane\Ammonia,Avg Environmental Loading,Regional Aspiration Scenario,Indonesia,,Kilogramme,Terajoule,0.6 ?d
Transformation\Centralized Electricity Generation\Processes\Biogas_IDJW\Feedstock Fuels\Biomethane\Black Carbon,Avg Environmental Loading,AMS Target Scenario,Indonesia,,Kilogramme,Terajoule,0.013 ?c
Transformation\Centralized Electricity Generation\Processes\Biogas_IDJW\Feedstock Fuels\Biomethane\Black Carbon,Avg Environmental Loading,Baseline Simulation,Indonesia,,Kilogramme,Terajoule,0.013 ?c
Transformation\Centralized Electricity Generation\Processes\Biogas_IDJW\Feedstock Fuels\Biomethane\Black Carbon,Avg Environmental Loading,Current Accounts,Indonesia,,Kilogramme,Terajoule,0.013 ?c
Transformation\Centralized Electricity Generation\Processes\Biogas_IDJW\Feedstock Fuels\Biomethane\Black Carbon,Avg Environmental Loading,Regional Aspiration Scenario,Indonesia,,Kilogramme,Terajoule,0.013 ?c
Transformation\Centralized Electricity Generation\Processes\Biogas_IDJW\Feedstock Fuels\Biomethane\Carbon Dioxide,Avg Environmental Loading,AMS Target Scenario,Indonesia,,Metric Tonne,Terajoule,0
Transformation\Centralized Electricity Generation\Processes\Biogas_IDJW\Feedstock Fuels\Biomethane\Carbon Dioxide,Avg Environmental Loading,Baseline Simulation,Indonesia,,Metric Tonne,Terajoule,0
Transformation\Centralized Electricity Generation\Processes\Biogas_IDJW\Feedstock Fuels\Biomethane\Carbon Dioxide,Avg Environmental Loading,Current Accounts,Indonesia,,Metric Tonne,Terajoule,0
Transformation\Centralized Electricity Generation\Processes\Biogas_IDJW\Feedstock Fuels\Biomethane\Carbon Dioxide,Avg Environmental Loading,Regional Aspiration Scenario,Indonesia,,Metric Tonne,Terajoule,0
Transformation\Centralized Electricity Generation\Processes\Biogas_IDJW\Feedstock Fuels\Biomethane\Carbon Dioxide Biogenic,Avg Environmental Loading,AMS Target Scenario,Indonesia,,Metric Tonne,Terajoule,91.7 ?a
Transformation\Centralized Electricity Generation\Processes\Biogas_IDJW\Feedstock Fuels\Biomethane\Carbon Dioxide Biogenic,Avg Environmental Loading,Baseline Simulation,Indonesia,,Metric Tonne,Terajoule,91.7 ?a
Transformation\Centralized Electricity Generation\Processes\Biogas_IDJW\Feedstock Fuels\Biomethane\Carbon Dioxide Biogenic,Avg Environmental Loading,Current Accounts,Indonesia,,Metric Tonne,Terajoule,91.7 ?a
Transformation\Centralized Electricity Generation\Processes\Biogas_IDJW\Feedstock Fuels\Biomethane\Carbon Dioxide Biogenic,Avg Environmental Loading,Regional Aspiration Scenario,Indonesia,,Metric Tonne,Terajoule,91.7 ?a
Transformation\Centralized Electricity Generation\Processes\Biogas_IDJW\Feedstock Fuels\Biomethane\Carbon Monoxide,Avg Environmental Loading,AMS Target Scenario,Indonesia,,Kilogramme,Terajoule,90 ?b
Transformation\Centralized Electricity Generation\Processes\Biogas_IDJW\Feedstock Fuels\Biomethane\Carbon Monoxide,Avg Environmental Loading,Baseline Simulation,Indonesia,,Kilogramme,Terajoule,90 ?b
Transformation\Centralized Electricity Generation\Processes\Biogas_IDJW\Feedstock Fuels\Biomethane\Carbon Monoxide,Avg Environmental Loading,Current Accounts,Indonesia,,Kilogramme,Terajoule,90 ?b
Transformation\Centralized Electricity Generation\Processes\Biogas_IDJW\Feedstock Fuels\Biomethane\Carbon Monoxide,Avg Environmental Loading,Regional Aspiration Scenario,Indonesia,,Kilogramme,Terajoule,90 ?b
Transformation\Centralized Electricity Generation\Processes\Biogas_IDJW\Feedstock Fuels\Biomethane\Methane,Avg Environmental Loading,AMS Target Scenario,Indonesia,,Kilogramme,Terajoule,30 ?a
Transformation\Centralized Electricity Generation\Processes\Biogas_IDJW\Feedstock Fuels\Biomethane\Methane,Avg Environmental Loading,Baseline Simulation,Indonesia,,Kilogramme,Terajoule,30 ?a
Transformation\Centralized Electricity Generation\Processes\Biogas_IDJW\Feedstock Fuels\Biomethane\Methane,Avg Environmental Loading,Current Accounts,Indonesia,,Kilogramme,Terajoule,30 ?a
Transformation\Centralized Electricity Generation\Processes\Biogas_IDJW\Feedstock Fuels\Biomethane\Methane,Avg Environmental Loading,Regional Aspiration Scenario,Indonesia,,Kilogramme,Terajoule,30 ?a
Transformation\Centralized Electricity Generation\Processes\Biogas_IDJW\Feedstock Fuels\Biomethane\Nitrogen Oxides,Avg Environmental Loading,AMS Target Scenario,Indonesia,,Kilogramme,Terajoule,81 ?a
