node,region,variable,units,CA,BAS,ATS,RAS
Bioenergy with CCS,Brunei,First Simulation Year,Years,FirstScenarioYear,FirstScenarioYear,FirstScenarioYear,
Bioenergy with CCS,Brunei,Fixed OM Cost,U.S. Dollar,"Interp(2021, Biomass Other:Fixed OM Cost[Thousand USD/MW] + 101.05, 2030, Biomass Other:Fixed OM Cost[Thousand USD/MW] + 86.08, 2040, Biomass Other:Fixed OM Cost[Thousand USD/MW] + 78.96, 2050, Biomass Other:Fixed OM Cost[Thousand USD/MW] + 63.17) ? Adds CCS retrofit cost from Danish Energy Agency (2023)","Interp(2021, Biomass Other:Fixed OM Cost[Thousand USD/MW] + 101.05, 2030, Biomass Other:Fixed OM Cost[Thousand USD/MW] + 86.08, 2040, Biomass Other:Fixed OM Cost[Thousand USD/MW] + 78.96, 2050, Biomass Other:Fixed OM Cost[Thousand USD/MW] + 63.17) ? Adds CCS retrofit cost from Danish Energy Agency (2023)","Interp(2021, Biomass Other:Fixed OM Cost[Thousand USD/MW] + 101.05, 2030, Biomass Other:Fixed OM Cost[Thousand USD/MW] + 86.08, 2040, Biomass Other:Fixed OM Cost[Thousand USD/MW] + 78.96, 2050, Biomass Other:Fixed OM Cost[Thousand USD/MW] + 63.17) ? Adds CCS retrofit cost from Danish Energy Agency (2023)","Interp(2021, Biomass Other:Fixed OM Cost[Thousand USD/MW] + 101.05, 2030, Biomass Other:Fixed OM Cost[Thousand USD/MW] + 86.08, 2040, Biomass Other:Fixed OM Cost[Thousand USD/MW] + 78.96, 2050, Biomass Other:Fixed OM Cost[Thousand USD/MW] + 63.17) ? Adds CCS retrofit cost from Danish Energy Agency (2023)"
Bioenergy with CCS,Brunei,Full Load Hours,Hours,0,0,0,0
Bioenergy with CCS,Brunei,Historical Capacity Factor,percentage,"Min(Historical Production[GWh] / (Exogenous Capacity[MW] / 1000 * 8760) * 100, 100)","Min(Historical Production[GWh] / (Exogenous Capacity[MW] / 1000 * 8760) * 100, 100)","Min(Historical Production[GWh] / (Exogenous Capacity[MW] / 1000 * 8760) * 100, 100)","Min(Value(Historical Production[GWh],   LastHistoricalYear) / (Value(Exogenous Capacity[MW],   LastHistoricalYear) / 1000 * 8760) * 100, 100)"
Bioenergy with CCS,Brunei,Historical Production,Gigawatt-Hour,0,0,0,
Bioenergy with CCS,Brunei,Hourly Storage Carryover,Yes/No,Yes,,,
Bioenergy with CCS,Brunei,Interest Rate,Percent,DiscountRate,DiscountRate,DiscountRate,DiscountRate
Bioenergy with CCS,Brunei,Lifetime,Years,25 ? Danish Energy Agency (2023),25 ? Danish Energy Agency (2023),25 ? Danish Energy Agency (2023),25 ? Danish Energy Agency (2023)
Bioenergy with CCS,Brunei,Maximum Availability,Percent,Biomass Other:Maximum Availability,Biomass Other:Maximum Availability,Biomass Other:Maximum Availability,Biomass Other:Maximum Availability
Bioenergy with CCS,Brunei,Maximum Capacity,Megawatt,,,,0
Bioenergy with CCS,Brunei,Maximum Capacity Addition,Megawatt,,,,20000
Bioenergy with CCS,Brunei,Maximum Production,Gigajoule,,,,Unlimited
Bioenergy with CCS,Brunei,Maximum_Share_of_Production,%,,100,100,100
Bioenergy with CCS,Brunei,Merit Order,Merit Order,1,1,1,
Bioenergy with CCS,Brunei,Minimum Capacity,Megawatt,,,,0
Bioenergy with CCS,Brunei,Minimum Capacity Addition,Megawatt,,,,0
Bioenergy with CCS,Brunei,Minimum Charge,Share,0,0,0,0
Bioenergy with CCS,Brunei,Minimum Production,Gigajoule,,,,0
Bioenergy with CCS,Brunei,Minimum Share of Production,Percent,,,,0
Bioenergy with CCS,Brunei,Minimum Utilization,Percent,0,0,0,"Min(Interp(FirstScenarioYear, Value(Historical Capacity Factor[percentage],  LastHistoricalYear), FirstScenarioYear + Key\Modeling Assumptions\Incumbent Generator DIspatch Phaseout:Activity Level, 0), Maximum Availability)"
Bioenergy with CCS,Brunei,Node,ID,BranchID(Key\Transmission\Nodes\Brunei:Activity Level[NA]),BranchID(Key\Transmission\Nodes\Brunei:Activity Level[NA]),BranchID(Key\Transmission\Nodes\Brunei:Activity Level[NA]),BranchID(Key\Transmission\Nodes\Brunei:Activity Level[NA])
Bioenergy with CCS,Brunei,Optimized New Capacity,Megawatt,,,,0 ?Optimized on 07/02/2026 11:41 (NEMO/CPLEX)
Bioenergy with CCS,Brunei,Process Efficiency,Percent,Biomass Other:Process Efficiency * (1 - 0.09) ? Includes efficiency penalty for CCS,Biomass Other:Process Efficiency * (1 - 0.09) ? Includes efficiency penalty for CCS,Biomass Other:Process Efficiency * (1 - 0.09) ? Includes efficiency penalty for CCS,Biomass Other:Process Efficiency * (1 - 0.09) ? Includes efficiency penalty for CCS
Bioenergy with CCS,Brunei,Process Share,Share,0,0,0,
Bioenergy with CCS,Brunei,Real Investment Cost,USD,Capital Cost[Thousand USD/MW] * (Capacity Additions[MW]) / 1000,Capital Cost[Thousand USD/MW] * (Capacity Additions[MW]) / 1000,Capital Cost[Thousand USD/MW] * (Capacity Additions[MW]) / 1000,Capital Cost[Thousand USD/MW] * (Capacity Additions[MW]) / 1000
Bioenergy with CCS,Brunei,Renewable Qualified,Percent,,,,100
Bioenergy with CCS,Brunei,Salvage Value,U.S. Dollar,0,0,0,0
Bioenergy with CCS,Brunei,Seasonal Storage Carryover,Yes/No,No,,,
Bioenergy with CCS,Brunei,Starting Charge,Share,0,,,
Bioenergy with CCS,Brunei,Stranded Cost,U.S. Dollar,0,0,0,0
Bioenergy with CCS,Brunei,Variable OM Cost,U.S. Dollar,Biomass Other:Variable OM Cost[USD/MWh] + 3.29 ? Adds CCS retrofit cost from Danish Energy Agency (2023),Biomass Other:Variable OM Cost[USD/MWh] + 3.29 ? Adds CCS retrofit cost from Danish Energy Agency (2023),Biomass Other:Variable OM Cost[USD/MWh] + 3.29 ? Adds CCS retrofit cost from Danish Energy Agency (2023),Biomass Other:Variable OM Cost[USD/MWh] + 3.29 ? Adds CCS retrofit cost from Danish Energy Agency (2023)
Bioenergy with CCS,Cambodia,Annual Storage Carryover,Yes/No,No,,,
Bioenergy with CCS,Cambodia,Capacity Additions,MW,0,0,0,0
Bioenergy with CCS,Cambodia,Capacity Credit,Percent,Maximum Availability,Maximum Availability,Maximum Availability,Maximum Availability
Bioenergy with CCS,Cambodia,Capacity Retirement,MW,0,0,0,0
Bioenergy with CCS,Cambodia,Capital Cost,U.S. Dollar,"Interp(2021, Biomass Other:Capital Cost[Thousand USD/MW] + 3368.33, 2030, Biomass Other:Capital Cost[Thousand USD/MW] + 2869.32, 2040, Biomass Other:Capital Cost[Thousand USD/MW] + 2631.98, 2050, Biomass Other:Capital Cost[Thousand USD/MW] + 2105.59) ? Adds CCS retrofit cost from Danish Energy Agency (2023)","Interp(2021, Biomass Other:Capital Cost[Thousand USD/MW] + 3368.33, 2030, Biomass Other:Capital Cost[Thousand USD/MW] + 2869.32, 2040, Biomass Other:Capital Cost[Thousand USD/MW] + 2631.98, 2050, Biomass Other:Capital Cost[Thousand USD/MW] + 2105.59) ? Adds CCS retrofit cost from Danish Energy Agency (2023)","Interp(2021, Biomass Other:Capital Cost[Thousand USD/MW] + 3368.33, 2030, Biomass Other:Capital Cost[Thousand USD/MW] + 2869.32, 2040, Biomass Other:Capital Cost[Thousand USD/MW] + 2631.98, 2050, Biomass Other:Capital Cost[Thousand USD/MW] + 2105.59) ? Adds CCS retrofit cost from Danish Energy Agency (2023)","Interp(2021, Biomass Other:Capital Cost[Thousand USD/MW] + 3368.33, 2030, Biomass Other:Capital Cost[Thousand USD/MW] + 2869.32, 2040, Biomass Other:Capital Cost[Thousand USD/MW] + 2631.98, 2050, Biomass Other:Capital Cost[Thousand USD/MW] + 2105.59) ? Adds CCS retrofit cost from Danish Energy Agency (2023)"
Bioenergy with CCS,Cambodia,Dispatch Rule,None,MeritOrderDispatch,MeritOrderDispatch,MeritOrderDispatch,
Bioenergy with CCS,Cambodia,Dispatchable,Yes/No,Yes,,,
Bioenergy with CCS,Cambodia,Endogenous Capacity,Megawatt,0,0,0,
Bioenergy with CCS,Cambodia,Existing Capacity,MW,0,Value(2024),Value(2024),Value(2024)
Bioenergy with CCS,Cambodia,Exogenous Capacity,Megawatt,Existing Capacity[MW] + Capacity Additions[MW],Existing Capacity[MW] + Capacity Additions[MW] - Capacity Retirement[MW],Existing Capacity[MW] + Capacity Additions[MW] - Capacity Retirement[MW],"Max(Existing Capacity[MW] + Capacity Additions[MW] - Capacity Retirement[MW], 0)"
Bioenergy with CCS,Cambodia,First Simulation Year,Years,FirstScenarioYear,FirstScenarioYear,FirstScenarioYear,
Bioenergy with CCS,Cambodia,Fixed OM Cost,U.S. Dollar,"Interp(2021, Biomass Other:Fixed OM Cost[Thousand USD/MW] + 101.05, 2030, Biomass Other:Fixed OM Cost[Thousand USD/MW] + 86.08, 2040, Biomass Other:Fixed OM Cost[Thousand USD/MW] + 78.96, 2050, Biomass Other:Fixed OM Cost[Thousand USD/MW] + 63.17) ? Adds CCS retrofit cost from Danish Energy Agency (2023)","Interp(2021, Biomass Other:Fixed OM Cost[Thousand USD/MW] + 101.05, 2030, Biomass Other:Fixed OM Cost[Thousand USD/MW] + 86.08, 2040, Biomass Other:Fixed OM Cost[Thousand USD/MW] + 78.96, 2050, Biomass Other:Fixed OM Cost[Thousand USD/MW] + 63.17) ? Adds CCS retrofit cost from Danish Energy Agency (2023)","Interp(2021, Biomass Other:Fixed OM Cost[Thousand USD/MW] + 101.05, 2030, Biomass Other:Fixed OM Cost[Thousand USD/MW] + 86.08, 2040, Biomass Other:Fixed OM Cost[Thousand USD/MW] + 78.96, 2050, Biomass Other:Fixed OM Cost[Thousand USD/MW] + 63.17) ? Adds CCS retrofit cost from Danish Energy Agency (2023)","Interp(2021, Biomass Other:Fixed OM Cost[Thousand USD/MW] + 101.05, 2030, Biomass Other:Fixed OM Cost[Thousand USD/MW] + 86.08, 2040, Biomass Other:Fixed OM Cost[Thousand USD/MW] + 78.96, 2050, Biomass Other:Fixed OM Cost[Thousand USD/MW] + 63.17) ? Adds CCS retrofit cost from Danish Energy Agency (2023)"
Bioenergy with CCS,Cambodia,Full Load Hours,Hours,0,0,0,0
Bioenergy with CCS,Cambodia,Historical Capacity Factor,percentage,"Min(Historical Production[GWh] / (Exogenous Capacity[MW] / 1000 * 8760) * 100, 100)","Min(Historical Production[GWh] / (Exogenous Capacity[MW] / 1000 * 8760) * 100, 100)","Min(Historical Production[GWh] / (Exogenous Capacity[MW] / 1000 * 8760) * 100, 100)","Min(Value(Historical Production[GWh],   LastHistoricalYear) / (Value(Exogenous Capacity[MW],   LastHistoricalYear) / 1000 * 8760) * 100, 100)"
Bioenergy with CCS,Cambodia,Historical Production,Gigawatt-Hour,0,0,0,
Bioenergy with CCS,Cambodia,Hourly Storage Carryover,Yes/No,Yes,,,
Bioenergy with CCS,Cambodia,Interest Rate,Percent,DiscountRate,DiscountRate,DiscountRate,DiscountRate
Bioenergy with CCS,Cambodia,Lifetime,Years,25 ? Danish Energy Agency (2023),25 ? Danish Energy Agency (2023),25 ? Danish Energy Agency (2023),25 ? Danish Energy Agency (2023)
Bioenergy with CCS,Cambodia,Maximum Availability,Percent,Biomass Other:Maximum Availability,Biomass Other:Maximum Availability,Biomass Other:Maximum Availability,Biomass Other:Maximum Availability
Bioenergy with CCS,Cambodia,Maximum Capacity,Megawatt,,,,0
Bioenergy with CCS,Cambodia,Maximum Capacity Addition,Megawatt,,,,"Interp(BaseYear, 0, 2031, 0, 2032, 500)"
Bioenergy with CCS,Cambodia,Maximum Production,Gigajoule,,,,Unlimited
Bioenergy with CCS,Cambodia,Maximum_Share_of_Production,%,,100,100,100
Bioenergy with CCS,Cambodia,Merit Order,Merit Order,1,1,1,
Bioenergy with CCS,Cambodia,Minimum Capacity,Megawatt,,,,0
Bioenergy with CCS,Cambodia,Minimum Capacity Addition,Megawatt,,,,0
Bioenergy with CCS,Cambodia,Minimum Charge,Share,0,0,0,0
Bioenergy with CCS,Cambodia,Minimum Production,Gigajoule,,,,0
Bioenergy with CCS,Cambodia,Minimum Share of Production,Percent,,,,0
Bioenergy with CCS,Cambodia,Minimum Utilization,Percent,0,0,0,"Min(Interp(FirstScenarioYear, Value(Historical Capacity Factor[percentage],  LastHistoricalYear), FirstScenarioYear + Key\Modeling Assumptions\Incumbent Generator DIspatch Phaseout:Activity Level, 0), Maximum Availability)"
Bioenergy with CCS,Cambodia,Node,ID,BranchID(Key\Transmission\Nodes\Cambodia:Activity Level[NA]),BranchID(Key\Transmission\Nodes\Cambodia:Activity Level[NA]),BranchID(Key\Transmission\Nodes\Cambodia:Activity Level[NA]),BranchID(Key\Transmission\Nodes\Cambodia:Activity Level[NA])
Bioenergy with CCS,Cambodia,Optimized New Capacity,Megawatt,,,,0 ?Optimized on 07/02/2026 11:41 (NEMO/CPLEX)
Bioenergy with CCS,Cambodia,Process Efficiency,Percent,Biomass Other:Process Efficiency * (1 - 0.09) ? Includes efficiency penalty for CCS,Biomass Other:Process Efficiency * (1 - 0.09) ? Includes efficiency penalty for CCS,Biomass Other:Process Efficiency * (1 - 0.09) ? Includes efficiency penalty for CCS,Biomass Other:Process Efficiency * (1 - 0.09) ? Includes efficiency penalty for CCS
Bioenergy with CCS,Cambodia,Process Share,Share,0,0,0,
Bioenergy with CCS,Cambodia,Real Investment Cost,USD,Capital Cost[Thousand USD/MW] * (Capacity Additions[MW]) / 1000,Capital Cost[Thousand USD/MW] * (Capacity Additions[MW]) / 1000,Capital Cost[Thousand USD/MW] * (Capacity Additions[MW]) / 1000,Capital Cost[Thousand USD/MW] * (Capacity Additions[MW]) / 1000
Bioenergy with CCS,Cambodia,Renewable Qualified,Percent,,,,100
Bioenergy with CCS,Cambodia,Salvage Value,U.S. Dollar,0,0,0,0
Bioenergy with CCS,Cambodia,Seasonal Storage Carryover,Yes/No,No,,,
Bioenergy with CCS,Cambodia,Starting Charge,Share,0,,,
Bioenergy with CCS,Cambodia,Stranded Cost,U.S. Dollar,0,0,0,0
Bioenergy with CCS,Cambodia,Variable OM Cost,U.S. Dollar,Biomass Other:Variable OM Cost[USD/MWh] + 3.29 ? Adds CCS retrofit cost from Danish Energy Agency (2023),Biomass Other:Variable OM Cost[USD/MWh] + 3.29 ? Adds CCS retrofit cost from Danish Energy Agency (2023),Biomass Other:Variable OM Cost[USD/MWh] + 3.29 ? Adds CCS retrofit cost from Danish Energy Agency (2023),Biomass Other:Variable OM Cost[USD/MWh] + 3.29 ? Adds CCS retrofit cost from Danish Energy Agency (2023)
Bioenergy with CCS,Indonesia,Annual Storage Carryover,Yes/No,No,,,
Bioenergy with CCS,Indonesia,Capacity Additions,MW,0,0,0,0
Bioenergy with CCS,Indonesia,Capacity Credit,Percent,Maximum Availability,Maximum Availability,Maximum Availability,Maximum Availability
Bioenergy with CCS,Indonesia,Capacity Retirement,MW,0,0,0,0
Bioenergy with CCS,Indonesia,Capital Cost,U.S. Dollar,"Interp(2021, Biomass Other_IDJW:Capital Cost[Thousand USD/MW] + 3368.33, 2030, Biomass Other_IDJW:Capital Cost[Thousand USD/MW] + 2869.32, 2040, Biomass Other_IDJW:Capital Cost[Thousand USD/MW] + 2631.98, 2050, Biomass Other_IDJW:Capital Cost[Thousand USD/MW] + 2105.59) ? Adds CCS retrofit cost from Danish Energy Agency (2023)","Interp(2021, Biomass Other_IDJW:Capital Cost[Thousand USD/MW] + 3368.33, 2030, Biomass Other_IDJW:Capital Cost[Thousand USD/MW] + 2869.32, 2040, Biomass Other_IDJW:Capital Cost[Thousand USD/MW] + 2631.98, 2050, Biomass Other_IDJW:Capital Cost[Thousand USD/MW] + 2105.59) ? Adds CCS retrofit cost from Danish Energy Agency (2023)","Interp(2021, Biomass Other_IDJW:Capital Cost[Thousand USD/MW] + 3368.33, 2030, Biomass Other_IDJW:Capital Cost[Thousand USD/MW] + 2869.32, 2040, Biomass Other_IDJW:Capital Cost[Thousand USD/MW] + 2631.98, 2050, Biomass Other_IDJW:Capital Cost[Thousand USD/MW] + 2105.59) ? Adds CCS retrofit cost from Danish Energy Agency (2023)","Interp(2021, Biomass Other_IDJW:Capital Cost[Thousand USD/MW] + 3368.33, 2030, Biomass Other_IDJW:Capital Cost[Thousand USD/MW] + 2869.32, 2040, Biomass Other_IDJW:Capital Cost[Thousand USD/MW] + 2631.98, 2050, Biomass Other_IDJW:Capital Cost[Thousand USD/MW] + 2105.59) ? Adds CCS retrofit cost from Danish Energy Agency (2023)"
Bioenergy with CCS,Indonesia,Dispatch Rule,None,MeritOrderDispatch,MeritOrderDispatch,MeritOrderDispatch,
Bioenergy with CCS,Indonesia,Dispatchable,Yes/No,Yes,,,
Bioenergy with CCS,Indonesia,Endogenous Capacity,Megawatt,0,0,0,
Bioenergy with CCS,Indonesia,Existing Capacity,MW,0,Value(2024),Value(2024),Value(2024)
Bioenergy with CCS,Indonesia,Exogenous Capacity,Megawatt,Existing Capacity[MW] + Capacity Additions[MW],Existing Capacity[MW] + Capacity Additions[MW] - Capacity Retirement[MW],Existing Capacity[MW] + Capacity Additions[MW] - Capacity Retirement[MW],"Max(Existing Capacity[MW] + Capacity Additions[MW] - Capacity Retirement[MW], 0)"
Bioenergy with CCS,Indonesia,First Simulation Year,Years,FirstScenarioYear,FirstScenarioYear,FirstScenarioYear,
Bioenergy with CCS,Indonesia,Fixed OM Cost,U.S. Dollar,"Interp(2021, Biomass Other_IDJW:Fixed OM Cost[Thousand USD/MW] + 101.05, 2030, Biomass Other_IDJW:Fixed OM Cost[Thousand USD/MW] + 86.08, 2040, Biomass Other_IDJW:Fixed OM Cost[Thousand USD/MW] + 78.96, 2050, Biomass Other_IDJW:Fixed OM Cost[Thousand USD/MW] + 63.17) ? Adds CCS retrofit cost from Danish Energy Agency (2023)","Interp(2021, Biomass Other_IDJW:Fixed OM Cost[Thousand USD/MW] + 101.05, 2030, Biomass Other_IDJW:Fixed OM Cost[Thousand USD/MW] + 86.08, 2040, Biomass Other_IDJW:Fixed OM Cost[Thousand USD/MW] + 78.96, 2050, Biomass Other_IDJW:Fixed OM Cost[Thousand USD/MW] + 63.17) ? Adds CCS retrofit cost from Danish Energy Agency (2023)","Interp(2021, Biomass Other_IDJW:Fixed OM Cost[Thousand USD/MW] + 101.05, 2030, Biomass Other_IDJW:Fixed OM Cost[Thousand USD/MW] + 86.08, 2040, Biomass Other_IDJW:Fixed OM Cost[Thousand USD/MW] + 78.96, 2050, Biomass Other_IDJW:Fixed OM Cost[Thousand USD/MW] + 63.17) ? Adds CCS retrofit cost from Danish Energy Agency (2023)","Interp(2021, Biomass Other_IDJW:Fixed OM Cost[Thousand USD/MW] + 101.05, 2030, Biomass Other_IDJW:Fixed OM Cost[Thousand USD/MW] + 86.08, 2040, Biomass Other_IDJW:Fixed OM Cost[Thousand USD/MW] + 78.96, 2050, Biomass Other_IDJW:Fixed OM Cost[Thousand USD/MW] + 63.17) ? Adds CCS retrofit cost from Danish Energy Agency (2023)"
Bioenergy with CCS,Indonesia,Full Load Hours,Hours,0,0,0,0
Bioenergy with CCS,Indonesia,Historical Capacity Factor,percentage,"Min(Historical Production[GWh] / (Exogenous Capacity[MW] / 1000 * 8760) * 100, 100)","Min(Historical Production[GWh] / (Exogenous Capacity[MW] / 1000 * 8760) * 100, 100)","Min(Historical Production[GWh] / (Exogenous Capacity[MW] / 1000 * 8760) * 100, 100)","Min(Value(Historical Production[GWh],   LastHistoricalYear) / (Value(Exogenous Capacity[MW],   LastHistoricalYear) / 1000 * 8760) * 100, 100)"
Bioenergy with CCS,Indonesia,Historical Production,Gigawatt-Hour,0,0,0,
Bioenergy with CCS,Indonesia,Hourly Storage Carryover,Yes/No,Yes,,,
Bioenergy with CCS,Indonesia,Interest Rate,Percent,DiscountRate,DiscountRate,DiscountRate,DiscountRate
Bioenergy with CCS,Indonesia,Lifetime,Years,25 ? Danish Energy Agency (2023),25 ? Danish Energy Agency (2023),25 ? Danish Energy Agency (2023),25 ? Danish Energy Agency (2023)
Bioenergy with CCS,Indonesia,Maximum Availability,Percent,"80 ? Handayani et al. (2022) based on RUPTL 2021-2030, IEA-NEA, Mongird et al (2019)","80 ? Handayani et al. (2022) based on RUPTL 2021-2030, IEA-NEA, Mongird et al (2019)","80 ? Handayani et al. (2022) based on RUPTL 2021-2030, IEA-NEA, Mongird et al (2019)","80 ? Handayani et al. (2022) based on RUPTL 2021-2030, IEA-NEA, Mongird et al (2019)"
Bioenergy with CCS,Indonesia,Maximum Capacity,Megawatt,,,,0
Bioenergy with CCS,Indonesia,Maximum Capacity Addition,Megawatt,,,,"Interp(BaseYear, 0, 2031, 0, 2032, 500)"
Bioenergy with CCS,Indonesia,Maximum Production,Gigajoule,,,,Unlimited
Bioenergy with CCS,Indonesia,Maximum_Share_of_Production,%,,100,100,100
Bioenergy with CCS,Indonesia,Merit Order,Merit Order,1,1,1,
Bioenergy with CCS,Indonesia,Minimum Capacity,Megawatt,,,,0
Bioenergy with CCS,Indonesia,Minimum Capacity Addition,Megawatt,,,,0
Bioenergy with CCS,Indonesia,Minimum Charge,Share,0,0,0,0
Bioenergy with CCS,Indonesia,Minimum Production,Gigajoule,,,,0
Bioenergy with CCS,Indonesia,Minimum Share of Production,Percent,,,,0
Bioenergy with CCS,Indonesia,Minimum Utilization,Percent,0,0,0,"Min(Interp(FirstScenarioYear, Value(Historical Capacity Factor[percentage],  LastHistoricalYear), FirstScenarioYear + Key\Modeling Assumptions\Incumbent Generator DIspatch Phaseout:Activity Level, 0), Maximum Availability)"
Bioenergy with CCS,Indonesia,Node,ID,BranchID(Key\Transmission\Nodes\Indonesia:Activity Level[NA]),BranchID(Key\Transmission\Nodes\Indonesia:Activity Level[NA]),BranchID(Key\Transmission\Nodes\Indonesia:Activity Level[NA]),BranchID(Key\Transmission\Nodes\Indonesia:Activity Level[NA])
Bioenergy with CCS,Indonesia,Optimized New Capacity,Megawatt,,,,0 ?Optimized on 07/02/2026 11:41 (NEMO/CPLEX)
Bioenergy with CCS,Indonesia,Process Efficiency,Percent,"Interp(2022, 31) * Key\Cal\Transformation\biomass_eff:Activity Level[Factor] ? ~Vietnam PDP8; WS1~Handayani et al. (2022) based on DGE MEMR (DEA), and World Energy Outlook - World Energy Model 20 (IEA)","Interp(2022, 31) * Key\Cal\Transformation\biomass_eff:Activity Level[Factor] ? ~Vietnam PDP8; WS1~Handayani et al. (2022) based on DGE MEMR (DEA), and World Energy Outlook - World Energy Model 20 (IEA)","Interp(2022, 31) * Key\Cal\Transformation\biomass_eff:Activity Level[Factor] ? ~Vietnam PDP8; WS1~Handayani et al. (2022) based on DGE MEMR (DEA), and World Energy Outlook - World Energy Model 20 (IEA)","Interp(2022, 31) * Key\Cal\Transformation\biomass_eff:Activity Level[Factor] ? ~Vietnam PDP8; WS1~Handayani et al. (2022) based on DGE MEMR (DEA), and World Energy Outlook - World Energy Model 20 (IEA)"
Bioenergy with CCS,Indonesia,Process Share,Share,0,0,0,
Bioenergy with CCS,Indonesia,Real Investment Cost,USD,Capital Cost[Thousand USD/MW] * (Capacity Additions[MW]) / 1000,Capital Cost[Thousand USD/MW] * (Capacity Additions[MW]) / 1000,Capital Cost[Thousand USD/MW] * (Capacity Additions[MW]) / 1000,Capital Cost[Thousand USD/MW] * (Capacity Additions[MW]) / 1000
Bioenergy with CCS,Indonesia,Renewable Qualified,Percent,,,,100
Bioenergy with CCS,Indonesia,Salvage Value,U.S. Dollar,0,0,0,0
Bioenergy with CCS,Indonesia,Seasonal Storage Carryover,Yes/No,No,,,
Bioenergy with CCS,Indonesia,Starting Charge,Share,0,,,
Bioenergy with CCS,Indonesia,Stranded Cost,U.S. Dollar,0,0,0,0
Bioenergy with CCS,Indonesia,Variable OM Cost,U.S. Dollar,Biomass Other_IDJW:Variable OM Cost[USD/MWh] + 3.29 ? Adds CCS retrofit cost from Danish Energy Agency (2023),Biomass Other_IDJW:Variable OM Cost[USD/MWh] + 3.29 ? Adds CCS retrofit cost from Danish Energy Agency (2023),Biomass Other_IDJW:Variable OM Cost[USD/MWh] + 3.29 ? Adds CCS retrofit cost from Danish Energy Agency (2023),Biomass Other_IDJW:Variable OM Cost[USD/MWh] + 3.29 ? Adds CCS retrofit cost from Danish Energy Agency (2023)
Bioenergy with CCS,Laos,Annual Storage Carryover,Yes/No,No,,,
Bioenergy with CCS,Laos,Capacity Additions,MW,0,0,0,0
Bioenergy with CCS,Laos,Capacity Credit,Percent,Maximum Availability,Maximum Availability,Maximum Availability,Maximum Availability
Bioenergy with CCS,Laos,Capacity Retirement,MW,0,0,0,0
