node,feedstock_fuel,region,branch,variable,unit,CA,BAS,ATS,RAS
Bioenergy with CCS,Biomass,Indonesia,Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS\Feedstock Fuels\Biomass,Fuel Cost,2020 USD,Resources\Primary\Biomass:Production Cost[USD/Tonne],Resources\Primary\Biomass:Production Cost[USD/Tonne],Resources\Primary\Biomass:Production Cost[USD/Tonne],Resources\Primary\Biomass:Production Cost[USD/Tonne]
Bioenergy with CCS,Biomass,Indonesia,Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS\Feedstock Fuels\Biomass,Fuel Source,2020 USD,,,,SourceBelow
Bioenergy with CCS,Biomass,Laos,Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS\Feedstock Fuels\Biomass,Feedstock Fuel Share,2020 USD,Remainder(100),Remainder(100),Remainder(100),Remainder(100)
Bioenergy with CCS,Biomass,Laos,Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS\Feedstock Fuels\Biomass,Fuel Cost,2020 USD,Resources\Primary\Biomass:Production Cost[USD/Tonne],Resources\Primary\Biomass:Production Cost[USD/Tonne],Resources\Primary\Biomass:Production Cost[USD/Tonne],Resources\Primary\Biomass:Production Cost[USD/Tonne]
Bioenergy with CCS,Biomass,Laos,Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS\Feedstock Fuels\Biomass,Fuel Source,2020 USD,,,,SourceBelow
Bioenergy with CCS,Biomass,Malaysia,Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS\Feedstock Fuels\Biomass,Feedstock Fuel Share,2020 USD,Remainder(100),Remainder(100),Remainder(100),Remainder(100)
Bioenergy with CCS,Biomass,Malaysia,Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS\Feedstock Fuels\Biomass,Fuel Cost,2020 USD,Resources\Primary\Biomass:Production Cost[USD/Tonne],Resources\Primary\Biomass:Production Cost[USD/Tonne],Resources\Primary\Biomass:Production Cost[USD/Tonne],Resources\Primary\Biomass:Production Cost[USD/Tonne]
Bioenergy with CCS,Biomass,Malaysia,Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS\Feedstock Fuels\Biomass,Fuel Source,2020 USD,,,,SourceBelow
Bioenergy with CCS,Biomass,Myanmar,Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS\Feedstock Fuels\Biomass,Feedstock Fuel Share,2020 USD,Remainder(100),Remainder(100),Remainder(100),Remainder(100)
Bioenergy with CCS,Biomass,Myanmar,Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS\Feedstock Fuels\Biomass,Fuel Cost,2020 USD,Resources\Primary\Biomass:Production Cost[USD/Tonne],Resources\Primary\Biomass:Production Cost[USD/Tonne],Resources\Primary\Biomass:Production Cost[USD/Tonne],Resources\Primary\Biomass:Production Cost[USD/Tonne]
Bioenergy with CCS,Biomass,Myanmar,Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS\Feedstock Fuels\Biomass,Fuel Source,2020 USD,,,,SourceBelow
Bioenergy with CCS,Biomass,Philippines,Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS\Feedstock Fuels\Biomass,Feedstock Fuel Share,2020 USD,Remainder(100),Remainder(100),Remainder(100),Remainder(100)
Bioenergy with CCS,Biomass,Philippines,Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS\Feedstock Fuels\Biomass,Fuel Cost,2020 USD,Resources\Primary\Biomass:Production Cost[USD/Tonne],Resources\Primary\Biomass:Production Cost[USD/Tonne],Resources\Primary\Biomass:Production Cost[USD/Tonne],Resources\Primary\Biomass:Production Cost[USD/Tonne]
Bioenergy with CCS,Biomass,Philippines,Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS\Feedstock Fuels\Biomass,Fuel Source,2020 USD,,,,SourceBelow
Bioenergy with CCS,Biomass,Singapore,Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS\Feedstock Fuels\Biomass,Feedstock Fuel Share,2020 USD,Remainder(100),Remainder(100),Remainder(100),Remainder(100)
Bioenergy with CCS,Biomass,Singapore,Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS\Feedstock Fuels\Biomass,Fuel Cost,2020 USD,Resources\Primary\Biomass:Production Cost[USD/Tonne],Resources\Primary\Biomass:Production Cost[USD/Tonne],Resources\Primary\Biomass:Production Cost[USD/Tonne],Resources\Primary\Biomass:Production Cost[USD/Tonne]
Bioenergy with CCS,Biomass,Singapore,Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS\Feedstock Fuels\Biomass,Fuel Source,2020 USD,,,,SourceBelow
Bioenergy with CCS,Biomass,Thailand,Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS\Feedstock Fuels\Biomass,Feedstock Fuel Share,2020 USD,Remainder(100),Remainder(100),Remainder(100),Remainder(100)
Bioenergy with CCS,Biomass,Thailand,Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS\Feedstock Fuels\Biomass,Fuel Cost,2020 USD,Resources\Primary\Biomass:Production Cost[USD/Tonne],Resources\Primary\Biomass:Production Cost[USD/Tonne],Resources\Primary\Biomass:Production Cost[USD/Tonne],Resources\Primary\Biomass:Production Cost[USD/Tonne]
Bioenergy with CCS,Biomass,Thailand,Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS\Feedstock Fuels\Biomass,Fuel Source,2020 USD,,,,SourceBelow
Bioenergy with CCS,Biomass,Timor Leste,Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS\Feedstock Fuels\Biomass,Feedstock Fuel Share,2020 USD,Remainder(100),Remainder(100),Remainder(100),Remainder(100)
Bioenergy with CCS,Biomass,Timor Leste,Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS\Feedstock Fuels\Biomass,Fuel Cost,2020 USD,Resources\Primary\Biomass:Production Cost[USD/Tonne],Resources\Primary\Biomass:Production Cost[USD/Tonne],Resources\Primary\Biomass:Production Cost[USD/Tonne],Resources\Primary\Biomass:Production Cost[USD/Tonne]
Bioenergy with CCS,Biomass,Timor Leste,Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS\Feedstock Fuels\Biomass,Fuel Source,2020 USD,,,,SourceBelow
Bioenergy with CCS,Biomass,Vietnam,Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS\Feedstock Fuels\Biomass,Feedstock Fuel Share,2020 USD,Remainder(100),Remainder(100),Remainder(100),Remainder(100)
Bioenergy with CCS,Biomass,Vietnam,Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS\Feedstock Fuels\Biomass,Fuel Cost,2020 USD,Resources\Primary\Biomass:Production Cost[USD/Tonne],Resources\Primary\Biomass:Production Cost[USD/Tonne],Resources\Primary\Biomass:Production Cost[USD/Tonne],Resources\Primary\Biomass:Production Cost[USD/Tonne]
Bioenergy with CCS,Biomass,Vietnam,Transformation\Centralized Electricity Generation\Processes\Bioenergy with CCS\Feedstock Fuels\Biomass,Fuel Source,2020 USD,,,,SourceBelow
Biogas,Biomethane,Base Template,Transformation\Centralized Electricity Generation\Processes\Biogas\Feedstock Fuels\Biomethane,Feedstock Fuel Share,2020 USD,100,100,100,100
Biogas,Biomethane,Base Template,Transformation\Centralized Electricity Generation\Processes\Biogas\Feedstock Fuels\Biomethane,Fuel Cost,2020 USD,Resources\Secondary\Biomethane:Production Cost[2020 USD/MMBTU],Resources\Secondary\Biomethane:Production Cost[2020 USD/MMBTU],Resources\Secondary\Biomethane:Production Cost[2020 USD/MMBTU],Resources\Secondary\Biomethane:Production Cost[2020 USD/MMBTU]
Biogas,Biomethane,Base Template,Transformation\Centralized Electricity Generation\Processes\Biogas\Feedstock Fuels\Biomethane,Fuel Source,2020 USD,,,,SourceModule(Biomethane Production)
Biogas,Biomethane,Brunei,Transformation\Centralized Electricity Generation\Processes\Biogas\Feedstock Fuels\Biomethane,Feedstock Fuel Share,2020 USD,100,100,100,100
Biogas,Biomethane,Brunei,Transformation\Centralized Electricity Generation\Processes\Biogas\Feedstock Fuels\Biomethane,Fuel Cost,2020 USD,Resources\Secondary\Biomethane:Production Cost[2020 USD/MMBTU],Resources\Secondary\Biomethane:Production Cost[2020 USD/MMBTU],Resources\Secondary\Biomethane:Production Cost[2020 USD/MMBTU],Resources\Secondary\Biomethane:Production Cost[2020 USD/MMBTU]
Biogas,Biomethane,Brunei,Transformation\Centralized Electricity Generation\Processes\Biogas\Feedstock Fuels\Biomethane,Fuel Source,2020 USD,,,,SourceModule(Biomethane Production)
Biogas,Biomethane,Cambodia,Transformation\Centralized Electricity Generation\Processes\Biogas\Feedstock Fuels\Biomethane,Feedstock Fuel Share,2020 USD,100,100,100,100
Biogas,Biomethane,Cambodia,Transformation\Centralized Electricity Generation\Processes\Biogas\Feedstock Fuels\Biomethane,Fuel Cost,2020 USD,Resources\Secondary\Biomethane:Production Cost[2020 USD/MMBTU],Resources\Secondary\Biomethane:Production Cost[2020 USD/MMBTU],Resources\Secondary\Biomethane:Production Cost[2020 USD/MMBTU],Resources\Secondary\Biomethane:Production Cost[2020 USD/MMBTU]
Biogas,Biomethane,Cambodia,Transformation\Centralized Electricity Generation\Processes\Biogas\Feedstock Fuels\Biomethane,Fuel Source,2020 USD,,,,SourceModule(Biomethane Production)
Biogas,Biomethane,Indonesia,Transformation\Centralized Electricity Generation\Processes\Biogas\Feedstock Fuels\Biomethane,Feedstock Fuel Share,2020 USD,100,100,100,100
Biogas,Biomethane,Indonesia,Transformation\Centralized Electricity Generation\Processes\Biogas\Feedstock Fuels\Biomethane,Fuel Cost,2020 USD,Resources\Secondary\Biomethane:Production Cost[2020 USD/MMBTU],Resources\Secondary\Biomethane:Production Cost[2020 USD/MMBTU],Resources\Secondary\Biomethane:Production Cost[2020 USD/MMBTU],Resources\Secondary\Biomethane:Production Cost[2020 USD/MMBTU]
Biogas,Biomethane,Indonesia,Transformation\Centralized Electricity Generation\Processes\Biogas\Feedstock Fuels\Biomethane,Fuel Source,2020 USD,,,,SourceModule(Biomethane Production)
Biogas,Biomethane,Laos,Transformation\Centralized Electricity Generation\Processes\Biogas\Feedstock Fuels\Biomethane,Feedstock Fuel Share,2020 USD,100,100,100,100
Biogas,Biomethane,Laos,Transformation\Centralized Electricity Generation\Processes\Biogas\Feedstock Fuels\Biomethane,Fuel Cost,2020 USD,Resources\Secondary\Biomethane:Production Cost[2020 USD/MMBTU],Resources\Secondary\Biomethane:Production Cost[2020 USD/MMBTU],Resources\Secondary\Biomethane:Production Cost[2020 USD/MMBTU],Resources\Secondary\Biomethane:Production Cost[2020 USD/MMBTU]
Biogas,Biomethane,Laos,Transformation\Centralized Electricity Generation\Processes\Biogas\Feedstock Fuels\Biomethane,Fuel Source,2020 USD,,,,SourceModule(Biomethane Production)
Biogas,Biomethane,Malaysia,Transformation\Centralized Electricity Generation\Processes\Biogas\Feedstock Fuels\Biomethane,Feedstock Fuel Share,2020 USD,100,100,100,100
Biogas,Biomethane,Malaysia,Transformation\Centralized Electricity Generation\Processes\Biogas\Feedstock Fuels\Biomethane,Fuel Cost,2020 USD,Resources\Secondary\Biomethane:Production Cost[2020 USD/MMBTU],Resources\Secondary\Biomethane:Production Cost[2020 USD/MMBTU],Resources\Secondary\Biomethane:Production Cost[2020 USD/MMBTU],Resources\Secondary\Biomethane:Production Cost[2020 USD/MMBTU]
Biogas,Biomethane,Malaysia,Transformation\Centralized Electricity Generation\Processes\Biogas\Feedstock Fuels\Biomethane,Fuel Source,2020 USD,,,,SourceModule(Biomethane Production)
Biogas,Biomethane,Myanmar,Transformation\Centralized Electricity Generation\Processes\Biogas\Feedstock Fuels\Biomethane,Feedstock Fuel Share,2020 USD,100,100,100,100
Biogas,Biomethane,Myanmar,Transformation\Centralized Electricity Generation\Processes\Biogas\Feedstock Fuels\Biomethane,Fuel Cost,2020 USD,Resources\Secondary\Biomethane:Production Cost[2020 USD/MMBTU],Resources\Secondary\Biomethane:Production Cost[2020 USD/MMBTU],Resources\Secondary\Biomethane:Production Cost[2020 USD/MMBTU],Resources\Secondary\Biomethane:Production Cost[2020 USD/MMBTU]
Biogas,Biomethane,Myanmar,Transformation\Centralized Electricity Generation\Processes\Biogas\Feedstock Fuels\Biomethane,Fuel Source,2020 USD,,,,SourceModule(Biomethane Production)
Biogas,Biomethane,Philippines,Transformation\Centralized Electricity Generation\Processes\Biogas\Feedstock Fuels\Biomethane,Feedstock Fuel Share,2020 USD,100,100,100,100
Biogas,Biomethane,Philippines,Transformation\Centralized Electricity Generation\Processes\Biogas\Feedstock Fuels\Biomethane,Fuel Cost,2020 USD,Resources\Secondary\Biomethane:Production Cost[2020 USD/MMBTU],Resources\Secondary\Biomethane:Production Cost[2020 USD/MMBTU],Resources\Secondary\Biomethane:Production Cost[2020 USD/MMBTU],Resources\Secondary\Biomethane:Production Cost[2020 USD/MMBTU]
Biogas,Biomethane,Philippines,Transformation\Centralized Electricity Generation\Processes\Biogas\Feedstock Fuels\Biomethane,Fuel Source,2020 USD,,,,SourceModule(Biomethane Production)
Biogas,Biomethane,Singapore,Transformation\Centralized Electricity Generation\Processes\Biogas\Feedstock Fuels\Biomethane,Feedstock Fuel Share,2020 USD,100,100,100,100
Biogas,Biomethane,Singapore,Transformation\Centralized Electricity Generation\Processes\Biogas\Feedstock Fuels\Biomethane,Fuel Cost,2020 USD,Resources\Secondary\Biomethane:Production Cost[2020 USD/MMBTU],Resources\Secondary\Biomethane:Production Cost[2020 USD/MMBTU],Resources\Secondary\Biomethane:Production Cost[2020 USD/MMBTU],Resources\Secondary\Biomethane:Production Cost[2020 USD/MMBTU]
Biogas,Biomethane,Singapore,Transformation\Centralized Electricity Generation\Processes\Biogas\Feedstock Fuels\Biomethane,Fuel Source,2020 USD,,,,SourceModule(Biomethane Production)
Biogas,Biomethane,Thailand,Transformation\Centralized Electricity Generation\Processes\Biogas\Feedstock Fuels\Biomethane,Feedstock Fuel Share,2020 USD,100,100,100,100
Biogas,Biomethane,Thailand,Transformation\Centralized Electricity Generation\Processes\Biogas\Feedstock Fuels\Biomethane,Fuel Cost,2020 USD,Resources\Secondary\Biomethane:Production Cost[2020 USD/MMBTU],Resources\Secondary\Biomethane:Production Cost[2020 USD/MMBTU],Resources\Secondary\Biomethane:Production Cost[2020 USD/MMBTU],Resources\Secondary\Biomethane:Production Cost[2020 USD/MMBTU]
Biogas,Biomethane,Thailand,Transformation\Centralized Electricity Generation\Processes\Biogas\Feedstock Fuels\Biomethane,Fuel Source,2020 USD,,,,SourceModule(Biomethane Production)
Biogas,Biomethane,Timor Leste,Transformation\Centralized Electricity Generation\Processes\Biogas\Feedstock Fuels\Biomethane,Feedstock Fuel Share,2020 USD,100,100,100,100
Biogas,Biomethane,Timor Leste,Transformation\Centralized Electricity Generation\Processes\Biogas\Feedstock Fuels\Biomethane,Fuel Cost,2020 USD,Resources\Secondary\Biomethane:Production Cost[2020 USD/MMBTU],Resources\Secondary\Biomethane:Production Cost[2020 USD/MMBTU],Resources\Secondary\Biomethane:Production Cost[2020 USD/MMBTU],Resources\Secondary\Biomethane:Production Cost[2020 USD/MMBTU]
Biogas,Biomethane,Timor Leste,Transformation\Centralized Electricity Generation\Processes\Biogas\Feedstock Fuels\Biomethane,Fuel Source,2020 USD,,,,SourceModule(Biomethane Production)
Biogas,Biomethane,Vietnam,Transformation\Centralized Electricity Generation\Processes\Biogas\Feedstock Fuels\Biomethane,Feedstock Fuel Share,2020 USD,100,100,100,100
Biogas,Biomethane,Vietnam,Transformation\Centralized Electricity Generation\Processes\Biogas\Feedstock Fuels\Biomethane,Fuel Cost,2020 USD,Resources\Secondary\Biomethane:Production Cost[2020 USD/MMBTU],Resources\Secondary\Biomethane:Production Cost[2020 USD/MMBTU],Resources\Secondary\Biomethane:Production Cost[2020 USD/MMBTU],Resources\Secondary\Biomethane:Production Cost[2020 USD/MMBTU]
Biogas,Biomethane,Vietnam,Transformation\Centralized Electricity Generation\Processes\Biogas\Feedstock Fuels\Biomethane,Fuel Source,2020 USD,,,,SourceModule(Biomethane Production)
Biogas_IDJW,Biomethane,Indonesia,Transformation\Centralized Electricity Generation\Processes\Biogas_IDJW\Feedstock Fuels\Biomethane,Feedstock Fuel Share,2020 USD,100,100,100,100
Biogas_IDJW,Biomethane,Indonesia,Transformation\Centralized Electricity Generation\Processes\Biogas_IDJW\Feedstock Fuels\Biomethane,Fuel Cost,2020 USD,Resources\Secondary\Biomethane:Production Cost[2020 USD/MMBTU],Resources\Secondary\Biomethane:Production Cost[2020 USD/MMBTU],Resources\Secondary\Biomethane:Production Cost[2020 USD/MMBTU],Resources\Secondary\Biomethane:Production Cost[2020 USD/MMBTU]
Biogas_IDJW,Biomethane,Indonesia,Transformation\Centralized Electricity Generation\Processes\Biogas_IDJW\Feedstock Fuels\Biomethane,Fuel Source,2020 USD,,,,SourceBelow
Biogas_IDKA,Biomethane,Indonesia,Transformation\Centralized Electricity Generation\Processes\Biogas_IDKA\Feedstock Fuels\Biomethane,Feedstock Fuel Share,2020 USD,100,100,100,100
Biogas_IDKA,Biomethane,Indonesia,Transformation\Centralized Electricity Generation\Processes\Biogas_IDKA\Feedstock Fuels\Biomethane,Fuel Cost,2020 USD,Resources\Secondary\Biomethane:Production Cost[2020 USD/MMBTU],Resources\Secondary\Biomethane:Production Cost[2020 USD/MMBTU],Resources\Secondary\Biomethane:Production Cost[2020 USD/MMBTU],Resources\Secondary\Biomethane:Production Cost[2020 USD/MMBTU]
Biogas_IDKA,Biomethane,Indonesia,Transformation\Centralized Electricity Generation\Processes\Biogas_IDKA\Feedstock Fuels\Biomethane,Fuel Source,2020 USD,,,,SourceBelow
Biogas_IDSA,Biomethane,Indonesia,Transformation\Centralized Electricity Generation\Processes\Biogas_IDSA\Feedstock Fuels\Biomethane,Feedstock Fuel Share,2020 USD,100,100,100,100
Biogas_IDSA,Biomethane,Indonesia,Transformation\Centralized Electricity Generation\Processes\Biogas_IDSA\Feedstock Fuels\Biomethane,Fuel Cost,2020 USD,Resources\Secondary\Biomethane:Production Cost[2020 USD/MMBTU],Resources\Secondary\Biomethane:Production Cost[2020 USD/MMBTU],Resources\Secondary\Biomethane:Production Cost[2020 USD/MMBTU],Resources\Secondary\Biomethane:Production Cost[2020 USD/MMBTU]
Biogas_IDSA,Biomethane,Indonesia,Transformation\Centralized Electricity Generation\Processes\Biogas_IDSA\Feedstock Fuels\Biomethane,Fuel Source,2020 USD,,,,SourceBelow
Biomass Gasification,Biomass,Base Template,Transformation\Centralized Electricity Generation\Processes\Biomass Gasification\Feedstock Fuels\Biomass,Feedstock Fuel Share,2020 USD,100,100,100,100
Biomass Gasification,Biomass,Base Template,Transformation\Centralized Electricity Generation\Processes\Biomass Gasification\Feedstock Fuels\Biomass,Fuel Cost,2020 USD,Resources\Primary\Biomass:Production Cost[USD/Tonne],Resources\Primary\Biomass:Production Cost[USD/Tonne],Resources\Primary\Biomass:Production Cost[USD/Tonne],Resources\Primary\Biomass:Production Cost[USD/Tonne]
Biomass Gasification,Biomass,Base Template,Transformation\Centralized Electricity Generation\Processes\Biomass Gasification\Feedstock Fuels\Biomass,Fuel Source,2020 USD,,,,SourceBelow
Biomass Gasification,Biomass,Brunei,Transformation\Centralized Electricity Generation\Processes\Biomass Gasification\Feedstock Fuels\Biomass,Feedstock Fuel Share,2020 USD,100,100,100,100
Biomass Gasification,Biomass,Brunei,Transformation\Centralized Electricity Generation\Processes\Biomass Gasification\Feedstock Fuels\Biomass,Fuel Cost,2020 USD,Resources\Primary\Biomass:Production Cost[USD/Tonne],Resources\Primary\Biomass:Production Cost[USD/Tonne],Resources\Primary\Biomass:Production Cost[USD/Tonne],Resources\Primary\Biomass:Production Cost[USD/Tonne]
Biomass Gasification,Biomass,Brunei,Transformation\Centralized Electricity Generation\Processes\Biomass Gasification\Feedstock Fuels\Biomass,Fuel Source,2020 USD,,,,SourceBelow
Biomass Gasification,Biomass,Cambodia,Transformation\Centralized Electricity Generation\Processes\Biomass Gasification\Feedstock Fuels\Biomass,Feedstock Fuel Share,2020 USD,100,100,100,100
Biomass Gasification,Biomass,Cambodia,Transformation\Centralized Electricity Generation\Processes\Biomass Gasification\Feedstock Fuels\Biomass,Fuel Cost,2020 USD,Resources\Primary\Biomass:Production Cost[USD/Tonne],Resources\Primary\Biomass:Production Cost[USD/Tonne],Resources\Primary\Biomass:Production Cost[USD/Tonne],Resources\Primary\Biomass:Production Cost[USD/Tonne]
Biomass Gasification,Biomass,Cambodia,Transformation\Centralized Electricity Generation\Processes\Biomass Gasification\Feedstock Fuels\Biomass,Fuel Source,2020 USD,,,,SourceBelow
Biomass Gasification,Biomass,Indonesia,Transformation\Centralized Electricity Generation\Processes\Biomass Gasification\Feedstock Fuels\Biomass,Feedstock Fuel Share,2020 USD,100,100,100,100
Biomass Gasification,Biomass,Indonesia,Transformation\Centralized Electricity Generation\Processes\Biomass Gasification\Feedstock Fuels\Biomass,Fuel Cost,2020 USD,Resources\Primary\Biomass:Production Cost[USD/Tonne],Resources\Primary\Biomass:Production Cost[USD/Tonne],Resources\Primary\Biomass:Production Cost[USD/Tonne],Resources\Primary\Biomass:Production Cost[USD/Tonne]
Biomass Gasification,Biomass,Indonesia,Transformation\Centralized Electricity Generation\Processes\Biomass Gasification\Feedstock Fuels\Biomass,Fuel Source,2020 USD,,,,SourceBelow
Biomass Gasification,Biomass,Laos,Transformation\Centralized Electricity Generation\Processes\Biomass Gasification\Feedstock Fuels\Biomass,Feedstock Fuel Share,2020 USD,100,100,100,100
Biomass Gasification,Biomass,Laos,Transformation\Centralized Electricity Generation\Processes\Biomass Gasification\Feedstock Fuels\Biomass,Fuel Cost,2020 USD,Resources\Primary\Biomass:Production Cost[USD/Tonne],Resources\Primary\Biomass:Production Cost[USD/Tonne],Resources\Primary\Biomass:Production Cost[USD/Tonne],Resources\Primary\Biomass:Production Cost[USD/Tonne]
Biomass Gasification,Biomass,Laos,Transformation\Centralized Electricity Generation\Processes\Biomass Gasification\Feedstock Fuels\Biomass,Fuel Source,2020 USD,,,,SourceBelow
Biomass Gasification,Biomass,Malaysia,Transformation\Centralized Electricity Generation\Processes\Biomass Gasification\Feedstock Fuels\Biomass,Feedstock Fuel Share,2020 USD,100,100,100,100
Biomass Gasification,Biomass,Malaysia,Transformation\Centralized Electricity Generation\Processes\Biomass Gasification\Feedstock Fuels\Biomass,Fuel Cost,2020 USD,Resources\Primary\Biomass:Production Cost[USD/Tonne],Resources\Primary\Biomass:Production Cost[USD/Tonne],Resources\Primary\Biomass:Production Cost[USD/Tonne],Resources\Primary\Biomass:Production Cost[USD/Tonne]
Biomass Gasification,Biomass,Malaysia,Transformation\Centralized Electricity Generation\Processes\Biomass Gasification\Feedstock Fuels\Biomass,Fuel Source,2020 USD,,,,SourceBelow
Biomass Gasification,Biomass,Myanmar,Transformation\Centralized Electricity Generation\Processes\Biomass Gasification\Feedstock Fuels\Biomass,Feedstock Fuel Share,2020 USD,100,100,100,100
Biomass Gasification,Biomass,Myanmar,Transformation\Centralized Electricity Generation\Processes\Biomass Gasification\Feedstock Fuels\Biomass,Fuel Cost,2020 USD,Resources\Primary\Biomass:Production Cost[USD/Tonne],Resources\Primary\Biomass:Production Cost[USD/Tonne],Resources\Primary\Biomass:Production Cost[USD/Tonne],Resources\Primary\Biomass:Production Cost[USD/Tonne]
Biomass Gasification,Biomass,Myanmar,Transformation\Centralized Electricity Generation\Processes\Biomass Gasification\Feedstock Fuels\Biomass,Fuel Source,2020 USD,,,,SourceBelow
Biomass Gasification,Biomass,Philippines,Transformation\Centralized Electricity Generation\Processes\Biomass Gasification\Feedstock Fuels\Biomass,Feedstock Fuel Share,2020 USD,100,100,100,100
Biomass Gasification,Biomass,Philippines,Transformation\Centralized Electricity Generation\Processes\Biomass Gasification\Feedstock Fuels\Biomass,Fuel Cost,2020 USD,Resources\Primary\Biomass:Production Cost[USD/Tonne],Resources\Primary\Biomass:Production Cost[USD/Tonne],Resources\Primary\Biomass:Production Cost[USD/Tonne],Resources\Primary\Biomass:Production Cost[USD/Tonne]
Biomass Gasification,Biomass,Philippines,Transformation\Centralized Electricity Generation\Processes\Biomass Gasification\Feedstock Fuels\Biomass,Fuel Source,2020 USD,,,,SourceBelow
Biomass Gasification,Biomass,Singapore,Transformation\Centralized Electricity Generation\Processes\Biomass Gasification\Feedstock Fuels\Biomass,Feedstock Fuel Share,2020 USD,100,100,100,100
Biomass Gasification,Biomass,Singapore,Transformation\Centralized Electricity Generation\Processes\Biomass Gasification\Feedstock Fuels\Biomass,Fuel Cost,2020 USD,Resources\Primary\Biomass:Production Cost[USD/Tonne],Resources\Primary\Biomass:Production Cost[USD/Tonne],Resources\Primary\Biomass:Production Cost[USD/Tonne],Resources\Primary\Biomass:Production Cost[USD/Tonne]
Biomass Gasification,Biomass,Singapore,Transformation\Centralized Electricity Generation\Processes\Biomass Gasification\Feedstock Fuels\Biomass,Fuel Source,2020 USD,,,,SourceBelow
Biomass Gasification,Biomass,Thailand,Transformation\Centralized Electricity Generation\Processes\Biomass Gasification\Feedstock Fuels\Biomass,Feedstock Fuel Share,2020 USD,100,100,100,100
