branch,branch_type,variable,unit
Transformation\Centralized Electricity Generation\Processes\Diesel,Transformation Process,Process Efficiency,Percent
Transformation\Centralized Electricity Generation\Processes\Diesel,Transformation Process,Variable OM Cost,U.S. Dollar/Megawatt-Hour
Transformation\Centralized Electricity Generation\Processes\Diesel,Transformation Process,Capital Cost,Thousand U.S. Dollar/Megawatt
Transformation\Centralized Electricity Generation\Processes\Diesel,Transformation Process,Fixed OM Cost,Thousand U.S. Dollar/Megawatt
Transformation\Centralized Electricity Generation\Processes\Fuel Oil,Transformation Process,Lifetime,Years
Transformation\Centralized Electricity Generation\Processes\Fuel Oil,Transformation Process,Interest Rate,Percent
Transformation\Centralized Electricity Generation\Processes\Fuel Oil,Transformation Process,Exogenous Capacity,Megawatt
Transformation\Centralized Electricity Generation\Processes\Fuel Oil,Transformation Process,Maximum Availability,Percent
Transformation\Centralized Electricity Generation\Processes\Fuel Oil,Transformation Process,Minimum Utilization,Percent
Transformation\Centralized Electricity Generation\Processes\Fuel Oil,Transformation Process,Capacity Credit,Percent
Transformation\Centralized Electricity Generation\Processes\Fuel Oil,Transformation Process,Process Efficiency,Percent
Transformation\Centralized Electricity Generation\Processes\Fuel Oil,Transformation Process,Variable OM Cost,U.S. Dollar/Megawatt-Hour
Transformation\Centralized Electricity Generation\Processes\Fuel Oil,Transformation Process,Capital Cost,Thousand U.S. Dollar/Megawatt
Transformation\Centralized Electricity Generation\Processes\Fuel Oil,Transformation Process,Fixed OM Cost,Thousand U.S. Dollar/Megawatt
Transformation\Centralized Electricity Generation\Processes\Gas Turbine,Transformation Process,Lifetime,Years
Transformation\Centralized Electricity Generation\Processes\Gas Turbine,Transformation Process,Interest Rate,Percent
Transformation\Centralized Electricity Generation\Processes\Gas Turbine,Transformation Process,Exogenous Capacity,Megawatt
Transformation\Centralized Electricity Generation\Processes\Gas Turbine,Transformation Process,Maximum Availability,Percent
Transformation\Centralized Electricity Generation\Processes\Gas Turbine,Transformation Process,Minimum Utilization,Percent
Transformation\Centralized Electricity Generation\Processes\Gas Turbine,Transformation Process,Capacity Credit,Percent
Transformation\Centralized Electricity Generation\Processes\Gas Turbine,Transformation Process,Process Efficiency,Percent
Transformation\Centralized Electricity Generation\Processes\Gas Turbine,Transformation Process,Variable OM Cost,U.S. Dollar/Megawatt-Hour
Transformation\Centralized Electricity Generation\Processes\Gas Turbine,Transformation Process,Capital Cost,Thousand U.S. Dollar/Megawatt
Transformation\Centralized Electricity Generation\Processes\Gas Turbine,Transformation Process,Fixed OM Cost,Thousand U.S. Dollar/Megawatt
Transformation\Centralized Electricity Generation\Processes\Gas Engine,Transformation Process,Lifetime,Years
Transformation\Centralized Electricity Generation\Processes\Gas Engine,Transformation Process,Interest Rate,Percent
Transformation\Centralized Electricity Generation\Processes\Gas Engine,Transformation Process,Exogenous Capacity,Megawatt
Transformation\Centralized Electricity Generation\Processes\Gas Engine,Transformation Process,Maximum Availability,Percent
Transformation\Centralized Electricity Generation\Processes\Gas Engine,Transformation Process,Minimum Utilization,Percent
Transformation\Centralized Electricity Generation\Processes\Gas Engine,Transformation Process,Capacity Credit,Percent
Transformation\Centralized Electricity Generation\Processes\Gas Engine,Transformation Process,Process Efficiency,Percent
Transformation\Centralized Electricity Generation\Processes\Gas Engine,Transformation Process,Variable OM Cost,U.S. Dollar/Megawatt-Hour
Transformation\Centralized Electricity Generation\Processes\Gas Engine,Transformation Process,Capital Cost,Thousand U.S. Dollar/Megawatt
Transformation\Centralized Electricity Generation\Processes\Gas Engine,Transformation Process,Fixed OM Cost,Thousand U.S. Dollar/Megawatt
Transformation\Centralized Electricity Generation\Processes\Gas Steam,Transformation Process,Lifetime,Years
Transformation\Centralized Electricity Generation\Processes\Gas Steam,Transformation Process,Interest Rate,Percent
Transformation\Centralized Electricity Generation\Processes\Gas Steam,Transformation Process,Exogenous Capacity,Megawatt
Transformation\Centralized Electricity Generation\Processes\Gas Steam,Transformation Process,Maximum Availability,Percent
Transformation\Centralized Electricity Generation\Processes\Gas Steam,Transformation Process,Minimum Utilization,Percent
Transformation\Centralized Electricity Generation\Processes\Gas Steam,Transformation Process,Capacity Credit,Percent
Transformation\Centralized Electricity Generation\Processes\Gas Steam,Transformation Process,Process Efficiency,Percent
Transformation\Centralized Electricity Generation\Processes\Gas Steam,Transformation Process,Variable OM Cost,U.S. Dollar/Megawatt-Hour
Transformation\Centralized Electricity Generation\Processes\Gas Steam,Transformation Process,Capital Cost,Thousand U.S. Dollar/Megawatt
Transformation\Centralized Electricity Generation\Processes\Gas Steam,Transformation Process,Fixed OM Cost,Thousand U.S. Dollar/Megawatt
Transformation\Centralized Electricity Generation\Processes\Gas Combined Cycle,Transformation Process,Lifetime,Years
Transformation\Centralized Electricity Generation\Processes\Gas Combined Cycle,Transformation Process,Interest Rate,Percent
Transformation\Centralized Electricity Generation\Processes\Gas Combined Cycle,Transformation Process,Exogenous Capacity,Megawatt
Transformation\Centralized Electricity Generation\Processes\Gas Combined Cycle,Transformation Process,Maximum Availability,Percent
Transformation\Centralized Electricity Generation\Processes\Gas Combined Cycle,Transformation Process,Minimum Utilization,Percent
Transformation\Centralized Electricity Generation\Processes\Gas Combined Cycle,Transformation Process,Capacity Credit,Percent
Transformation\Centralized Electricity Generation\Processes\Gas Combined Cycle,Transformation Process,Process Efficiency,Percent
Transformation\Centralized Electricity Generation\Processes\Gas Combined Cycle,Transformation Process,Variable OM Cost,U.S. Dollar/Megawatt-Hour
Transformation\Centralized Electricity Generation\Processes\Gas Combined Cycle,Transformation Process,Capital Cost,Thousand U.S. Dollar/Megawatt
Transformation\Centralized Electricity Generation\Processes\Gas Combined Cycle,Transformation Process,Fixed OM Cost,Thousand U.S. Dollar/Megawatt
Transformation\Centralized Electricity Generation\Processes\Gas Combined Cycle with CCS,Transformation Process,Lifetime,Years
Transformation\Centralized Electricity Generation\Processes\Gas Combined Cycle with CCS,Transformation Process,Interest Rate,Percent
Transformation\Centralized Electricity Generation\Processes\Gas Combined Cycle with CCS,Transformation Process,Exogenous Capacity,Megawatt
Transformation\Centralized Electricity Generation\Processes\Gas Combined Cycle with CCS,Transformation Process,Maximum Availability,Percent
Transformation\Centralized Electricity Generation\Processes\Gas Combined Cycle with CCS,Transformation Process,Minimum Utilization,Percent
Transformation\Centralized Electricity Generation\Processes\Gas Combined Cycle with CCS,Transformation Process,Capacity Credit,Percent
Transformation\Centralized Electricity Generation\Processes\Gas Combined Cycle with CCS,Transformation Process,Process Efficiency,Percent
Transformation\Centralized Electricity Generation\Processes\Gas Combined Cycle with CCS,Transformation Process,Variable OM Cost,U.S. Dollar/Megawatt-Hour
Transformation\Centralized Electricity Generation\Processes\Gas Combined Cycle with CCS,Transformation Process,Capital Cost,Thousand U.S. Dollar/Megawatt
Transformation\Centralized Electricity Generation\Processes\Gas Combined Cycle with CCS,Transformation Process,Fixed OM Cost,Thousand U.S. Dollar/Megawatt
Transformation\Centralized Electricity Generation\Processes\Nuclear LWR,Transformation Process,Lifetime,Years
Transformation\Centralized Electricity Generation\Processes\Nuclear LWR,Transformation Process,Interest Rate,Percent
Transformation\Centralized Electricity Generation\Processes\Nuclear LWR,Transformation Process,Exogenous Capacity,Megawatt
Transformation\Centralized Electricity Generation\Processes\Nuclear LWR,Transformation Process,Maximum Availability,Percent
Transformation\Centralized Electricity Generation\Processes\Nuclear LWR,Transformation Process,Minimum Utilization,Percent
Transformation\Centralized Electricity Generation\Processes\Nuclear LWR,Transformation Process,Capacity Credit,Percent
Transformation\Centralized Electricity Generation\Processes\Nuclear LWR,Transformation Process,Process Efficiency,Percent
Transformation\Centralized Electricity Generation\Processes\Nuclear LWR,Transformation Process,Variable OM Cost,U.S. Dollar/Megawatt-Hour
Transformation\Centralized Electricity Generation\Processes\Nuclear LWR,Transformation Process,Capital Cost,Thousand U.S. Dollar/Megawatt
Transformation\Centralized Electricity Generation\Processes\Nuclear LWR,Transformation Process,Fixed OM Cost,Thousand U.S. Dollar/Megawatt
Transformation\Centralized Electricity Generation\Processes\Nuclear SMR,Transformation Process,Lifetime,Years
Transformation\Centralized Electricity Generation\Processes\Nuclear SMR,Transformation Process,Interest Rate,Percent
Transformation\Centralized Electricity Generation\Processes\Nuclear SMR,Transformation Process,Exogenous Capacity,Megawatt
Transformation\Centralized Electricity Generation\Processes\Nuclear SMR,Transformation Process,Maximum Availability,Percent
Transformation\Centralized Electricity Generation\Processes\Nuclear SMR,Transformation Process,Minimum Utilization,Percent
Transformation\Centralized Electricity Generation\Processes\Nuclear SMR,Transformation Process,Capacity Credit,Percent
Transformation\Centralized Electricity Generation\Processes\Nuclear SMR,Transformation Process,Process Efficiency,Percent
Transformation\Centralized Electricity Generation\Processes\Nuclear SMR,Transformation Process,Variable OM Cost,U.S. Dollar/Megawatt-Hour
Transformation\Centralized Electricity Generation\Processes\Nuclear SMR,Transformation Process,Capital Cost,Thousand U.S. Dollar/Megawatt
Transformation\Centralized Electricity Generation\Processes\Nuclear SMR,Transformation Process,Fixed OM Cost,Thousand U.S. Dollar/Megawatt
Transformation\Centralized Electricity Generation\Processes\Nuclear SFR,Transformation Process,Lifetime,Years
Transformation\Centralized Electricity Generation\Processes\Nuclear SFR,Transformation Process,Interest Rate,Percent
Transformation\Centralized Electricity Generation\Processes\Nuclear SFR,Transformation Process,Exogenous Capacity,Megawatt
Transformation\Centralized Electricity Generation\Processes\Nuclear SFR,Transformation Process,Maximum Availability,Percent
Transformation\Centralized Electricity Generation\Processes\Nuclear SFR,Transformation Process,Minimum Utilization,Percent
Transformation\Centralized Electricity Generation\Processes\Nuclear SFR,Transformation Process,Capacity Credit,Percent
Transformation\Centralized Electricity Generation\Processes\Nuclear SFR,Transformation Process,Process Efficiency,Percent
Transformation\Centralized Electricity Generation\Processes\Nuclear SFR,Transformation Process,Variable OM Cost,U.S. Dollar/Megawatt-Hour
Transformation\Centralized Electricity Generation\Processes\Nuclear SFR,Transformation Process,Capital Cost,Thousand U.S. Dollar/Megawatt
Transformation\Centralized Electricity Generation\Processes\Nuclear SFR,Transformation Process,Fixed OM Cost,Thousand U.S. Dollar/Megawatt
Transformation\Centralized Electricity Generation\Processes\Large Hydro,Transformation Process,Lifetime,Years
Transformation\Centralized Electricity Generation\Processes\Large Hydro,Transformation Process,Interest Rate,Percent
Transformation\Centralized Electricity Generation\Processes\Large Hydro,Transformation Process,Exogenous Capacity,Megawatt
Transformation\Centralized Electricity Generation\Processes\Large Hydro,Transformation Process,Maximum Availability,Percent
Transformation\Centralized Electricity Generation\Processes\Large Hydro,Transformation Process,Minimum Utilization,Percent
Transformation\Centralized Electricity Generation\Processes\Large Hydro,Transformation Process,Capacity Credit,Percent
Transformation\Centralized Electricity Generation\Processes\Large Hydro,Transformation Process,Process Efficiency,Percent
Transformation\Centralized Electricity Generation\Processes\Large Hydro,Transformation Process,Variable OM Cost,U.S. Dollar/Megawatt-Hour
Transformation\Centralized Electricity Generation\Processes\Large Hydro,Transformation Process,Capital Cost,Thousand U.S. Dollar/Megawatt
Transformation\Centralized Electricity Generation\Processes\Large Hydro,Transformation Process,Fixed OM Cost,Thousand U.S. Dollar/Megawatt
Transformation\Centralized Electricity Generation\Processes\Small Hydro,Transformation Process,Lifetime,Years
Transformation\Centralized Electricity Generation\Processes\Small Hydro,Transformation Process,Interest Rate,Percent
Transformation\Centralized Electricity Generation\Processes\Small Hydro,Transformation Process,Exogenous Capacity,Megawatt
Transformation\Centralized Electricity Generation\Processes\Small Hydro,Transformation Process,Maximum Availability,Percent
Transformation\Centralized Electricity Generation\Processes\Small Hydro,Transformation Process,Minimum Utilization,Percent
Transformation\Centralized Electricity Generation\Processes\Small Hydro,Transformation Process,Capacity Credit,Percent
Transformation\Centralized Electricity Generation\Processes\Small Hydro,Transformation Process,Process Efficiency,Percent
Transformation\Centralized Electricity Generation\Processes\Small Hydro,Transformation Process,Variable OM Cost,U.S. Dollar/Megawatt-Hour
Transformation\Centralized Electricity Generation\Processes\Small Hydro,Transformation Process,Capital Cost,Thousand U.S. Dollar/Megawatt
Transformation\Centralized Electricity Generation\Processes\Small Hydro,Transformation Process,Fixed OM Cost,Thousand U.S. Dollar/Megawatt
Transformation\Centralized Electricity Generation\Processes\Geothermal Flash,Transformation Process,Lifetime,Years
Transformation\Centralized Electricity Generation\Processes\Geothermal Flash,Transformation Process,Interest Rate,Percent
Transformation\Centralized Electricity Generation\Processes\Geothermal Flash,Transformation Process,Exogenous Capacity,Megawatt
Transformation\Centralized Electricity Generation\Processes\Geothermal Flash,Transformation Process,Maximum Availability,Percent
Transformation\Centralized Electricity Generation\Processes\Geothermal Flash,Transformation Process,Minimum Utilization,Percent
Transformation\Centralized Electricity Generation\Processes\Geothermal Flash,Transformation Process,Capacity Credit,Percent
Transformation\Centralized Electricity Generation\Processes\Geothermal Flash,Transformation Process,Process Efficiency,Percent
Transformation\Centralized Electricity Generation\Processes\Geothermal Flash,Transformation Process,Variable OM Cost,U.S. Dollar/Megawatt-Hour
Transformation\Centralized Electricity Generation\Processes\Geothermal Flash,Transformation Process,Capital Cost,Thousand U.S. Dollar/Megawatt
Transformation\Centralized Electricity Generation\Processes\Geothermal Flash,Transformation Process,Fixed OM Cost,Thousand U.S. Dollar/Megawatt
Transformation\Centralized Electricity Generation\Processes\Geothermal ORC,Transformation Process,Lifetime,Years
Transformation\Centralized Electricity Generation\Processes\Geothermal ORC,Transformation Process,Interest Rate,Percent
Transformation\Centralized Electricity Generation\Processes\Geothermal ORC,Transformation Process,Exogenous Capacity,Megawatt
Transformation\Centralized Electricity Generation\Processes\Geothermal ORC,Transformation Process,Maximum Availability,Percent
Transformation\Centralized Electricity Generation\Processes\Geothermal ORC,Transformation Process,Minimum Utilization,Percent
Transformation\Centralized Electricity Generation\Processes\Geothermal ORC,Transformation Process,Capacity Credit,Percent
Transformation\Centralized Electricity Generation\Processes\Geothermal ORC,Transformation Process,Process Efficiency,Percent
Transformation\Centralized Electricity Generation\Processes\Geothermal ORC,Transformation Process,Variable OM Cost,U.S. Dollar/Megawatt-Hour
Transformation\Centralized Electricity Generation\Processes\Geothermal ORC,Transformation Process,Capital Cost,Thousand U.S. Dollar/Megawatt
Transformation\Centralized Electricity Generation\Processes\Geothermal ORC,Transformation Process,Fixed OM Cost,Thousand U.S. Dollar/Megawatt
Transformation\Centralized Electricity Generation\Processes\Solar PV,Transformation Process,Lifetime,Years
Transformation\Centralized Electricity Generation\Processes\Solar PV,Transformation Process,Interest Rate,Percent
Transformation\Centralized Electricity Generation\Processes\Solar PV,Transformation Process,Exogenous Capacity,Megawatt
Transformation\Centralized Electricity Generation\Processes\Solar PV,Transformation Process,Maximum Availability,Percent
Transformation\Centralized Electricity Generation\Processes\Solar PV,Transformation Process,Minimum Utilization,Percent
Transformation\Centralized Electricity Generation\Processes\Solar PV,Transformation Process,Capacity Credit,Percent
Transformation\Centralized Electricity Generation\Processes\Solar PV,Transformation Process,Process Efficiency,Percent
Transformation\Centralized Electricity Generation\Processes\Solar PV,Transformation Process,Variable OM Cost,U.S. Dollar/Megawatt-Hour
Transformation\Centralized Electricity Generation\Processes\Solar PV,Transformation Process,Capital Cost,Thousand U.S. Dollar/Megawatt
Transformation\Centralized Electricity Generation\Processes\Solar PV,Transformation Process,Fixed OM Cost,Thousand U.S. Dollar/Megawatt
Transformation\Centralized Electricity Generation\Processes\Solar PV Rooftop,Transformation Process,Lifetime,Years
Transformation\Centralized Electricity Generation\Processes\Solar PV Rooftop,Transformation Process,Interest Rate,Percent
Transformation\Centralized Electricity Generation\Processes\Solar PV Rooftop,Transformation Process,Exogenous Capacity,Megawatt
Transformation\Centralized Electricity Generation\Processes\Solar PV Rooftop,Transformation Process,Maximum Availability,Percent
Transformation\Centralized Electricity Generation\Processes\Solar PV Rooftop,Transformation Process,Minimum Utilization,Percent
Transformation\Centralized Electricity Generation\Processes\Solar PV Rooftop,Transformation Process,Capacity Credit,Percent
Transformation\Centralized Electricity Generation\Processes\Solar PV Rooftop,Transformation Process,Process Efficiency,Percent
Transformation\Centralized Electricity Generation\Processes\Solar PV Rooftop,Transformation Process,Variable OM Cost,U.S. Dollar/Megawatt-Hour
Transformation\Centralized Electricity Generation\Processes\Solar PV Rooftop,Transformation Process,Capital Cost,Thousand U.S. Dollar/Megawatt
Transformation\Centralized Electricity Generation\Processes\Solar PV Rooftop,Transformation Process,Fixed OM Cost,Thousand U.S. Dollar/Megawatt
Transformation\Centralized Electricity Generation\Processes\Solar CSP,Transformation Process,Lifetime,Years
Transformation\Centralized Electricity Generation\Processes\Solar CSP,Transformation Process,Interest Rate,Percent
Transformation\Centralized Electricity Generation\Processes\Solar CSP,Transformation Process,Exogenous Capacity,Megawatt
Transformation\Centralized Electricity Generation\Processes\Solar CSP,Transformation Process,Maximum Availability,Percent
Transformation\Centralized Electricity Generation\Processes\Solar CSP,Transformation Process,Minimum Utilization,Percent
Transformation\Centralized Electricity Generation\Processes\Solar CSP,Transformation Process,Capacity Credit,Percent
Transformation\Centralized Electricity Generation\Processes\Solar CSP,Transformation Process,Process Efficiency,Percent
Transformation\Centralized Electricity Generation\Processes\Solar CSP,Transformation Process,Variable OM Cost,U.S. Dollar/Megawatt-Hour
Transformation\Centralized Electricity Generation\Processes\Solar CSP,Transformation Process,Capital Cost,Thousand U.S. Dollar/Megawatt
Transformation\Centralized Electricity Generation\Processes\Solar CSP,Transformation Process,Fixed OM Cost,Thousand U.S. Dollar/Megawatt
Transformation\Centralized Electricity Generation\Processes\Solar Floating,Transformation Process,Lifetime,Years
Transformation\Centralized Electricity Generation\Processes\Solar Floating,Transformation Process,Interest Rate,Percent
Transformation\Centralized Electricity Generation\Processes\Solar Floating,Transformation Process,Exogenous Capacity,Megawatt
Transformation\Centralized Electricity Generation\Processes\Solar Floating,Transformation Process,Maximum Availability,Percent
Transformation\Centralized Electricity Generation\Processes\Solar Floating,Transformation Process,Minimum Utilization,Percent
Transformation\Centralized Electricity Generation\Processes\Solar Floating,Transformation Process,Capacity Credit,Percent
Transformation\Centralized Electricity Generation\Processes\Solar Floating,Transformation Process,Process Efficiency,Percent
Transformation\Centralized Electricity Generation\Processes\Solar Floating,Transformation Process,Variable OM Cost,U.S. Dollar/Megawatt-Hour
Transformation\Centralized Electricity Generation\Processes\Solar Floating,Transformation Process,Capital Cost,Thousand U.S. Dollar/Megawatt
Transformation\Centralized Electricity Generation\Processes\Solar Floating,Transformation Process,Fixed OM Cost,Thousand U.S. Dollar/Megawatt
Transformation\Centralized Electricity Generation\Processes\Tidal,Transformation Process,Lifetime,Years
Transformation\Centralized Electricity Generation\Processes\Tidal,Transformation Process,Interest Rate,Percent
Transformation\Centralized Electricity Generation\Processes\Tidal,Transformation Process,Exogenous Capacity,Megawatt
Transformation\Centralized Electricity Generation\Processes\Tidal,Transformation Process,Maximum Availability,Percent
Transformation\Centralized Electricity Generation\Processes\Tidal,Transformation Process,Minimum Utilization,Percent
Transformation\Centralized Electricity Generation\Processes\Tidal,Transformation Process,Capacity Credit,Percent
Transformation\Centralized Electricity Generation\Processes\Tidal,Transformation Process,Process Efficiency,Percent
Transformation\Centralized Electricity Generation\Processes\Tidal,Transformation Process,Variable OM Cost,U.S. Dollar/Megawatt-Hour
Transformation\Centralized Electricity Generation\Processes\Tidal,Transformation Process,Capital Cost,Thousand U.S. Dollar/Megawatt
