ams,branch,variable,expression,unit,fuel,source,note,src_csv,domain,data_confidence
Brunei,Transformation\Bioethanol Production\Processes\Cassava,Maximum Capacity,"Interp(2025, 0.0, 2030, 0.0, 2035, 0.0, 2040, 0.0, 2045, 0.0, 2050, 0.0, 2055, 0.0, 2060, 0.0)",Million Tonnes/yr,Ethanol,"USDA FAS GAIN Biofuels Annuals 2024 (per-country); national association registers (APROBI ID, MBA MY, DEDE TH, PCA PH, Petrolimex VN)","[2026-05-05 §13.3 LEAP-team handoff] Maximum Capacity variable retired on this Process branch in LEAP v0.36 (live COM probe confirms Variable=None). Original intent: refinery-fleet schedule. Likely v0.36 target: Exogenous Capacity (locked-in fleet) or Endogenous Capacity + ceiling (optimizer-picked, capped) — LEAP team to decide. Source unit `Million Tonnes/yr` of biofuel; existing v0.36 Exogenous Capacity rows on these branches use Interp(year, million_litres) * 10^6 * ConvFuelUnits(liter, gj, <fuel>); to splice with that style, multiply Mt by 1136 (biodiesel) or 1267 (ethanol) to convert tonnes to litres. ORIGINAL NOTE: baseline_2023=0.0 Mt/yr; max_addition_rate=0.0 Mt/yr/yr (empirical history); practical_ceiling=0.0 Mt (5x baseline or 0.5 Mt greenfield); LEAP team to verify Variable name + Units match RAS schema (may be 'Mt/yr' or 'PJ/yr' depending on biofuel accounting unit); source-of-truth: Bioenergy/Analysis/refinery_capacity_panel.csv; output_fuel=Ethanol",bioenergy_leap_input.csv,refining_capacity,Low
Cambodia,Transformation\Bioethanol Production\Processes\Cassava,Maximum Capacity,"Interp(2025, 0.1, 2030, 0.35, 2035, 0.5, 2040, 0.5, 2045, 0.5, 2050, 0.5, 2055, 0.5, 2060, 0.5)",Million Tonnes/yr,Ethanol,"USDA FAS GAIN Biofuels Annuals 2024 (per-country); national association registers (APROBI ID, MBA MY, DEDE TH, PCA PH, Petrolimex VN)","[2026-05-05 §13.3 LEAP-team handoff] Maximum Capacity variable retired on this Process branch in LEAP v0.36 (live COM probe confirms Variable=None). Original intent: refinery-fleet schedule. Likely v0.36 target: Exogenous Capacity (locked-in fleet) or Endogenous Capacity + ceiling (optimizer-picked, capped) — LEAP team to decide. Source unit `Million Tonnes/yr` of biofuel; existing v0.36 Exogenous Capacity rows on these branches use Interp(year, million_litres) * 10^6 * ConvFuelUnits(liter, gj, <fuel>); to splice with that style, multiply Mt by 1136 (biodiesel) or 1267 (ethanol) to convert tonnes to litres. ORIGINAL NOTE: baseline_2023=0.0 Mt/yr; max_addition_rate=0.05 Mt/yr/yr (empirical history); practical_ceiling=0.5 Mt (5x baseline or 0.5 Mt greenfield); LEAP team to verify Variable name + Units match RAS schema (may be 'Mt/yr' or 'PJ/yr' depending on biofuel accounting unit); source-of-truth: Bioenergy/Analysis/refinery_capacity_panel.csv; output_fuel=Ethanol",bioenergy_leap_input.csv,refining_capacity,Low
Indonesia,Transformation\Bioethanol Production\Processes\Cassava,Maximum Capacity,"Interp(2025, 0.12, 2030, 0.37, 2035, 0.5, 2040, 0.5, 2045, 0.5, 2050, 0.5, 2055, 0.5, 2060, 0.5)",Million Tonnes/yr,Ethanol,"USDA FAS GAIN Biofuels Annuals 2024 (per-country); national association registers (APROBI ID, MBA MY, DEDE TH, PCA PH, Petrolimex VN)","[2026-05-05 §13.3 LEAP-team handoff] Maximum Capacity variable retired on this Process branch in LEAP v0.36 (live COM probe confirms Variable=None). Original intent: refinery-fleet schedule. Likely v0.36 target: Exogenous Capacity (locked-in fleet) or Endogenous Capacity + ceiling (optimizer-picked, capped) — LEAP team to decide. Source unit `Million Tonnes/yr` of biofuel; existing v0.36 Exogenous Capacity rows on these branches use Interp(year, million_litres) * 10^6 * ConvFuelUnits(liter, gj, <fuel>); to splice with that style, multiply Mt by 1136 (biodiesel) or 1267 (ethanol) to convert tonnes to litres. ORIGINAL NOTE: baseline_2023=0.02 Mt/yr; max_addition_rate=0.05 Mt/yr/yr (empirical history); practical_ceiling=0.5 Mt (5x baseline or 0.5 Mt greenfield); LEAP team to verify Variable name + Units match RAS schema (may be 'Mt/yr' or 'PJ/yr' depending on biofuel accounting unit); source-of-truth: Bioenergy/Analysis/refinery_capacity_panel.csv; output_fuel=Ethanol",bioenergy_leap_input.csv,refining_capacity,Medium-High
Laos,Transformation\Bioethanol Production\Processes\Cassava,Maximum Capacity,"Interp(2025, 0.1, 2030, 0.35, 2035, 0.5, 2040, 0.5, 2045, 0.5, 2050, 0.5, 2055, 0.5, 2060, 0.5)",Million Tonnes/yr,Ethanol,"USDA FAS GAIN Biofuels Annuals 2024 (per-country); national association registers (APROBI ID, MBA MY, DEDE TH, PCA PH, Petrolimex VN)","[2026-05-05 §13.3 LEAP-team handoff] Maximum Capacity variable retired on this Process branch in LEAP v0.36 (live COM probe confirms Variable=None). Original intent: refinery-fleet schedule. Likely v0.36 target: Exogenous Capacity (locked-in fleet) or Endogenous Capacity + ceiling (optimizer-picked, capped) — LEAP team to decide. Source unit `Million Tonnes/yr` of biofuel; existing v0.36 Exogenous Capacity rows on these branches use Interp(year, million_litres) * 10^6 * ConvFuelUnits(liter, gj, <fuel>); to splice with that style, multiply Mt by 1136 (biodiesel) or 1267 (ethanol) to convert tonnes to litres. ORIGINAL NOTE: baseline_2023=0.0 Mt/yr; max_addition_rate=0.05 Mt/yr/yr (empirical history); practical_ceiling=0.5 Mt (5x baseline or 0.5 Mt greenfield); LEAP team to verify Variable name + Units match RAS schema (may be 'Mt/yr' or 'PJ/yr' depending on biofuel accounting unit); source-of-truth: Bioenergy/Analysis/refinery_capacity_panel.csv; output_fuel=Ethanol",bioenergy_leap_input.csv,refining_capacity,Low
Malaysia,Transformation\Bioethanol Production\Processes\Cassava,Maximum Capacity,"Interp(2025, 0.0, 2030, 0.0, 2035, 0.0, 2040, 0.0, 2045, 0.0, 2050, 0.0, 2055, 0.0, 2060, 0.0)",Million Tonnes/yr,Ethanol,"USDA FAS GAIN Biofuels Annuals 2024 (per-country); national association registers (APROBI ID, MBA MY, DEDE TH, PCA PH, Petrolimex VN)","[2026-05-05 §13.3 LEAP-team handoff] Maximum Capacity variable retired on this Process branch in LEAP v0.36 (live COM probe confirms Variable=None). Original intent: refinery-fleet schedule. Likely v0.36 target: Exogenous Capacity (locked-in fleet) or Endogenous Capacity + ceiling (optimizer-picked, capped) — LEAP team to decide. Source unit `Million Tonnes/yr` of biofuel; existing v0.36 Exogenous Capacity rows on these branches use Interp(year, million_litres) * 10^6 * ConvFuelUnits(liter, gj, <fuel>); to splice with that style, multiply Mt by 1136 (biodiesel) or 1267 (ethanol) to convert tonnes to litres. ORIGINAL NOTE: baseline_2023=0.0 Mt/yr; max_addition_rate=0.0 Mt/yr/yr (empirical history); practical_ceiling=0.0 Mt (5x baseline or 0.5 Mt greenfield); LEAP team to verify Variable name + Units match RAS schema (may be 'Mt/yr' or 'PJ/yr' depending on biofuel accounting unit); source-of-truth: Bioenergy/Analysis/refinery_capacity_panel.csv; output_fuel=Ethanol",bioenergy_leap_input.csv,refining_capacity,Low
Myanmar,Transformation\Bioethanol Production\Processes\Cassava,Maximum Capacity,"Interp(2025, 0.1, 2030, 0.35, 2035, 0.5, 2040, 0.5, 2045, 0.5, 2050, 0.5, 2055, 0.5, 2060, 0.5)",Million Tonnes/yr,Ethanol,"USDA FAS GAIN Biofuels Annuals 2024 (per-country); national association registers (APROBI ID, MBA MY, DEDE TH, PCA PH, Petrolimex VN)","[2026-05-05 §13.3 LEAP-team handoff] Maximum Capacity variable retired on this Process branch in LEAP v0.36 (live COM probe confirms Variable=None). Original intent: refinery-fleet schedule. Likely v0.36 target: Exogenous Capacity (locked-in fleet) or Endogenous Capacity + ceiling (optimizer-picked, capped) — LEAP team to decide. Source unit `Million Tonnes/yr` of biofuel; existing v0.36 Exogenous Capacity rows on these branches use Interp(year, million_litres) * 10^6 * ConvFuelUnits(liter, gj, <fuel>); to splice with that style, multiply Mt by 1136 (biodiesel) or 1267 (ethanol) to convert tonnes to litres. ORIGINAL NOTE: baseline_2023=0.0 Mt/yr; max_addition_rate=0.05 Mt/yr/yr (empirical history); practical_ceiling=0.5 Mt (5x baseline or 0.5 Mt greenfield); LEAP team to verify Variable name + Units match RAS schema (may be 'Mt/yr' or 'PJ/yr' depending on biofuel accounting unit); source-of-truth: Bioenergy/Analysis/refinery_capacity_panel.csv; output_fuel=Ethanol",bioenergy_leap_input.csv,refining_capacity,Low
Philippines,Transformation\Bioethanol Production\Processes\Cassava,Maximum Capacity,"Interp(2025, 0.0, 2030, 0.0, 2035, 0.0, 2040, 0.0, 2045, 0.0, 2050, 0.0, 2055, 0.0, 2060, 0.0)",Million Tonnes/yr,Ethanol,"USDA FAS GAIN Biofuels Annuals 2024 (per-country); national association registers (APROBI ID, MBA MY, DEDE TH, PCA PH, Petrolimex VN)","[2026-05-05 §13.3 LEAP-team handoff] Maximum Capacity variable retired on this Process branch in LEAP v0.36 (live COM probe confirms Variable=None). Original intent: refinery-fleet schedule. Likely v0.36 target: Exogenous Capacity (locked-in fleet) or Endogenous Capacity + ceiling (optimizer-picked, capped) — LEAP team to decide. Source unit `Million Tonnes/yr` of biofuel; existing v0.36 Exogenous Capacity rows on these branches use Interp(year, million_litres) * 10^6 * ConvFuelUnits(liter, gj, <fuel>); to splice with that style, multiply Mt by 1136 (biodiesel) or 1267 (ethanol) to convert tonnes to litres. ORIGINAL NOTE: baseline_2023=0.0 Mt/yr; max_addition_rate=0.0 Mt/yr/yr (empirical history); practical_ceiling=0.0 Mt (5x baseline or 0.5 Mt greenfield); LEAP team to verify Variable name + Units match RAS schema (may be 'Mt/yr' or 'PJ/yr' depending on biofuel accounting unit); source-of-truth: Bioenergy/Analysis/refinery_capacity_panel.csv; output_fuel=Ethanol",bioenergy_leap_input.csv,refining_capacity,Low
Singapore,Transformation\Bioethanol Production\Processes\Cassava,Maximum Capacity,"Interp(2025, 0.0, 2030, 0.0, 2035, 0.0, 2040, 0.0, 2045, 0.0, 2050, 0.0, 2055, 0.0, 2060, 0.0)",Million Tonnes/yr,Ethanol,"USDA FAS GAIN Biofuels Annuals 2024 (per-country); national association registers (APROBI ID, MBA MY, DEDE TH, PCA PH, Petrolimex VN)","[2026-05-05 §13.3 LEAP-team handoff] Maximum Capacity variable retired on this Process branch in LEAP v0.36 (live COM probe confirms Variable=None). Original intent: refinery-fleet schedule. Likely v0.36 target: Exogenous Capacity (locked-in fleet) or Endogenous Capacity + ceiling (optimizer-picked, capped) — LEAP team to decide. Source unit `Million Tonnes/yr` of biofuel; existing v0.36 Exogenous Capacity rows on these branches use Interp(year, million_litres) * 10^6 * ConvFuelUnits(liter, gj, <fuel>); to splice with that style, multiply Mt by 1136 (biodiesel) or 1267 (ethanol) to convert tonnes to litres. ORIGINAL NOTE: baseline_2023=0.0 Mt/yr; max_addition_rate=0.0 Mt/yr/yr (empirical history); practical_ceiling=0.0 Mt (5x baseline or 0.5 Mt greenfield); LEAP team to verify Variable name + Units match RAS schema (may be 'Mt/yr' or 'PJ/yr' depending on biofuel accounting unit); source-of-truth: Bioenergy/Analysis/refinery_capacity_panel.csv; output_fuel=Ethanol",bioenergy_leap_input.csv,refining_capacity,Low
Thailand,Transformation\Bioethanol Production\Processes\Cassava,Maximum Capacity,"Interp(2025, 1.2, 2030, 1.7, 2035, 2.2, 2040, 2.7, 2045, 3.2, 2050, 3.7, 2055, 4.2, 2060, 4.7)",Million Tonnes/yr,Ethanol,"USDA FAS GAIN Biofuels Annuals 2024 (per-country); national association registers (APROBI ID, MBA MY, DEDE TH, PCA PH, Petrolimex VN)","[2026-05-05 §13.3 LEAP-team handoff] Maximum Capacity variable retired on this Process branch in LEAP v0.36 (live COM probe confirms Variable=None). Original intent: refinery-fleet schedule. Likely v0.36 target: Exogenous Capacity (locked-in fleet) or Endogenous Capacity + ceiling (optimizer-picked, capped) — LEAP team to decide. Source unit `Million Tonnes/yr` of biofuel; existing v0.36 Exogenous Capacity rows on these branches use Interp(year, million_litres) * 10^6 * ConvFuelUnits(liter, gj, <fuel>); to splice with that style, multiply Mt by 1136 (biodiesel) or 1267 (ethanol) to convert tonnes to litres. ORIGINAL NOTE: baseline_2023=1.0 Mt/yr; max_addition_rate=0.1 Mt/yr/yr (empirical history); practical_ceiling=5.0 Mt (5x baseline or 0.5 Mt greenfield); LEAP team to verify Variable name + Units match RAS schema (may be 'Mt/yr' or 'PJ/yr' depending on biofuel accounting unit); source-of-truth: Bioenergy/Analysis/refinery_capacity_panel.csv; output_fuel=Ethanol",bioenergy_leap_input.csv,refining_capacity,Medium-High
Vietnam,Transformation\Bioethanol Production\Processes\Cassava,Maximum Capacity,"Interp(2025, 0.6, 2030, 1.1, 2035, 1.6, 2040, 2.0, 2045, 2.0, 2050, 2.0, 2055, 2.0, 2060, 2.0)",Million Tonnes/yr,Ethanol,"USDA FAS GAIN Biofuels Annuals 2024 (per-country); national association registers (APROBI ID, MBA MY, DEDE TH, PCA PH, Petrolimex VN)","[2026-05-05 §13.3 LEAP-team handoff] Maximum Capacity variable retired on this Process branch in LEAP v0.36 (live COM probe confirms Variable=None). Original intent: refinery-fleet schedule. Likely v0.36 target: Exogenous Capacity (locked-in fleet) or Endogenous Capacity + ceiling (optimizer-picked, capped) — LEAP team to decide. Source unit `Million Tonnes/yr` of biofuel; existing v0.36 Exogenous Capacity rows on these branches use Interp(year, million_litres) * 10^6 * ConvFuelUnits(liter, gj, <fuel>); to splice with that style, multiply Mt by 1136 (biodiesel) or 1267 (ethanol) to convert tonnes to litres. ORIGINAL NOTE: baseline_2023=0.4 Mt/yr; max_addition_rate=0.1 Mt/yr/yr (empirical history); practical_ceiling=2.0 Mt (5x baseline or 0.5 Mt greenfield); LEAP team to verify Variable name + Units match RAS schema (may be 'Mt/yr' or 'PJ/yr' depending on biofuel accounting unit); source-of-truth: Bioenergy/Analysis/refinery_capacity_panel.csv; output_fuel=Ethanol",bioenergy_leap_input.csv,refining_capacity,Medium-High
Brunei,Transformation\Bioethanol Production\Processes\Corn Ethanol,Maximum Capacity,"Interp(2025, 0.0, 2030, 0.0, 2035, 0.0, 2040, 0.0, 2045, 0.0, 2050, 0.0, 2055, 0.0, 2060, 0.0)",Million Tonnes/yr,Ethanol,"USDA FAS GAIN Biofuels Annuals 2024 (per-country); national association registers (APROBI ID, MBA MY, DEDE TH, PCA PH, Petrolimex VN)","[2026-05-05 §13.3 LEAP-team handoff] Maximum Capacity variable retired on this Process branch in LEAP v0.36 (live COM probe confirms Variable=None). Original intent: refinery-fleet schedule. Likely v0.36 target: Exogenous Capacity (locked-in fleet) or Endogenous Capacity + ceiling (optimizer-picked, capped) — LEAP team to decide. Source unit `Million Tonnes/yr` of biofuel; existing v0.36 Exogenous Capacity rows on these branches use Interp(year, million_litres) * 10^6 * ConvFuelUnits(liter, gj, <fuel>); to splice with that style, multiply Mt by 1136 (biodiesel) or 1267 (ethanol) to convert tonnes to litres. ORIGINAL NOTE: baseline_2023=0.0 Mt/yr; max_addition_rate=0.0 Mt/yr/yr (empirical history); practical_ceiling=0.0 Mt (5x baseline or 0.5 Mt greenfield); LEAP team to verify Variable name + Units match RAS schema (may be 'Mt/yr' or 'PJ/yr' depending on biofuel accounting unit); source-of-truth: Bioenergy/Analysis/refinery_capacity_panel.csv; output_fuel=Ethanol",bioenergy_leap_input.csv,refining_capacity,Low
Cambodia,Transformation\Bioethanol Production\Processes\Corn Ethanol,Maximum Capacity,"Interp(2025, 0.0, 2030, 0.0, 2035, 0.0, 2040, 0.0, 2045, 0.0, 2050, 0.0, 2055, 0.0, 2060, 0.0)",Million Tonnes/yr,Ethanol,"USDA FAS GAIN Biofuels Annuals 2024 (per-country); national association registers (APROBI ID, MBA MY, DEDE TH, PCA PH, Petrolimex VN)","[2026-05-05 §13.3 LEAP-team handoff] Maximum Capacity variable retired on this Process branch in LEAP v0.36 (live COM probe confirms Variable=None). Original intent: refinery-fleet schedule. Likely v0.36 target: Exogenous Capacity (locked-in fleet) or Endogenous Capacity + ceiling (optimizer-picked, capped) — LEAP team to decide. Source unit `Million Tonnes/yr` of biofuel; existing v0.36 Exogenous Capacity rows on these branches use Interp(year, million_litres) * 10^6 * ConvFuelUnits(liter, gj, <fuel>); to splice with that style, multiply Mt by 1136 (biodiesel) or 1267 (ethanol) to convert tonnes to litres. ORIGINAL NOTE: baseline_2023=0.0 Mt/yr; max_addition_rate=0.0 Mt/yr/yr (empirical history); practical_ceiling=0.0 Mt (5x baseline or 0.5 Mt greenfield); LEAP team to verify Variable name + Units match RAS schema (may be 'Mt/yr' or 'PJ/yr' depending on biofuel accounting unit); source-of-truth: Bioenergy/Analysis/refinery_capacity_panel.csv; output_fuel=Ethanol",bioenergy_leap_input.csv,refining_capacity,Low
Indonesia,Transformation\Bioethanol Production\Processes\Corn Ethanol,Maximum Capacity,"Interp(2025, 0.0, 2030, 0.0, 2035, 0.0, 2040, 0.0, 2045, 0.0, 2050, 0.0, 2055, 0.0, 2060, 0.0)",Million Tonnes/yr,Ethanol,"USDA FAS GAIN Biofuels Annuals 2024 (per-country); national association registers (APROBI ID, MBA MY, DEDE TH, PCA PH, Petrolimex VN)","[2026-05-05 §13.3 LEAP-team handoff] Maximum Capacity variable retired on this Process branch in LEAP v0.36 (live COM probe confirms Variable=None). Original intent: refinery-fleet schedule. Likely v0.36 target: Exogenous Capacity (locked-in fleet) or Endogenous Capacity + ceiling (optimizer-picked, capped) — LEAP team to decide. Source unit `Million Tonnes/yr` of biofuel; existing v0.36 Exogenous Capacity rows on these branches use Interp(year, million_litres) * 10^6 * ConvFuelUnits(liter, gj, <fuel>); to splice with that style, multiply Mt by 1136 (biodiesel) or 1267 (ethanol) to convert tonnes to litres. ORIGINAL NOTE: baseline_2023=0.0 Mt/yr; max_addition_rate=0.0 Mt/yr/yr (empirical history); practical_ceiling=0.0 Mt (5x baseline or 0.5 Mt greenfield); LEAP team to verify Variable name + Units match RAS schema (may be 'Mt/yr' or 'PJ/yr' depending on biofuel accounting unit); source-of-truth: Bioenergy/Analysis/refinery_capacity_panel.csv; output_fuel=Ethanol",bioenergy_leap_input.csv,refining_capacity,Low
Laos,Transformation\Bioethanol Production\Processes\Corn Ethanol,Maximum Capacity,"Interp(2025, 0.0, 2030, 0.0, 2035, 0.0, 2040, 0.0, 2045, 0.0, 2050, 0.0, 2055, 0.0, 2060, 0.0)",Million Tonnes/yr,Ethanol,"USDA FAS GAIN Biofuels Annuals 2024 (per-country); national association registers (APROBI ID, MBA MY, DEDE TH, PCA PH, Petrolimex VN)","[2026-05-05 §13.3 LEAP-team handoff] Maximum Capacity variable retired on this Process branch in LEAP v0.36 (live COM probe confirms Variable=None). Original intent: refinery-fleet schedule. Likely v0.36 target: Exogenous Capacity (locked-in fleet) or Endogenous Capacity + ceiling (optimizer-picked, capped) — LEAP team to decide. Source unit `Million Tonnes/yr` of biofuel; existing v0.36 Exogenous Capacity rows on these branches use Interp(year, million_litres) * 10^6 * ConvFuelUnits(liter, gj, <fuel>); to splice with that style, multiply Mt by 1136 (biodiesel) or 1267 (ethanol) to convert tonnes to litres. ORIGINAL NOTE: baseline_2023=0.0 Mt/yr; max_addition_rate=0.0 Mt/yr/yr (empirical history); practical_ceiling=0.0 Mt (5x baseline or 0.5 Mt greenfield); LEAP team to verify Variable name + Units match RAS schema (may be 'Mt/yr' or 'PJ/yr' depending on biofuel accounting unit); source-of-truth: Bioenergy/Analysis/refinery_capacity_panel.csv; output_fuel=Ethanol",bioenergy_leap_input.csv,refining_capacity,Low
Malaysia,Transformation\Bioethanol Production\Processes\Corn Ethanol,Maximum Capacity,"Interp(2025, 0.0, 2030, 0.0, 2035, 0.0, 2040, 0.0, 2045, 0.0, 2050, 0.0, 2055, 0.0, 2060, 0.0)",Million Tonnes/yr,Ethanol,"USDA FAS GAIN Biofuels Annuals 2024 (per-country); national association registers (APROBI ID, MBA MY, DEDE TH, PCA PH, Petrolimex VN)","[2026-05-05 §13.3 LEAP-team handoff] Maximum Capacity variable retired on this Process branch in LEAP v0.36 (live COM probe confirms Variable=None). Original intent: refinery-fleet schedule. Likely v0.36 target: Exogenous Capacity (locked-in fleet) or Endogenous Capacity + ceiling (optimizer-picked, capped) — LEAP team to decide. Source unit `Million Tonnes/yr` of biofuel; existing v0.36 Exogenous Capacity rows on these branches use Interp(year, million_litres) * 10^6 * ConvFuelUnits(liter, gj, <fuel>); to splice with that style, multiply Mt by 1136 (biodiesel) or 1267 (ethanol) to convert tonnes to litres. ORIGINAL NOTE: baseline_2023=0.0 Mt/yr; max_addition_rate=0.0 Mt/yr/yr (empirical history); practical_ceiling=0.0 Mt (5x baseline or 0.5 Mt greenfield); LEAP team to verify Variable name + Units match RAS schema (may be 'Mt/yr' or 'PJ/yr' depending on biofuel accounting unit); source-of-truth: Bioenergy/Analysis/refinery_capacity_panel.csv; output_fuel=Ethanol",bioenergy_leap_input.csv,refining_capacity,Low
Myanmar,Transformation\Bioethanol Production\Processes\Corn Ethanol,Maximum Capacity,"Interp(2025, 0.0, 2030, 0.0, 2035, 0.0, 2040, 0.0, 2045, 0.0, 2050, 0.0, 2055, 0.0, 2060, 0.0)",Million Tonnes/yr,Ethanol,"USDA FAS GAIN Biofuels Annuals 2024 (per-country); national association registers (APROBI ID, MBA MY, DEDE TH, PCA PH, Petrolimex VN)","[2026-05-05 §13.3 LEAP-team handoff] Maximum Capacity variable retired on this Process branch in LEAP v0.36 (live COM probe confirms Variable=None). Original intent: refinery-fleet schedule. Likely v0.36 target: Exogenous Capacity (locked-in fleet) or Endogenous Capacity + ceiling (optimizer-picked, capped) — LEAP team to decide. Source unit `Million Tonnes/yr` of biofuel; existing v0.36 Exogenous Capacity rows on these branches use Interp(year, million_litres) * 10^6 * ConvFuelUnits(liter, gj, <fuel>); to splice with that style, multiply Mt by 1136 (biodiesel) or 1267 (ethanol) to convert tonnes to litres. ORIGINAL NOTE: baseline_2023=0.0 Mt/yr; max_addition_rate=0.0 Mt/yr/yr (empirical history); practical_ceiling=0.0 Mt (5x baseline or 0.5 Mt greenfield); LEAP team to verify Variable name + Units match RAS schema (may be 'Mt/yr' or 'PJ/yr' depending on biofuel accounting unit); source-of-truth: Bioenergy/Analysis/refinery_capacity_panel.csv; output_fuel=Ethanol",bioenergy_leap_input.csv,refining_capacity,Low
Philippines,Transformation\Bioethanol Production\Processes\Corn Ethanol,Maximum Capacity,"Interp(2025, 0.0, 2030, 0.0, 2035, 0.0, 2040, 0.0, 2045, 0.0, 2050, 0.0, 2055, 0.0, 2060, 0.0)",Million Tonnes/yr,Ethanol,"USDA FAS GAIN Biofuels Annuals 2024 (per-country); national association registers (APROBI ID, MBA MY, DEDE TH, PCA PH, Petrolimex VN)","[2026-05-05 §13.3 LEAP-team handoff] Maximum Capacity variable retired on this Process branch in LEAP v0.36 (live COM probe confirms Variable=None). Original intent: refinery-fleet schedule. Likely v0.36 target: Exogenous Capacity (locked-in fleet) or Endogenous Capacity + ceiling (optimizer-picked, capped) — LEAP team to decide. Source unit `Million Tonnes/yr` of biofuel; existing v0.36 Exogenous Capacity rows on these branches use Interp(year, million_litres) * 10^6 * ConvFuelUnits(liter, gj, <fuel>); to splice with that style, multiply Mt by 1136 (biodiesel) or 1267 (ethanol) to convert tonnes to litres. ORIGINAL NOTE: baseline_2023=0.0 Mt/yr; max_addition_rate=0.0 Mt/yr/yr (empirical history); practical_ceiling=0.0 Mt (5x baseline or 0.5 Mt greenfield); LEAP team to verify Variable name + Units match RAS schema (may be 'Mt/yr' or 'PJ/yr' depending on biofuel accounting unit); source-of-truth: Bioenergy/Analysis/refinery_capacity_panel.csv; output_fuel=Ethanol",bioenergy_leap_input.csv,refining_capacity,Low
Singapore,Transformation\Bioethanol Production\Processes\Corn Ethanol,Maximum Capacity,"Interp(2025, 0.0, 2030, 0.0, 2035, 0.0, 2040, 0.0, 2045, 0.0, 2050, 0.0, 2055, 0.0, 2060, 0.0)",Million Tonnes/yr,Ethanol,"USDA FAS GAIN Biofuels Annuals 2024 (per-country); national association registers (APROBI ID, MBA MY, DEDE TH, PCA PH, Petrolimex VN)","[2026-05-05 §13.3 LEAP-team handoff] Maximum Capacity variable retired on this Process branch in LEAP v0.36 (live COM probe confirms Variable=None). Original intent: refinery-fleet schedule. Likely v0.36 target: Exogenous Capacity (locked-in fleet) or Endogenous Capacity + ceiling (optimizer-picked, capped) — LEAP team to decide. Source unit `Million Tonnes/yr` of biofuel; existing v0.36 Exogenous Capacity rows on these branches use Interp(year, million_litres) * 10^6 * ConvFuelUnits(liter, gj, <fuel>); to splice with that style, multiply Mt by 1136 (biodiesel) or 1267 (ethanol) to convert tonnes to litres. ORIGINAL NOTE: baseline_2023=0.0 Mt/yr; max_addition_rate=0.0 Mt/yr/yr (empirical history); practical_ceiling=0.0 Mt (5x baseline or 0.5 Mt greenfield); LEAP team to verify Variable name + Units match RAS schema (may be 'Mt/yr' or 'PJ/yr' depending on biofuel accounting unit); source-of-truth: Bioenergy/Analysis/refinery_capacity_panel.csv; output_fuel=Ethanol",bioenergy_leap_input.csv,refining_capacity,Low
Thailand,Transformation\Bioethanol Production\Processes\Corn Ethanol,Maximum Capacity,"Interp(2025, 0.0, 2030, 0.0, 2035, 0.0, 2040, 0.0, 2045, 0.0, 2050, 0.0, 2055, 0.0, 2060, 0.0)",Million Tonnes/yr,Ethanol,"USDA FAS GAIN Biofuels Annuals 2024 (per-country); national association registers (APROBI ID, MBA MY, DEDE TH, PCA PH, Petrolimex VN)","[2026-05-05 §13.3 LEAP-team handoff] Maximum Capacity variable retired on this Process branch in LEAP v0.36 (live COM probe confirms Variable=None). Original intent: refinery-fleet schedule. Likely v0.36 target: Exogenous Capacity (locked-in fleet) or Endogenous Capacity + ceiling (optimizer-picked, capped) — LEAP team to decide. Source unit `Million Tonnes/yr` of biofuel; existing v0.36 Exogenous Capacity rows on these branches use Interp(year, million_litres) * 10^6 * ConvFuelUnits(liter, gj, <fuel>); to splice with that style, multiply Mt by 1136 (biodiesel) or 1267 (ethanol) to convert tonnes to litres. ORIGINAL NOTE: baseline_2023=0.0 Mt/yr; max_addition_rate=0.0 Mt/yr/yr (empirical history); practical_ceiling=0.0 Mt (5x baseline or 0.5 Mt greenfield); LEAP team to verify Variable name + Units match RAS schema (may be 'Mt/yr' or 'PJ/yr' depending on biofuel accounting unit); source-of-truth: Bioenergy/Analysis/refinery_capacity_panel.csv; output_fuel=Ethanol",bioenergy_leap_input.csv,refining_capacity,Low
