Country,Year,Scenario,Tech,share_percent,source
Brunei Darussalam,2040,BAS,Halogen,4.0,projected
Brunei Darussalam,2040,BAS,LED,72.0,projected
Brunei Darussalam,2041,BAS,Incandescent,4.0,projected
Brunei Darussalam,2041,BAS,CFL,10.0,projected
Brunei Darussalam,2041,BAS,Fluorescent,10.0,projected
Brunei Darussalam,2041,BAS,Halogen,4.0,projected
Brunei Darussalam,2041,BAS,LED,72.0,projected
Brunei Darussalam,2042,BAS,Incandescent,4.0,projected
Brunei Darussalam,2042,BAS,CFL,10.0,projected
Brunei Darussalam,2042,BAS,Fluorescent,10.0,projected
Brunei Darussalam,2042,BAS,Halogen,4.0,projected
Brunei Darussalam,2042,BAS,LED,72.0,projected
Brunei Darussalam,2043,BAS,Incandescent,4.0,projected
Brunei Darussalam,2043,BAS,CFL,10.0,projected
Brunei Darussalam,2043,BAS,Fluorescent,10.0,projected
Brunei Darussalam,2043,BAS,Halogen,4.0,projected
Brunei Darussalam,2043,BAS,LED,72.0,projected
Brunei Darussalam,2044,BAS,Incandescent,4.0,projected
Brunei Darussalam,2044,BAS,CFL,10.0,projected
Brunei Darussalam,2044,BAS,Fluorescent,10.0,projected
Brunei Darussalam,2044,BAS,Halogen,4.0,projected
Brunei Darussalam,2044,BAS,LED,72.0,projected
Brunei Darussalam,2045,BAS,Incandescent,4.0,projected
Brunei Darussalam,2045,BAS,CFL,10.0,projected
Brunei Darussalam,2045,BAS,Fluorescent,10.0,projected
Brunei Darussalam,2045,BAS,Halogen,4.0,projected
Brunei Darussalam,2045,BAS,LED,72.0,projected
Brunei Darussalam,2046,BAS,Incandescent,4.0,projected
Brunei Darussalam,2046,BAS,CFL,10.0,projected
Brunei Darussalam,2046,BAS,Fluorescent,10.0,projected
Brunei Darussalam,2046,BAS,Halogen,4.0,projected
Brunei Darussalam,2046,BAS,LED,72.0,projected
Brunei Darussalam,2047,BAS,Incandescent,4.0,projected
Brunei Darussalam,2047,BAS,CFL,10.0,projected
Brunei Darussalam,2047,BAS,Fluorescent,10.0,projected
Brunei Darussalam,2047,BAS,Halogen,4.0,projected
Brunei Darussalam,2047,BAS,LED,72.0,projected
Brunei Darussalam,2048,BAS,Incandescent,4.0,projected
Brunei Darussalam,2048,BAS,CFL,10.0,projected
Brunei Darussalam,2048,BAS,Fluorescent,10.0,projected
Brunei Darussalam,2048,BAS,Halogen,4.0,projected
Brunei Darussalam,2048,BAS,LED,72.0,projected
Brunei Darussalam,2049,BAS,Incandescent,4.0,projected
Brunei Darussalam,2049,BAS,CFL,10.0,projected
Brunei Darussalam,2049,BAS,Fluorescent,10.0,projected
Brunei Darussalam,2049,BAS,Halogen,4.0,projected
Brunei Darussalam,2049,BAS,LED,72.0,projected
Brunei Darussalam,2050,BAS,Incandescent,4.0,projected
Brunei Darussalam,2050,BAS,CFL,10.0,projected
Brunei Darussalam,2050,BAS,Fluorescent,10.0,projected
Brunei Darussalam,2050,BAS,Halogen,4.0,projected
Brunei Darussalam,2050,BAS,LED,72.0,projected
Brunei Darussalam,2051,BAS,Incandescent,4.0,projected
Brunei Darussalam,2051,BAS,CFL,10.0,projected
Brunei Darussalam,2051,BAS,Fluorescent,10.0,projected
Brunei Darussalam,2051,BAS,Halogen,4.0,projected
Brunei Darussalam,2051,BAS,LED,72.0,projected
Brunei Darussalam,2052,BAS,Incandescent,4.0,projected
Brunei Darussalam,2052,BAS,CFL,10.0,projected
Brunei Darussalam,2052,BAS,Fluorescent,10.0,projected
Brunei Darussalam,2052,BAS,Halogen,4.0,projected
Brunei Darussalam,2052,BAS,LED,72.0,projected
Brunei Darussalam,2053,BAS,Incandescent,4.0,projected
Brunei Darussalam,2053,BAS,CFL,10.0,projected
Brunei Darussalam,2053,BAS,Fluorescent,10.0,projected
Brunei Darussalam,2053,BAS,Halogen,4.0,projected
Brunei Darussalam,2053,BAS,LED,72.0,projected
Brunei Darussalam,2054,BAS,Incandescent,4.0,projected
Brunei Darussalam,2054,BAS,CFL,10.0,projected
Brunei Darussalam,2054,BAS,Fluorescent,10.0,projected
Brunei Darussalam,2054,BAS,Halogen,4.0,projected
Brunei Darussalam,2054,BAS,LED,72.0,projected
Brunei Darussalam,2055,BAS,Incandescent,4.0,projected
Brunei Darussalam,2055,BAS,CFL,10.0,projected
Brunei Darussalam,2055,BAS,Fluorescent,10.0,projected
Brunei Darussalam,2055,BAS,Halogen,4.0,projected
Brunei Darussalam,2055,BAS,LED,72.0,projected
Brunei Darussalam,2056,BAS,Incandescent,4.0,projected
Brunei Darussalam,2056,BAS,CFL,10.0,projected
Brunei Darussalam,2056,BAS,Fluorescent,10.0,projected
Brunei Darussalam,2056,BAS,Halogen,4.0,projected
Brunei Darussalam,2056,BAS,LED,72.0,projected
Brunei Darussalam,2057,BAS,Incandescent,4.0,projected
Brunei Darussalam,2057,BAS,CFL,10.0,projected
Brunei Darussalam,2057,BAS,Fluorescent,10.0,projected
Brunei Darussalam,2057,BAS,Halogen,4.0,projected
Brunei Darussalam,2057,BAS,LED,72.0,projected
Brunei Darussalam,2058,BAS,Incandescent,4.0,projected
Brunei Darussalam,2058,BAS,CFL,10.0,projected
Brunei Darussalam,2058,BAS,Fluorescent,10.0,projected
Brunei Darussalam,2058,BAS,Halogen,4.0,projected
Brunei Darussalam,2058,BAS,LED,72.0,projected
Brunei Darussalam,2059,BAS,Incandescent,4.0,projected
Brunei Darussalam,2059,BAS,CFL,10.0,projected
Brunei Darussalam,2059,BAS,Fluorescent,10.0,projected
Brunei Darussalam,2059,BAS,Halogen,4.0,projected
Brunei Darussalam,2059,BAS,LED,72.0,projected
Brunei Darussalam,2060,BAS,Incandescent,4.0,projected
Brunei Darussalam,2060,BAS,CFL,10.0,projected
Brunei Darussalam,2060,BAS,Fluorescent,10.0,projected
Brunei Darussalam,2060,BAS,Halogen,4.0,projected
Brunei Darussalam,2060,BAS,LED,72.0,projected
Brunei Darussalam,2025,ATS,Incandescent,4.0,projected
Brunei Darussalam,2025,ATS,CFL,10.0,projected
Brunei Darussalam,2025,ATS,Fluorescent,10.0,projected
Brunei Darussalam,2025,ATS,Halogen,4.0,projected
Brunei Darussalam,2025,ATS,LED,72.0,projected
Brunei Darussalam,2026,ATS,Incandescent,3.8557,projected
Brunei Darussalam,2026,ATS,CFL,9.6391,projected
Brunei Darussalam,2026,ATS,Fluorescent,9.6391,projected
Brunei Darussalam,2026,ATS,Halogen,3.8557,projected
Brunei Darussalam,2026,ATS,LED,73.0104,projected
Brunei Darussalam,2027,ATS,Incandescent,3.675,projected
Brunei Darussalam,2027,ATS,CFL,9.1875,projected
Brunei Darussalam,2027,ATS,Fluorescent,9.1875,projected
Brunei Darussalam,2027,ATS,Halogen,3.675,projected
Brunei Darussalam,2027,ATS,LED,74.2751,projected
Brunei Darussalam,2028,ATS,Incandescent,3.4537,projected
Brunei Darussalam,2028,ATS,CFL,8.6344,projected
Brunei Darussalam,2028,ATS,Fluorescent,8.6344,projected
Brunei Darussalam,2028,ATS,Halogen,3.4537,projected
Brunei Darussalam,2028,ATS,LED,75.8238,projected
Brunei Darussalam,2029,ATS,Incandescent,3.19,projected
Brunei Darussalam,2029,ATS,CFL,7.9751,projected
Brunei Darussalam,2029,ATS,Fluorescent,7.9751,projected
Brunei Darussalam,2029,ATS,Halogen,3.19,projected
Brunei Darussalam,2029,ATS,LED,77.6697,projected
Brunei Darussalam,2030,ATS,Incandescent,2.8856,projected
Brunei Darussalam,2030,ATS,CFL,7.214,projected
Brunei Darussalam,2030,ATS,Fluorescent,7.214,projected
Brunei Darussalam,2030,ATS,Halogen,2.8856,projected
Brunei Darussalam,2030,ATS,LED,79.8008,projected
Brunei Darussalam,2031,ATS,Incandescent,2.5468,projected
Brunei Darussalam,2031,ATS,CFL,6.3671,projected
Brunei Darussalam,2031,ATS,Fluorescent,6.3671,projected
Brunei Darussalam,2031,ATS,Halogen,2.5468,projected
Brunei Darussalam,2031,ATS,LED,82.1721,projected
Brunei Darussalam,2032,ATS,Incandescent,2.185,projected
Brunei Darussalam,2032,ATS,CFL,5.4625,projected
Brunei Darussalam,2032,ATS,Fluorescent,5.4625,projected
Brunei Darussalam,2032,ATS,Halogen,2.185,projected
Brunei Darussalam,2032,ATS,LED,84.705,projected
Brunei Darussalam,2033,ATS,Incandescent,1.815,projected
Brunei Darussalam,2033,ATS,CFL,4.5375,projected
Brunei Darussalam,2033,ATS,Fluorescent,4.5375,projected
Brunei Darussalam,2033,ATS,Halogen,1.815,projected
Brunei Darussalam,2033,ATS,LED,87.295,projected
Brunei Darussalam,2034,ATS,Incandescent,1.4532,projected
Brunei Darussalam,2034,ATS,CFL,3.6329,projected
Brunei Darussalam,2034,ATS,Fluorescent,3.6329,projected
Brunei Darussalam,2034,ATS,Halogen,1.4532,projected
Brunei Darussalam,2034,ATS,LED,89.8279,projected
Brunei Darussalam,2035,ATS,Incandescent,1.1144,projected
Brunei Darussalam,2035,ATS,CFL,2.786,projected
Brunei Darussalam,2035,ATS,Fluorescent,2.786,projected
Brunei Darussalam,2035,ATS,Halogen,1.1144,projected
Brunei Darussalam,2035,ATS,LED,92.1992,projected
Brunei Darussalam,2036,ATS,Incandescent,0.81,projected
Brunei Darussalam,2036,ATS,CFL,2.0249,projected
Brunei Darussalam,2036,ATS,Fluorescent,2.0249,projected
Brunei Darussalam,2036,ATS,Halogen,0.81,projected
Brunei Darussalam,2036,ATS,LED,94.3303,projected
Brunei Darussalam,2037,ATS,Incandescent,0.5463,projected
Brunei Darussalam,2037,ATS,CFL,1.3656,projected
Brunei Darussalam,2037,ATS,Fluorescent,1.3656,projected
Brunei Darussalam,2037,ATS,Halogen,0.5463,projected
Brunei Darussalam,2037,ATS,LED,96.1762,projected
Brunei Darussalam,2038,ATS,Incandescent,0.325,projected
Brunei Darussalam,2038,ATS,CFL,0.8125,projected
Brunei Darussalam,2038,ATS,Fluorescent,0.8125,projected
Brunei Darussalam,2038,ATS,Halogen,0.325,projected
Brunei Darussalam,2038,ATS,LED,97.7249,projected
Brunei Darussalam,2039,ATS,Incandescent,0.1443,projected
Brunei Darussalam,2039,ATS,CFL,0.3609,projected
Brunei Darussalam,2039,ATS,Fluorescent,0.3609,projected
Brunei Darussalam,2039,ATS,Halogen,0.1443,projected
Brunei Darussalam,2039,ATS,LED,98.9896,projected
Brunei Darussalam,2040,ATS,Incandescent,0.0,projected
Brunei Darussalam,2040,ATS,CFL,0.0,projected
Brunei Darussalam,2040,ATS,Fluorescent,0.0,projected
Brunei Darussalam,2040,ATS,Halogen,0.0,projected
Brunei Darussalam,2040,ATS,LED,100.0,projected
Brunei Darussalam,2041,ATS,Incandescent,0.0,projected
Brunei Darussalam,2041,ATS,CFL,0.0,projected
Brunei Darussalam,2041,ATS,Fluorescent,0.0,projected
Brunei Darussalam,2041,ATS,Halogen,0.0,projected
Brunei Darussalam,2041,ATS,LED,100.0,projected
Brunei Darussalam,2042,ATS,Incandescent,0.0,projected
Brunei Darussalam,2042,ATS,CFL,0.0,projected
Brunei Darussalam,2042,ATS,Fluorescent,0.0,projected
Brunei Darussalam,2042,ATS,Halogen,0.0,projected
Brunei Darussalam,2042,ATS,LED,100.0,projected
Brunei Darussalam,2043,ATS,Incandescent,0.0,projected
Brunei Darussalam,2043,ATS,CFL,0.0,projected
Brunei Darussalam,2043,ATS,Fluorescent,0.0,projected
Brunei Darussalam,2043,ATS,Halogen,0.0,projected
Brunei Darussalam,2043,ATS,LED,100.0,projected
Brunei Darussalam,2044,ATS,Incandescent,0.0,projected
Brunei Darussalam,2044,ATS,CFL,0.0,projected
Brunei Darussalam,2044,ATS,Fluorescent,0.0,projected
Brunei Darussalam,2044,ATS,Halogen,0.0,projected
Brunei Darussalam,2044,ATS,LED,100.0,projected
Brunei Darussalam,2045,ATS,Incandescent,0.0,projected
Brunei Darussalam,2045,ATS,CFL,0.0,projected
Brunei Darussalam,2045,ATS,Fluorescent,0.0,projected
Brunei Darussalam,2045,ATS,Halogen,0.0,projected
Brunei Darussalam,2045,ATS,LED,100.0,projected
Brunei Darussalam,2046,ATS,Incandescent,0.0,projected
Brunei Darussalam,2046,ATS,CFL,0.0,projected
Brunei Darussalam,2046,ATS,Fluorescent,0.0,projected
Brunei Darussalam,2046,ATS,Halogen,0.0,projected
Brunei Darussalam,2046,ATS,LED,100.0,projected
Brunei Darussalam,2047,ATS,Incandescent,0.0,projected
Brunei Darussalam,2047,ATS,CFL,0.0,projected
Brunei Darussalam,2047,ATS,Fluorescent,0.0,projected
Brunei Darussalam,2047,ATS,Halogen,0.0,projected
Brunei Darussalam,2047,ATS,LED,100.0,projected
Brunei Darussalam,2048,ATS,Incandescent,0.0,projected
Brunei Darussalam,2048,ATS,CFL,0.0,projected
Brunei Darussalam,2048,ATS,Fluorescent,0.0,projected
Brunei Darussalam,2048,ATS,Halogen,0.0,projected
Brunei Darussalam,2048,ATS,LED,100.0,projected
Brunei Darussalam,2049,ATS,Incandescent,0.0,projected
Brunei Darussalam,2049,ATS,CFL,0.0,projected
Brunei Darussalam,2049,ATS,Fluorescent,0.0,projected
Brunei Darussalam,2049,ATS,Halogen,0.0,projected
Brunei Darussalam,2049,ATS,LED,100.0,projected
Brunei Darussalam,2050,ATS,Incandescent,0.0,projected
Brunei Darussalam,2050,ATS,CFL,0.0,projected
Brunei Darussalam,2050,ATS,Fluorescent,0.0,projected
Brunei Darussalam,2050,ATS,Halogen,0.0,projected
Brunei Darussalam,2050,ATS,LED,100.0,projected
Brunei Darussalam,2051,ATS,Incandescent,0.0,projected
Brunei Darussalam,2051,ATS,CFL,0.0,projected
Brunei Darussalam,2051,ATS,Fluorescent,0.0,projected
Brunei Darussalam,2051,ATS,Halogen,0.0,projected
Brunei Darussalam,2051,ATS,LED,100.0,projected
Brunei Darussalam,2052,ATS,Incandescent,0.0,projected
Brunei Darussalam,2052,ATS,CFL,0.0,projected
Brunei Darussalam,2052,ATS,Fluorescent,0.0,projected
Brunei Darussalam,2052,ATS,Halogen,0.0,projected
Brunei Darussalam,2052,ATS,LED,100.0,projected
Brunei Darussalam,2053,ATS,Incandescent,0.0,projected
Brunei Darussalam,2053,ATS,CFL,0.0,projected
Brunei Darussalam,2053,ATS,Fluorescent,0.0,projected
Brunei Darussalam,2053,ATS,Halogen,0.0,projected
Brunei Darussalam,2053,ATS,LED,100.0,projected
Brunei Darussalam,2054,ATS,Incandescent,0.0,projected
Brunei Darussalam,2054,ATS,CFL,0.0,projected
Brunei Darussalam,2054,ATS,Fluorescent,0.0,projected
Brunei Darussalam,2054,ATS,Halogen,0.0,projected
Brunei Darussalam,2054,ATS,LED,100.0,projected
Brunei Darussalam,2055,ATS,Incandescent,0.0,projected
Brunei Darussalam,2055,ATS,CFL,0.0,projected
Brunei Darussalam,2055,ATS,Fluorescent,0.0,projected
Brunei Darussalam,2055,ATS,Halogen,0.0,projected
Brunei Darussalam,2055,ATS,LED,100.0,projected
Brunei Darussalam,2056,ATS,Incandescent,0.0,projected
Brunei Darussalam,2056,ATS,CFL,0.0,projected
Brunei Darussalam,2056,ATS,Fluorescent,0.0,projected
Brunei Darussalam,2056,ATS,Halogen,0.0,projected
Brunei Darussalam,2056,ATS,LED,100.0,projected
Brunei Darussalam,2057,ATS,Incandescent,0.0,projected
Brunei Darussalam,2057,ATS,CFL,0.0,projected
Brunei Darussalam,2057,ATS,Fluorescent,0.0,projected
Brunei Darussalam,2057,ATS,Halogen,0.0,projected
Brunei Darussalam,2057,ATS,LED,100.0,projected
Brunei Darussalam,2058,ATS,Incandescent,0.0,projected
Brunei Darussalam,2058,ATS,CFL,0.0,projected
Brunei Darussalam,2058,ATS,Fluorescent,0.0,projected
Brunei Darussalam,2058,ATS,Halogen,0.0,projected
Brunei Darussalam,2058,ATS,LED,100.0,projected
Brunei Darussalam,2059,ATS,Incandescent,0.0,projected
Brunei Darussalam,2059,ATS,CFL,0.0,projected
Brunei Darussalam,2059,ATS,Fluorescent,0.0,projected
Brunei Darussalam,2059,ATS,Halogen,0.0,projected
Brunei Darussalam,2059,ATS,LED,100.0,projected
Brunei Darussalam,2060,ATS,Incandescent,0.0,projected
Brunei Darussalam,2060,ATS,CFL,0.0,projected
Brunei Darussalam,2060,ATS,Fluorescent,0.0,projected
Brunei Darussalam,2060,ATS,Halogen,0.0,projected
Brunei Darussalam,2060,ATS,LED,100.0,projected
Brunei Darussalam,2025,RAS,Incandescent,4.0,projected
Brunei Darussalam,2025,RAS,CFL,10.0,projected
Brunei Darussalam,2025,RAS,Fluorescent,10.0,projected
Brunei Darussalam,2025,RAS,Halogen,4.0,projected
Brunei Darussalam,2025,RAS,LED,72.0,projected
Brunei Darussalam,2026,RAS,Incandescent,3.7172,projected
Brunei Darussalam,2026,RAS,CFL,9.293,projected
Brunei Darussalam,2026,RAS,Fluorescent,9.293,projected
Brunei Darussalam,2026,RAS,Halogen,3.7172,projected
Brunei Darussalam,2026,RAS,LED,73.9797,projected
Brunei Darussalam,2027,RAS,Incandescent,3.3682,projected
Brunei Darussalam,2027,RAS,CFL,8.4206,projected
Brunei Darussalam,2027,RAS,Fluorescent,8.4206,projected
Brunei Darussalam,2027,RAS,Halogen,3.3682,projected
Brunei Darussalam,2027,RAS,LED,76.4224,projected
Brunei Darussalam,2028,RAS,Incandescent,2.9557,projected
Brunei Darussalam,2028,RAS,CFL,7.3894,projected
Brunei Darussalam,2028,RAS,Fluorescent,7.3894,projected
Brunei Darussalam,2028,RAS,Halogen,2.9557,projected
Brunei Darussalam,2028,RAS,LED,79.3098,projected
Brunei Darussalam,2029,RAS,Incandescent,2.4922,projected
Brunei Darussalam,2029,RAS,CFL,6.2305,projected
Brunei Darussalam,2029,RAS,Fluorescent,6.2305,projected
Brunei Darussalam,2029,RAS,Halogen,2.4922,projected
Brunei Darussalam,2029,RAS,LED,82.5545,projected
Brunei Darussalam,2030,RAS,Incandescent,2.0,projected
Brunei Darussalam,2030,RAS,CFL,5.0,projected
Brunei Darussalam,2030,RAS,Fluorescent,5.0,projected
Brunei Darussalam,2030,RAS,Halogen,2.0,projected
Brunei Darussalam,2030,RAS,LED,86.0,projected
Brunei Darussalam,2031,RAS,Incandescent,1.5078,projected
Brunei Darussalam,2031,RAS,CFL,3.7695,projected
Brunei Darussalam,2031,RAS,Fluorescent,3.7695,projected
Brunei Darussalam,2031,RAS,Halogen,1.5078,projected
Brunei Darussalam,2031,RAS,LED,89.4455,projected
Brunei Darussalam,2032,RAS,Incandescent,1.0443,projected
Brunei Darussalam,2032,RAS,CFL,2.6106,projected
Brunei Darussalam,2032,RAS,Fluorescent,2.6106,projected
Brunei Darussalam,2032,RAS,Halogen,1.0443,projected
Brunei Darussalam,2032,RAS,LED,92.6902,projected
Brunei Darussalam,2033,RAS,Incandescent,0.6318,projected
Brunei Darussalam,2033,RAS,CFL,1.5794,projected
Brunei Darussalam,2033,RAS,Fluorescent,1.5794,projected
Brunei Darussalam,2033,RAS,Halogen,0.6318,projected
Brunei Darussalam,2033,RAS,LED,95.5776,projected
Brunei Darussalam,2034,RAS,Incandescent,0.2828,projected
Brunei Darussalam,2034,RAS,CFL,0.707,projected
Brunei Darussalam,2034,RAS,Fluorescent,0.707,projected
Brunei Darussalam,2034,RAS,Halogen,0.2828,projected
Brunei Darussalam,2034,RAS,LED,98.0203,projected
Brunei Darussalam,2035,RAS,Incandescent,0.0,projected
Brunei Darussalam,2035,RAS,CFL,0.0,projected
Brunei Darussalam,2035,RAS,Fluorescent,0.0,projected
Brunei Darussalam,2035,RAS,Halogen,0.0,projected
Brunei Darussalam,2035,RAS,LED,100.0,projected
Brunei Darussalam,2036,RAS,Incandescent,0.0,projected
Brunei Darussalam,2036,RAS,CFL,0.0,projected
Brunei Darussalam,2036,RAS,Fluorescent,0.0,projected
Brunei Darussalam,2036,RAS,Halogen,0.0,projected
Brunei Darussalam,2036,RAS,LED,100.0,projected
Brunei Darussalam,2037,RAS,Incandescent,0.0,projected
Brunei Darussalam,2037,RAS,CFL,0.0,projected
Brunei Darussalam,2037,RAS,Fluorescent,0.0,projected
Brunei Darussalam,2037,RAS,Halogen,0.0,projected
Brunei Darussalam,2037,RAS,LED,100.0,projected
Brunei Darussalam,2038,RAS,Incandescent,0.0,projected
Brunei Darussalam,2038,RAS,CFL,0.0,projected
Brunei Darussalam,2038,RAS,Fluorescent,0.0,projected
Brunei Darussalam,2038,RAS,Halogen,0.0,projected
Brunei Darussalam,2038,RAS,LED,100.0,projected
Brunei Darussalam,2039,RAS,Incandescent,0.0,projected
Brunei Darussalam,2039,RAS,CFL,0.0,projected
Brunei Darussalam,2039,RAS,Fluorescent,0.0,projected
Brunei Darussalam,2039,RAS,Halogen,0.0,projected
Brunei Darussalam,2039,RAS,LED,100.0,projected
Brunei Darussalam,2040,RAS,Incandescent,0.0,projected
Brunei Darussalam,2040,RAS,CFL,0.0,projected
Brunei Darussalam,2040,RAS,Fluorescent,0.0,projected
Brunei Darussalam,2040,RAS,Halogen,0.0,projected
Brunei Darussalam,2040,RAS,LED,100.0,projected
Brunei Darussalam,2041,RAS,Incandescent,0.0,projected
Brunei Darussalam,2041,RAS,CFL,0.0,projected
Brunei Darussalam,2041,RAS,Fluorescent,0.0,projected
Brunei Darussalam,2041,RAS,Halogen,0.0,projected
Brunei Darussalam,2041,RAS,LED,100.0,projected
Brunei Darussalam,2042,RAS,Incandescent,0.0,projected
Brunei Darussalam,2042,RAS,CFL,0.0,projected
Brunei Darussalam,2042,RAS,Fluorescent,0.0,projected
Brunei Darussalam,2042,RAS,Halogen,0.0,projected
Brunei Darussalam,2042,RAS,LED,100.0,projected
Brunei Darussalam,2043,RAS,Incandescent,0.0,projected
Brunei Darussalam,2043,RAS,CFL,0.0,projected
Brunei Darussalam,2043,RAS,Fluorescent,0.0,projected
Brunei Darussalam,2043,RAS,Halogen,0.0,projected
Brunei Darussalam,2043,RAS,LED,100.0,projected
Brunei Darussalam,2044,RAS,Incandescent,0.0,projected
Brunei Darussalam,2044,RAS,CFL,0.0,projected
Brunei Darussalam,2044,RAS,Fluorescent,0.0,projected
Brunei Darussalam,2044,RAS,Halogen,0.0,projected
Brunei Darussalam,2044,RAS,LED,100.0,projected
Brunei Darussalam,2045,RAS,Incandescent,0.0,projected
Brunei Darussalam,2045,RAS,CFL,0.0,projected
Brunei Darussalam,2045,RAS,Fluorescent,0.0,projected
Brunei Darussalam,2045,RAS,Halogen,0.0,projected
Brunei Darussalam,2045,RAS,LED,100.0,projected
Brunei Darussalam,2046,RAS,Incandescent,0.0,projected
Brunei Darussalam,2046,RAS,CFL,0.0,projected
Brunei Darussalam,2046,RAS,Fluorescent,0.0,projected
Brunei Darussalam,2046,RAS,Halogen,0.0,projected
Brunei Darussalam,2046,RAS,LED,100.0,projected
Brunei Darussalam,2047,RAS,Incandescent,0.0,projected
Brunei Darussalam,2047,RAS,CFL,0.0,projected
Brunei Darussalam,2047,RAS,Fluorescent,0.0,projected
Brunei Darussalam,2047,RAS,Halogen,0.0,projected
Brunei Darussalam,2047,RAS,LED,100.0,projected
Brunei Darussalam,2048,RAS,Incandescent,0.0,projected
Brunei Darussalam,2048,RAS,CFL,0.0,projected
Brunei Darussalam,2048,RAS,Fluorescent,0.0,projected
