Country,vehicle_type,mileage_km_per_year,confidence,observed_year,source,source_url,leap_default_km_per_year
Lao PDR,LDV,14276.0,socioecon_predicted,2020,"socioecon-fit v2 pooled (n_train=13, R2=0.07, LOO_RMSE_log=0.244); train countries: China,France,Germany,India,Indonesia,Japan,Malaysia,New Zealand,Philippines,Singapore,United Kingdom,United States,Viet Nam",Transport/Analysis/mileage_sanity_socioecon_fit.py,32560
Lao PDR,Truck,35564.0,hdv_socioecon_predicted,2020,"hdv-socioecon-fit (n_train=9 = 4 ASEAN + 5 peers; R2=0.40, LOO_RMSE_log=0.922)",Transport/Analysis/mileage_sanity_hdv_fit.py,24140
Malaysia,2W,16081.0,source_confirmed_external,2020,MIROS Nurulhuda et al. 2020 Vehicle Kilometer Travelled by Online Survey IJARBSS 10(10):1131-1136 (n=63),https://hrmars.com/papers_submitted/8274/vehicle-kilometer-travelled-by-online-survey.pdf,28680
Malaysia,Bus,18644.0,hdv_socioecon_predicted,2020,"hdv-socioecon-fit (n_train=8 = 2 ASEAN + 6 peers; R2=0.15, LOO_RMSE_log=0.552)",Transport/Analysis/mileage_sanity_hdv_fit.py,32190
Malaysia,LDV,22715.0,source_confirmed_external,2020,MIROS Nurulhuda et al. 2020 Vehicle Kilometer Travelled by Online Survey IJARBSS 10(10):1131-1136 (n=63 odometer-based panel),https://hrmars.com/papers_submitted/8274/vehicle-kilometer-travelled-by-online-survey.pdf,32560
Malaysia,Truck,24245.0,hdv_socioecon_predicted,2020,"hdv-socioecon-fit (n_train=9 = 4 ASEAN + 5 peers; R2=0.40, LOO_RMSE_log=0.922)",Transport/Analysis/mileage_sanity_hdv_fit.py,24140
Myanmar,2W,10609.0,socioecon_predicted,2020,"socioecon-fit v2 pooled (n_train=5, R2=0.77, LOO_RMSE_log=0.295); train countries: India,Indonesia,Malaysia,Singapore,Viet Nam",Transport/Analysis/mileage_sanity_socioecon_fit.py,28680
Myanmar,Bus,36990.0,hdv_socioecon_predicted,2020,"hdv-socioecon-fit (n_train=8 = 2 ASEAN + 6 peers; R2=0.15, LOO_RMSE_log=0.552)",Transport/Analysis/mileage_sanity_hdv_fit.py,32190
Myanmar,LDV,13519.0,socioecon_predicted,2020,"socioecon-fit v2 pooled (n_train=13, R2=0.07, LOO_RMSE_log=0.244); train countries: China,France,Germany,India,Indonesia,Japan,Malaysia,New Zealand,Philippines,Singapore,United Kingdom,United States,Viet Nam",Transport/Analysis/mileage_sanity_socioecon_fit.py,32560
Myanmar,Truck,44238.0,hdv_socioecon_predicted,2020,"hdv-socioecon-fit (n_train=9 = 4 ASEAN + 5 peers; R2=0.40, LOO_RMSE_log=0.922)",Transport/Analysis/mileage_sanity_hdv_fit.py,24140
Philippines,2W,13176.0,socioecon_predicted,2020,"socioecon-fit v2 pooled (n_train=5, R2=0.77, LOO_RMSE_log=0.295); train countries: India,Indonesia,Malaysia,Singapore,Viet Nam",Transport/Analysis/mileage_sanity_socioecon_fit.py,28680
Philippines,Bus,10096.0,hdv_socioecon_predicted,2020,"hdv-socioecon-fit (n_train=8 = 2 ASEAN + 6 peers; R2=0.15, LOO_RMSE_log=0.552)",Transport/Analysis/mileage_sanity_hdv_fit.py,32190
Philippines,LDV,13236.0,source_confirmed_external,2017,Energy and environmental benefits and policy implications for private passenger vehicles in an emerging metropolis of Southeast Asia: A case study of Metro Manila (2020 PMC7314698) - household survey n=1795,https://pmc.ncbi.nlm.nih.gov/articles/PMC7314698/,32560
Philippines,Truck,33247.0,source_confirmed_external,2016,Vergel et al 2022 Asian Transport Studies 8 100058 Table 8 truck VKT 13.55 billion vehicle-km / LTO truck stock 407.4k (ASEAN Statistical Yearbook 2016),https://doi.org/10.1016/j.eastsj.2022.100058,24140
Singapore,2W,13000.0,source_confirmed_external,2018,LTA Average Annual Kilometres Travelled Per Vehicle (data.gov.sg dataset d_bdc4c6434e47b055de4b5f2fde10c1af),https://data.gov.sg/datasets/d_bdc4c6434e47b055de4b5f2fde10c1af/view,28680
Singapore,Bus,43950.0,source_confirmed_external,2018,LTA Average Annual Kilometres Travelled Per Vehicle (data.gov.sg dataset d_bdc4c6434e47b055de4b5f2fde10c1af),https://data.gov.sg/datasets/d_bdc4c6434e47b055de4b5f2fde10c1af/view,32190
Singapore,LDV,17500.0,source_confirmed_external,2018,LTA Average Annual Kilometres Travelled Per Vehicle (data.gov.sg dataset d_bdc4c6434e47b055de4b5f2fde10c1af),https://data.gov.sg/datasets/d_bdc4c6434e47b055de4b5f2fde10c1af/view,32560
Singapore,Truck,34500.0,source_confirmed_external,2018,LTA Average Annual Kilometres Travelled Per Vehicle (data.gov.sg dataset d_bdc4c6434e47b055de4b5f2fde10c1af),https://data.gov.sg/datasets/d_bdc4c6434e47b055de4b5f2fde10c1af/view,24140
Thailand,2W,8793.0,socioecon_predicted,2020,"socioecon-fit v2 pooled (n_train=5, R2=0.77, LOO_RMSE_log=0.295); train countries: India,Indonesia,Malaysia,Singapore,Viet Nam",Transport/Analysis/mileage_sanity_socioecon_fit.py,28680
Thailand,Bus,25517.0,hdv_socioecon_predicted,2020,"hdv-socioecon-fit (n_train=8 = 2 ASEAN + 6 peers; R2=0.15, LOO_RMSE_log=0.552)",Transport/Analysis/mileage_sanity_hdv_fit.py,32190
Thailand,LDV,14922.0,socioecon_predicted,2020,"socioecon-fit v2 pooled (n_train=13, R2=0.07, LOO_RMSE_log=0.244); train countries: China,France,Germany,India,Indonesia,Japan,Malaysia,New Zealand,Philippines,Singapore,United Kingdom,United States,Viet Nam",Transport/Analysis/mileage_sanity_socioecon_fit.py,32560
Thailand,Truck,32033.0,hdv_socioecon_predicted,2020,"hdv-socioecon-fit (n_train=9 = 4 ASEAN + 5 peers; R2=0.40, LOO_RMSE_log=0.922)",Transport/Analysis/mileage_sanity_hdv_fit.py,24140
Viet Nam,2W,7225.0,source_confirmed_external,2022,ERIA 2022 RPR No.16 Phase II Table 3.6 Vehicle Kilometre of Travel,https://www.eria.org/uploads/media/Research-Project-Report/RPR-2022-16/Analysis-of-Future-Mobility-Fuel-Scenarios-Phase-II.pdf,28680
Viet Nam,Bus,31838.0,source_confirmed_external,2016,GIZ NDC-TIA Vietnam Component 2021 Table 2.6 Summary of road motor vehicles in Viet Nam (Duc 2019 + Institute of Transport Science and Technology 2018 with 2016 DOE statistics); all-bus average across 14% gasoline / 86% diesel mix,https://changing-transport.org/wp-content/uploads/Electric-mobility-assessment_Final-report_EN_210813-1.pdf,32190
Viet Nam,LDV,13723.0,source_confirmed_external,2022,ERIA 2022 RPR No.16 Phase II Table 3.6 Vehicle Kilometre of Travel,https://www.eria.org/uploads/media/Research-Project-Report/RPR-2022-16/Analysis-of-Future-Mobility-Fuel-Scenarios-Phase-II.pdf,32560
Viet Nam,Truck,61016.0,source_confirmed_external,2019,ATO TAS-FRA-018 land freight vkm divided by TAS-VEP-020 truck stock; mean 2018-2020 (61016/54370/63490),https://data.adb.org/dataset/asian-transport-outlook-database,24140
