[15:30:29] stage=dry_region | scen=Baseline Simulation 1/4 | region=Philippines 7/10 | row=50/59/59 | rows_written=0 | last_hb=15:29:24 | finished=None
[15:51:34] stage=dry_region | scen=Baseline Simulation 1/4 | region=Brunei 1/10 | row=?/60 | rows_written=0 | last_hb=15:49:11 | finished=None
[15:52:34] stage=dry_region | scen=Baseline Simulation 1/4 | region=Cambodia 2/10 | row=50/60/61 | rows_written=0 | last_hb=15:52:01 | finished=None
[15:53:34] stage=dry_region | scen=Baseline Simulation 1/4 | region=Cambodia 2/10 | row=50/60/61 | rows_written=0 | last_hb=15:52:01 | finished=None
[15:54:34] stage=dry_region | scen=Baseline Simulation 1/4 | region=Cambodia 2/10 | row=50/60/61 | rows_written=0 | last_hb=15:52:01 | finished=None
[15:55:34] stage=dry_region | scen=Baseline Simulation 1/4 | region=Cambodia 2/10 | row=50/60/61 | rows_written=0 | last_hb=15:52:01 | finished=None
[15:56:34] stage=dry_region | scen=Baseline Simulation 1/4 | region=Cambodia 2/10 | row=50/60/61 | rows_written=0 | last_hb=15:52:01 | finished=None
[15:57:34] stage=dry_region | scen=Baseline Simulation 1/4 | region=Cambodia 2/10 | row=50/60/61 | rows_written=0 | last_hb=15:52:01 | finished=None
[15:57:57] stage=scenario_start | scen=Baseline Simulation 1/4 | region=? ? | row=?/? | rows_written=0 | last_hb=15:57:54 | finished=None
[15:58:27] stage=scenario_start | scen=Baseline Simulation 1/4 | region=? ? | row=?/? | rows_written=0 | last_hb=15:57:54 | finished=None
[15:58:57] stage=dry_region | scen=Baseline Simulation 1/4 | region=Brunei 1/10 | row=?/60 | rows_written=0 | last_hb=15:58:34 | finished=None
[15:59:27] stage=dry_region | scen=Baseline Simulation 1/4 | region=Brunei 1/10 | row=?/60 | rows_written=0 | last_hb=15:58:34 | finished=None
[15:59:57] stage=dry_region | scen=Baseline Simulation 1/4 | region=Brunei 1/10 | row=?/60 | rows_written=0 | last_hb=15:58:34 | finished=None
[16:00:27] stage=dry_region | scen=Baseline Simulation 1/4 | region=Brunei 1/10 | row=?/60 | rows_written=0 | last_hb=15:58:34 | finished=None
[16:00:57] stage=dry_region | scen=Baseline Simulation 1/4 | region=Brunei 1/10 | row=?/60 | rows_written=0 | last_hb=15:58:34 | finished=None
[16:01:27] stage=dry_region | scen=Baseline Simulation 1/4 | region=Cambodia 2/10 | row=60/60/61 | rows_written=0 | last_hb=16:01:21 | finished=None
[16:01:57] stage=dry_region | scen=Baseline Simulation 1/4 | region=Cambodia 2/10 | row=60/60/61 | rows_written=0 | last_hb=16:01:21 | finished=None
[16:02:27] stage=dry_region | scen=Baseline Simulation 1/4 | region=Cambodia 2/10 | row=60/60/61 | rows_written=0 | last_hb=16:01:21 | finished=None
[16:02:57] stage=dry_region | scen=Baseline Simulation 1/4 | region=Cambodia 2/10 | row=60/60/61 | rows_written=0 | last_hb=16:01:21 | finished=None
[16:03:27] stage=dry_region | scen=Baseline Simulation 1/4 | region=Cambodia 2/10 | row=60/60/61 | rows_written=0 | last_hb=16:01:21 | finished=None
[16:03:57] stage=dry_region | scen=Baseline Simulation 1/4 | region=Cambodia 2/10 | row=60/60/61 | rows_written=0 | last_hb=16:01:21 | finished=None
[16:04:27] stage=dry_region | scen=Baseline Simulation 1/4 | region=Indonesia 3/10 | row=60/61/62 | rows_written=0 | last_hb=16:04:10 | finished=None
[16:04:57] stage=dry_region | scen=Baseline Simulation 1/4 | region=Indonesia 3/10 | row=60/61/62 | rows_written=0 | last_hb=16:04:10 | finished=None
[16:05:27] stage=dry_region | scen=Baseline Simulation 1/4 | region=Indonesia 3/10 | row=60/61/62 | rows_written=0 | last_hb=16:04:10 | finished=None
[16:05:57] stage=dry_region | scen=Baseline Simulation 1/4 | region=Indonesia 3/10 | row=60/61/62 | rows_written=0 | last_hb=16:04:10 | finished=None
[16:06:27] stage=dry_region | scen=Baseline Simulation 1/4 | region=Indonesia 3/10 | row=60/61/62 | rows_written=0 | last_hb=16:04:10 | finished=None
[16:06:57] stage=dry_region | scen=Baseline Simulation 1/4 | region=Indonesia 3/10 | row=60/61/62 | rows_written=0 | last_hb=16:04:10 | finished=None
[16:07:27] stage=dry_region | scen=Baseline Simulation 1/4 | region=Laos 4/10 | row=60/62/57 | rows_written=0 | last_hb=16:07:09 | finished=None
[16:07:57] stage=dry_region | scen=Baseline Simulation 1/4 | region=Laos 4/10 | row=60/62/57 | rows_written=0 | last_hb=16:07:09 | finished=None
[16:08:27] stage=dry_region | scen=Baseline Simulation 1/4 | region=Laos 4/10 | row=60/62/57 | rows_written=0 | last_hb=16:07:09 | finished=None
[16:08:57] stage=dry_region | scen=Baseline Simulation 1/4 | region=Laos 4/10 | row=60/62/57 | rows_written=0 | last_hb=16:07:09 | finished=None
[16:09:27] stage=dry_region | scen=Baseline Simulation 1/4 | region=Laos 4/10 | row=60/62/57 | rows_written=0 | last_hb=16:07:09 | finished=None
[16:09:57] stage=dry_region | scen=Baseline Simulation 1/4 | region=Laos 4/10 | row=60/62/57 | rows_written=0 | last_hb=16:07:09 | finished=None
[16:10:27] stage=dry_region | scen=Baseline Simulation 1/4 | region=Malaysia 5/10 | row=50/57/65 | rows_written=0 | last_hb=16:10:00 | finished=None
[16:10:57] stage=dry_region | scen=Baseline Simulation 1/4 | region=Malaysia 5/10 | row=50/57/65 | rows_written=0 | last_hb=16:10:00 | finished=None
[16:11:27] stage=dry_region | scen=Baseline Simulation 1/4 | region=Malaysia 5/10 | row=50/57/65 | rows_written=0 | last_hb=16:10:00 | finished=None
[16:11:57] stage=dry_region | scen=Baseline Simulation 1/4 | region=Malaysia 5/10 | row=50/57/65 | rows_written=0 | last_hb=16:10:00 | finished=None
[16:12:27] stage=dry_region | scen=Baseline Simulation 1/4 | region=Malaysia 5/10 | row=50/57/65 | rows_written=0 | last_hb=16:10:00 | finished=None
[16:12:57] stage=dry_region | scen=Baseline Simulation 1/4 | region=Myanmar 6/10 | row=60/65/59 | rows_written=0 | last_hb=16:12:49 | finished=None
[16:13:27] stage=dry_region | scen=Baseline Simulation 1/4 | region=Myanmar 6/10 | row=60/65/59 | rows_written=0 | last_hb=16:12:49 | finished=None
[16:13:57] stage=dry_region | scen=Baseline Simulation 1/4 | region=Myanmar 6/10 | row=60/65/59 | rows_written=0 | last_hb=16:12:49 | finished=None
[16:14:27] stage=dry_region | scen=Baseline Simulation 1/4 | region=Myanmar 6/10 | row=60/65/59 | rows_written=0 | last_hb=16:12:49 | finished=None
[16:14:57] stage=dry_region | scen=Baseline Simulation 1/4 | region=Myanmar 6/10 | row=60/65/59 | rows_written=0 | last_hb=16:12:49 | finished=None
[16:15:27] stage=dry_region | scen=Baseline Simulation 1/4 | region=Myanmar 6/10 | row=60/65/59 | rows_written=0 | last_hb=16:12:49 | finished=None
[16:15:57] stage=dry_region | scen=Baseline Simulation 1/4 | region=Philippines 7/10 | row=50/59/59 | rows_written=0 | last_hb=16:15:33 | finished=None
[16:16:27] stage=dry_region | scen=Baseline Simulation 1/4 | region=Philippines 7/10 | row=50/59/59 | rows_written=0 | last_hb=16:15:33 | finished=None
[16:16:57] stage=dry_region | scen=Baseline Simulation 1/4 | region=Philippines 7/10 | row=50/59/59 | rows_written=0 | last_hb=16:15:33 | finished=None
[16:17:27] stage=dry_region | scen=Baseline Simulation 1/4 | region=Philippines 7/10 | row=50/59/59 | rows_written=0 | last_hb=16:15:33 | finished=None
[16:17:57] stage=dry_region | scen=Baseline Simulation 1/4 | region=Philippines 7/10 | row=50/59/59 | rows_written=0 | last_hb=16:15:33 | finished=None
[16:18:27] stage=dry_region | scen=Baseline Simulation 1/4 | region=Singapore 8/10 | row=50/59/59 | rows_written=0 | last_hb=16:18:15 | finished=None
[16:18:57] stage=dry_region | scen=Baseline Simulation 1/4 | region=Singapore 8/10 | row=50/59/59 | rows_written=0 | last_hb=16:18:15 | finished=None
[16:19:27] stage=dry_region | scen=Baseline Simulation 1/4 | region=Singapore 8/10 | row=50/59/59 | rows_written=0 | last_hb=16:18:15 | finished=None
[16:19:57] stage=dry_region | scen=Baseline Simulation 1/4 | region=Singapore 8/10 | row=50/59/59 | rows_written=0 | last_hb=16:18:15 | finished=None
[16:20:27] stage=dry_region | scen=Baseline Simulation 1/4 | region=Singapore 8/10 | row=50/59/59 | rows_written=0 | last_hb=16:18:15 | finished=None
[16:20:57] stage=dry_region | scen=Baseline Simulation 1/4 | region=Singapore 8/10 | row=50/59/59 | rows_written=0 | last_hb=16:18:15 | finished=None
[16:21:27] stage=dry_region | scen=Baseline Simulation 1/4 | region=Thailand 9/10 | row=50/59/63 | rows_written=0 | last_hb=16:20:58 | finished=None
[16:21:57] stage=dry_region | scen=Baseline Simulation 1/4 | region=Thailand 9/10 | row=50/59/63 | rows_written=0 | last_hb=16:20:58 | finished=None
[16:22:27] stage=dry_region | scen=Baseline Simulation 1/4 | region=Thailand 9/10 | row=50/59/63 | rows_written=0 | last_hb=16:20:58 | finished=None
[16:22:57] stage=dry_region | scen=Baseline Simulation 1/4 | region=Thailand 9/10 | row=50/59/63 | rows_written=0 | last_hb=16:20:58 | finished=None
[16:23:27] stage=dry_region | scen=Baseline Simulation 1/4 | region=Thailand 9/10 | row=50/59/63 | rows_written=0 | last_hb=16:20:58 | finished=None
[16:23:57] stage=dry_region | scen=Baseline Simulation 1/4 | region=Vietnam 10/10 | row=60/63/56 | rows_written=0 | last_hb=16:23:43 | finished=None
[16:24:27] stage=dry_region | scen=Baseline Simulation 1/4 | region=Vietnam 10/10 | row=60/63/56 | rows_written=0 | last_hb=16:23:43 | finished=None
[16:24:57] stage=dry_region | scen=Baseline Simulation 1/4 | region=Vietnam 10/10 | row=60/63/56 | rows_written=0 | last_hb=16:23:43 | finished=None
[16:25:27] stage=dry_region | scen=Baseline Simulation 1/4 | region=Vietnam 10/10 | row=60/63/56 | rows_written=0 | last_hb=16:23:43 | finished=None
[16:25:57] stage=dry_region | scen=Baseline Simulation 1/4 | region=Vietnam 10/10 | row=60/63/56 | rows_written=0 | last_hb=16:23:43 | finished=None
[16:26:27] stage=dry_pushing | scen=Baseline Simulation 1/4 | region=Vietnam 10/10 | row=40/56/56 | rows_written=0 | last_hb=16:26:26 | finished=None
[16:26:57] stage=scenario_start | scen=AMS Target Scenario 2/4 | region=Vietnam 10/10 | row=50/56/56 | rows_written=0 | last_hb=16:26:26 | finished=None
[16:27:27] stage=dry_region | scen=AMS Target Scenario 2/4 | region=Brunei 1/10 | row=50/56/60 | rows_written=0 | last_hb=16:27:07 | finished=None
[16:27:57] stage=dry_region | scen=AMS Target Scenario 2/4 | region=Brunei 1/10 | row=50/56/60 | rows_written=0 | last_hb=16:27:07 | finished=None
[16:28:27] stage=dry_region | scen=AMS Target Scenario 2/4 | region=Brunei 1/10 | row=50/56/60 | rows_written=0 | last_hb=16:27:07 | finished=None
[16:37:32] stage=scenario_start | scen=Baseline Simulation 1/4 | region=? ? | row=?/? | rows_written=0 | last_hb=16:37:29 | finished=None
[16:38:02] stage=scenario_start | scen=Baseline Simulation 1/4 | region=? ? | row=?/? | rows_written=0 | last_hb=16:37:29 | finished=None
[16:38:32] stage=dry_region | scen=Baseline Simulation 1/4 | region=Brunei 1/10 | row=?/60 | rows_written=0 | last_hb=16:38:08 | finished=None
[16:39:02] stage=dry_region | scen=Baseline Simulation 1/4 | region=Brunei 1/10 | row=?/60 | rows_written=0 | last_hb=16:38:08 | finished=None
[16:39:32] stage=dry_region | scen=Baseline Simulation 1/4 | region=Brunei 1/10 | row=?/60 | rows_written=0 | last_hb=16:38:08 | finished=None
[16:40:02] stage=dry_region | scen=Baseline Simulation 1/4 | region=Brunei 1/10 | row=?/60 | rows_written=0 | last_hb=16:38:08 | finished=None
[16:40:32] stage=dry_region | scen=Baseline Simulation 1/4 | region=Brunei 1/10 | row=?/60 | rows_written=0 | last_hb=16:38:08 | finished=None
[16:41:02] stage=dry_region | scen=Baseline Simulation 1/4 | region=Cambodia 2/10 | row=60/60/61 | rows_written=0 | last_hb=16:40:47 | finished=None
[16:41:32] stage=dry_region | scen=Baseline Simulation 1/4 | region=Cambodia 2/10 | row=60/60/61 | rows_written=0 | last_hb=16:40:47 | finished=None
[16:42:02] stage=dry_region | scen=Baseline Simulation 1/4 | region=Cambodia 2/10 | row=60/60/61 | rows_written=0 | last_hb=16:40:47 | finished=None
[16:42:32] stage=dry_region | scen=Baseline Simulation 1/4 | region=Cambodia 2/10 | row=60/60/61 | rows_written=0 | last_hb=16:40:47 | finished=None
[16:43:02] stage=dry_region | scen=Baseline Simulation 1/4 | region=Cambodia 2/10 | row=60/60/61 | rows_written=0 | last_hb=16:40:47 | finished=None
[16:43:32] stage=dry_region | scen=Baseline Simulation 1/4 | region=Cambodia 2/10 | row=60/60/61 | rows_written=0 | last_hb=16:40:47 | finished=None
[16:44:02] stage=dry_region | scen=Baseline Simulation 1/4 | region=Indonesia 3/10 | row=60/61/62 | rows_written=0 | last_hb=16:43:33 | finished=None
[16:44:32] stage=dry_region | scen=Baseline Simulation 1/4 | region=Indonesia 3/10 | row=60/61/62 | rows_written=0 | last_hb=16:43:33 | finished=None
[16:45:02] stage=dry_region | scen=Baseline Simulation 1/4 | region=Indonesia 3/10 | row=60/61/62 | rows_written=0 | last_hb=16:43:33 | finished=None
[16:45:32] stage=dry_region | scen=Baseline Simulation 1/4 | region=Indonesia 3/10 | row=60/61/62 | rows_written=0 | last_hb=16:43:33 | finished=None
[16:46:02] stage=dry_region | scen=Baseline Simulation 1/4 | region=Indonesia 3/10 | row=60/61/62 | rows_written=0 | last_hb=16:43:33 | finished=None
[16:46:32] stage=dry_region | scen=Baseline Simulation 1/4 | region=Laos 4/10 | row=60/62/57 | rows_written=0 | last_hb=16:46:21 | finished=None
[16:47:02] stage=dry_region | scen=Baseline Simulation 1/4 | region=Laos 4/10 | row=60/62/57 | rows_written=0 | last_hb=16:46:21 | finished=None
[16:47:32] stage=dry_region | scen=Baseline Simulation 1/4 | region=Laos 4/10 | row=60/62/57 | rows_written=0 | last_hb=16:46:21 | finished=None
[16:48:02] stage=dry_region | scen=Baseline Simulation 1/4 | region=Laos 4/10 | row=60/62/57 | rows_written=0 | last_hb=16:46:21 | finished=None
[16:48:32] stage=dry_region | scen=Baseline Simulation 1/4 | region=Laos 4/10 | row=60/62/57 | rows_written=0 | last_hb=16:46:21 | finished=None
[16:49:02] stage=dry_pushing | scen=Baseline Simulation 1/4 | region=Laos 4/10 | row=20/57/57 | rows_written=0 | last_hb=16:49:02 | finished=None
[16:49:32] stage=dry_region | scen=Baseline Simulation 1/4 | region=Malaysia 5/10 | row=50/57/65 | rows_written=0 | last_hb=16:49:02 | finished=None
[16:50:02] stage=dry_region | scen=Baseline Simulation 1/4 | region=Malaysia 5/10 | row=50/57/65 | rows_written=0 | last_hb=16:49:02 | finished=None
[16:50:32] stage=dry_region | scen=Baseline Simulation 1/4 | region=Malaysia 5/10 | row=50/57/65 | rows_written=0 | last_hb=16:49:02 | finished=None
[16:51:02] stage=dry_region | scen=Baseline Simulation 1/4 | region=Malaysia 5/10 | row=50/57/65 | rows_written=0 | last_hb=16:49:02 | finished=None
[16:51:32] stage=dry_region | scen=Baseline Simulation 1/4 | region=Malaysia 5/10 | row=50/57/65 | rows_written=0 | last_hb=16:49:02 | finished=None
[16:52:02] stage=dry_region | scen=Baseline Simulation 1/4 | region=Malaysia 5/10 | row=50/57/65 | rows_written=0 | last_hb=16:49:02 | finished=None
[16:52:32] stage=dry_region | scen=Baseline Simulation 1/4 | region=Myanmar 6/10 | row=60/65/59 | rows_written=0 | last_hb=16:52:06 | finished=None
[16:53:02] stage=dry_region | scen=Baseline Simulation 1/4 | region=Myanmar 6/10 | row=60/65/59 | rows_written=0 | last_hb=16:52:06 | finished=None
[16:53:32] stage=dry_region | scen=Baseline Simulation 1/4 | region=Myanmar 6/10 | row=60/65/59 | rows_written=0 | last_hb=16:52:06 | finished=None
[16:54:02] stage=dry_region | scen=Baseline Simulation 1/4 | region=Myanmar 6/10 | row=60/65/59 | rows_written=0 | last_hb=16:52:06 | finished=None
[16:54:32] stage=dry_region | scen=Baseline Simulation 1/4 | region=Myanmar 6/10 | row=60/65/59 | rows_written=0 | last_hb=16:52:06 | finished=None
[16:55:02] stage=dry_region | scen=Baseline Simulation 1/4 | region=Philippines 7/10 | row=50/59/59 | rows_written=0 | last_hb=16:54:47 | finished=None
[16:55:32] stage=dry_region | scen=Baseline Simulation 1/4 | region=Philippines 7/10 | row=50/59/59 | rows_written=0 | last_hb=16:54:47 | finished=None
[16:56:02] stage=dry_region | scen=Baseline Simulation 1/4 | region=Philippines 7/10 | row=50/59/59 | rows_written=0 | last_hb=16:54:47 | finished=None
[16:56:32] stage=dry_region | scen=Baseline Simulation 1/4 | region=Philippines 7/10 | row=50/59/59 | rows_written=0 | last_hb=16:54:47 | finished=None
[16:57:02] stage=dry_region | scen=Baseline Simulation 1/4 | region=Philippines 7/10 | row=50/59/59 | rows_written=0 | last_hb=16:54:47 | finished=None
[16:57:33] stage=dry_region | scen=Baseline Simulation 1/4 | region=Singapore 8/10 | row=50/59/59 | rows_written=0 | last_hb=16:57:27 | finished=None
[16:58:03] stage=dry_region | scen=Baseline Simulation 1/4 | region=Singapore 8/10 | row=50/59/59 | rows_written=0 | last_hb=16:57:27 | finished=None
[16:58:33] stage=dry_region | scen=Baseline Simulation 1/4 | region=Singapore 8/10 | row=50/59/59 | rows_written=0 | last_hb=16:57:27 | finished=None
[16:59:03] stage=dry_region | scen=Baseline Simulation 1/4 | region=Singapore 8/10 | row=50/59/59 | rows_written=0 | last_hb=16:57:27 | finished=None
[16:59:33] stage=dry_region | scen=Baseline Simulation 1/4 | region=Singapore 8/10 | row=50/59/59 | rows_written=0 | last_hb=16:57:27 | finished=None
[17:00:03] stage=dry_region | scen=Baseline Simulation 1/4 | region=Singapore 8/10 | row=50/59/59 | rows_written=0 | last_hb=16:57:27 | finished=None
[17:00:33] stage=dry_region | scen=Baseline Simulation 1/4 | region=Thailand 9/10 | row=50/59/63 | rows_written=0 | last_hb=17:00:18 | finished=None
[17:01:03] stage=dry_region | scen=Baseline Simulation 1/4 | region=Thailand 9/10 | row=50/59/63 | rows_written=0 | last_hb=17:00:18 | finished=None
[17:01:33] stage=dry_region | scen=Baseline Simulation 1/4 | region=Thailand 9/10 | row=50/59/63 | rows_written=0 | last_hb=17:00:18 | finished=None
[17:02:03] stage=dry_region | scen=Baseline Simulation 1/4 | region=Thailand 9/10 | row=50/59/63 | rows_written=0 | last_hb=17:00:18 | finished=None
[17:02:33] stage=dry_region | scen=Baseline Simulation 1/4 | region=Thailand 9/10 | row=50/59/63 | rows_written=0 | last_hb=17:00:18 | finished=None
[17:03:03] stage=dry_region | scen=Baseline Simulation 1/4 | region=Thailand 9/10 | row=50/59/63 | rows_written=0 | last_hb=17:00:18 | finished=None
[17:03:33] stage=dry_region | scen=Baseline Simulation 1/4 | region=Vietnam 10/10 | row=60/63/56 | rows_written=0 | last_hb=17:03:07 | finished=None
[17:04:03] stage=dry_region | scen=Baseline Simulation 1/4 | region=Vietnam 10/10 | row=60/63/56 | rows_written=0 | last_hb=17:03:07 | finished=None
[17:04:33] stage=dry_region | scen=Baseline Simulation 1/4 | region=Vietnam 10/10 | row=60/63/56 | rows_written=0 | last_hb=17:03:07 | finished=None
[17:05:03] stage=dry_region | scen=Baseline Simulation 1/4 | region=Vietnam 10/10 | row=60/63/56 | rows_written=0 | last_hb=17:03:07 | finished=None
[17:05:33] stage=dry_region | scen=Baseline Simulation 1/4 | region=Vietnam 10/10 | row=60/63/56 | rows_written=0 | last_hb=17:03:07 | finished=None
[17:06:03] stage=real_pushing | scen=Baseline Simulation 1/4 | region=Cambodia 2/10 | row=40/61/61 | rows_written=100 | last_hb=17:06:01 | finished=None
[17:06:33] stage=real_pushing | scen=Baseline Simulation 1/4 | region=Philippines 7/10 | row=40/59/59 | rows_written=404 | last_hb=17:06:22 | finished=None
[17:07:03] stage=real_inject_done | scen=Baseline Simulation 1/4 | region=Vietnam 10/10 | row=50/56/56 | rows_written=595 | last_hb=17:06:43 | finished=None
[17:07:33] stage=real_inject_done | scen=Baseline Simulation 1/4 | region=Vietnam 10/10 | row=50/56/56 | rows_written=595 | last_hb=17:06:43 | finished=None
[17:08:03] stage=scenario_start | scen=AMS Target Scenario 2/4 | region=Vietnam 10/10 | row=50/56/56 | rows_written=595 | last_hb=17:06:43 | finished=None
[17:08:33] stage=dry_region | scen=AMS Target Scenario 2/4 | region=Brunei 1/10 | row=50/56/60 | rows_written=595 | last_hb=17:08:18 | finished=None
[17:09:03] stage=dry_region | scen=AMS Target Scenario 2/4 | region=Brunei 1/10 | row=50/56/60 | rows_written=595 | last_hb=17:08:18 | finished=None
[17:09:33] stage=dry_region | scen=AMS Target Scenario 2/4 | region=Brunei 1/10 | row=50/56/60 | rows_written=595 | last_hb=17:08:18 | finished=None
[17:10:03] stage=dry_region | scen=AMS Target Scenario 2/4 | region=Brunei 1/10 | row=50/56/60 | rows_written=595 | last_hb=17:08:18 | finished=None
[17:10:33] stage=dry_region | scen=AMS Target Scenario 2/4 | region=Brunei 1/10 | row=50/56/60 | rows_written=595 | last_hb=17:08:18 | finished=None
[17:11:03] stage=dry_region | scen=AMS Target Scenario 2/4 | region=Brunei 1/10 | row=50/56/60 | rows_written=595 | last_hb=17:08:18 | finished=None
[17:11:33] stage=dry_region | scen=AMS Target Scenario 2/4 | region=Cambodia 2/10 | row=60/60/61 | rows_written=595 | last_hb=17:11:30 | finished=None
[17:12:03] stage=dry_region | scen=AMS Target Scenario 2/4 | region=Cambodia 2/10 | row=60/60/61 | rows_written=595 | last_hb=17:11:30 | finished=None
[17:12:33] stage=dry_region | scen=AMS Target Scenario 2/4 | region=Cambodia 2/10 | row=60/60/61 | rows_written=595 | last_hb=17:11:30 | finished=None
[17:13:03] stage=dry_region | scen=AMS Target Scenario 2/4 | region=Cambodia 2/10 | row=60/60/61 | rows_written=595 | last_hb=17:11:30 | finished=None
[17:13:33] stage=dry_region | scen=AMS Target Scenario 2/4 | region=Cambodia 2/10 | row=60/60/61 | rows_written=595 | last_hb=17:11:30 | finished=None
[17:14:03] stage=dry_region | scen=AMS Target Scenario 2/4 | region=Cambodia 2/10 | row=60/60/61 | rows_written=595 | last_hb=17:11:30 | finished=None
[17:14:33] stage=dry_region | scen=AMS Target Scenario 2/4 | region=Cambodia 2/10 | row=60/60/61 | rows_written=595 | last_hb=17:11:30 | finished=None
[17:15:03] stage=dry_region | scen=AMS Target Scenario 2/4 | region=Indonesia 3/10 | row=60/61/62 | rows_written=595 | last_hb=17:14:43 | finished=None
[17:15:33] stage=dry_region | scen=AMS Target Scenario 2/4 | region=Indonesia 3/10 | row=60/61/62 | rows_written=595 | last_hb=17:14:43 | finished=None
[17:16:03] stage=dry_region | scen=AMS Target Scenario 2/4 | region=Indonesia 3/10 | row=60/61/62 | rows_written=595 | last_hb=17:14:43 | finished=None
[17:16:33] stage=dry_region | scen=AMS Target Scenario 2/4 | region=Indonesia 3/10 | row=60/61/62 | rows_written=595 | last_hb=17:14:43 | finished=None
[17:17:03] stage=dry_region | scen=AMS Target Scenario 2/4 | region=Indonesia 3/10 | row=60/61/62 | rows_written=595 | last_hb=17:14:43 | finished=None
[17:17:33] stage=dry_region | scen=AMS Target Scenario 2/4 | region=Indonesia 3/10 | row=60/61/62 | rows_written=595 | last_hb=17:14:43 | finished=None
[17:18:03] stage=dry_region | scen=AMS Target Scenario 2/4 | region=Indonesia 3/10 | row=60/61/62 | rows_written=595 | last_hb=17:14:43 | finished=None
[17:18:33] stage=dry_region | scen=AMS Target Scenario 2/4 | region=Laos 4/10 | row=60/62/57 | rows_written=595 | last_hb=17:18:06 | finished=None
[17:19:03] stage=dry_region | scen=AMS Target Scenario 2/4 | region=Laos 4/10 | row=60/62/57 | rows_written=595 | last_hb=17:18:06 | finished=None
[17:19:33] stage=dry_region | scen=AMS Target Scenario 2/4 | region=Laos 4/10 | row=60/62/57 | rows_written=595 | last_hb=17:18:06 | finished=None
[17:20:03] stage=dry_region | scen=AMS Target Scenario 2/4 | region=Laos 4/10 | row=60/62/57 | rows_written=595 | last_hb=17:18:06 | finished=None
